trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850623.SI,房屋建设Ⅲ,L3,3439.32,3398.14,3488.1,3469.91,35.7,1.04,29073.0,165925.0,4.89,0.66,12592100.0,31731500.0
2023-01-04,850623.SI,房屋建设Ⅲ,L3,3469.98,3446.99,3566.04,3535.77,65.86,1.9,39559.0,231613.0,4.99,0.67,12831000.0,32312800.0
2023-01-05,850623.SI,房屋建设Ⅲ,L3,3544.52,3497.05,3554.93,3528.14,-7.63,-0.22,31615.0,185259.0,4.97,0.67,12803400.0,32246000.0
2023-01-06,850623.SI,房屋建设Ⅲ,L3,3527.21,3483.3,3555.46,3494.01,-34.14,-0.97,29517.0,180247.0,4.93,0.66,12679500.0,31946800.0
2023-01-09,850623.SI,房屋建设Ⅲ,L3,3501.01,3446.2,3516.69,3477.42,-16.58,-0.47,29095.0,168891.0,4.9,0.66,12619300.0,31852200.0
2023-01-10,850623.SI,房屋建设Ⅲ,L3,3465.37,3403.5,3472.42,3414.29,-63.13,-1.82,27447.0,156517.0,4.81,0.65,12390200.0,31292900.0
2023-01-11,850623.SI,房屋建设Ⅲ,L3,3416.16,3405.32,3460.93,3414.45,0.16,0.0,32642.0,177350.0,4.81,0.65,12390800.0,31315700.0
2023-01-12,850623.SI,房屋建设Ⅲ,L3,3407.66,3364.08,3422.01,3388.32,-26.13,-0.77,24326.0,127848.0,4.78,0.64,12296000.0,31060800.0
2023-01-13,850623.SI,房屋建设Ⅲ,L3,3396.95,3382.64,3435.99,3425.9,37.58,1.11,23366.0,134276.0,4.83,0.65,12432300.0,31409700.0
2023-01-16,850623.SI,房屋建设Ⅲ,L3,3419.35,3376.93,3460.86,3436.57,10.67,0.31,33358.0,181795.0,4.83,0.65,12635100.0,31504100.0
2023-01-17,850623.SI,房屋建设Ⅲ,L3,3426.64,3381.58,3445.17,3403.51,-33.06,-0.96,24515.0,138129.0,4.79,0.65,12513600.0,31206500.0
2023-01-18,850623.SI,房屋建设Ⅲ,L3,3408.16,3386.9,3440.25,3398.26,-5.25,-0.15,21950.0,135641.0,4.78,0.64,12494500.0,31159000.0
2023-01-19,850623.SI,房屋建设Ⅲ,L3,3385.3,3361.52,3412.77,3411.06,12.8,0.38,27499.0,156284.0,4.79,0.65,12641300.0,31288600.0
2023-01-20,850623.SI,房屋建设Ⅲ,L3,3407.23,3395.22,3509.23,3507.51,96.45,2.83,44474.0,247951.0,4.92,0.66,12998700.0,32168300.0
2023-01-30,850623.SI,房屋建设Ⅲ,L3,3529.5,3463.91,3544.92,3476.59,-30.92,-0.88,42932.0,239806.0,4.88,0.66,12884100.0,31905900.0
2023-01-31,850623.SI,房屋建设Ⅲ,L3,3480.94,3461.62,3515.52,3501.46,24.86,0.72,30909.0,178955.0,4.92,0.66,12976300.0,32132600.0
2023-02-01,850623.SI,房屋建设Ⅲ,L3,3508.97,3469.34,3533.86,3525.78,24.32,0.69,36451.0,214520.0,4.95,0.67,13066400.0,32363900.0
2023-02-02,850623.SI,房屋建设Ⅲ,L3,3531.22,3482.01,3539.69,3509.58,-16.2,-0.46,32455.0,195371.0,4.93,0.66,13006400.0,32233900.0
2023-02-03,850623.SI,房屋建设Ⅲ,L3,3494.36,3423.73,3501.64,3442.64,-66.94,-1.91,32233.0,189010.0,4.83,0.65,12758300.0,31624000.0
