trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850702.SI,安防设备,L3,13583.2,13381.8,13807.3,13601.0,13.23,0.1,22848.0,360141.0,22.16,3.69,18736200.0,42926100.0
2023-01-04,850702.SI,安防设备,L3,13584.4,13285.8,13719.1,13526.7,-74.29,-0.55,35634.0,553613.0,22.03,3.67,18633900.0,42735900.0
2023-01-05,850702.SI,安防设备,L3,13519.7,13447.7,13789.3,13641.7,114.96,0.85,21274.0,372817.0,22.24,3.7,18808100.0,43032600.0
2023-01-06,850702.SI,安防设备,L3,13611.9,13370.8,13675.4,13436.4,-205.26,-1.5,29557.0,414656.0,21.9,3.65,18525100.0,42372800.0
2023-01-09,850702.SI,安防设备,L3,13379.2,13181.5,13527.8,13253.3,-183.08,-1.36,34355.0,532843.0,21.59,3.59,18272700.0,41844100.0
2023-01-10,850702.SI,安防设备,L3,13258.7,12929.4,13455.0,13345.3,91.96,0.69,32819.0,508572.0,21.75,3.62,18399500.0,42134800.0
2023-01-11,850702.SI,安防设备,L3,13314.0,13066.2,13347.0,13145.5,-199.76,-1.5,25504.0,401299.0,21.44,3.57,18124100.0,41493400.0
2023-01-12,850702.SI,安防设备,L3,13148.1,13003.9,13303.8,13107.3,-38.25,-0.29,30765.0,460868.0,21.38,3.56,18071400.0,41353400.0
2023-01-13,850702.SI,安防设备,L3,13112.2,13039.4,13461.5,13380.4,273.1,2.08,22176.0,348960.0,21.83,3.64,18447900.0,42145100.0
2023-01-16,850702.SI,安防设备,L3,13363.0,13290.5,13966.7,13802.3,421.94,3.15,38554.0,611017.0,22.53,3.75,19029600.0,43447600.0
2023-01-17,850702.SI,安防设备,L3,13817.1,13749.8,14067.4,13845.8,43.45,0.31,28101.0,425929.0,22.59,3.76,19089500.0,43361100.0
2023-01-18,850702.SI,安防设备,L3,13835.1,13742.4,14221.2,14025.2,179.47,1.3,34407.0,509224.0,22.88,3.81,19337000.0,43937900.0
2023-01-19,850702.SI,安防设备,L3,14021.0,13948.6,14685.1,14606.1,580.86,4.14,38874.0,671784.0,23.82,3.97,20236800.0,45772900.0
2023-01-20,850702.SI,安防设备,L3,14541.1,14493.0,15022.2,14577.4,-28.73,-0.2,33164.0,550330.0,23.79,3.96,20197000.0,45629100.0
2023-01-30,850702.SI,安防设备,L3,14757.8,14663.4,15253.7,14733.1,155.73,1.07,32045.0,559038.0,23.91,3.97,20164400.0,46121000.0
2023-01-31,850702.SI,安防设备,L3,14727.3,14236.2,14955.7,14331.1,-402.0,-2.73,29834.0,504443.0,23.24,3.86,19614200.0,44850900.0
2023-02-01,850702.SI,安防设备,L3,14322.4,14237.1,14653.3,14519.5,188.38,1.31,27837.0,436129.0,23.55,3.91,19872000.0,45424500.0
2023-02-02,850702.SI,安防设备,L3,14530.9,14407.3,14904.8,14559.6,40.14,0.28,29203.0,463552.0,23.62,3.93,19927000.0,45519500.0
2023-02-03,850702.SI,安防设备,L3,14537.9,14333.6,14786.5,14709.6,149.97,1.03,27373.0,480589.0,23.86,3.97,20132200.0,45991400.0
2023-02-06,850702.SI,安防设备,L3,14671.4,14508.9,15049.5,14638.5,-71.13,-0.48,30779.0,592679.0,23.73,3.95,20022900.0,45785400.0
2023-02-07,850702.SI,安防设备,L3,14658.3,14588.7,15107.8,14917.8,279.37,1.91,34529.0,640954.0,24.18,4.02,20405000.0,46609900.0
2023-02-08,850702.SI,安防设备,L3,14921.0,14651.2,15004.0,14774.5,-143.3,-0.96,38573.0,588523.0,23.96,3.99,20226100.0,46177100.0
2023-02-09,850702.SI,安防设备,L3,14674.3,14558.4,15173.2,15098.3,323.78,2.19,35953.0,571090.0,24.59,4.08,20767700.0,47192900.0
2023-02-10,850702.SI,安防设备,L3,15089.0,14642.3,15172.0,14782.3,-316.02,-2.09,28499.0,487703.0,24.07,3.99,20333000.0,46168100.0
2023-02-13,850702.SI,安防设备,L3,14706.7,14470.2,14857.0,14769.3,-12.97,-0.09,30365.0,465599.0,24.02,3.98,20322800.0,46148400.0
2023-02-14,850702.SI,安防设备,L3,14765.9,14506.7,14818.5,14615.8,-153.54,-1.04,24517.0,375531.0,23.77,3.94,20111600.0,45670900.0
2023-02-15,850702.SI,安防设备,L3,14556.2,14413.8,14722.0,14643.7,27.94,0.19,25299.0,388370.0,23.81,3.95,20150000.0,45749700.0
2023-02-16,850702.SI,安防设备,L3,14618.6,14522.9,15437.0,14933.1,289.37,1.98,38930.0,772889.0,24.32,4.03,20548200.0,46633000.0
2023-02-17,850702.SI,安防设备,L3,14806.2,14574.3,15001.1,14590.9,-342.19,-2.29,25593.0,440187.0,23.75,3.94,20077300.0,45582400.0
2023-02-20,850702.SI,安防设备,L3,14444.0,14360.1,15452.4,15362.2,771.29,5.29,28568.0,609500.0,25.03,4.15,21146600.0,47961400.0
2023-02-21,850702.SI,安防设备,L3,15356.1,15182.9,15795.1,15414.0,51.79,0.34,36024.0,618982.0,25.11,4.16,21217800.0,48130300.0
2023-02-22,850702.SI,安防设备,L3,15371.8,15103.9,15557.0,15253.8,-160.22,-1.04,35635.0,577668.0,24.81,4.11,20997300.0,47656100.0
2023-02-23,850702.SI,安防设备,L3,15256.6,14938.0,15375.2,15078.7,-175.06,-1.15,35581.0,534250.0,24.54,4.07,20756300.0,47117100.0
2023-02-24,850702.SI,安防设备,L3,15085.3,14902.5,15298.8,15018.5,-60.18,-0.4,25029.0,385737.0,24.44,4.05,20673500.0,46932600.0
2023-02-27,850702.SI,安防设备,L3,14983.8,14801.1,15183.4,14909.0,-109.52,-0.73,26511.0,421014.0,24.28,4.03,20522700.0,46532000.0
