trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850703.SI,其他计算机设备,L3,3021.76,3006.64,3178.59,3163.46,141.47,4.68,61953.0,753969.0,43.68,2.29,20007100.0,35642800.0
2023-01-04,850703.SI,其他计算机设备,L3,3170.08,3142.28,3220.35,3194.14,30.68,0.97,62449.0,737241.0,44.1,2.31,20201100.0,35969200.0
2023-01-05,850703.SI,其他计算机设备,L3,3200.17,3154.13,3235.34,3199.49,5.35,0.17,49038.0,626934.0,44.2,2.32,20247200.0,36032300.0
2023-01-06,850703.SI,其他计算机设备,L3,3195.14,3135.75,3215.4,3156.98,-42.51,-1.33,43074.0,600695.0,43.6,2.29,19998600.0,35587500.0
2023-01-09,850703.SI,其他计算机设备,L3,3164.73,3136.62,3214.6,3168.09,11.11,0.35,37975.0,518801.0,43.74,2.29,20069000.0,35761700.0
2023-01-10,850703.SI,其他计算机设备,L3,3170.09,3131.54,3207.85,3165.26,-2.83,-0.09,33729.0,471468.0,43.68,2.29,20059600.0,35781700.0
2023-01-11,850703.SI,其他计算机设备,L3,3169.74,3099.61,3211.27,3114.36,-50.89,-1.61,47302.0,632980.0,42.99,2.25,19737100.0,35227100.0
2023-01-12,850703.SI,其他计算机设备,L3,3119.02,3086.91,3185.46,3138.25,23.89,0.77,42253.0,560277.0,43.33,2.27,19891800.0,35469500.0
2023-01-13,850703.SI,其他计算机设备,L3,3140.41,3093.3,3164.57,3130.38,-7.88,-0.25,34599.0,446124.0,43.21,2.26,19841800.0,35381600.0
2023-01-16,850703.SI,其他计算机设备,L3,3141.18,3128.94,3247.99,3198.05,67.67,2.16,51333.0,696580.0,44.14,2.31,20270800.0,36164700.0
2023-01-17,850703.SI,其他计算机设备,L3,3199.32,3149.0,3226.9,3171.18,-26.86,-0.84,38535.0,504419.0,43.77,2.29,20100500.0,35857300.0
2023-01-18,850703.SI,其他计算机设备,L3,3176.09,3151.58,3250.45,3222.7,51.52,1.62,43121.0,584944.0,44.48,2.33,20427000.0,36432600.0
2023-01-19,850703.SI,其他计算机设备,L3,3216.18,3202.83,3324.89,3304.19,81.5,2.53,56171.0,798490.0,45.58,2.39,20943600.0,37519800.0
2023-01-20,850703.SI,其他计算机设备,L3,3308.62,3276.07,3385.16,3334.03,29.84,0.9,60965.0,902975.0,45.99,2.41,21132700.0,37897900.0
2023-01-30,850703.SI,其他计算机设备,L3,3384.74,3334.22,3447.39,3387.3,53.27,1.6,83620.0,1136750.0,46.75,2.45,21476500.0,38444700.0
2023-01-31,850703.SI,其他计算机设备,L3,3368.2,3337.75,3427.43,3378.21,-9.1,-0.27,66385.0,874941.0,46.71,2.45,21471800.0,38310800.0
2023-02-01,850703.SI,其他计算机设备,L3,3381.04,3363.86,3485.55,3470.8,92.6,2.74,83884.0,1082310.0,47.98,2.51,22060300.0,39396200.0
2023-02-02,850703.SI,其他计算机设备,L3,3488.37,3456.05,3587.64,3518.07,47.27,1.36,95592.0,1248390.0,48.66,2.55,22365600.0,39885800.0
2023-02-03,850703.SI,其他计算机设备,L3,3514.94,3456.19,3604.29,3562.24,44.17,1.26,109376.0,1422270.0,49.27,2.58,22646400.0,40373500.0
2023-02-06,850703.SI,其他计算机设备,L3,3566.07,3518.82,3669.82,3595.39,33.15,0.93,140458.0,1694260.0,49.73,2.61,22857200.0,40688700.0
2023-02-07,850703.SI,其他计算机设备,L3,3577.85,3519.52,3695.81,3636.5,41.11,1.14,126610.0,1675530.0,50.31,2.64,23118500.0,41047900.0
