trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850715.SI,制冷空调设备,L3,11704.0,11564.2,12143.9,12029.3,310.9,2.65,10366.0,162543.0,31.23,2.64,4588440.0,10375500.0
2023-01-04,850715.SI,制冷空调设备,L3,12106.0,11843.2,12206.0,11955.8,-73.49,-0.61,7215.0,112369.0,31.06,2.63,4560410.0,10325600.0
2023-01-05,850715.SI,制冷空调设备,L3,11992.7,11843.7,12209.0,12026.0,70.17,0.59,13772.0,217334.0,31.21,2.64,4587180.0,10410000.0
2023-01-06,850715.SI,制冷空调设备,L3,12002.0,11867.5,12304.8,12080.5,54.51,0.45,12241.0,195150.0,31.25,2.65,4607970.0,10523800.0
2023-01-09,850715.SI,制冷空调设备,L3,12123.6,11940.6,12305.9,12072.7,-7.79,-0.06,11135.0,155538.0,31.28,2.65,4605000.0,10473700.0
2023-01-10,850715.SI,制冷空调设备,L3,12128.8,11982.5,12339.2,12101.1,28.43,0.24,10787.0,149730.0,31.39,2.66,4615840.0,10491900.0
2023-01-11,850715.SI,制冷空调设备,L3,12096.8,11914.1,12259.2,11979.8,-121.29,-1.0,9149.0,133720.0,31.07,2.63,4569580.0,10376900.0
2023-01-12,850715.SI,制冷空调设备,L3,11997.2,11898.9,12177.8,12007.2,27.41,0.23,6814.0,95900.0,31.14,2.64,4580030.0,10403600.0
2023-01-13,850715.SI,制冷空调设备,L3,12054.7,11780.5,12206.7,11927.9,-79.35,-0.66,13384.0,132711.0,30.94,2.62,4549760.0,10294200.0
2023-01-16,850715.SI,制冷空调设备,L3,11931.1,11853.3,12212.0,12091.6,163.69,1.37,12344.0,136788.0,31.38,2.66,4612200.0,10411000.0
2023-01-17,850715.SI,制冷空调设备,L3,12158.2,11969.7,12342.4,12150.2,58.69,0.49,15008.0,153971.0,31.56,2.67,4634590.0,10457800.0
2023-01-18,850715.SI,制冷空调设备,L3,12194.1,12020.4,12342.7,12142.5,-7.72,-0.06,20984.0,204425.0,31.54,2.67,4631640.0,10440600.0
2023-01-19,850715.SI,制冷空调设备,L3,12095.8,11940.7,12193.3,12069.5,-73.07,-0.6,15940.0,145716.0,31.37,2.66,4603770.0,10364600.0
2023-01-20,850715.SI,制冷空调设备,L3,12102.6,11995.2,12340.5,12179.2,109.71,0.91,15821.0,163229.0,31.64,2.68,4645620.0,10474300.0
