trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850716.SI,其他通用设备,L3,5318.01,5282.29,5490.23,5459.23,139.99,2.63,16477.0,162324.0,27.56,2.18,8331580.0,17764800.0
2023-01-04,850716.SI,其他通用设备,L3,5461.96,5413.34,5533.75,5485.09,25.86,0.47,14229.0,139242.0,27.68,2.19,8371060.0,17845800.0
2023-01-05,850716.SI,其他通用设备,L3,5490.37,5443.97,5585.23,5553.7,68.62,1.25,14661.0,155884.0,28.04,2.22,8475770.0,18080300.0
2023-01-06,850716.SI,其他通用设备,L3,5553.65,5500.05,5630.98,5545.0,-8.71,-0.16,15626.0,162838.0,28.0,2.22,8462490.0,18049000.0
2023-01-09,850716.SI,其他通用设备,L3,5569.75,5508.85,5667.97,5568.27,23.27,0.42,16497.0,175888.0,28.11,2.23,8498000.0,18187300.0
2023-01-10,850716.SI,其他通用设备,L3,5585.04,5499.94,5642.66,5568.79,0.52,0.01,18126.0,177897.0,28.09,2.23,8498800.0,18189500.0
2023-01-11,850716.SI,其他通用设备,L3,5573.52,5467.13,5624.61,5497.24,-71.55,-1.28,19827.0,176177.0,27.75,2.2,8389610.0,17942300.0
2023-01-12,850716.SI,其他通用设备,L3,5514.88,5476.03,5631.22,5557.65,60.41,1.1,23779.0,174849.0,28.08,2.23,8481800.0,18135500.0
2023-01-13,850716.SI,其他通用设备,L3,5564.73,5484.11,5654.5,5582.53,24.87,0.45,20738.0,155626.0,28.2,2.23,8519760.0,18200600.0
2023-01-16,850716.SI,其他通用设备,L3,5588.46,5555.32,5709.0,5635.05,52.53,0.94,19741.0,174783.0,28.45,2.26,8608920.0,18377800.0
2023-01-17,850716.SI,其他通用设备,L3,5638.95,5588.68,5721.39,5644.97,9.91,0.18,15262.0,143656.0,28.48,2.26,8624070.0,18418600.0
2023-01-18,850716.SI,其他通用设备,L3,5660.03,5611.68,5729.0,5689.14,44.17,0.78,14932.0,139494.0,28.59,2.28,8661000.0,18567000.0
2023-01-19,850716.SI,其他通用设备,L3,5690.4,5629.27,5765.02,5728.69,39.56,0.7,18553.0,171380.0,28.8,2.29,8721220.0,18661700.0
2023-01-20,850716.SI,其他通用设备,L3,5742.43,5701.0,5825.24,5756.98,28.29,0.49,19958.0,196848.0,28.96,2.31,8764280.0,18758100.0
