trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850727.SI,其他专用设备,L3,13114.2,12998.7,13613.2,13503.3,367.34,2.8,61232.0,547651.0,26.94,3.06,17346000.0,36301900.0
2023-01-04,850727.SI,其他专用设备,L3,13534.4,13295.4,13784.6,13553.0,49.69,0.37,87572.0,712231.0,27.02,3.07,17426600.0,36369500.0
2023-01-05,850727.SI,其他专用设备,L3,13568.7,13420.4,13875.3,13687.6,134.61,0.99,103462.0,766183.0,27.27,3.09,17599600.0,36766400.0
2023-01-06,850727.SI,其他专用设备,L3,13661.2,13547.3,14011.7,13748.0,60.4,0.44,73546.0,683593.0,27.41,3.11,17677300.0,36945000.0
2023-01-09,850727.SI,其他专用设备,L3,13799.0,13642.7,14042.7,13825.0,76.95,0.56,71451.0,640561.0,27.57,3.13,17776300.0,37120600.0
2023-01-10,850727.SI,其他专用设备,L3,13818.1,13650.8,14055.1,13895.7,70.71,0.51,52698.0,552185.0,27.72,3.15,17867500.0,37305900.0
2023-01-11,850727.SI,其他专用设备,L3,13922.1,13623.5,14045.2,13695.5,-200.17,-1.44,50968.0,545986.0,27.32,3.1,17614300.0,36766200.0
2023-01-12,850727.SI,其他专用设备,L3,13748.1,13618.7,14047.8,13824.4,128.87,0.94,68131.0,594788.0,27.57,3.13,17782200.0,37069300.0
2023-01-13,850727.SI,其他专用设备,L3,13850.8,13578.5,14039.6,13800.9,-23.51,-0.17,51823.0,502460.0,27.52,3.12,17752000.0,37043700.0
2023-01-16,850727.SI,其他专用设备,L3,13836.3,13700.6,14099.1,13931.4,130.52,0.95,48108.0,507728.0,27.77,3.15,17919900.0,37386200.0
2023-01-17,850727.SI,其他专用设备,L3,13991.3,13810.4,14208.3,14003.0,71.58,0.51,50195.0,546617.0,27.92,3.17,18010600.0,37611000.0
2023-01-18,850727.SI,其他专用设备,L3,14002.2,13801.2,14200.0,13998.7,-4.32,-0.03,51091.0,503468.0,27.89,3.17,18005000.0,37623200.0
2023-01-19,850727.SI,其他专用设备,L3,14018.2,13837.4,14253.0,14121.4,122.7,0.88,43882.0,480809.0,28.13,3.19,18162800.0,37929400.0
2023-01-20,850727.SI,其他专用设备,L3,14178.2,14075.0,14435.3,14286.7,165.34,1.17,46626.0,495967.0,28.48,3.23,18381000.0,38338800.0
2023-01-30,850727.SI,其他专用设备,L3,14532.8,14361.3,14876.4,14609.4,322.72,2.26,78912.0,854593.0,29.11,3.3,18798600.0,39123700.0
2023-01-31,850727.SI,其他专用设备,L3,14556.7,14410.5,14961.0,14780.1,170.66,1.17,94132.0,874288.0,29.46,3.34,19026300.0,39483300.0
2023-02-01,850727.SI,其他专用设备,L3,14825.0,14649.2,15150.4,14975.1,195.04,1.32,101790.0,1002470.0,29.85,3.39,19277400.0,39951100.0
2023-02-02,850727.SI,其他专用设备,L3,14987.4,14788.0,15278.3,15020.0,44.86,0.3,84423.0,948816.0,29.95,3.4,19335100.0,40099200.0
2023-02-03,850727.SI,其他专用设备,L3,14980.3,14642.0,15126.8,14908.6,-111.34,-0.74,76184.0,855204.0,29.71,3.37,19191800.0,39832000.0
2023-02-06,850727.SI,其他专用设备,L3,14886.6,14666.5,15122.0,14879.7,-28.94,-0.19,67687.0,825900.0,29.86,3.38,19284400.0,40214900.0
2023-02-07,850727.SI,其他专用设备,L3,14901.8,14698.8,15214.4,15041.6,161.87,1.09,89928.0,943469.0,30.18,3.42,19494200.0,40674000.0
2023-02-08,850727.SI,其他专用设备,L3,15037.5,14781.0,15242.6,14936.1,-105.44,-0.7,69077.0,802623.0,29.96,3.39,19357600.0,40399600.0
2023-02-09,850727.SI,其他专用设备,L3,14944.0,14772.9,15249.0,15131.8,195.66,1.31,60016.0,786824.0,30.35,3.44,19611100.0,40924300.0
2023-02-10,850727.SI,其他专用设备,L3,15104.1,14860.1,15295.4,15024.0,-107.8,-0.71,59042.0,714659.0,30.11,3.41,19471400.0,40671600.0
2023-02-13,850727.SI,其他专用设备,L3,15037.2,14913.9,15446.8,15268.4,244.43,1.63,66260.0,802246.0,30.59,3.46,19788200.0,41374600.0
2023-02-14,850727.SI,其他专用设备,L3,15291.4,15028.8,15463.8,15206.6,-61.8,-0.4,56669.0,755163.0,30.46,3.45,19708100.0,41205800.0
2023-02-15,850727.SI,其他专用设备,L3,15212.8,15017.1,15479.5,15227.7,21.12,0.14,57861.0,760477.0,30.5,3.45,19738700.0,41327800.0
2023-02-16,850727.SI,其他专用设备,L3,15263.0,14618.2,15438.9,14746.8,-480.96,-3.16,72982.0,947403.0,29.55,3.34,19116700.0,40046900.0
2023-02-17,850727.SI,其他专用设备,L3,14753.1,14516.2,14987.5,14621.9,-124.86,-0.85,52592.0,676355.0,29.29,3.32,18954900.0,39748200.0
2023-02-20,850727.SI,其他专用设备,L3,14618.1,14414.3,14987.0,14854.3,232.41,1.59,48517.0,689834.0,29.73,3.37,19256100.0,40378200.0
2023-02-21,850727.SI,其他专用设备,L3,14859.0,14694.6,15126.7,14946.3,92.02,0.62,45591.0,611511.0,29.95,3.39,19381200.0,40634000.0
2023-02-22,850727.SI,其他专用设备,L3,14881.5,14684.1,15097.6,14867.6,-78.73,-0.53,44942.0,581731.0,29.81,3.37,19282000.0,40425000.0
2023-02-23,850727.SI,其他专用设备,L3,14887.6,14754.7,15182.0,14964.1,96.49,0.65,44383.0,600731.0,30.0,3.39,19407200.0,40680000.0
2023-02-24,850727.SI,其他专用设备,L3,14974.6,14704.5,15122.1,14893.2,-70.93,-0.47,38060.0,515918.0,29.85,3.38,19315200.0,40573000.0
2023-02-27,850727.SI,其他专用设备,L3,14848.3,14576.6,15136.9,14834.0,-59.11,-0.4,56872.0,714607.0,29.73,3.36,19238500.0,40348100.0
2023-02-28,850727.SI,其他专用设备,L3,14844.8,14632.9,15058.0,14886.4,52.34,0.35,41007.0,518316.0,29.9,3.38,19432900.0,40500900.0
2023-03-01,850727.SI,其他专用设备,L3,14891.6,14723.2,15093.6,14967.4,81.04,0.54,50118.0,613984.0,30.08,3.4,19539400.0,40766400.0
2023-03-02,850727.SI,其他专用设备,L3,14972.9,14640.7,15114.6,14732.1,-235.35,-1.57,51243.0,661753.0,29.61,3.35,19232100.0,40161600.0
2023-03-03,850727.SI,其他专用设备,L3,14727.7,14537.3,14893.7,14687.5,-44.59,-0.3,41486.0,547581.0,29.52,3.34,19173900.0,40015000.0
2023-03-06,850727.SI,其他专用设备,L3,14713.4,14491.0,14935.4,14772.5,85.02,0.58,41306.0,554540.0,29.69,3.36,19284900.0,40270700.0
2023-03-07,850727.SI,其他专用设备,L3,14754.1,14289.3,14836.0,14327.2,-445.3,-3.01,43841.0,548742.0,29.37,3.27,18646200.0,39067500.0
2023-03-08,850727.SI,其他专用设备,L3,14303.4,14217.5,14574.8,14471.9,144.68,1.01,34216.0,420781.0,29.66,3.3,18834500.0,39430400.0
2023-03-09,850727.SI,其他专用设备,L3,14475.7,14298.5,14702.6,14497.3,25.4,0.18,38042.0,499275.0,29.7,3.31,18867600.0,39550100.0
2023-03-10,850727.SI,其他专用设备,L3,14436.8,14162.8,14560.1,14263.0,-234.27,-1.62,36064.0,468381.0,29.21,3.25,18564400.0,38932000.0
2023-03-13,850727.SI,其他专用设备,L3,14235.5,13981.5,14424.0,14188.9,-74.13,-0.52,38604.0,501291.0,29.06,3.24,18468000.0,38757800.0
2023-03-14,850727.SI,其他专用设备,L3,14169.0,13724.7,14280.7,13981.2,-207.66,-1.46,44585.0,551011.0,28.63,3.19,18201200.0,38259600.0
2023-03-15,850727.SI,其他专用设备,L3,14045.7,13937.3,14345.3,14092.7,111.49,0.8,39247.0,479924.0,28.86,3.21,18346300.0,38538800.0
2023-03-16,850727.SI,其他专用设备,L3,14035.3,13730.1,14175.7,13833.5,-259.19,-1.84,36998.0,474593.0,28.34,3.15,18008900.0,37903500.0
2023-03-17,850727.SI,其他专用设备,L3,13922.1,13635.6,14149.6,13822.8,-10.75,-0.08,41338.0,564518.0,28.36,3.13,17995900.0,37953800.0
2023-03-20,850727.SI,其他专用设备,L3,13797.0,13453.9,13983.8,13743.6,-79.16,-0.57,40175.0,557025.0,28.19,3.11,17892900.0,37708500.0
2023-03-21,850727.SI,其他专用设备,L3,13790.7,13655.5,14112.6,14021.4,277.74,2.02,38520.0,490849.0,28.76,3.18,18254400.0,38476300.0
2023-03-22,850727.SI,其他专用设备,L3,14047.4,13896.8,14295.9,14107.8,86.39,0.62,37480.0,511285.0,28.95,3.2,18383800.0,38749600.0
2023-03-23,850727.SI,其他专用设备,L3,14085.8,13915.6,14282.6,14159.8,52.06,0.37,37755.0,526745.0,29.07,3.21,18455900.0,38929700.0
2023-03-24,850727.SI,其他专用设备,L3,14156.9,13951.2,14375.8,14156.3,-3.55,-0.03,43887.0,554212.0,29.07,3.21,18451300.0,38855400.0
2023-03-27,850727.SI,其他专用设备,L3,14140.7,13943.2,14413.3,14218.4,62.11,0.44,65322.0,663328.0,29.21,3.23,18532200.0,38977000.0
2023-03-28,850727.SI,其他专用设备,L3,14218.9,13971.9,14436.2,14143.5,-74.84,-0.53,52452.0,586522.0,29.06,3.21,18434700.0,38877900.0
