trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850751.SI,金属制品,L3,5025.18,4972.88,5177.16,5138.57,99.29,1.97,38965.0,449433.0,40.31,2.13,12739200.0,28636300.0
2023-01-04,850751.SI,金属制品,L3,5135.15,5054.37,5239.07,5148.1,9.53,0.19,41737.0,518119.0,40.38,2.13,12823700.0,28925100.0
2023-01-05,850751.SI,金属制品,L3,5158.85,5091.48,5240.75,5167.71,19.61,0.38,42048.0,588178.0,40.5,2.14,12872500.0,29090800.0
2023-01-06,850751.SI,金属制品,L3,5157.69,5117.71,5293.65,5193.79,26.08,0.5,55557.0,701857.0,40.69,2.15,12937500.0,29266900.0
2023-01-09,850751.SI,金属制品,L3,5209.13,5144.7,5296.01,5214.84,21.06,0.41,46832.0,586851.0,40.84,2.16,12989900.0,29416000.0
2023-01-10,850751.SI,金属制品,L3,5219.64,5145.15,5295.55,5210.37,-4.48,-0.09,37896.0,521171.0,40.8,2.15,12978800.0,29405800.0
2023-01-11,850751.SI,金属制品,L3,5219.59,5116.38,5296.59,5158.87,-51.5,-0.99,41617.0,550984.0,40.42,2.13,12850500.0,29115100.0
2023-01-12,850751.SI,金属制品,L3,5170.17,5111.94,5277.72,5184.96,26.1,0.51,42593.0,620849.0,40.64,2.15,12915500.0,29260700.0
2023-01-13,850751.SI,金属制品,L3,5197.63,5110.52,5252.7,5160.93,-24.03,-0.46,34476.0,510688.0,40.44,2.14,12855600.0,29110700.0
2023-01-16,850751.SI,金属制品,L3,5164.97,5101.64,5267.99,5179.49,18.56,0.36,38223.0,540967.0,40.58,2.14,12901900.0,29214500.0
2023-01-17,850751.SI,金属制品,L3,5195.43,5117.22,5282.56,5198.76,19.27,0.37,36013.0,510856.0,40.71,2.15,12949900.0,29355700.0
2023-01-18,850751.SI,金属制品,L3,5212.19,5149.83,5285.2,5213.86,15.09,0.29,35058.0,458117.0,40.84,2.16,12987500.0,29360100.0
2023-01-19,850751.SI,金属制品,L3,5203.2,5148.98,5257.67,5213.34,-0.52,-0.01,30740.0,372236.0,40.86,2.16,12986200.0,29301200.0
2023-01-20,850751.SI,金属制品,L3,5242.52,5207.29,5344.02,5278.77,65.42,1.25,39196.0,498621.0,41.4,2.19,13159700.0,29670600.0
2023-01-30,850751.SI,金属制品,L3,5335.03,5291.68,5464.27,5377.15,98.39,1.86,57422.0,683916.0,42.15,2.23,13405000.0,30334500.0
2023-01-31,850751.SI,金属制品,L3,5364.17,5312.37,5488.0,5436.31,59.16,1.1,52847.0,672153.0,42.62,2.25,13552500.0,30647800.0
2023-02-01,850751.SI,金属制品,L3,5450.48,5381.11,5535.45,5499.25,62.94,1.16,58335.0,738217.0,43.12,2.28,13709400.0,30945700.0
2023-02-02,850751.SI,金属制品,L3,5509.33,5439.32,5602.19,5514.74,15.49,0.28,58164.0,728792.0,43.26,2.28,13748000.0,31022100.0
2023-02-03,850751.SI,金属制品,L3,5509.9,5401.86,5558.3,5489.6,-25.14,-0.46,49449.0,589146.0,43.08,2.27,13685300.0,30838500.0
2023-02-06,850751.SI,金属制品,L3,5492.07,5414.09,5573.19,5476.14,-13.46,-0.25,65174.0,708354.0,42.99,2.27,13651800.0,30762100.0
2023-02-07,850751.SI,金属制品,L3,5473.17,5416.36,5593.18,5527.65,51.51,0.94,69781.0,816394.0,43.37,2.29,13780200.0,31040600.0
