trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850782.SI,工控设备,L3,5003.81,4931.82,5096.13,5060.26,59.81,1.2,14496.0,219849.0,39.57,6.42,16969900.0,28442800.0
2023-01-04,850782.SI,工控设备,L3,5064.0,4842.75,5107.73,4882.51,-177.75,-3.51,18477.0,302559.0,38.18,6.19,16380100.0,27552400.0
2023-01-05,850782.SI,工控设备,L3,4898.59,4844.57,4985.71,4909.48,26.97,0.55,24700.0,373440.0,38.39,6.22,16470500.0,27717800.0
2023-01-06,850782.SI,工控设备,L3,4850.56,4839.3,4978.34,4938.62,29.14,0.59,22124.0,328693.0,38.62,6.26,16568300.0,27867900.0
2023-01-09,850782.SI,工控设备,L3,4947.73,4911.91,5071.72,5008.25,69.63,1.41,21439.0,329115.0,39.16,6.35,16801900.0,28227000.0
2023-01-10,850782.SI,工控设备,L3,5001.33,4930.72,5044.3,5000.76,-7.49,-0.15,17189.0,304919.0,39.1,6.34,16776300.0,28197600.0
2023-01-11,850782.SI,工控设备,L3,5023.33,4847.15,5054.12,4888.89,-111.86,-2.24,18436.0,342540.0,38.23,6.2,16401100.0,27707700.0
2023-01-12,850782.SI,工控设备,L3,4906.47,4884.06,5032.88,4975.97,87.08,1.78,26198.0,465544.0,38.91,6.31,16693200.0,28128000.0
2023-01-13,850782.SI,工控设备,L3,4976.43,4897.14,5122.98,5097.01,121.04,2.43,24694.0,465169.0,39.86,6.46,17099200.0,28745600.0
2023-01-16,850782.SI,工控设备,L3,5038.57,4965.63,5116.08,5003.07,-93.94,-1.84,19570.0,396252.0,39.12,6.34,16784100.0,28296600.0
2023-01-17,850782.SI,工控设备,L3,5004.74,4965.02,5118.75,5065.47,62.4,1.25,19535.0,345129.0,39.61,6.42,16993400.0,28587000.0
2023-01-18,850782.SI,工控设备,L3,5115.95,4970.35,5159.37,4994.2,-71.27,-1.41,17897.0,309719.0,39.05,6.33,16754300.0,28251100.0
2023-01-19,850782.SI,工控设备,L3,5019.15,4935.77,5093.1,5052.38,58.19,1.17,27674.0,386823.0,39.51,6.41,16949500.0,28534200.0
