trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850813.SI,半导体材料,L3,6507.95,6442.29,6696.51,6665.76,149.12,2.29,4323.0,140098.0,46.33,3.92,5728060.0,9632710.0
2023-01-04,850813.SI,半导体材料,L3,6658.79,6513.9,6807.7,6565.0,-100.76,-1.51,5122.0,177135.0,45.62,3.86,5641480.0,9478120.0
2023-01-05,850813.SI,半导体材料,L3,6562.89,6494.35,6660.16,6627.98,62.97,0.96,4075.0,145180.0,46.06,3.9,5695590.0,9574390.0
2023-01-06,850813.SI,半导体材料,L3,6609.67,6561.42,6802.95,6700.59,72.62,1.1,5165.0,173144.0,46.57,3.94,5757990.0,9676270.0
2023-01-09,850813.SI,半导体材料,L3,6704.89,6667.26,6855.11,6755.44,54.85,0.82,4026.0,143815.0,46.95,3.97,5805130.0,9755450.0
2023-01-10,850813.SI,半导体材料,L3,6756.08,6720.74,6873.87,6779.94,24.5,0.36,4708.0,165501.0,47.12,3.99,5826180.0,9796850.0
2023-01-11,850813.SI,半导体材料,L3,6773.34,6698.34,6930.58,6731.81,-48.14,-0.71,5297.0,192247.0,46.78,3.96,5784820.0,9735850.0
2023-01-12,850813.SI,半导体材料,L3,6726.31,6626.25,6783.3,6696.32,-35.48,-0.53,3180.0,106118.0,46.54,3.94,5754330.0,9670280.0
2023-01-13,850813.SI,半导体材料,L3,6716.65,6591.06,6740.76,6685.63,-10.69,-0.16,3221.0,99273.0,46.46,3.93,5745140.0,9649000.0
2023-01-16,850813.SI,半导体材料,L3,6649.8,6627.37,6900.65,6825.32,139.68,2.09,4587.0,153198.0,47.43,4.01,5865170.0,9851850.0
2023-01-17,850813.SI,半导体材料,L3,6821.44,6802.98,7057.81,6955.23,129.91,1.9,4356.0,160627.0,48.34,4.09,5976810.0,10037100.0
2023-01-18,850813.SI,半导体材料,L3,6996.55,6892.71,7022.68,6935.64,-19.58,-0.28,2886.0,95840.0,48.2,4.08,5959980.0,10003500.0
2023-01-19,850813.SI,半导体材料,L3,6922.44,6891.56,7062.84,7039.81,104.17,1.5,4048.0,122079.0,48.92,4.14,6049500.0,10148700.0
2023-01-20,850813.SI,半导体材料,L3,7041.27,6966.75,7088.28,7034.31,-5.5,-0.08,3763.0,119525.0,48.89,4.14,6044770.0,10136000.0
2023-01-30,850813.SI,半导体材料,L3,7123.74,6980.76,7168.81,7051.96,17.64,0.25,5382.0,185500.0,49.01,4.15,6059930.0,10148900.0
2023-01-31,850813.SI,半导体材料,L3,7025.9,6891.15,7089.91,6949.3,-102.65,-1.46,5047.0,181703.0,48.3,4.09,5971720.0,10001900.0
2023-02-01,850813.SI,半导体材料,L3,6960.5,6943.5,7170.44,7113.04,163.74,2.36,7445.0,236112.0,49.43,4.18,6112420.0,10248500.0
2023-02-02,850813.SI,半导体材料,L3,7143.63,7075.9,7283.01,7161.07,48.03,0.68,7867.0,275528.0,49.77,4.21,6153700.0,10323900.0
2023-02-03,850813.SI,半导体材料,L3,7125.66,7034.64,7274.03,7218.46,57.39,0.8,6599.0,231201.0,50.17,4.24,6203010.0,10413900.0
2023-02-06,850813.SI,半导体材料,L3,7173.13,7037.86,7235.8,7078.17,-140.28,-1.94,4710.0,175172.0,49.19,4.16,6082460.0,10203400.0
2023-02-07,850813.SI,半导体材料,L3,7081.86,7010.56,7141.72,7079.16,0.99,0.01,4513.0,145178.0,49.2,4.16,6083310.0,10207200.0
2023-02-08,850813.SI,半导体材料,L3,7072.98,6969.02,7208.53,6984.27,-94.89,-1.34,5430.0,173649.0,48.54,4.11,6001770.0,10069300.0
2023-02-09,850813.SI,半导体材料,L3,6964.86,6902.06,7319.06,7294.18,309.91,4.44,10079.0,348997.0,50.69,4.29,6268080.0,10524400.0
2023-02-10,850813.SI,半导体材料,L3,7287.1,7145.15,7383.01,7226.18,-68.01,-0.93,6897.0,233830.0,50.22,4.25,6209640.0,10423400.0
2023-02-13,850813.SI,半导体材料,L3,7213.02,7149.15,7317.36,7267.92,41.75,0.58,5967.0,198109.0,50.51,4.27,6245510.0,10484700.0
2023-02-14,850813.SI,半导体材料,L3,7277.27,7174.79,7399.73,7222.07,-45.86,-0.63,6282.0,209432.0,50.19,4.25,6206110.0,10490100.0
2023-02-15,850813.SI,半导体材料,L3,7213.93,7148.35,7316.69,7304.76,82.7,1.15,5924.0,194537.0,50.77,4.29,6277170.0,10608300.0
2023-02-16,850813.SI,半导体材料,L3,7296.34,7028.68,7396.53,7121.77,-182.99,-2.51,8526.0,310569.0,49.49,4.19,6119920.0,10350600.0
2023-02-17,850813.SI,半导体材料,L3,7103.6,6853.96,7148.75,6866.06,-255.71,-3.59,6501.0,232423.0,47.72,4.04,5900180.0,9972510.0
2023-02-20,850813.SI,半导体材料,L3,6854.91,6766.13,6974.67,6948.49,82.44,1.2,4673.0,153598.0,48.29,4.08,5971020.0,10090600.0
2023-02-21,850813.SI,半导体材料,L3,6928.39,6886.86,7028.98,6956.19,7.7,0.11,4323.0,124062.0,48.34,4.09,5977640.0,10099600.0
2023-02-22,850813.SI,半导体材料,L3,6903.46,6874.83,6997.31,6925.77,-30.42,-0.44,3249.0,96188.0,48.13,4.07,5951490.0,10055200.0
2023-02-23,850813.SI,半导体材料,L3,6919.34,6874.47,6982.44,6919.73,-6.04,-0.09,3507.0,105024.0,48.09,4.07,5946300.0,10051500.0
2023-02-24,850813.SI,半导体材料,L3,6972.06,6844.85,7018.84,6909.97,-9.75,-0.14,3631.0,121082.0,48.02,4.06,5937920.0,10047900.0
2023-02-27,850813.SI,半导体材料,L3,6866.42,6756.89,6913.53,6815.89,-94.08,-1.36,4612.0,125199.0,47.37,4.01,5857080.0,9912520.0
2023-02-28,850813.SI,半导体材料,L3,6833.82,6752.91,6892.72,6831.82,15.92,0.23,4659.0,117354.0,47.48,4.02,5870760.0,9932730.0
2023-03-01,850813.SI,半导体材料,L3,6820.51,6786.66,6913.03,6896.58,64.76,0.95,5695.0,138084.0,47.93,4.05,5926410.0,10023000.0
2023-03-02,850813.SI,半导体材料,L3,6895.34,6785.06,6957.06,6789.17,-107.41,-1.56,4637.0,127853.0,47.18,3.99,5834110.0,9865790.0
2023-03-03,850813.SI,半导体材料,L3,6872.17,6826.25,7006.8,6973.55,184.38,2.72,10469.0,245812.0,48.46,4.1,5992550.0,10134400.0
2023-03-06,850813.SI,半导体材料,L3,6980.6,6865.75,7172.16,7113.03,139.48,2.0,14505.0,343494.0,49.43,4.18,6112410.0,10352400.0
2023-03-07,850813.SI,半导体材料,L3,7093.76,6892.27,7168.91,6908.18,-204.85,-2.88,9113.0,240245.0,48.01,4.06,5936380.0,10051500.0
2023-03-08,850813.SI,半导体材料,L3,6880.07,6850.09,7047.99,6986.44,78.26,1.13,7285.0,191591.0,48.55,4.11,6003630.0,10166600.0
2023-03-09,850813.SI,半导体材料,L3,6987.23,6971.73,7251.99,7129.61,143.17,2.05,12835.0,334716.0,49.55,4.19,6126660.0,10381800.0
2023-03-10,850813.SI,半导体材料,L3,7091.49,6995.7,7386.77,7218.21,88.6,1.24,14297.0,408426.0,50.16,4.24,6202800.0,10489500.0
2023-03-13,850813.SI,半导体材料,L3,7156.83,7065.64,7262.21,7176.31,-41.9,-0.58,9516.0,258381.0,49.87,4.22,6166790.0,10415200.0
2023-03-14,850813.SI,半导体材料,L3,7139.8,7049.8,7479.81,7448.24,271.93,3.79,17746.0,505447.0,51.76,4.38,6400470.0,10799500.0
2023-03-15,850813.SI,半导体材料,L3,7454.44,7353.65,7692.54,7479.6,31.36,0.42,25133.0,639675.0,51.98,4.4,6427410.0,10848600.0
2023-03-16,850813.SI,半导体材料,L3,7393.45,7286.4,7560.28,7335.37,-144.22,-1.93,16454.0,409788.0,50.98,4.31,6303480.0,10642500.0
2023-03-17,850813.SI,半导体材料,L3,7410.18,7304.88,7582.53,7500.94,165.57,2.26,15749.0,432467.0,52.13,4.41,6445760.0,10896000.0
2023-03-20,850813.SI,半导体材料,L3,7475.0,7390.54,7723.16,7610.44,109.5,1.46,15927.0,473125.0,52.89,4.47,6539850.0,11042900.0
2023-03-21,850813.SI,半导体材料,L3,7573.32,7447.97,7654.43,7556.32,-54.13,-0.71,11627.0,328050.0,52.51,4.44,6493340.0,10960300.0
2023-03-22,850813.SI,半导体材料,L3,7548.28,7397.73,7577.36,7472.67,-83.65,-1.11,10687.0,297801.0,51.93,4.39,6421460.0,10827800.0
2023-03-23,850813.SI,半导体材料,L3,7438.47,7379.11,7630.82,7598.78,126.11,1.69,13586.0,404794.0,52.81,4.47,6529830.0,10995800.0
2023-03-24,850813.SI,半导体材料,L3,7585.11,7384.7,7624.61,7450.19,-148.59,-1.96,11851.0,347013.0,51.78,4.38,6402140.0,10765300.0
2023-03-27,850813.SI,半导体材料,L3,7433.59,7376.0,7613.04,7457.94,7.75,0.1,12075.0,331253.0,51.83,4.38,6408800.0,10785400.0
2023-03-28,850813.SI,半导体材料,L3,7353.34,7034.36,7372.81,7044.56,-413.38,-5.54,13351.0,389405.0,50.29,4.14,6053570.0,10166900.0
2023-03-29,850813.SI,半导体材料,L3,7038.39,7010.17,7480.66,7415.68,371.12,5.27,12052.0,371786.0,52.94,4.36,6372490.0,10668200.0
2023-03-30,850813.SI,半导体材料,L3,7493.33,7385.02,7668.29,7437.95,22.27,0.3,13211.0,499853.0,53.1,4.37,6391630.0,10685000.0
2023-03-31,850813.SI,半导体材料,L3,7447.12,7371.26,7578.14,7526.87,88.92,1.2,9820.0,341176.0,53.73,4.42,6468040.0,10799900.0
2023-04-03,850813.SI,半导体材料,L3,7594.03,7570.96,7993.6,7950.65,423.78,5.63,13883.0,521555.0,56.76,4.67,6832200.0,11406500.0
2023-04-04,850813.SI,半导体材料,L3,7915.48,7833.6,8346.34,8076.88,126.23,1.59,19254.0,728032.0,57.66,4.75,6940680.0,11629000.0
2023-04-06,850813.SI,半导体材料,L3,8086.96,8057.96,8697.02,8529.05,452.17,5.6,21739.0,836898.0,60.88,5.01,7329230.0,12312800.0
2023-04-07,850813.SI,半导体材料,L3,8537.38,8294.73,8637.5,8495.3,-33.75,-0.4,14571.0,592070.0,59.86,4.93,7300240.0,12260700.0
2023-04-10,850813.SI,半导体材料,L3,8511.63,8049.51,8606.06,8152.07,-343.23,-4.04,14154.0,595657.0,57.44,4.73,7005290.0,11776400.0
2023-04-11,850813.SI,半导体材料,L3,8172.53,8073.82,8405.71,8283.16,131.09,1.61,10422.0,427757.0,59.09,4.85,7344220.0,11962700.0
2023-04-12,850813.SI,半导体材料,L3,8255.7,8081.36,8430.12,8317.29,34.13,0.41,10388.0,448462.0,59.33,4.87,7374480.0,12014100.0
2023-04-13,850813.SI,半导体材料,L3,8266.65,7969.32,8322.14,8004.49,-312.8,-3.76,11561.0,418752.0,57.1,4.68,7097140.0,11557500.0
2023-04-14,850813.SI,半导体材料,L3,8065.83,7883.53,8618.46,8541.56,537.08,6.71,16097.0,702880.0,60.93,5.0,7573330.0,12324400.0
2023-04-17,850813.SI,半导体材料,L3,8579.26,8371.65,8744.54,8482.07,-59.49,-0.7,11399.0,543066.0,60.51,4.96,7520590.0,12238900.0
2023-04-18,850813.SI,半导体材料,L3,8401.85,8177.74,8456.1,8310.62,-171.45,-2.02,8601.0,356635.0,59.28,4.86,7368570.0,11994600.0
2023-04-19,850813.SI,半导体材料,L3,8291.4,8268.46,8685.93,8459.02,148.39,1.79,10306.0,465257.0,60.34,4.95,7500140.0,12220400.0
2023-04-20,850813.SI,半导体材料,L3,8379.23,8349.05,8705.18,8607.17,148.16,1.75,11143.0,498356.0,61.4,5.04,7631500.0,12424100.0
2023-04-21,850813.SI,半导体材料,L3,8591.62,8069.64,8724.81,8252.22,-354.95,-4.12,14555.0,612562.0,58.87,4.83,7316790.0,11945000.0
2023-04-24,850813.SI,半导体材料,L3,8061.7,7646.07,8189.38,7714.59,-537.63,-6.52,10461.0,461848.0,60.03,4.46,6840100.0,11188600.0
2023-04-25,850813.SI,半导体材料,L3,7659.68,7215.37,7725.22,7300.5,-414.09,-5.37,10817.0,433205.0,56.95,4.22,6563340.0,10604700.0
2023-04-26,850813.SI,半导体材料,L3,7228.2,7039.74,7337.0,7149.8,-150.7,-2.06,8387.0,315334.0,55.99,4.14,6438230.0,10371800.0
2023-04-27,850813.SI,半导体材料,L3,7076.04,7031.89,7337.47,7115.72,-34.09,-0.48,6715.0,261395.0,55.73,4.12,6407540.0,10329500.0
2023-04-28,850813.SI,半导体材料,L3,7207.26,7113.85,7405.74,7354.4,238.68,3.35,8835.0,345403.0,55.6,4.17,6622460.0,10695900.0
2023-05-04,850813.SI,半导体材料,L3,7236.44,6995.7,7282.96,7073.22,-281.18,-3.82,7731.0,274983.0,62.75,4.01,6369270.0,10280600.0
2023-05-05,850813.SI,半导体材料,L3,7052.47,6921.27,7334.13,7097.59,24.37,0.34,7921.0,285813.0,62.96,4.03,6391220.0,10351300.0
2023-05-08,850813.SI,半导体材料,L3,7061.25,6960.06,7219.91,7107.85,10.25,0.14,7048.0,243408.0,63.05,4.03,6400450.0,10372700.0
2023-05-09,850813.SI,半导体材料,L3,7085.45,6919.55,7223.84,6986.05,-121.79,-1.71,7291.0,278052.0,61.97,3.96,6290780.0,10209800.0
2023-05-10,850813.SI,半导体材料,L3,6921.18,6668.14,7005.8,6770.84,-215.22,-3.08,7165.0,266528.0,60.06,3.84,6096980.0,9899520.0
2023-05-11,850813.SI,半导体材料,L3,6880.38,6756.68,6931.97,6802.63,31.8,0.47,4876.0,180845.0,60.35,3.86,6125610.0,9958510.0
2023-05-12,850813.SI,半导体材料,L3,6807.21,6645.26,6958.92,6683.8,-118.83,-1.75,5361.0,201089.0,59.34,3.77,5852740.0,9767910.0
2023-05-15,850813.SI,半导体材料,L3,6634.22,6521.44,6789.58,6747.35,63.55,0.95,5641.0,204649.0,59.9,3.8,5908390.0,9846100.0
2023-05-16,850813.SI,半导体材料,L3,6724.8,6663.81,6880.95,6790.86,43.51,0.64,5920.0,200923.0,60.29,3.83,5946490.0,9916900.0
2023-05-17,850813.SI,半导体材料,L3,6745.65,6718.71,6926.57,6835.26,44.4,0.65,5088.0,166772.0,60.68,3.85,5985360.0,9975050.0
2023-05-18,850813.SI,半导体材料,L3,6852.36,6753.99,6981.43,6857.29,22.03,0.32,6286.0,182946.0,60.88,3.87,6004660.0,9998890.0
2023-05-19,850813.SI,半导体材料,L3,6855.18,6821.28,7177.21,7123.85,266.56,3.89,8214.0,308848.0,63.24,4.02,6238070.0,10417000.0
2023-05-22,850813.SI,半导体材料,L3,7127.5,6977.39,7177.7,7071.34,-52.5,-0.74,5226.0,200362.0,62.77,3.99,6213500.0,10342800.0
2023-05-23,850813.SI,半导体材料,L3,7042.64,6920.6,7147.2,7013.45,-57.9,-0.82,4449.0,167408.0,62.26,3.96,6162630.0,10272200.0
2023-05-24,850813.SI,半导体材料,L3,6987.05,6925.0,7247.4,7106.56,93.11,1.33,5200.0,212961.0,63.08,4.01,6255780.0,10421500.0
2023-05-25,850813.SI,半导体材料,L3,7088.35,6947.01,7199.97,7106.07,-0.49,-0.01,5031.0,187429.0,63.08,4.01,6255350.0,10416400.0
2023-05-26,850813.SI,半导体材料,L3,7126.38,7041.32,7224.17,7142.03,35.96,0.51,4547.0,176775.0,63.4,4.03,6287000.0,10475900.0
2023-05-29,850813.SI,半导体材料,L3,7144.57,7020.28,7308.72,7153.29,11.27,0.16,5205.0,203372.0,63.5,4.04,6296920.0,10496000.0
2023-05-30,850813.SI,半导体材料,L3,7119.63,6979.67,7187.91,7158.07,4.77,0.07,4963.0,178041.0,63.54,4.04,6301120.0,10511800.0
2023-05-31,850813.SI,半导体材料,L3,7139.99,7025.97,7262.15,7154.94,-3.13,-0.04,5216.0,196885.0,63.51,4.04,6298370.0,10501600.0
2023-06-01,850813.SI,半导体材料,L3,7128.34,6957.25,7193.29,7061.63,-93.3,-1.3,4954.0,187462.0,62.68,3.99,6216230.0,10347400.0
2023-06-02,850813.SI,半导体材料,L3,7061.74,6997.75,7225.85,7142.79,81.16,1.15,4854.0,176013.0,63.4,4.03,6287680.0,10448800.0
2023-06-05,850813.SI,半导体材料,L3,7148.3,7091.47,7341.04,7111.64,-31.16,-0.44,4846.0,187849.0,63.13,4.01,6260250.0,10404400.0
2023-06-06,850813.SI,半导体材料,L3,7088.74,6863.69,7102.01,6881.73,-229.91,-3.23,5393.0,185483.0,61.08,3.88,6057860.0,10067200.0
2023-06-07,850813.SI,半导体材料,L3,6894.09,6797.01,6976.89,6865.55,-16.18,-0.24,3506.0,125011.0,60.94,3.88,6043620.0,10038100.0
2023-06-08,850813.SI,半导体材料,L3,6851.3,6667.89,6860.98,6742.47,-123.08,-1.79,4844.0,144266.0,59.85,3.81,5935280.0,9858780.0
2023-06-09,850813.SI,半导体材料,L3,6747.01,6640.36,6910.9,6873.73,131.27,1.95,5536.0,210136.0,61.01,3.88,6050830.0,10074000.0
2023-06-12,850813.SI,半导体材料,L3,6870.6,6819.58,7017.05,6871.01,-2.73,-0.04,4526.0,185486.0,60.99,3.88,6048420.0,10076700.0
2023-06-13,850813.SI,半导体材料,L3,6871.48,6812.63,7078.91,7045.26,174.25,2.54,5020.0,201035.0,62.54,3.98,6201820.0,10339500.0
2023-06-14,850813.SI,半导体材料,L3,7048.57,6954.35,7104.54,7003.23,-42.03,-0.6,4210.0,166502.0,62.16,3.95,6164820.0,10283000.0
2023-06-15,850813.SI,半导体材料,L3,7001.43,6873.76,7043.18,6954.05,-49.17,-0.7,4232.0,157835.0,61.73,3.93,6121530.0,10201500.0
2023-06-16,850813.SI,半导体材料,L3,6941.52,6878.81,7028.57,6981.19,27.13,0.39,4145.0,143559.0,61.97,3.94,6145420.0,10240300.0
2023-06-19,850813.SI,半导体材料,L3,6994.02,6910.58,7098.22,7048.72,67.53,0.97,5077.0,175779.0,62.57,3.98,6204860.0,10354100.0
2023-06-20,850813.SI,半导体材料,L3,7015.26,6963.69,7152.09,7051.78,3.07,0.04,4579.0,171989.0,62.59,3.98,6207560.0,10358800.0
2023-06-21,850813.SI,半导体材料,L3,7038.35,6726.49,7096.86,6742.69,-309.1,-4.38,6645.0,227225.0,59.85,3.81,5935470.0,9904560.0
2023-06-26,850813.SI,半导体材料,L3,6686.21,6603.69,6845.82,6726.46,-16.23,-0.24,5565.0,176399.0,59.71,3.8,5921190.0,9890980.0
2023-06-27,850813.SI,半导体材料,L3,6702.18,6621.91,6839.58,6706.81,-19.65,-0.29,3629.0,119538.0,59.53,3.79,5903890.0,9845210.0
2023-06-28,850813.SI,半导体材料,L3,6723.36,6538.58,6835.74,6689.1,-17.71,-0.26,5419.0,187865.0,59.39,3.78,5889940.0,9851480.0
2023-06-29,850813.SI,半导体材料,L3,6672.58,6605.47,6828.26,6677.52,-11.58,-0.17,4649.0,147600.0,59.29,3.77,5879750.0,9824970.0
