trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850817.SI,集成电路封测,L3,4204.56,4175.59,4299.92,4286.26,80.19,1.91,13108.0,231866.0,20.16,2.0,7800490.0,11764900.0
2023-01-04,850817.SI,集成电路封测,L3,4295.69,4287.21,4455.5,4335.4,49.15,1.15,18451.0,332966.0,20.4,2.02,7889940.0,11919200.0
2023-01-05,850817.SI,集成电路封测,L3,4301.54,4287.04,4403.59,4367.15,31.75,0.73,13246.0,244235.0,20.56,2.04,7961140.0,11987100.0
2023-01-06,850817.SI,集成电路封测,L3,4349.14,4331.02,4420.99,4364.34,-2.81,-0.06,12958.0,235464.0,20.54,2.04,7956010.0,11980500.0
2023-01-09,850817.SI,集成电路封测,L3,4379.8,4356.76,4433.82,4380.1,15.76,0.36,11648.0,213622.0,20.62,2.05,7984740.0,12030500.0
2023-01-10,850817.SI,集成电路封测,L3,4416.96,4406.16,4553.32,4513.94,133.85,3.06,24744.0,492026.0,21.25,2.11,8228740.0,12402400.0
2023-01-11,850817.SI,集成电路封测,L3,4515.16,4487.08,4755.69,4578.63,64.69,1.43,29770.0,614650.0,21.55,2.14,8346660.0,12548800.0
2023-01-12,850817.SI,集成电路封测,L3,4563.73,4490.43,4594.26,4542.23,-36.4,-0.8,16281.0,326177.0,21.38,2.12,8280310.0,12434200.0
2023-01-13,850817.SI,集成电路封测,L3,4569.04,4491.51,4590.22,4541.58,-0.65,-0.01,12391.0,252432.0,21.38,2.12,8279120.0,12428200.0
2023-01-16,850817.SI,集成电路封测,L3,4499.94,4490.91,4627.04,4592.01,50.43,1.11,14285.0,283129.0,21.62,2.14,8371050.0,12564000.0
2023-01-17,850817.SI,集成电路封测,L3,4589.53,4584.0,4706.91,4639.86,47.85,1.04,16842.0,327819.0,21.84,2.17,8458270.0,12700900.0
2023-01-18,850817.SI,集成电路封测,L3,4636.74,4599.07,4666.66,4623.67,-16.18,-0.35,11119.0,217392.0,21.77,2.16,8428770.0,12654500.0
2023-01-19,850817.SI,集成电路封测,L3,4610.35,4587.9,4713.05,4694.67,70.99,1.54,14290.0,275477.0,22.1,2.19,8558180.0,12845400.0
2023-01-20,850817.SI,集成电路封测,L3,4693.33,4673.29,4747.03,4730.32,35.65,0.76,12622.0,248188.0,22.27,2.21,8623170.0,12939000.0
2023-01-30,850817.SI,集成电路封测,L3,4811.98,4727.95,4848.38,4754.09,23.77,0.5,19413.0,377504.0,22.38,2.22,8666510.0,13024100.0
