trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850818.SI,半导体设备,L3,19216.2,18997.3,19837.3,19746.2,456.65,2.37,2459.0,228753.0,57.22,6.24,8406210.0,17120100.0
2023-01-04,850818.SI,半导体设备,L3,19826.5,19085.0,20249.0,19215.3,-530.86,-2.69,4817.0,364483.0,55.66,6.07,8180210.0,16685400.0
2023-01-05,850818.SI,半导体设备,L3,19148.5,18983.2,19499.8,19332.9,117.58,0.61,2777.0,236543.0,56.0,6.11,8230270.0,16793300.0
2023-01-06,850818.SI,半导体设备,L3,19229.4,18966.9,19544.9,19256.1,-76.8,-0.4,3474.0,264591.0,55.77,6.09,8197580.0,16736000.0
2023-01-09,850818.SI,半导体设备,L3,19309.8,19022.6,19712.0,19264.1,7.99,0.04,6848.0,335128.0,55.78,6.09,8318510.0,17322400.0
2023-01-10,850818.SI,半导体设备,L3,19270.6,19193.3,19744.3,19372.2,108.17,0.56,7020.0,368755.0,56.04,6.11,8365220.0,17448800.0
2023-01-11,850818.SI,半导体设备,L3,19544.8,18996.3,20065.2,19071.5,-300.78,-1.55,8339.0,491307.0,55.15,6.02,8235340.0,17201400.0
2023-01-12,850818.SI,半导体设备,L3,19194.9,18679.0,19295.1,18896.0,-175.47,-0.92,5525.0,271973.0,54.64,5.96,8159570.0,17032100.0
2023-01-13,850818.SI,半导体设备,L3,18965.1,18706.6,19049.1,18979.2,83.15,0.44,5113.0,223655.0,54.88,5.99,8195480.0,17107600.0
2023-01-16,850818.SI,半导体设备,L3,18814.7,18748.2,19974.4,19654.8,675.64,3.56,7101.0,474223.0,56.88,6.21,8487230.0,17708900.0
2023-01-17,850818.SI,半导体设备,L3,19670.1,19586.4,20433.6,20291.2,636.4,3.24,7731.0,444014.0,58.71,6.41,8762030.0,18281900.0
2023-01-18,850818.SI,半导体设备,L3,20289.6,19942.5,20458.2,20052.5,-238.65,-1.18,5506.0,259020.0,57.95,6.32,8658980.0,18088600.0
2023-01-19,850818.SI,半导体设备,L3,20033.8,19910.0,20582.3,20520.1,467.61,2.33,5128.0,298595.0,59.35,6.48,8860900.0,18490100.0
2023-01-20,850818.SI,半导体设备,L3,20614.0,20300.4,20796.9,20575.8,55.7,0.27,5367.0,298406.0,59.58,6.5,8889920.0,18519000.0
2023-01-30,850818.SI,半导体设备,L3,20711.6,20400.3,20902.8,20467.8,-108.0,-0.52,5121.0,351057.0,59.24,6.46,8843260.0,18428000.0
2023-01-31,850818.SI,半导体设备,L3,20370.4,19735.5,20557.0,19830.9,-636.91,-3.11,5322.0,402343.0,57.39,6.26,8568080.0,17842700.0
2023-02-01,850818.SI,半导体设备,L3,19849.5,19822.8,20275.2,20195.1,364.18,1.84,5123.0,315403.0,58.43,6.37,8725430.0,18179500.0
