trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850854.SI,消费电子零部件及组装,L3,3236.43,3189.06,3328.68,3292.67,50.62,1.56,69824.0,963507.0,23.23,2.65,44139200.0,99997200.0
2023-01-04,850854.SI,消费电子零部件及组装,L3,3280.9,3149.84,3311.76,3170.46,-122.21,-3.71,76003.0,1301280.0,22.35,2.55,42499500.0,97247600.0
2023-01-05,850854.SI,消费电子零部件及组装,L3,3200.71,3157.85,3281.79,3263.94,93.48,2.95,98055.0,1639380.0,23.01,2.63,43752900.0,99652800.0
2023-01-06,850854.SI,消费电子零部件及组装,L3,3243.42,3199.55,3291.51,3238.36,-25.58,-0.78,88246.0,1363290.0,22.83,2.61,43409900.0,98921200.0
2023-01-09,850854.SI,消费电子零部件及组装,L3,3245.63,3228.31,3303.8,3266.13,27.77,0.86,68382.0,1048470.0,23.01,2.63,43864800.0,99902300.0
2023-01-10,850854.SI,消费电子零部件及组装,L3,3277.74,3232.88,3328.77,3291.97,25.84,0.79,63762.0,969644.0,23.19,2.65,44208100.0,100465000.0
2023-01-11,850854.SI,消费电子零部件及组装,L3,3297.48,3254.56,3346.33,3264.41,-27.56,-0.84,71417.0,1025980.0,23.0,2.63,43847000.0,99782600.0
2023-01-12,850854.SI,消费电子零部件及组装,L3,3274.09,3236.07,3322.8,3281.63,17.22,0.53,68757.0,1185130.0,23.12,2.64,44078400.0,100132000.0
2023-01-13,850854.SI,消费电子零部件及组装,L3,3287.34,3228.66,3307.85,3262.13,-19.49,-0.59,58331.0,934978.0,23.01,2.62,43905600.0,99865400.0
2023-01-16,850854.SI,消费电子零部件及组装,L3,3247.56,3230.24,3350.63,3311.9,49.77,1.53,95042.0,1379720.0,23.36,2.66,44575400.0,101302000.0
2023-01-17,850854.SI,消费电子零部件及组装,L3,3315.68,3290.57,3406.97,3372.11,60.21,1.82,79707.0,1226120.0,23.79,2.71,45385800.0,102749000.0
2023-01-18,850854.SI,消费电子零部件及组装,L3,3373.25,3337.55,3402.56,3366.74,-5.37,-0.16,61185.0,897811.0,23.75,2.71,45273800.0,102695000.0
2023-01-19,850854.SI,消费电子零部件及组装,L3,3360.85,3327.56,3404.01,3385.69,18.95,0.56,61123.0,851128.0,23.88,2.72,45528600.0,103212000.0
2023-01-20,850854.SI,消费电子零部件及组装,L3,3392.0,3367.29,3434.79,3399.25,13.55,0.4,61016.0,857747.0,23.99,2.74,45766000.0,103504000.0
2023-01-30,850854.SI,消费电子零部件及组装,L3,3480.73,3448.58,3582.92,3531.37,132.13,3.89,138593.0,1967600.0,24.94,2.84,47545000.0,107318000.0
2023-01-31,850854.SI,消费电子零部件及组装,L3,3529.95,3481.15,3581.96,3533.15,1.77,0.05,111914.0,1523420.0,24.95,2.84,47599000.0,107100000.0
2023-02-01,850854.SI,消费电子零部件及组装,L3,3538.73,3502.68,3611.51,3591.4,58.25,1.65,119184.0,1603880.0,25.36,2.89,48383800.0,108708000.0
2023-02-02,850854.SI,消费电子零部件及组装,L3,3594.72,3544.32,3647.35,3571.42,-19.97,-0.56,104651.0,1509300.0,25.22,2.88,48114700.0,108219000.0
2023-02-03,850854.SI,消费电子零部件及组装,L3,3568.21,3503.99,3647.97,3614.56,43.14,1.21,115663.0,1755400.0,25.53,2.91,48695800.0,108897000.0
2023-02-06,850854.SI,消费电子零部件及组装,L3,3580.1,3528.45,3653.22,3586.3,-28.26,-0.78,119808.0,1856980.0,25.32,2.89,48315300.0,108088000.0
2023-02-07,850854.SI,消费电子零部件及组装,L3,3590.05,3546.35,3643.42,3588.02,1.72,0.05,101411.0,1509290.0,25.33,2.89,48338500.0,108209000.0
2023-02-08,850854.SI,消费电子零部件及组装,L3,3589.98,3536.37,3631.57,3554.58,-33.44,-0.93,100929.0,1391880.0,25.09,2.86,47888000.0,107361000.0
2023-02-09,850854.SI,消费电子零部件及组装,L3,3541.0,3522.04,3664.45,3647.59,93.01,2.62,125398.0,1733400.0,25.75,2.94,49141100.0,109982000.0
2023-02-10,850854.SI,消费电子零部件及组装,L3,3633.2,3595.36,3705.09,3635.28,-12.31,-0.34,104898.0,1434430.0,25.66,2.93,48975200.0,110125000.0
2023-02-13,850854.SI,消费电子零部件及组装,L3,3622.08,3590.09,3709.62,3674.87,39.59,1.09,100585.0,1541790.0,25.94,2.96,49508500.0,110844000.0
2023-02-14,850854.SI,消费电子零部件及组装,L3,3680.2,3637.22,3720.73,3676.57,1.71,0.05,93837.0,1349280.0,25.94,2.96,49525800.0,111396000.0
2023-02-15,850854.SI,消费电子零部件及组装,L3,3672.92,3651.11,3755.7,3719.72,43.15,1.17,104149.0,1525940.0,26.24,2.99,50107100.0,113003000.0
2023-02-16,850854.SI,消费电子零部件及组装,L3,3717.79,3591.92,3768.22,3629.56,-90.16,-2.42,131789.0,1947600.0,25.62,2.92,48880100.0,110312000.0
