trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850923.SI,底盘与发动机系统,L3,3899.19,3856.1,3992.22,3971.76,65.29,1.67,44562.0,508809.0,31.57,1.99,27124200.0,54224100.0
2023-01-04,850923.SI,底盘与发动机系统,L3,3958.71,3894.63,4008.07,3944.38,-27.38,-0.69,40689.0,506663.0,31.36,1.98,26941100.0,54626300.0
2023-01-05,850923.SI,底盘与发动机系统,L3,3963.74,3939.44,4085.16,4038.01,93.62,2.37,59177.0,724767.0,32.09,2.02,27534900.0,55893400.0
2023-01-06,850923.SI,底盘与发动机系统,L3,4026.65,4001.81,4176.53,4129.05,91.04,2.25,66125.0,905472.0,32.82,2.07,28155800.0,57285200.0
2023-01-09,850923.SI,底盘与发动机系统,L3,4165.27,4116.76,4251.22,4190.06,61.01,1.48,61086.0,901253.0,33.3,2.1,28571800.0,58213700.0
2023-01-10,850923.SI,底盘与发动机系统,L3,4202.23,4123.59,4263.99,4217.81,27.74,0.66,70736.0,891456.0,33.53,2.12,28761000.0,58720600.0
2023-01-11,850923.SI,底盘与发动机系统,L3,4216.75,4145.62,4269.3,4166.93,-50.88,-1.21,64876.0,726287.0,33.13,2.09,28414300.0,57979400.0
2023-01-12,850923.SI,底盘与发动机系统,L3,4187.86,4147.13,4263.01,4194.29,27.36,0.66,60953.0,690607.0,33.34,2.1,28600900.0,58335500.0
2023-01-13,850923.SI,底盘与发动机系统,L3,4212.82,4159.87,4277.3,4215.9,21.61,0.52,59177.0,677765.0,33.52,2.11,28748300.0,58564500.0
2023-01-16,850923.SI,底盘与发动机系统,L3,4218.25,4158.51,4280.45,4214.88,-1.02,-0.02,65364.0,786650.0,33.5,2.11,28741300.0,58472300.0
2023-01-17,850923.SI,底盘与发动机系统,L3,4220.81,4172.68,4272.25,4225.8,10.91,0.26,56837.0,641347.0,33.6,2.12,28844500.0,58630300.0
2023-01-18,850923.SI,底盘与发动机系统,L3,4234.15,4189.08,4287.42,4229.23,3.43,0.08,59867.0,690200.0,33.63,2.12,28867900.0,58741100.0
2023-01-19,850923.SI,底盘与发动机系统,L3,4225.83,4173.5,4268.02,4227.92,-1.31,-0.03,46179.0,554289.0,33.62,2.12,28859000.0,58654700.0
2023-01-20,850923.SI,底盘与发动机系统,L3,4234.64,4200.66,4299.5,4263.27,35.36,0.84,56051.0,656202.0,33.9,2.14,29099000.0,59227700.0
2023-01-30,850923.SI,底盘与发动机系统,L3,4384.68,4352.95,4496.32,4432.16,168.88,3.96,92646.0,1095120.0,35.24,2.23,30232800.0,61819700.0
2023-01-31,850923.SI,底盘与发动机系统,L3,4432.32,4380.75,4522.88,4454.36,22.2,0.5,90439.0,1143820.0,35.41,2.24,30384200.0,62144400.0
2023-02-01,850923.SI,底盘与发动机系统,L3,4466.61,4432.11,4592.31,4539.82,85.46,1.92,95808.0,1272100.0,36.1,2.28,30967200.0,63363500.0
2023-02-02,850923.SI,底盘与发动机系统,L3,4551.3,4480.66,4614.29,4533.38,-6.44,-0.14,91494.0,1102120.0,36.05,2.28,30925600.0,63229600.0
2023-02-03,850923.SI,底盘与发动机系统,L3,4517.34,4419.75,4574.34,4507.35,-26.03,-0.57,86061.0,966561.0,35.84,2.26,30748400.0,62775700.0
2023-02-06,850923.SI,底盘与发动机系统,L3,4497.35,4425.16,4583.35,4494.58,-12.77,-0.28,87319.0,997145.0,35.75,2.26,30667100.0,62526200.0
2023-02-07,850923.SI,底盘与发动机系统,L3,4505.55,4464.32,4620.87,4574.86,80.27,1.79,87204.0,1123820.0,36.39,2.3,31214800.0,63664300.0
2023-02-08,850923.SI,底盘与发动机系统,L3,4575.29,4494.61,4646.72,4562.75,-12.11,-0.26,84664.0,1004020.0,36.28,2.29,31132200.0,63561100.0
2023-02-09,850923.SI,底盘与发动机系统,L3,4556.67,4507.14,4654.1,4581.0,18.25,0.4,93182.0,1154760.0,36.42,2.3,31256800.0,63950700.0
2023-02-10,850923.SI,底盘与发动机系统,L3,4575.82,4494.56,4614.17,4540.99,-40.01,-0.87,72788.0,884129.0,36.1,2.28,30983800.0,63328200.0
2023-02-13,850923.SI,底盘与发动机系统,L3,4529.67,4487.43,4654.51,4593.06,52.07,1.15,82478.0,1073800.0,36.51,2.31,31339100.0,63881900.0
2023-02-14,850923.SI,底盘与发动机系统,L3,4596.76,4522.7,4643.89,4564.1,-28.96,-0.63,78247.0,936767.0,36.27,2.29,31141500.0,63513900.0
2023-02-15,850923.SI,底盘与发动机系统,L3,4570.61,4526.29,4634.53,4564.31,0.21,0.0,63717.0,820254.0,36.28,2.29,31142900.0,63488900.0
2023-02-16,850923.SI,底盘与发动机系统,L3,4562.65,4413.03,4613.82,4462.43,-101.89,-2.23,91579.0,1047570.0,35.48,2.24,30447700.0,62077800.0
2023-02-17,850923.SI,底盘与发动机系统,L3,4468.12,4419.56,4537.48,4454.42,-8.0,-0.18,71574.0,791036.0,35.41,2.24,30393100.0,61892200.0
2023-02-20,850923.SI,底盘与发动机系统,L3,4498.45,4429.75,4584.83,4538.29,83.87,1.88,81866.0,1034540.0,36.09,2.28,30965400.0,62742300.0
2023-02-21,850923.SI,底盘与发动机系统,L3,4547.12,4489.37,4655.34,4580.67,42.38,0.93,81860.0,1168530.0,36.43,2.3,31254500.0,63395300.0
2023-02-22,850923.SI,底盘与发动机系统,L3,4570.33,4516.78,4632.33,4569.39,-11.28,-0.25,76986.0,1156560.0,36.33,2.29,31177500.0,63248700.0
2023-02-23,850923.SI,底盘与发动机系统,L3,4569.7,4525.41,4654.98,4582.48,13.09,0.29,86180.0,1129820.0,36.41,2.3,31266900.0,63498200.0
2023-02-24,850923.SI,底盘与发动机系统,L3,4575.47,4481.75,4607.95,4519.56,-62.92,-1.37,81039.0,1039700.0,35.92,2.27,30837500.0,62663200.0
2023-02-27,850923.SI,底盘与发动机系统,L3,4501.19,4429.36,4548.48,4472.04,-47.51,-1.05,66205.0,849176.0,35.54,2.24,30513300.0,62085600.0
2023-02-28,850923.SI,底盘与发动机系统,L3,4482.89,4429.67,4530.46,4492.41,20.36,0.46,52633.0,677612.0,35.7,2.25,30652300.0,62338700.0
2023-03-01,850923.SI,底盘与发动机系统,L3,4498.41,4433.45,4545.25,4501.29,8.89,0.2,60403.0,798329.0,35.78,2.26,30734800.0,62387700.0
2023-03-02,850923.SI,底盘与发动机系统,L3,4484.77,4376.99,4536.82,4413.42,-87.87,-1.95,69899.0,1042480.0,35.1,2.22,30101800.0,61002800.0
2023-03-03,850923.SI,底盘与发动机系统,L3,4410.08,4352.42,4466.95,4403.7,-9.73,-0.22,55201.0,722811.0,35.02,2.21,30035500.0,60813400.0
2023-03-06,850923.SI,底盘与发动机系统,L3,4412.23,4307.52,4452.68,4383.5,-20.2,-0.46,69013.0,867590.0,34.85,2.2,29897700.0,60670500.0
2023-03-07,850923.SI,底盘与发动机系统,L3,4375.93,4285.56,4411.16,4295.26,-88.24,-2.01,63824.0,722807.0,34.16,2.16,29295900.0,59388600.0
2023-03-08,850923.SI,底盘与发动机系统,L3,4284.64,4239.07,4327.7,4292.86,-2.4,-0.06,45189.0,548150.0,33.94,2.15,29279500.0,59397800.0
2023-03-09,850923.SI,底盘与发动机系统,L3,4298.2,4219.98,4327.47,4250.03,-42.83,-1.0,49967.0,604954.0,33.64,2.13,28987400.0,58799000.0
2023-03-10,850923.SI,底盘与发动机系统,L3,4230.43,4099.0,4259.96,4129.02,-121.0,-2.85,79699.0,929027.0,32.66,2.07,28167500.0,57172900.0
2023-03-13,850923.SI,底盘与发动机系统,L3,4117.76,4058.05,4166.6,4118.3,-10.72,-0.26,57988.0,667644.0,32.59,2.07,28094400.0,56967700.0
2023-03-14,850923.SI,底盘与发动机系统,L3,4116.04,3982.51,4151.58,4078.78,-39.52,-0.96,57834.0,720635.0,32.29,2.05,27824800.0,56426500.0
2023-03-15,850923.SI,底盘与发动机系统,L3,4098.89,4069.15,4187.97,4105.68,26.9,0.66,43118.0,567648.0,32.5,2.06,28008300.0,56738700.0
2023-03-16,850923.SI,底盘与发动机系统,L3,4086.77,4023.38,4135.1,4041.79,-63.88,-1.56,44233.0,483860.0,31.99,2.03,27572500.0,55839700.0
2023-03-17,850923.SI,底盘与发动机系统,L3,4076.48,4008.09,4113.66,4040.34,-1.45,-0.04,43787.0,512510.0,32.0,2.03,27575700.0,55824200.0
2023-03-20,850923.SI,底盘与发动机系统,L3,4048.76,3976.16,4135.55,4070.79,30.45,0.75,52557.0,664407.0,32.14,2.04,27783500.0,56339900.0
2023-03-21,850923.SI,底盘与发动机系统,L3,4075.35,4041.78,4180.61,4160.96,90.16,2.21,49613.0,699473.0,32.99,2.09,28398900.0,57741900.0
2023-03-22,850923.SI,底盘与发动机系统,L3,4185.08,4131.54,4272.43,4186.44,25.48,0.61,56339.0,792830.0,32.99,2.1,28572800.0,57956800.0
2023-03-23,850923.SI,底盘与发动机系统,L3,4173.4,4116.93,4205.17,4157.54,-28.9,-0.69,47007.0,576151.0,32.48,2.08,28375600.0,57522400.0
2023-03-24,850923.SI,底盘与发动机系统,L3,4160.97,4095.39,4215.96,4158.78,1.24,0.03,56417.0,651471.0,32.49,2.08,28389900.0,57565700.0
2023-03-27,850923.SI,底盘与发动机系统,L3,4157.34,4100.75,4244.48,4192.14,33.36,0.8,58464.0,724847.0,32.79,2.1,28616200.0,57908200.0
2023-03-28,850923.SI,底盘与发动机系统,L3,4200.03,4155.33,4292.4,4241.03,48.89,1.17,50211.0,731182.0,33.04,2.12,28949900.0,58660300.0
2023-03-29,850923.SI,底盘与发动机系统,L3,4243.89,4208.23,4347.11,4287.0,45.97,1.08,50906.0,781090.0,33.4,2.15,29263700.0,59361100.0
2023-03-30,850923.SI,底盘与发动机系统,L3,4278.44,4202.06,4304.68,4256.5,-30.5,-0.71,41035.0,533781.0,33.13,2.13,29055500.0,58950600.0
2023-03-31,850923.SI,底盘与发动机系统,L3,4270.21,4244.91,4360.42,4309.73,53.22,1.25,51300.0,639889.0,33.38,2.14,29418800.0,59591800.0
2023-04-03,850923.SI,底盘与发动机系统,L3,4310.59,4232.29,4353.3,4271.02,-38.71,-0.9,57791.0,766889.0,33.08,2.12,29154600.0,58957800.0
2023-04-04,850923.SI,底盘与发动机系统,L3,4274.2,4136.71,4283.86,4189.78,-81.24,-1.9,62603.0,835454.0,32.39,2.08,28600100.0,57738500.0
2023-04-06,850923.SI,底盘与发动机系统,L3,4171.98,4096.78,4214.31,4152.0,-37.78,-0.9,51260.0,607737.0,32.08,2.06,28342200.0,57215900.0
2023-04-07,850923.SI,底盘与发动机系统,L3,4150.11,4113.98,4215.95,4158.21,6.21,0.15,42549.0,508239.0,32.14,2.06,28384600.0,57386800.0
2023-04-10,850923.SI,底盘与发动机系统,L3,4159.43,4059.05,4196.69,4105.08,-53.13,-1.28,53955.0,643973.0,31.73,2.04,28021900.0,56663800.0
2023-04-11,850923.SI,底盘与发动机系统,L3,4106.63,4049.23,4135.85,4096.2,-8.88,-0.22,40949.0,475266.0,31.65,2.03,27961200.0,56509600.0
2023-04-12,850923.SI,底盘与发动机系统,L3,4099.96,4040.27,4138.55,4077.24,-18.96,-0.46,42818.0,491299.0,31.51,2.02,27831800.0,56245700.0
2023-04-13,850923.SI,底盘与发动机系统,L3,4061.21,3968.27,4088.76,3990.72,-86.52,-2.12,50497.0,590393.0,30.82,1.98,27241300.0,55157700.0
2023-04-14,850923.SI,底盘与发动机系统,L3,4004.53,3974.41,4091.32,4043.36,52.64,1.32,49843.0,646407.0,30.81,2.0,27600600.0,55902800.0
2023-04-17,850923.SI,底盘与发动机系统,L3,4041.12,4016.36,4135.21,4073.49,30.13,0.75,50570.0,604512.0,31.04,2.02,27806300.0,56306000.0
2023-04-18,850923.SI,底盘与发动机系统,L3,4077.83,4024.89,4121.4,4065.53,-7.96,-0.2,40299.0,503326.0,30.64,2.01,27751900.0,56062800.0
2023-04-19,850923.SI,底盘与发动机系统,L3,4064.85,3961.88,4079.99,3994.14,-71.39,-1.76,45913.0,540109.0,30.1,1.97,27264600.0,55124300.0
2023-04-20,850923.SI,底盘与发动机系统,L3,3997.85,3906.38,4018.64,3950.81,-43.33,-1.08,46155.0,513927.0,29.58,1.95,26968800.0,54464700.0
2023-04-21,850923.SI,底盘与发动机系统,L3,3948.43,3833.86,3983.65,3849.28,-101.53,-2.57,51207.0,589555.0,28.8,1.9,26275700.0,53104300.0
2023-04-24,850923.SI,底盘与发动机系统,L3,3851.72,3775.02,3934.93,3861.19,11.91,0.31,51178.0,562958.0,28.54,1.89,26357000.0,53273900.0
2023-04-25,850923.SI,底盘与发动机系统,L3,3853.12,3702.08,3873.22,3753.54,-107.65,-2.79,54993.0,605054.0,27.49,1.84,25622200.0,51777600.0
2023-04-26,850923.SI,底盘与发动机系统,L3,3737.75,3723.18,3872.85,3822.17,68.64,1.83,48906.0,553078.0,27.96,1.87,26090700.0,52742000.0
2023-04-27,850923.SI,底盘与发动机系统,L3,3815.8,3772.94,3886.85,3834.22,12.05,0.32,48935.0,517349.0,28.05,1.87,26175600.0,52966000.0
2023-04-28,850923.SI,底盘与发动机系统,L3,3850.73,3785.84,3924.46,3858.75,24.53,0.64,61057.0,622013.0,31.17,1.88,26343000.0,53184700.0
2023-05-04,850923.SI,底盘与发动机系统,L3,3888.94,3856.22,4019.76,3961.09,102.34,2.65,74082.0,798396.0,30.83,1.92,27041700.0,54278200.0
2023-05-05,850923.SI,底盘与发动机系统,L3,3977.07,3884.3,4003.32,3919.28,-41.81,-1.06,59084.0,645426.0,30.51,1.9,26925300.0,53618700.0
2023-05-08,850923.SI,底盘与发动机系统,L3,3924.57,3889.94,3995.84,3931.62,12.34,0.31,55455.0,567776.0,30.61,1.91,27010100.0,53740000.0
2023-05-09,850923.SI,底盘与发动机系统,L3,3928.14,3836.65,3947.77,3849.11,-82.5,-2.1,51840.0,532332.0,29.99,1.87,26494500.0,52745100.0
2023-05-10,850923.SI,底盘与发动机系统,L3,3857.25,3817.3,4008.58,3972.62,123.51,3.21,63726.0,766797.0,30.95,1.93,27344600.0,54569000.0
2023-05-11,850923.SI,底盘与发动机系统,L3,3981.03,3927.15,4042.64,3985.47,12.85,0.32,48781.0,625297.0,31.05,1.94,27433000.0,54876500.0
2023-05-12,850923.SI,底盘与发动机系统,L3,3981.87,3900.31,4020.74,3915.76,-69.71,-1.75,38933.0,423683.0,30.5,1.9,26953200.0,53993400.0
2023-05-15,850923.SI,底盘与发动机系统,L3,3935.7,3887.61,4013.78,3986.13,70.37,1.8,42631.0,503155.0,31.05,1.94,27437600.0,54918600.0
2023-05-16,850923.SI,底盘与发动机系统,L3,3977.51,3922.31,4015.24,3949.32,-36.81,-0.92,40771.0,406264.0,30.75,1.92,27187700.0,54402600.0
2023-05-17,850923.SI,底盘与发动机系统,L3,3949.53,3898.83,4007.84,3959.8,10.47,0.27,43690.0,408318.0,30.83,1.92,27259800.0,54536100.0
2023-05-18,850923.SI,底盘与发动机系统,L3,3971.02,3931.34,4036.42,3983.39,23.59,0.6,48501.0,577454.0,31.01,1.93,27422200.0,54954600.0
2023-05-19,850923.SI,底盘与发动机系统,L3,3981.4,3920.81,4013.52,3959.98,-23.41,-0.59,43871.0,462959.0,30.82,1.92,27261000.0,54661300.0
2023-05-22,850923.SI,底盘与发动机系统,L3,3967.14,3928.0,4052.08,4010.23,50.25,1.27,52621.0,629697.0,31.17,1.95,27576700.0,55396900.0
2023-05-23,850923.SI,底盘与发动机系统,L3,4011.33,3966.58,4075.44,3994.67,-15.55,-0.39,48974.0,560051.0,31.18,1.95,27622700.0,55675900.0
2023-05-24,850923.SI,底盘与发动机系统,L3,3988.03,3937.22,4043.64,3975.56,-19.12,-0.48,46789.0,523546.0,31.02,1.94,27490600.0,55432100.0
2023-05-25,850923.SI,底盘与发动机系统,L3,3962.52,3906.91,4019.49,3964.34,-11.22,-0.28,49994.0,562969.0,30.95,1.93,27484300.0,55369800.0
