trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,850926.SI,汽车电子电气系统,L3,3834.09,3784.82,3949.02,3925.22,87.26,2.27,37638.0,231020.0,98.72,2.73,7712660.0,18847700.0
2023-01-04,850926.SI,汽车电子电气系统,L3,3902.33,3829.37,3946.86,3876.29,-48.93,-1.25,25860.0,184323.0,97.18,2.7,7640610.0,18616000.0
2023-01-05,850926.SI,汽车电子电气系统,L3,3891.66,3857.37,4026.61,3971.5,95.2,2.46,36632.0,301474.0,99.6,2.76,7828270.0,19025400.0
2023-01-06,850926.SI,汽车电子电气系统,L3,3967.65,3941.09,4109.27,4048.26,76.76,1.93,27499.0,300841.0,101.51,2.82,7979580.0,19324600.0
2023-01-09,850926.SI,汽车电子电气系统,L3,4069.22,4033.46,4187.93,4114.17,65.9,1.63,32299.0,344640.0,103.23,2.87,8109480.0,19680500.0
2023-01-10,850926.SI,汽车电子电气系统,L3,4123.43,4032.72,4221.96,4176.25,62.09,1.51,33672.0,324267.0,104.82,2.91,8231870.0,19904000.0
2023-01-11,850926.SI,汽车电子电气系统,L3,4162.39,4075.47,4212.76,4098.94,-77.32,-1.85,28149.0,275130.0,102.89,2.86,8079460.0,19472700.0
2023-01-12,850926.SI,汽车电子电气系统,L3,4123.64,4064.42,4207.8,4135.48,36.54,0.89,28381.0,284436.0,104.55,2.9,8249570.0,19690700.0
2023-01-13,850926.SI,汽车电子电气系统,L3,4139.48,4085.89,4214.35,4129.74,-5.74,-0.14,34168.0,308595.0,104.39,2.9,8238130.0,19675100.0
2023-01-16,850926.SI,汽车电子电气系统,L3,4117.77,4060.67,4189.79,4124.31,-5.43,-0.13,28831.0,268506.0,104.21,2.89,8228780.0,19655400.0
2023-01-17,850926.SI,汽车电子电气系统,L3,4129.2,4073.06,4181.09,4118.49,-5.82,-0.14,20903.0,212759.0,104.08,2.89,8217180.0,19634800.0
2023-01-18,850926.SI,汽车电子电气系统,L3,4113.83,4059.38,4171.12,4094.64,-23.85,-0.58,23957.0,208838.0,103.45,2.87,8169590.0,19481400.0
2023-01-19,850926.SI,汽车电子电气系统,L3,4092.67,4020.01,4139.01,4076.61,-18.03,-0.44,28346.0,222694.0,102.97,2.86,8133610.0,19366000.0
2023-01-20,850926.SI,汽车电子电气系统,L3,4089.5,4037.96,4149.83,4108.08,31.47,0.77,24668.0,225857.0,103.56,2.88,8216550.0,19474100.0
2023-01-30,850926.SI,汽车电子电气系统,L3,4207.75,4168.35,4358.88,4249.53,141.45,3.44,48606.0,461047.0,107.15,2.98,8499470.0,20142400.0
2023-01-31,850926.SI,汽车电子电气系统,L3,4255.16,4206.55,4366.35,4318.7,69.17,1.63,40051.0,365783.0,108.93,3.03,8637880.0,20357400.0
