trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851027.SI,其他通信设备,L3,1071.24,1066.56,1132.24,1126.85,53.85,5.02,21029.0,57289.0,59.52,2.41,1750550.0,3285340.0
2023-01-04,851027.SI,其他通信设备,L3,1128.45,1119.89,1144.88,1137.26,10.41,0.92,15195.0,44946.0,60.08,2.44,1766970.0,3322490.0
2023-01-05,851027.SI,其他通信设备,L3,1137.78,1124.92,1144.14,1135.01,-2.25,-0.2,11404.0,29678.0,59.96,2.43,1763480.0,3318150.0
2023-01-06,851027.SI,其他通信设备,L3,1136.15,1120.04,1141.68,1124.66,-10.35,-0.91,9752.0,27903.0,59.41,2.41,1747400.0,3289160.0
2023-01-09,851027.SI,其他通信设备,L3,1128.28,1116.63,1140.86,1121.9,-2.77,-0.25,11935.0,29249.0,59.26,2.41,1743100.0,3284430.0
2023-01-10,851027.SI,其他通信设备,L3,1122.38,1111.26,1133.29,1121.67,-0.22,-0.02,10221.0,28720.0,59.25,2.41,1742750.0,3282960.0
2023-01-11,851027.SI,其他通信设备,L3,1119.02,1103.26,1130.34,1104.95,-16.72,-1.49,10943.0,26732.0,58.37,2.38,1716770.0,3241080.0
2023-01-12,851027.SI,其他通信设备,L3,1107.62,1100.17,1124.07,1113.75,8.81,0.8,10119.0,25613.0,58.83,2.41,1730450.0,3270850.0
2023-01-13,851027.SI,其他通信设备,L3,1115.97,1097.3,1124.53,1111.68,-2.07,-0.19,12904.0,26529.0,58.72,2.4,1727230.0,3261290.0
2023-01-16,851027.SI,其他通信设备,L3,1109.51,1106.83,1140.63,1130.21,18.53,1.67,13932.0,38877.0,59.7,2.44,1756020.0,3320250.0
2023-01-17,851027.SI,其他通信设备,L3,1132.42,1119.15,1140.65,1128.41,-1.81,-0.16,11422.0,29648.0,59.62,2.44,1753520.0,3318490.0
2023-01-18,851027.SI,其他通信设备,L3,1127.05,1120.9,1145.08,1140.25,11.85,1.05,3350.0,29441.0,60.24,2.47,1771930.0,3356170.0
2023-01-19,851027.SI,其他通信设备,L3,1141.5,1133.99,1157.21,1152.86,12.61,1.11,3572.0,33762.0,60.92,2.51,1791710.0,3393050.0
2023-01-20,851027.SI,其他通信设备,L3,1153.08,1146.5,1172.13,1160.23,7.37,0.64,3959.0,35579.0,61.31,2.53,1803180.0,3416210.0
2023-01-30,851027.SI,其他通信设备,L3,1168.93,1162.34,1193.95,1178.91,18.69,1.61,5222.0,50373.0,62.3,2.57,1832240.0,3479570.0
2023-01-31,851027.SI,其他通信设备,L3,1175.01,1168.49,1190.1,1181.48,2.56,0.22,4841.0,44401.0,62.43,2.58,1836230.0,3484390.0
2023-02-01,851027.SI,其他通信设备,L3,1178.71,1175.41,1260.37,1247.1,65.62,5.55,36998.0,129755.0,65.9,2.73,1938210.0,3643580.0
2023-02-02,851027.SI,其他通信设备,L3,1262.76,1237.4,1303.86,1262.02,14.92,1.2,28728.0,186631.0,66.69,2.77,1961400.0,3698590.0
2023-02-03,851027.SI,其他通信设备,L3,1253.8,1233.43,1281.75,1265.52,3.5,0.28,17822.0,146470.0,66.87,2.78,1966840.0,3698450.0
2023-02-06,851027.SI,其他通信设备,L3,1261.34,1243.55,1301.33,1274.84,9.32,0.74,14180.0,124007.0,67.36,2.8,1981330.0,3727630.0
2023-02-07,851027.SI,其他通信设备,L3,1274.1,1254.11,1297.02,1279.36,4.52,0.35,12130.0,110431.0,67.6,2.81,1988350.0,3744180.0
2023-02-08,851027.SI,其他通信设备,L3,1271.37,1247.57,1287.21,1252.84,-26.52,-2.07,9596.0,89643.0,66.2,2.75,1947130.0,3673840.0
2023-02-09,851027.SI,其他通信设备,L3,1250.79,1242.53,1289.25,1282.92,30.09,2.4,8615.0,85926.0,66.38,2.82,1993890.0,3768640.0
2023-02-10,851027.SI,其他通信设备,L3,1284.96,1278.7,1337.74,1315.17,32.25,2.51,12608.0,131692.0,68.08,2.89,2044010.0,3857450.0
2023-02-13,851027.SI,其他通信设备,L3,1321.95,1305.06,1341.64,1326.11,10.94,0.83,9310.0,108194.0,68.66,2.91,2061020.0,3897440.0
2023-02-14,851027.SI,其他通信设备,L3,1323.71,1305.32,1341.55,1315.0,-11.11,-0.84,7161.0,81657.0,68.08,2.89,2043750.0,3861890.0
2023-02-15,851027.SI,其他通信设备,L3,1318.6,1309.17,1351.9,1343.26,28.26,2.15,8791.0,92395.0,69.54,2.95,2045270.0,3893120.0
2023-02-16,851027.SI,其他通信设备,L3,1349.46,1293.54,1372.15,1305.28,-37.97,-2.83,11486.0,124092.0,67.57,2.87,1987450.0,3782210.0
2023-02-17,851027.SI,其他通信设备,L3,1308.57,1279.81,1322.89,1288.3,-16.98,-1.3,6954.0,76572.0,66.69,2.83,1961590.0,3728690.0
2023-02-20,851027.SI,其他通信设备,L3,1296.54,1273.49,1312.37,1304.86,16.56,1.29,5837.0,62125.0,67.55,2.86,1986810.0,3773540.0
2023-02-21,851027.SI,其他通信设备,L3,1306.53,1290.46,1326.86,1308.01,3.15,0.24,6185.0,64877.0,67.71,2.87,1991600.0,3780820.0
2023-02-22,851027.SI,其他通信设备,L3,1300.83,1287.41,1344.85,1332.5,24.49,1.87,7952.0,91338.0,68.98,2.93,2028880.0,3838610.0
2023-02-23,851027.SI,其他通信设备,L3,1324.55,1296.69,1338.72,1305.74,-26.76,-2.01,7068.0,80223.0,67.6,2.87,1988140.0,3765450.0
2023-02-24,851027.SI,其他通信设备,L3,1301.64,1294.25,1323.92,1309.85,4.11,0.32,5352.0,56216.0,67.81,2.88,1994400.0,3781020.0
2023-02-27,851027.SI,其他通信设备,L3,1301.95,1285.65,1320.01,1292.92,-16.93,-1.29,5036.0,53101.0,66.93,2.84,1968620.0,3743360.0
2023-02-28,851027.SI,其他通信设备,L3,1304.89,1288.41,1347.46,1313.52,20.6,1.59,8205.0,89176.0,68.0,2.88,1999980.0,3807910.0
2023-03-01,851027.SI,其他通信设备,L3,1311.64,1304.84,1354.12,1342.24,28.72,2.19,11123.0,119902.0,69.49,2.95,2043720.0,3895620.0
2023-03-02,851027.SI,其他通信设备,L3,1341.48,1329.12,1381.77,1354.2,11.96,0.89,12612.0,140435.0,70.1,2.97,2061920.0,3932650.0
2023-03-03,851027.SI,其他通信设备,L3,1348.39,1318.5,1362.96,1335.14,-19.06,-1.41,8307.0,93236.0,69.12,2.93,2032910.0,3876520.0
2023-03-06,851027.SI,其他通信设备,L3,1336.77,1325.23,1375.31,1354.18,19.04,1.43,8556.0,113179.0,70.1,2.97,2061890.0,3942780.0
2023-03-07,851027.SI,其他通信设备,L3,1348.69,1303.2,1360.41,1308.56,-45.61,-3.37,8519.0,101897.0,67.74,2.87,1992440.0,3807200.0
2023-03-08,851027.SI,其他通信设备,L3,1304.31,1299.22,1355.57,1347.64,39.07,2.99,8166.0,94800.0,69.76,2.96,2051940.0,3921550.0
2023-03-09,851027.SI,其他通信设备,L3,1345.78,1314.45,1364.71,1350.98,3.35,0.25,8079.0,92382.0,69.94,2.97,2057030.0,3932280.0
2023-03-10,851027.SI,其他通信设备,L3,1338.76,1323.58,1363.65,1329.51,-21.48,-1.59,7094.0,79958.0,68.83,2.92,2024330.0,3866550.0
2023-03-13,851027.SI,其他通信设备,L3,1321.21,1306.87,1367.14,1359.13,29.63,2.23,8662.0,97257.0,70.36,2.98,2069440.0,3943200.0
2023-03-14,851027.SI,其他通信设备,L3,1359.62,1321.29,1389.07,1342.82,-16.31,-1.2,12716.0,127809.0,69.52,2.95,2044610.0,3909910.0
2023-03-15,851027.SI,其他通信设备,L3,1358.7,1320.79,1389.1,1346.85,4.02,0.3,12212.0,130211.0,69.72,2.96,2050730.0,3938010.0
2023-03-16,851027.SI,其他通信设备,L3,1331.57,1300.16,1359.96,1319.45,-27.4,-2.03,11364.0,123894.0,68.31,2.9,2009020.0,3864520.0
2023-03-17,851027.SI,其他通信设备,L3,1328.3,1318.48,1373.25,1353.18,33.73,2.56,11782.0,128203.0,70.05,2.97,2060380.0,3949970.0
2023-03-20,851027.SI,其他通信设备,L3,1352.61,1317.02,1366.64,1327.71,-25.47,-1.88,8839.0,98709.0,68.73,2.91,2021590.0,3872660.0
2023-03-21,851027.SI,其他通信设备,L3,1326.71,1301.87,1347.99,1342.04,14.34,1.08,6951.0,75494.0,69.48,2.95,2043420.0,3915520.0
2023-03-22,851027.SI,其他通信设备,L3,1338.48,1330.28,1388.66,1383.15,41.11,3.06,10428.0,116728.0,71.6,3.04,2106010.0,4034020.0
2023-03-23,851027.SI,其他通信设备,L3,1378.77,1363.82,1404.4,1393.7,10.55,0.76,8479.0,99890.0,72.15,3.06,2122080.0,4057950.0
2023-03-24,851027.SI,其他通信设备,L3,1391.35,1371.93,1421.06,1401.88,8.18,0.59,9737.0,110188.0,72.57,3.08,2134540.0,4072050.0
2023-03-27,851027.SI,其他通信设备,L3,1400.86,1371.72,1423.19,1399.42,-2.46,-0.18,8896.0,103870.0,72.45,3.07,2130780.0,4060230.0
2023-03-28,851027.SI,其他通信设备,L3,1395.43,1374.25,1456.65,1417.1,17.68,1.26,12238.0,158105.0,73.36,3.11,2157700.0,4082150.0
2023-03-29,851027.SI,其他通信设备,L3,1407.37,1375.88,1431.26,1403.17,-13.93,-0.98,10282.0,131618.0,72.64,3.08,2136490.0,4048310.0
