trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851041.SI,垂直应用软件,L3,4760.09,4713.64,5041.7,5003.25,238.45,5.0,112785.0,1744140.0,79.11,4.73,46869000.0,83571300.0
2023-01-04,851041.SI,垂直应用软件,L3,5027.11,4935.46,5109.82,5037.56,34.31,0.69,98264.0,1561700.0,79.7,4.76,47190400.0,84016600.0
2023-01-05,851041.SI,垂直应用软件,L3,5035.74,4969.83,5127.46,5061.85,24.29,0.48,90121.0,1637020.0,80.19,4.8,47417900.0,84818000.0
2023-01-06,851041.SI,垂直应用软件,L3,5059.18,4989.46,5166.18,5050.88,-10.97,-0.22,87417.0,1597480.0,80.03,4.79,47315100.0,84603800.0
2023-01-09,851041.SI,垂直应用软件,L3,5051.26,4971.33,5162.52,5069.76,18.88,0.37,81824.0,1396050.0,80.32,4.81,47492200.0,85019100.0
2023-01-10,851041.SI,垂直应用软件,L3,5072.4,4991.45,5152.23,5070.06,0.3,0.01,79913.0,1284150.0,80.3,4.81,47527300.0,85094800.0
2023-01-11,851041.SI,垂直应用软件,L3,5074.68,4941.05,5110.29,4967.37,-102.68,-2.03,74690.0,1226320.0,78.68,4.71,46551200.0,83500700.0
2023-01-12,851041.SI,垂直应用软件,L3,4974.83,4916.33,5074.58,5011.0,43.62,0.88,71623.0,1116540.0,79.44,4.75,46960100.0,84139700.0
2023-01-13,851041.SI,垂直应用软件,L3,5029.36,4935.32,5075.39,5014.4,3.4,0.07,70852.0,1029890.0,79.53,4.76,46993700.0,84232800.0
2023-01-16,851041.SI,垂直应用软件,L3,5032.9,4998.91,5230.69,5143.96,129.56,2.58,99330.0,1654580.0,81.44,4.88,48280100.0,86399700.0
2023-01-17,851041.SI,垂直应用软件,L3,5135.49,5050.74,5199.7,5095.61,-48.36,-0.94,72530.0,1146670.0,80.63,4.83,47826200.0,85677800.0
2023-01-18,851041.SI,垂直应用软件,L3,5097.99,5057.99,5262.61,5200.39,104.79,2.06,79527.0,1287470.0,82.36,4.94,48809800.0,87164800.0
2023-01-19,851041.SI,垂直应用软件,L3,5190.15,5152.81,5360.69,5314.28,113.88,2.19,107268.0,1688370.0,84.15,5.04,49881200.0,89125200.0
2023-01-20,851041.SI,垂直应用软件,L3,5306.32,5249.43,5439.85,5348.74,34.46,0.65,107928.0,1595750.0,84.65,5.07,50221400.0,89626300.0
2023-01-30,851041.SI,垂直应用软件,L3,5447.91,5351.12,5568.5,5452.79,104.05,1.95,139062.0,2188420.0,86.37,5.17,51198400.0,91427900.0
2023-01-31,851041.SI,垂直应用软件,L3,5431.6,5312.71,5506.29,5376.0,-76.79,-1.41,121136.0,1891820.0,85.11,5.1,50525400.0,90144900.0
2023-02-01,851041.SI,垂直应用软件,L3,5384.4,5337.79,5556.36,5519.42,143.42,2.67,156350.0,2329460.0,87.37,5.24,51873400.0,92693800.0
2023-02-02,851041.SI,垂直应用软件,L3,5561.58,5428.65,5683.2,5504.97,-14.45,-0.26,150080.0,2521450.0,87.12,5.22,51750700.0,92536800.0
2023-02-03,851041.SI,垂直应用软件,L3,5491.38,5433.55,5644.2,5592.79,87.82,1.6,150794.0,2381570.0,88.46,5.3,52576300.0,94053800.0
2023-02-06,851041.SI,垂直应用软件,L3,5577.62,5471.9,5693.1,5586.03,-6.76,-0.12,171573.0,2668570.0,88.42,5.3,52512700.0,93670100.0
2023-02-07,851041.SI,垂直应用软件,L3,5576.19,5453.82,5679.48,5557.97,-28.06,-0.5,176550.0,2848870.0,87.93,5.27,52269600.0,93438000.0
2023-02-08,851041.SI,垂直应用软件,L3,5559.59,5441.53,5633.77,5527.3,-30.67,-0.55,152090.0,2407370.0,87.47,5.24,51981200.0,92699800.0
2023-02-09,851041.SI,垂直应用软件,L3,5496.36,5401.21,5622.87,5580.57,53.26,0.96,161377.0,2550840.0,88.27,5.29,52486000.0,93745200.0
2023-02-10,851041.SI,垂直应用软件,L3,5558.37,5439.65,5655.35,5504.55,-76.01,-1.36,164509.0,2616030.0,87.03,5.22,51771100.0,92516500.0
2023-02-13,851041.SI,垂直应用软件,L3,5482.04,5438.66,5620.52,5561.26,56.7,1.03,150153.0,2388840.0,87.93,5.27,52307300.0,93655200.0
2023-02-14,851041.SI,垂直应用软件,L3,5573.49,5471.37,5633.75,5541.14,-20.11,-0.36,137888.0,2225540.0,87.57,5.25,52118200.0,93510700.0
2023-02-15,851041.SI,垂直应用软件,L3,5537.39,5487.77,5687.21,5601.89,60.75,1.1,168520.0,2666410.0,88.51,5.31,52694800.0,94438900.0
2023-02-16,851041.SI,垂直应用软件,L3,5585.55,5453.14,5749.62,5539.41,-62.48,-1.12,216883.0,3469940.0,87.63,5.25,52067200.0,93046100.0
2023-02-17,851041.SI,垂直应用软件,L3,5534.23,5316.68,5593.63,5350.48,-188.93,-3.41,180994.0,2850380.0,84.65,5.07,50291400.0,89754400.0
2023-02-20,851041.SI,垂直应用软件,L3,5372.12,5303.69,5496.66,5462.55,112.07,2.09,137142.0,2190600.0,86.48,5.18,51344800.0,91621100.0
2023-02-21,851041.SI,垂直应用软件,L3,5480.34,5365.47,5611.6,5446.79,-15.77,-0.29,172683.0,2647270.0,86.28,5.17,51196600.0,91240800.0
2023-02-22,851041.SI,垂直应用软件,L3,5415.79,5342.3,5550.44,5485.25,38.46,0.71,158440.0,2508020.0,86.82,5.2,51558100.0,92190200.0
2023-02-23,851041.SI,垂直应用软件,L3,5466.83,5315.04,5527.15,5361.28,-123.97,-2.26,156416.0,2317460.0,84.82,5.08,50388800.0,90309100.0
