trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851042.SI,横向通用软件,L3,27177.5,26988.2,28809.4,28679.9,1519.43,5.59,44971.0,642446.0,117.67,4.1,22814400.0,38834100.0
2023-01-04,851042.SI,横向通用软件,L3,28757.7,28278.7,29108.8,28723.1,43.26,0.15,38442.0,522763.0,117.85,4.1,22848800.0,38891900.0
2023-01-05,851042.SI,横向通用软件,L3,28698.9,28324.0,29019.8,28627.5,-95.64,-0.33,45675.0,547361.0,117.46,4.09,22772700.0,38768200.0
2023-01-06,851042.SI,横向通用软件,L3,28645.4,28132.4,28905.6,28524.9,-102.57,-0.36,48330.0,544727.0,117.04,4.08,22691100.0,38672400.0
2023-01-09,851042.SI,横向通用软件,L3,28454.6,28251.6,29104.1,28758.6,233.64,0.82,45532.0,535802.0,118.0,4.11,22877000.0,38979800.0
2023-01-10,851042.SI,横向通用软件,L3,28749.1,28321.8,29133.5,28801.3,42.74,0.15,44652.0,525823.0,118.17,4.12,22911000.0,39064400.0
2023-01-11,851042.SI,横向通用软件,L3,28730.7,27759.7,28876.6,27941.6,-859.68,-2.98,41495.0,531988.0,114.64,3.99,22227100.0,37876900.0
2023-01-12,851042.SI,横向通用软件,L3,27960.9,27598.1,28375.1,28041.6,99.93,0.36,36455.0,446395.0,115.05,4.01,22306600.0,37998600.0
2023-01-13,851042.SI,横向通用软件,L3,28074.6,27577.2,28250.1,27906.5,-135.09,-0.48,31770.0,371500.0,114.5,3.99,22199100.0,37833200.0
2023-01-16,851042.SI,横向通用软件,L3,28071.2,28041.1,29510.6,29042.1,1135.62,4.07,35649.0,591229.0,119.17,4.15,23102500.0,39281700.0
2023-01-17,851042.SI,横向通用软件,L3,29229.3,28762.4,29638.6,29144.5,102.42,0.35,44778.0,577835.0,119.59,4.16,23184000.0,39383100.0
2023-01-18,851042.SI,横向通用软件,L3,29176.8,28940.8,30329.2,30048.1,903.59,3.1,46865.0,650232.0,123.3,4.29,23902800.0,40699300.0
2023-01-19,851042.SI,横向通用软件,L3,29867.4,29723.0,31620.2,31232.0,1183.9,3.94,52188.0,861445.0,128.16,4.46,24844500.0,42141500.0
2023-01-20,851042.SI,横向通用软件,L3,31138.4,30557.4,31858.8,31296.3,64.36,0.21,35300.0,629115.0,128.41,4.47,24892500.0,42243900.0
2023-01-30,851042.SI,横向通用软件,L3,32281.1,31296.4,33015.1,32314.1,1017.75,3.25,55141.0,1141220.0,132.5,4.62,25719200.0,43394900.0
