trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851122.SI,其他黑色家电,L3,1632.77,1620.8,1685.69,1671.07,40.37,2.48,5367.0,50388.0,28.69,2.57,1492420.0,2871790.0
2023-01-04,851122.SI,其他黑色家电,L3,1670.48,1657.16,1695.89,1684.49,13.42,0.8,4727.0,43195.0,28.93,2.59,1504400.0,2898020.0
2023-01-05,851122.SI,其他黑色家电,L3,1682.06,1670.94,1712.33,1704.56,20.07,1.19,5293.0,55775.0,29.27,2.62,1522330.0,2940030.0
2023-01-06,851122.SI,其他黑色家电,L3,1702.92,1686.42,1720.76,1701.99,-2.57,-0.15,4917.0,47636.0,29.23,2.62,1520030.0,2932410.0
2023-01-09,851122.SI,其他黑色家电,L3,1704.83,1689.94,1721.95,1705.79,3.79,0.22,4543.0,39228.0,29.29,2.62,1523420.0,2940390.0
2023-01-10,851122.SI,其他黑色家电,L3,1697.54,1677.19,1705.37,1690.94,-14.84,-0.87,3297.0,30627.0,29.04,2.6,1510170.0,2925630.0
2023-01-11,851122.SI,其他黑色家电,L3,1686.5,1667.09,1702.56,1676.11,-14.84,-0.88,4705.0,38873.0,28.78,2.58,1496920.0,2895810.0
2023-01-12,851122.SI,其他黑色家电,L3,1670.81,1653.35,1698.64,1668.79,-7.31,-0.44,4136.0,36425.0,28.66,2.57,1490390.0,2896370.0
2023-01-13,851122.SI,其他黑色家电,L3,1664.62,1647.51,1691.31,1671.87,3.08,0.18,4455.0,36518.0,28.71,2.57,1493140.0,2890380.0
2023-01-16,851122.SI,其他黑色家电,L3,1673.08,1661.14,1710.64,1684.31,12.44,0.74,7832.0,48985.0,28.92,2.59,1504250.0,2915960.0
2023-01-17,851122.SI,其他黑色家电,L3,1679.12,1656.21,1689.68,1668.81,-15.51,-0.92,4875.0,29942.0,28.66,2.57,1490400.0,2889120.0
2023-01-18,851122.SI,其他黑色家电,L3,1673.19,1663.55,1690.91,1675.11,6.31,0.38,3711.0,24903.0,28.76,2.58,1496030.0,2894880.0
2023-01-19,851122.SI,其他黑色家电,L3,1674.59,1663.99,1708.05,1700.17,25.05,1.5,4483.0,37485.0,29.19,2.61,1518400.0,2937710.0
2023-01-20,851122.SI,其他黑色家电,L3,1703.35,1693.94,1741.79,1725.49,25.33,1.49,7995.0,78593.0,29.63,2.65,1541020.0,2981300.0
2023-01-30,851122.SI,其他黑色家电,L3,1751.74,1724.21,1789.81,1767.55,42.06,2.44,12919.0,125985.0,30.35,2.72,1578590.0,3035970.0
2023-01-31,851122.SI,其他黑色家电,L3,1764.9,1735.99,1811.8,1781.07,13.52,0.76,13229.0,137973.0,30.58,2.74,1590660.0,3065940.0
2023-02-01,851122.SI,其他黑色家电,L3,1774.88,1755.03,1834.52,1825.23,44.16,2.48,15574.0,175401.0,31.34,2.81,1630100.0,3176360.0
2023-02-02,851122.SI,其他黑色家电,L3,1819.03,1793.91,1854.03,1801.15,-24.08,-1.32,12415.0,146795.0,30.93,2.77,1608600.0,3136950.0
2023-02-03,851122.SI,其他黑色家电,L3,1788.36,1763.64,1832.76,1815.61,14.46,0.8,13482.0,127384.0,31.18,2.79,1621510.0,3185050.0
2023-02-06,851122.SI,其他黑色家电,L3,1808.39,1783.48,1836.72,1810.19,-5.43,-0.3,11206.0,97161.0,31.08,2.78,1616660.0,3158230.0
