trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851151.SI,照明设备Ⅲ,L3,3863.29,3835.44,3943.32,3899.77,51.54,1.34,6260.0,53747.0,38.23,1.87,1593650.0,5044340.0
2023-01-04,851151.SI,照明设备Ⅲ,L3,3900.36,3854.79,3981.5,3922.53,22.76,0.58,5950.0,46788.0,38.45,1.88,1602950.0,5054890.0
2023-01-05,851151.SI,照明设备Ⅲ,L3,3925.42,3873.75,3976.83,3938.08,15.55,0.4,5103.0,36147.0,38.6,1.88,1609300.0,5066090.0
2023-01-06,851151.SI,照明设备Ⅲ,L3,3932.3,3839.46,3978.96,3864.5,-73.59,-1.87,5324.0,44593.0,37.88,1.84,1579230.0,5000840.0
2023-01-09,851151.SI,照明设备Ⅲ,L3,3871.36,3820.32,3941.91,3888.56,24.07,0.62,5502.0,45593.0,38.12,1.85,1589070.0,5010310.0
2023-01-10,851151.SI,照明设备Ⅲ,L3,3909.1,3847.09,3928.73,3886.47,-2.09,-0.05,3438.0,25364.0,38.09,1.85,1588220.0,5005670.0
2023-01-11,851151.SI,照明设备Ⅲ,L3,3915.91,3776.48,3959.76,3793.9,-92.57,-2.38,8264.0,62690.0,37.19,1.81,1550390.0,4930670.0
2023-01-12,851151.SI,照明设备Ⅲ,L3,3745.26,3686.04,3814.59,3729.43,-64.48,-1.7,6698.0,56219.0,36.55,1.78,1521750.0,4870550.0
2023-01-13,851151.SI,照明设备Ⅲ,L3,3725.6,3700.6,3801.66,3776.74,47.32,1.27,4301.0,36324.0,37.01,1.8,1541060.0,4959150.0
2023-01-16,851151.SI,照明设备Ⅲ,L3,3778.27,3719.66,3813.12,3770.85,-5.89,-0.16,5282.0,43441.0,36.95,1.8,1538650.0,4940540.0
2023-01-17,851151.SI,照明设备Ⅲ,L3,3763.64,3742.36,3853.21,3825.25,54.4,1.44,4108.0,37564.0,37.49,1.83,1560850.0,5020410.0
2023-01-18,851151.SI,照明设备Ⅲ,L3,3822.36,3776.29,3864.68,3813.29,-11.96,-0.31,3828.0,33416.0,37.37,1.81,1555970.0,4993030.0
2023-01-19,851151.SI,照明设备Ⅲ,L3,3808.28,3774.37,3853.57,3817.02,3.72,0.1,3404.0,28783.0,37.41,1.81,1557490.0,5000850.0
2023-01-20,851151.SI,照明设备Ⅲ,L3,3829.11,3796.59,3861.45,3831.37,14.35,0.38,3317.0,24520.0,37.55,1.82,1563350.0,5014620.0
2023-01-30,851151.SI,照明设备Ⅲ,L3,3858.43,3816.65,3908.61,3865.31,33.95,0.89,5340.0,42280.0,37.88,1.83,1577200.0,5044270.0
2023-01-31,851151.SI,照明设备Ⅲ,L3,3868.97,3817.29,3952.0,3918.46,53.15,1.38,7758.0,47245.0,38.4,1.87,1598890.0,5099460.0
2023-02-01,851151.SI,照明设备Ⅲ,L3,3918.03,3883.09,3982.44,3968.74,50.28,1.28,12137.0,71998.0,38.89,1.89,1619400.0,5159390.0
2023-02-02,851151.SI,照明设备Ⅲ,L3,3957.7,3913.55,4004.86,3961.32,-7.42,-0.19,8810.0,55217.0,38.82,1.89,1616370.0,5151470.0
2023-02-03,851151.SI,照明设备Ⅲ,L3,3963.03,3909.42,3990.31,3952.44,-8.88,-0.22,6741.0,40477.0,38.73,1.88,1612750.0,5137630.0
2023-02-06,851151.SI,照明设备Ⅲ,L3,3952.97,3893.87,4018.3,3954.36,1.92,0.05,6552.0,40356.0,38.75,1.87,1613530.0,5118800.0
2023-02-07,851151.SI,照明设备Ⅲ,L3,3958.95,3917.93,3999.49,3971.47,17.11,0.43,4952.0,34791.0,38.92,1.88,1620510.0,5146110.0
2023-02-08,851151.SI,照明设备Ⅲ,L3,3971.38,3931.35,4005.46,3947.2,-24.27,-0.61,5329.0,33035.0,38.68,1.86,1610610.0,5103040.0
2023-02-09,851151.SI,照明设备Ⅲ,L3,3940.31,3908.59,3996.95,3988.47,41.27,1.05,4701.0,32948.0,39.09,1.88,1627450.0,5175190.0
2023-02-10,851151.SI,照明设备Ⅲ,L3,3986.38,3965.56,4051.18,4014.78,26.31,0.66,6348.0,40285.0,39.34,1.89,1638180.0,5192700.0
2023-02-13,851151.SI,照明设备Ⅲ,L3,4028.21,3996.08,4120.27,4089.04,74.26,1.85,7476.0,54192.0,40.07,1.91,1668490.0,5296440.0
2023-02-14,851151.SI,照明设备Ⅲ,L3,4097.93,4061.97,4154.7,4094.05,5.02,0.12,7792.0,47378.0,40.12,1.92,1670530.0,5310640.0
2023-02-15,851151.SI,照明设备Ⅲ,L3,4100.08,4050.63,4161.82,4091.45,-2.6,-0.06,8321.0,50298.0,40.09,1.94,1669470.0,5338900.0
2023-02-16,851151.SI,照明设备Ⅲ,L3,4095.1,3972.22,4138.53,4006.96,-84.49,-2.07,6985.0,48989.0,39.27,1.89,1634990.0,5212410.0
2023-02-17,851151.SI,照明设备Ⅲ,L3,4018.12,3970.64,4067.37,3991.0,-15.95,-0.4,4935.0,31537.0,39.11,1.89,1628480.0,5184450.0
2023-02-20,851151.SI,照明设备Ⅲ,L3,3990.08,3958.07,4091.07,4070.09,79.09,1.98,4745.0,40147.0,39.89,1.93,1660760.0,5341840.0
2023-02-21,851151.SI,照明设备Ⅲ,L3,4088.26,4042.66,4161.11,4127.5,57.4,1.41,5825.0,45121.0,40.44,1.95,1683200.0,5416850.0
2023-02-22,851151.SI,照明设备Ⅲ,L3,4133.33,4092.66,4180.63,4163.06,35.56,0.86,4727.0,41144.0,40.79,1.97,1697710.0,5480710.0
2023-02-23,851151.SI,照明设备Ⅲ,L3,4163.44,4123.75,4193.43,4171.79,8.73,0.21,3739.0,31659.0,40.88,1.97,1701270.0,5489960.0
2023-02-24,851151.SI,照明设备Ⅲ,L3,4172.79,4129.47,4219.47,4178.33,6.54,0.16,3539.0,32179.0,40.94,1.97,1703930.0,5504140.0
2023-02-27,851151.SI,照明设备Ⅲ,L3,4190.46,4134.4,4244.04,4185.35,7.02,0.17,4465.0,47168.0,41.01,1.98,1706800.0,5547100.0
2023-02-28,851151.SI,照明设备Ⅲ,L3,4193.76,4121.5,4237.08,4171.26,-14.09,-0.34,4419.0,45124.0,40.87,1.97,1701050.0,5503230.0
2023-03-01,851151.SI,照明设备Ⅲ,L3,4178.76,4132.34,4203.4,4182.95,11.69,0.28,3770.0,31074.0,40.99,1.97,1705820.0,5507010.0
2023-03-02,851151.SI,照明设备Ⅲ,L3,4181.06,4121.93,4226.17,4153.3,-29.65,-0.71,5750.0,36830.0,40.7,1.96,1693730.0,5469980.0
2023-03-03,851151.SI,照明设备Ⅲ,L3,4162.21,4115.48,4199.74,4161.16,7.86,0.19,5008.0,31651.0,40.77,1.95,1696940.0,5452200.0
2023-03-06,851151.SI,照明设备Ⅲ,L3,4167.68,4123.1,4219.54,4189.64,28.47,0.68,5481.0,38981.0,41.05,1.97,1708550.0,5469100.0
2023-03-07,851151.SI,照明设备Ⅲ,L3,4190.22,4093.28,4223.5,4113.42,-76.22,-1.82,5668.0,37585.0,40.31,1.92,1677460.0,5352530.0
2023-03-08,851151.SI,照明设备Ⅲ,L3,4097.6,4059.15,4144.51,4114.23,0.81,0.02,3988.0,25051.0,40.31,1.92,1677790.0,5348200.0
2023-03-09,851151.SI,照明设备Ⅲ,L3,4116.79,4065.6,4142.28,4104.5,-9.73,-0.24,3050.0,20846.0,40.22,1.92,1673830.0,5337900.0
