trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851232.SI,啤酒,L3,6814.79,6513.74,6841.83,6627.47,-181.17,-2.66,8320.0,188398.0,45.26,5.05,7123510.0,18654200.0
2023-01-04,851232.SI,啤酒,L3,6638.32,6565.66,6746.43,6655.92,28.45,0.43,6587.0,135990.0,45.45,5.07,7154090.0,18727800.0
2023-01-05,851232.SI,啤酒,L3,6667.57,6635.83,6934.24,6871.94,216.01,3.25,9417.0,174276.0,46.93,5.24,7386270.0,19326400.0
2023-01-06,851232.SI,啤酒,L3,6862.93,6640.16,6869.51,6734.8,-137.14,-2.0,10168.0,197487.0,45.99,5.13,7238860.0,18935500.0
2023-01-09,851232.SI,啤酒,L3,6739.97,6631.11,6828.09,6775.51,40.71,0.6,8423.0,191928.0,46.27,5.17,7282620.0,19058700.0
2023-01-10,851232.SI,啤酒,L3,6766.28,6649.53,6871.88,6808.64,33.14,0.49,7106.0,156972.0,46.5,5.19,7318240.0,19165500.0
2023-01-11,851232.SI,啤酒,L3,6827.87,6669.73,6984.27,6783.37,-25.28,-0.37,7365.0,167708.0,46.32,5.17,7291070.0,19107000.0
2023-01-12,851232.SI,啤酒,L3,6789.04,6597.66,6825.09,6622.01,-161.36,-2.38,6788.0,136321.0,45.22,5.05,7117640.0,18675100.0
2023-01-13,851232.SI,啤酒,L3,6647.38,6623.02,7011.59,6966.0,343.99,5.19,9661.0,222136.0,47.57,5.31,7487380.0,19633400.0
2023-01-16,851232.SI,啤酒,L3,6987.43,6898.63,7113.82,6968.57,2.57,0.04,8381.0,214085.0,47.59,5.32,7490130.0,19646600.0
2023-01-17,851232.SI,啤酒,L3,6948.22,6775.38,6991.97,6869.81,-98.76,-1.42,6794.0,141186.0,46.92,5.24,7383980.0,19356200.0
2023-01-18,851232.SI,啤酒,L3,6862.05,6706.52,6914.3,6742.62,-127.19,-1.85,5222.0,118386.0,46.05,5.14,7247280.0,19008000.0
2023-01-19,851232.SI,啤酒,L3,6720.55,6619.46,6762.39,6678.99,-63.64,-0.94,4582.0,100455.0,45.61,5.09,7178880.0,18841300.0
2023-01-20,851232.SI,啤酒,L3,6698.5,6617.15,6759.45,6668.7,-10.29,-0.15,4040.0,95122.0,45.54,5.08,7167820.0,18818500.0
2023-01-30,851232.SI,啤酒,L3,6704.53,6599.51,6786.24,6676.72,8.02,0.12,6884.0,159218.0,45.6,5.09,7176440.0,18841200.0
