trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851246.SI,预加工食品,L3,5647.31,5458.01,5699.7,5505.16,-146.41,-2.59,6625.0,147429.0,45.2,4.1,5001640.0,9498620.0
2023-01-04,851246.SI,预加工食品,L3,5477.16,5434.35,5621.03,5487.27,-17.89,-0.33,7696.0,138027.0,45.05,4.08,4985380.0,9469870.0
2023-01-05,851246.SI,预加工食品,L3,5488.37,5437.99,5702.2,5641.61,154.34,2.81,7884.0,158656.0,46.32,4.2,5125600.0,9706040.0
2023-01-06,851246.SI,预加工食品,L3,5637.48,5503.65,5655.29,5583.64,-57.96,-1.03,7095.0,124769.0,45.84,4.16,5072940.0,9594760.0
2023-01-09,851246.SI,预加工食品,L3,5526.69,5377.83,5646.5,5559.89,-23.75,-0.43,4867.0,142997.0,45.65,4.14,5051360.0,9563820.0
2023-01-10,851246.SI,预加工食品,L3,5518.44,5452.43,5606.97,5543.14,-16.75,-0.3,4258.0,121266.0,45.51,4.13,5036140.0,9519740.0
2023-01-11,851246.SI,预加工食品,L3,5548.44,5440.26,5574.63,5477.66,-65.48,-1.18,3686.0,95133.0,45.01,4.08,5006480.0,9413340.0
2023-01-12,851246.SI,预加工食品,L3,5458.72,5347.74,5559.87,5444.65,-33.01,-0.6,3928.0,102530.0,44.74,4.05,4976300.0,9346120.0
2023-01-13,851246.SI,预加工食品,L3,5462.23,5414.47,5627.98,5574.49,129.84,2.38,3752.0,110208.0,45.81,4.15,5094970.0,9572750.0
2023-01-16,851246.SI,预加工食品,L3,5596.8,5533.31,5879.6,5766.24,191.75,3.44,4985.0,200947.0,47.38,4.29,5270230.0,9842840.0
2023-01-17,851246.SI,预加工食品,L3,5747.91,5626.91,5804.98,5722.74,-43.49,-0.75,3627.0,100941.0,47.03,4.26,5230480.0,9762260.0
2023-01-18,851246.SI,预加工食品,L3,5701.2,5581.84,5746.44,5604.54,-118.2,-2.07,2591.0,93314.0,46.05,4.17,5122440.0,9569380.0
2023-01-19,851246.SI,预加工食品,L3,5620.26,5435.76,5624.4,5494.93,-109.61,-1.96,2842.0,93806.0,45.15,4.09,5022260.0,9397700.0
2023-01-20,851246.SI,预加工食品,L3,5495.58,5478.92,5625.1,5544.89,49.96,0.91,2695.0,69419.0,45.56,4.13,5067920.0,9465770.0
2023-01-30,851246.SI,预加工食品,L3,5648.53,5505.96,5752.42,5586.68,41.8,0.75,3888.0,121615.0,45.92,4.16,5110200.0,9551710.0
2023-01-31,851246.SI,预加工食品,L3,5567.96,5419.38,5642.23,5487.52,-99.17,-1.78,3339.0,120672.0,45.1,4.08,5019490.0,9397570.0
2023-02-01,851246.SI,预加工食品,L3,5494.45,5453.85,5612.27,5596.01,108.5,1.98,3446.0,115983.0,45.99,4.17,5118730.0,9572710.0
2023-02-02,851246.SI,预加工食品,L3,5567.39,5498.54,5817.33,5760.86,164.85,2.95,5269.0,168462.0,47.35,4.29,5269520.0,9894450.0
2023-02-03,851246.SI,预加工食品,L3,5801.26,5652.19,5857.16,5730.88,-29.98,-0.52,5624.0,161313.0,47.1,4.27,5243590.0,9857770.0
2023-02-06,851246.SI,预加工食品,L3,5703.56,5555.65,5734.26,5619.79,-111.09,-1.94,4275.0,129717.0,46.19,4.18,5141950.0,9700220.0
2023-02-07,851246.SI,预加工食品,L3,5622.05,5489.66,5717.29,5516.2,-103.59,-1.84,3296.0,105302.0,45.34,4.11,5047170.0,9532300.0
2023-02-08,851246.SI,预加工食品,L3,5521.09,5478.79,5565.35,5492.35,-23.85,-0.43,2779.0,79923.0,45.14,4.09,5025340.0,9506750.0
