trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851422.SI,印刷,L3,4494.79,4431.48,4667.86,4600.99,116.87,2.61,5201.0,38253.0,95.91,3.07,1221050.0,1827660.0
2023-01-04,851422.SI,印刷,L3,4608.82,4580.3,4735.61,4637.86,36.87,0.8,4929.0,35668.0,96.68,3.09,1230840.0,1842370.0
2023-01-05,851422.SI,印刷,L3,4639.22,4488.78,4697.09,4576.0,-61.86,-1.33,4668.0,35526.0,95.39,3.05,1214420.0,1817190.0
2023-01-06,851422.SI,印刷,L3,4569.01,4494.25,4677.5,4589.45,13.44,0.29,3916.0,30882.0,95.67,3.06,1217990.0,1822040.0
2023-01-09,851422.SI,印刷,L3,4577.79,4540.01,4642.46,4566.13,-23.32,-0.51,2746.0,20217.0,95.19,3.04,1211800.0,1813110.0
2023-01-10,851422.SI,印刷,L3,4579.26,4493.74,4598.2,4536.7,-29.43,-0.64,2462.0,16689.0,94.57,3.02,1203990.0,1801400.0
2023-01-11,851422.SI,印刷,L3,4546.49,4432.5,4574.57,4453.88,-82.81,-1.83,2713.0,19567.0,92.85,2.97,1182010.0,1768210.0
2023-01-12,851422.SI,印刷,L3,4453.68,4374.67,4511.28,4420.68,-33.2,-0.75,2667.0,19726.0,92.16,2.95,1173200.0,1755080.0
2023-01-13,851422.SI,印刷,L3,4438.33,4363.07,4498.49,4431.78,11.1,0.25,2402.0,15836.0,92.45,2.95,1176930.0,1759830.0
2023-01-16,851422.SI,印刷,L3,4435.93,4396.0,4496.08,4443.29,11.51,0.26,2289.0,15834.0,92.69,2.96,1179990.0,1763850.0
2023-01-17,851422.SI,印刷,L3,4446.18,4365.02,4459.49,4394.24,-49.05,-1.1,2380.0,15851.0,91.67,2.93,1166960.0,1744580.0
2023-01-18,851422.SI,印刷,L3,4401.33,4362.65,4451.22,4411.85,17.61,0.4,2235.0,14925.0,92.03,2.94,1171640.0,1751520.0
2023-01-19,851422.SI,印刷,L3,4400.38,4344.02,4433.7,4401.15,-10.71,-0.24,2174.0,14551.0,91.81,2.93,1168800.0,1747490.0
2023-01-20,851422.SI,印刷,L3,4416.63,4391.44,4492.79,4462.2,61.05,1.39,3155.0,20319.0,93.08,2.97,1185010.0,1772030.0
2023-01-30,851422.SI,印刷,L3,4510.39,4471.16,4700.32,4658.57,196.38,4.4,8536.0,58921.0,97.18,3.1,1237160.0,1849010.0
2023-01-31,851422.SI,印刷,L3,4637.25,4568.74,4693.52,4640.62,-17.95,-0.39,6944.0,48021.0,96.8,3.09,1232390.0,1841260.0
2023-02-01,851422.SI,印刷,L3,4647.92,4619.73,4820.73,4763.39,122.78,2.65,8064.0,56560.0,99.37,3.17,1265000.0,1891320.0
2023-02-02,851422.SI,印刷,L3,4742.17,4707.05,4840.39,4770.49,7.1,0.15,6051.0,43449.0,99.51,3.18,1266880.0,1892620.0
2023-02-03,851422.SI,印刷,L3,4819.7,4720.38,4992.96,4915.74,145.25,3.04,10930.0,86372.0,102.54,3.28,1305460.0,1949660.0
2023-02-06,851422.SI,印刷,L3,4967.27,4849.63,5188.22,5121.41,205.67,4.18,16418.0,132187.0,107.09,3.42,1363340.0,2031460.0
2023-02-07,851422.SI,印刷,L3,5162.4,5103.72,5461.9,5385.4,263.98,5.15,16280.0,131754.0,112.61,3.59,1433610.0,2132720.0
2023-02-08,851422.SI,印刷,L3,5504.95,5303.42,5573.39,5340.57,-44.83,-0.83,19967.0,183665.0,111.67,3.56,1421680.0,2108160.0
2023-02-09,851422.SI,印刷,L3,5408.61,5302.76,5475.19,5414.69,74.13,1.39,18878.0,170717.0,113.22,3.61,1441410.0,2132850.0
2023-02-10,851422.SI,印刷,L3,5553.0,5483.6,5686.75,5606.84,192.15,3.55,21431.0,209380.0,117.24,3.74,1492560.0,2203000.0
2023-02-13,851422.SI,印刷,L3,5675.73,5630.33,5866.96,5814.61,207.77,3.71,16052.0,155998.0,121.59,3.88,1547870.0,2278830.0
2023-02-14,851422.SI,印刷,L3,5994.77,5639.19,6166.9,5858.48,43.87,0.75,38803.0,471084.0,122.5,3.91,1559550.0,2299020.0
