trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851452.SI,娱乐用品,L3,1331.78,1318.94,1382.28,1361.1,25.9,1.94,11133.0,110333.0,114.59,4.03,2323050.0,5889160.0
2023-01-04,851452.SI,娱乐用品,L3,1366.48,1340.44,1407.9,1377.95,16.85,1.24,16385.0,146373.0,115.93,4.08,2351820.0,5920860.0
2023-01-05,851452.SI,娱乐用品,L3,1383.92,1348.3,1416.28,1384.2,6.25,0.45,24759.0,172024.0,116.5,4.1,2362480.0,5965790.0
2023-01-06,851452.SI,娱乐用品,L3,1375.86,1358.54,1433.55,1395.66,11.46,0.83,17696.0,162475.0,117.8,4.15,2382030.0,6001760.0
2023-01-09,851452.SI,娱乐用品,L3,1392.42,1372.39,1433.76,1400.09,4.43,0.32,16831.0,141277.0,117.95,4.15,2389600.0,6006560.0
2023-01-10,851452.SI,娱乐用品,L3,1393.97,1367.05,1416.15,1378.72,-21.37,-1.53,12184.0,103915.0,116.03,4.08,2353130.0,5917720.0
2023-01-11,851452.SI,娱乐用品,L3,1378.29,1342.23,1400.96,1355.73,-22.99,-1.67,13349.0,119675.0,114.31,4.02,2313890.0,5821290.0
2023-01-12,851452.SI,娱乐用品,L3,1365.03,1329.52,1396.87,1350.19,-5.53,-0.41,15432.0,113896.0,113.9,4.01,2304440.0,5782670.0
2023-01-13,851452.SI,娱乐用品,L3,1353.42,1322.04,1368.77,1339.81,-10.39,-0.77,10240.0,79301.0,112.85,3.97,2286710.0,5771170.0
2023-01-16,851452.SI,娱乐用品,L3,1340.95,1321.7,1372.12,1348.05,8.24,0.62,12000.0,104293.0,113.49,3.99,2300780.0,5878060.0
2023-01-17,851452.SI,娱乐用品,L3,1357.5,1320.29,1380.67,1350.36,2.31,0.17,15342.0,128660.0,113.94,4.01,2304730.0,5951460.0
2023-01-18,851452.SI,娱乐用品,L3,1351.95,1331.37,1380.86,1352.83,2.46,0.18,13922.0,123739.0,113.82,4.01,2308930.0,5974970.0
2023-01-19,851452.SI,娱乐用品,L3,1341.56,1320.83,1364.08,1344.75,-8.07,-0.6,8899.0,88132.0,112.11,3.95,2295160.0,5887600.0
2023-01-20,851452.SI,娱乐用品,L3,1339.36,1329.64,1371.77,1353.1,8.34,0.62,11043.0,97127.0,113.03,3.98,2309400.0,5858750.0
2023-01-30,851452.SI,娱乐用品,L3,1363.94,1347.28,1406.33,1387.57,34.48,2.55,15656.0,145949.0,115.91,4.08,2368240.0,6046780.0
2023-01-31,851452.SI,娱乐用品,L3,1380.79,1359.33,1410.42,1395.08,7.51,0.54,14178.0,131254.0,116.24,4.09,2381060.0,6059650.0
2023-02-01,851452.SI,娱乐用品,L3,1396.7,1377.59,1435.96,1421.08,26.0,1.86,17636.0,155139.0,118.62,4.17,2425420.0,6187190.0
2023-02-02,851452.SI,娱乐用品,L3,1423.56,1399.34,1469.89,1446.28,25.2,1.77,20398.0,179345.0,120.95,4.26,2468440.0,6239300.0
2023-02-03,851452.SI,娱乐用品,L3,1448.16,1425.73,1474.69,1457.03,10.75,0.74,21598.0,167331.0,122.02,4.29,2486780.0,6261590.0
2023-02-06,851452.SI,娱乐用品,L3,1443.45,1413.99,1466.26,1435.63,-21.4,-1.47,18038.0,143242.0,120.24,4.23,2450260.0,6186820.0
2023-02-07,851452.SI,娱乐用品,L3,1438.96,1426.35,1472.7,1453.12,17.49,1.22,20947.0,160430.0,121.96,4.29,2480110.0,6252650.0
2023-02-08,851452.SI,娱乐用品,L3,1459.65,1421.7,1491.27,1463.46,10.34,0.71,23848.0,183427.0,123.28,4.34,2497760.0,6250560.0
2023-02-09,851452.SI,娱乐用品,L3,1453.26,1429.04,1469.94,1454.28,-9.18,-0.63,25491.0,176042.0,122.2,4.3,2482090.0,6243610.0
2023-02-10,851452.SI,娱乐用品,L3,1448.31,1421.43,1483.5,1445.95,-8.32,-0.57,18423.0,172979.0,121.45,4.27,2467880.0,6225780.0
2023-02-13,851452.SI,娱乐用品,L3,1444.08,1425.68,1464.83,1448.35,2.4,0.17,16922.0,149918.0,121.62,4.28,2471980.0,6259890.0
2023-02-14,851452.SI,娱乐用品,L3,1452.06,1426.07,1463.37,1436.03,-12.32,-0.85,13489.0,113359.0,120.56,4.24,2450940.0,6215060.0
