trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851491.SI,其他家居用品,L3,1262.76,1251.05,1301.89,1283.6,21.65,1.72,8180.0,88863.0,30.25,2.87,3008060.0,14398000.0
2023-01-04,851491.SI,其他家居用品,L3,1290.97,1277.29,1320.24,1298.72,15.12,1.18,7678.0,85466.0,30.6,2.9,3044110.0,14436300.0
2023-01-05,851491.SI,其他家居用品,L3,1307.03,1294.26,1325.7,1312.03,13.31,1.03,10728.0,111196.0,30.92,2.93,3075320.0,14607000.0
2023-01-06,851491.SI,其他家居用品,L3,1320.55,1297.03,1346.71,1308.93,-3.1,-0.24,17084.0,151821.0,30.77,2.92,3068050.0,14621800.0
2023-01-09,851491.SI,其他家居用品,L3,1307.04,1302.13,1347.24,1332.89,23.96,1.83,12798.0,130253.0,31.3,2.97,3124200.0,15032100.0
2023-01-10,851491.SI,其他家居用品,L3,1337.14,1311.09,1345.89,1326.69,-6.2,-0.47,9330.0,99791.0,31.05,2.94,3109660.0,14960300.0
2023-01-11,851491.SI,其他家居用品,L3,1330.62,1306.48,1342.8,1320.55,-6.14,-0.46,7691.0,81129.0,30.89,2.93,3095270.0,14941400.0
2023-01-12,851491.SI,其他家居用品,L3,1321.92,1299.18,1331.28,1312.51,-8.04,-0.61,7988.0,77137.0,30.74,2.92,3076430.0,14806400.0
2023-01-13,851491.SI,其他家居用品,L3,1311.45,1303.82,1339.41,1331.21,18.7,1.42,5984.0,63525.0,31.26,2.96,3120250.0,15103700.0
2023-01-16,851491.SI,其他家居用品,L3,1334.19,1323.22,1352.43,1338.53,7.33,0.55,6597.0,74795.0,31.39,2.98,3137430.0,15157400.0
2023-01-17,851491.SI,其他家居用品,L3,1341.12,1321.0,1348.84,1330.68,-7.85,-0.59,6148.0,60841.0,31.21,2.96,3119030.0,15054800.0
2023-01-18,851491.SI,其他家居用品,L3,1335.78,1318.29,1351.76,1330.97,0.29,0.02,5282.0,58129.0,31.2,2.96,3120900.0,15021700.0
2023-01-19,851491.SI,其他家居用品,L3,1331.17,1315.96,1340.44,1325.45,-5.53,-0.42,5277.0,54293.0,31.05,2.95,3107950.0,14927200.0
2023-01-20,851491.SI,其他家居用品,L3,1328.86,1319.47,1346.88,1334.66,9.21,0.69,6286.0,62211.0,31.32,2.97,3129540.0,15024200.0
2023-01-30,851491.SI,其他家居用品,L3,1346.85,1331.39,1371.0,1351.11,16.45,1.23,8569.0,94365.0,31.61,3.0,3168120.0,15096300.0
2023-01-31,851491.SI,其他家居用品,L3,1352.82,1332.63,1383.45,1372.6,21.49,1.59,11017.0,118563.0,32.15,3.04,3235910.0,15316100.0
2023-02-01,851491.SI,其他家居用品,L3,1369.08,1352.01,1388.99,1377.98,5.38,0.39,11568.0,122184.0,32.23,3.05,3248580.0,15317800.0
