trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851512.SI,化学制剂,L3,7113.74,7002.12,7283.0,7151.09,104.92,1.49,170887.0,1970520.0,35.28,3.03,56833800.0,115765000.0
2023-01-04,851512.SI,化学制剂,L3,7142.62,7043.38,7268.06,7153.85,2.76,0.04,168603.0,1945760.0,35.3,3.04,57046100.0,117751000.0
2023-01-05,851512.SI,化学制剂,L3,7168.62,7083.4,7347.08,7257.16,103.31,1.44,136081.0,1826540.0,35.81,3.08,57869900.0,119426000.0
2023-01-06,851512.SI,化学制剂,L3,7256.56,7130.17,7314.41,7195.06,-62.11,-0.86,123896.0,1511260.0,35.51,3.05,57374700.0,118375000.0
2023-01-09,851512.SI,化学制剂,L3,7206.65,7109.81,7352.46,7257.14,62.08,0.86,110806.0,1575760.0,35.82,3.08,57869800.0,119498000.0
2023-01-10,851512.SI,化学制剂,L3,7251.76,7157.07,7410.24,7308.24,51.1,0.7,106873.0,1652990.0,35.75,3.09,58632400.0,120380000.0
2023-01-11,851512.SI,化学制剂,L3,7306.14,7184.55,7419.43,7261.96,-46.28,-0.63,109027.0,1688520.0,35.52,3.07,58261500.0,119562000.0
2023-01-12,851512.SI,化学制剂,L3,7246.44,7117.93,7316.3,7160.42,-101.54,-1.4,101148.0,1473390.0,35.01,3.02,57446800.0,118101000.0
2023-01-13,851512.SI,化学制剂,L3,7204.16,7126.48,7393.73,7345.96,185.55,2.59,98365.0,1498390.0,35.94,3.1,58967200.0,121146000.0
2023-01-16,851512.SI,化学制剂,L3,7344.66,7284.48,7650.58,7528.35,182.39,2.48,128764.0,2197040.0,36.83,3.18,60431300.0,124214000.0
2023-01-17,851512.SI,化学制剂,L3,7515.7,7360.73,7576.07,7417.96,-110.39,-1.47,97117.0,1469250.0,36.29,3.13,59545200.0,122348000.0
2023-01-18,851512.SI,化学制剂,L3,7419.25,7308.85,7492.03,7379.68,-38.28,-0.52,70917.0,1097560.0,36.11,3.12,59237800.0,121679000.0
2023-01-19,851512.SI,化学制剂,L3,7401.22,7319.43,7622.27,7516.58,136.9,1.86,84295.0,1474380.0,36.81,3.18,60390700.0,123913000.0
2023-01-20,851512.SI,化学制剂,L3,7521.31,7459.83,7659.21,7518.78,2.21,0.03,81520.0,1173470.0,36.83,3.18,60408400.0,123995000.0
2023-01-30,851512.SI,化学制剂,L3,7562.95,7389.63,7641.5,7450.08,-68.7,-0.91,128833.0,1742430.0,36.4,3.14,60240500.0,123033000.0
2023-01-31,851512.SI,化学制剂,L3,7444.59,7298.93,7522.52,7361.12,-88.96,-1.19,109022.0,1360970.0,35.95,3.1,59521300.0,121652000.0
2023-02-01,851512.SI,化学制剂,L3,7365.24,7303.17,7470.63,7441.08,79.96,1.09,104295.0,1351360.0,36.35,3.14,60167800.0,122837000.0
2023-02-02,851512.SI,化学制剂,L3,7456.41,7392.83,7652.13,7531.89,90.81,1.22,106580.0,1565460.0,36.79,3.18,60902100.0,124503000.0
2023-02-03,851512.SI,化学制剂,L3,7528.19,7412.85,7606.56,7500.12,-31.77,-0.42,96114.0,1318580.0,36.63,3.16,60645100.0,123893000.0
2023-02-06,851512.SI,化学制剂,L3,7479.45,7368.28,7563.38,7440.3,-59.82,-0.8,85526.0,1180440.0,36.34,3.14,60161600.0,122848000.0
2023-02-07,851512.SI,化学制剂,L3,7448.97,7336.49,7527.92,7388.99,-51.3,-0.69,80461.0,1018580.0,36.09,3.12,59746800.0,121944000.0
2023-02-08,851512.SI,化学制剂,L3,7404.45,7357.08,7549.08,7455.68,66.69,0.9,77541.0,1083410.0,36.42,3.14,60286000.0,123094000.0
2023-02-09,851512.SI,化学制剂,L3,7441.25,7389.58,7564.45,7518.81,63.13,0.85,90992.0,1178880.0,36.73,3.17,60796500.0,124271000.0
2023-02-10,851512.SI,化学制剂,L3,7514.05,7427.66,7599.17,7508.47,-10.33,-0.14,80748.0,1062590.0,36.69,3.17,60722400.0,124167000.0
2023-02-13,851512.SI,化学制剂,L3,7536.01,7502.84,7738.47,7623.05,114.58,1.53,95898.0,1416680.0,37.25,3.21,61649000.0,126136000.0
2023-02-14,851512.SI,化学制剂,L3,7635.85,7551.7,7716.84,7663.44,40.39,0.53,99127.0,1239880.0,37.43,3.23,61975700.0,126821000.0
2023-02-15,851512.SI,化学制剂,L3,7668.83,7524.19,7728.89,7592.15,-71.29,-0.93,100335.0,1323500.0,37.08,3.2,61382000.0,125621000.0
2023-02-16,851512.SI,化学制剂,L3,7596.69,7406.61,7695.59,7485.47,-106.68,-1.41,157851.0,1805430.0,36.57,3.16,60519500.0,123706000.0
2023-02-17,851512.SI,化学制剂,L3,7478.49,7405.25,7661.03,7551.14,65.67,0.88,178297.0,2038680.0,36.87,3.18,61050400.0,124979000.0
2023-02-20,851512.SI,化学制剂,L3,7560.52,7409.65,7683.01,7621.06,69.93,0.93,138597.0,1716040.0,37.22,3.21,61615700.0,126146000.0
