trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851523.SI,疫苗,L3,24601.2,24334.9,25063.0,24843.3,211.26,0.86,8870.0,333078.0,29.79,4.22,20416200.0,44978000.0
2023-01-04,851523.SI,疫苗,L3,24733.9,24401.4,25260.8,24917.4,74.15,0.3,7686.0,322574.0,29.88,4.24,20477200.0,45163100.0
2023-01-05,851523.SI,疫苗,L3,25001.8,24785.6,26275.8,25976.1,1058.64,4.25,10984.0,546456.0,31.16,4.42,21347200.0,47374900.0
2023-01-06,851523.SI,疫苗,L3,25906.1,25555.4,26123.9,25838.4,-137.62,-0.53,6752.0,307987.0,30.99,4.39,21234100.0,47167000.0
2023-01-09,851523.SI,疫苗,L3,25834.2,25573.3,26145.1,25858.3,19.86,0.08,5942.0,260495.0,31.02,4.4,21250400.0,47217400.0
2023-01-10,851523.SI,疫苗,L3,25811.6,25645.5,26713.9,26389.5,531.2,2.05,8133.0,419051.0,31.64,4.48,21686900.0,48379500.0
2023-01-11,851523.SI,疫苗,L3,26358.7,26152.1,27101.8,26412.3,22.79,0.09,9839.0,442848.0,31.66,4.49,21705700.0,48496100.0
2023-01-12,851523.SI,疫苗,L3,26375.6,25897.5,26562.0,26048.8,-363.51,-1.38,6608.0,297042.0,31.23,4.43,21406900.0,47942300.0
2023-01-13,851523.SI,疫苗,L3,26124.7,25943.9,26741.0,26643.4,594.59,2.28,6900.0,310940.0,31.94,4.53,21895600.0,49031900.0
2023-01-16,851523.SI,疫苗,L3,26673.7,26537.9,27726.7,27272.9,629.53,2.36,11993.0,560652.0,32.59,4.67,22740300.0,50081000.0
2023-01-17,851523.SI,疫苗,L3,27275.8,26970.3,27669.8,27096.1,-176.87,-0.65,6454.0,319630.0,32.38,4.64,22592800.0,49680400.0
2023-01-18,851523.SI,疫苗,L3,27131.8,26676.3,27252.4,26841.9,-254.12,-0.94,4557.0,231733.0,32.08,4.6,22381000.0,49177200.0
2023-01-19,851523.SI,疫苗,L3,26847.9,26622.1,27494.3,27240.8,398.84,1.49,5566.0,251849.0,32.56,4.67,22713500.0,49822600.0
2023-01-20,851523.SI,疫苗,L3,27218.8,26833.6,27452.9,26987.0,-253.73,-0.93,5182.0,255588.0,32.26,4.63,22502000.0,49253700.0
2023-01-30,851523.SI,疫苗,L3,27504.8,26290.2,27629.6,26399.4,-587.68,-2.18,8849.0,499566.0,31.55,4.52,22011900.0,48179700.0
