trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851543.SI,线下药店,L3,22263.6,22252.5,23984.6,23730.5,1335.66,5.96,5848.0,229331.0,36.66,4.57,6481040.0,15268500.0
2023-01-04,851543.SI,线下药店,L3,23839.5,23175.4,24071.0,23705.6,-24.88,-0.1,3592.0,136954.0,36.63,4.57,6474240.0,15240300.0
2023-01-05,851543.SI,线下药店,L3,23812.2,23318.4,24125.1,23554.4,-151.28,-0.64,2934.0,112734.0,36.41,4.54,6432920.0,15140000.0
2023-01-06,851543.SI,线下药店,L3,23592.5,22824.7,23704.1,23320.2,-234.17,-0.99,2579.0,92510.0,36.05,4.49,6368970.0,14991300.0
2023-01-09,851543.SI,线下药店,L3,23298.8,23019.2,23660.8,23186.0,-134.21,-0.58,2510.0,94941.0,35.85,4.47,6332320.0,14908900.0
2023-01-10,851543.SI,线下药店,L3,23229.1,22944.0,23553.4,23282.6,96.61,0.42,2010.0,73725.0,36.0,4.49,6358700.0,14976400.0
2023-01-11,851543.SI,线下药店,L3,23267.4,22884.4,23473.5,23128.9,-153.7,-0.66,2056.0,77745.0,35.77,4.46,6316720.0,14867400.0
2023-01-12,851543.SI,线下药店,L3,22900.5,22555.8,23175.9,22828.7,-300.24,-1.3,2097.0,83436.0,35.3,4.4,6234730.0,14673600.0
2023-01-13,851543.SI,线下药店,L3,22924.4,22645.7,23192.8,23029.0,200.38,0.88,2153.0,83446.0,35.61,4.44,6289170.0,14798700.0
2023-01-16,851543.SI,线下药店,L3,23074.5,22092.5,23389.4,22355.4,-673.62,-2.93,4464.0,177763.0,34.55,4.31,6105200.0,14361200.0
2023-01-17,851543.SI,线下药店,L3,22303.4,22086.4,22761.9,22354.3,-1.08,0.0,2324.0,88783.0,34.56,4.31,6104910.0,14350800.0
2023-01-18,851543.SI,线下药店,L3,22316.5,21925.8,22621.3,22159.5,-194.86,-0.87,2098.0,88170.0,34.25,4.27,6051690.0,14222900.0
2023-01-19,851543.SI,线下药店,L3,22146.9,21788.2,22557.2,22003.1,-156.39,-0.71,2994.0,119743.0,34.01,4.24,6008980.0,14100400.0
2023-01-20,851543.SI,线下药店,L3,22048.1,21874.2,22791.7,22044.9,41.85,0.19,2959.0,110259.0,34.06,4.25,6020410.0,14146300.0
2023-01-30,851543.SI,线下药店,L3,22101.8,21075.9,22346.4,21221.8,-823.15,-3.73,4548.0,168980.0,32.77,4.08,5795610.0,13645700.0
2023-01-31,851543.SI,线下药店,L3,21227.0,20996.8,21469.9,21149.3,-72.46,-0.34,3781.0,115342.0,32.61,4.07,5775820.0,13631500.0
2023-02-01,851543.SI,线下药店,L3,21112.2,21014.5,21761.6,21478.7,329.34,1.56,3872.0,138375.0,33.11,4.13,5865770.0,13839900.0
2023-02-02,851543.SI,线下药店,L3,21428.8,21187.4,22075.6,21481.6,2.94,0.01,4753.0,151250.0,33.04,4.12,5866570.0,13888500.0
2023-02-03,851543.SI,线下药店,L3,21435.4,20782.6,21470.8,21014.6,-467.0,-2.17,3433.0,112960.0,32.31,4.03,5740590.0,13604700.0
2023-02-06,851543.SI,线下药店,L3,20985.2,20668.7,21216.1,20878.0,-136.6,-0.65,2709.0,90081.0,32.09,4.0,5703280.0,13521700.0
2023-02-07,851543.SI,线下药店,L3,20929.8,20509.6,21124.2,20677.3,-200.66,-0.96,2506.0,87680.0,31.78,3.96,5648460.0,13396700.0
2023-02-08,851543.SI,线下药店,L3,20631.1,20390.6,20882.2,20518.0,-159.36,-0.77,2444.0,81593.0,31.55,3.93,5604930.0,13274800.0
2023-02-09,851543.SI,线下药店,L3,20533.7,20383.2,20839.8,20721.1,203.08,0.99,2133.0,75178.0,31.87,3.97,5660410.0,13398600.0
2023-02-10,851543.SI,线下药店,L3,20720.6,20504.2,21067.2,20921.5,200.42,0.97,2505.0,89363.0,32.19,4.01,5715160.0,13512200.0
2023-02-13,851543.SI,线下药店,L3,20924.1,20741.8,21408.3,20889.6,-31.89,-0.15,3341.0,117455.0,32.13,4.01,5706440.0,13490300.0
2023-02-14,851543.SI,线下药店,L3,20909.3,20785.5,21252.9,21138.1,248.52,1.19,2670.0,90845.0,32.53,4.05,5774330.0,13646700.0
2023-02-15,851543.SI,线下药店,L3,21126.1,20958.4,21326.9,21102.0,-36.11,-0.17,2268.0,76362.0,32.48,4.05,5764470.0,13622000.0
2023-02-16,851543.SI,线下药店,L3,22623.1,21486.7,23185.0,21719.3,617.3,2.93,12353.0,468218.0,33.42,4.17,5933100.0,14020300.0
2023-02-17,851543.SI,线下药店,L3,21424.0,21080.1,23119.6,22549.5,830.21,3.82,9281.0,325682.0,34.71,4.33,6159890.0,14528900.0
2023-02-20,851543.SI,线下药店,L3,22443.3,21912.3,22775.3,22516.7,-32.82,-0.15,5576.0,184721.0,34.67,4.32,6150920.0,14500000.0
2023-02-21,851543.SI,线下药店,L3,22406.8,21845.1,22712.4,22187.8,-328.92,-1.46,4197.0,144521.0,34.17,4.26,6061070.0,14286300.0
2023-02-22,851543.SI,线下药店,L3,22019.4,21790.9,22460.6,22021.3,-166.48,-0.75,2685.0,93143.0,33.91,4.23,6015590.0,14184400.0
2023-02-23,851543.SI,线下药店,L3,22013.7,21630.3,22130.3,21840.4,-180.84,-0.82,2638.0,84117.0,33.64,4.19,5966190.0,14070500.0
2023-02-24,851543.SI,线下药店,L3,21793.4,21646.4,22198.5,21919.4,78.99,0.36,1904.0,65887.0,33.77,4.21,5987770.0,14113500.0
2023-02-27,851543.SI,线下药店,L3,21897.7,21449.6,22211.9,21880.8,-38.66,-0.18,2158.0,76192.0,33.71,4.2,5977210.0,14089100.0
2023-02-28,851543.SI,线下药店,L3,21834.7,21674.2,22478.9,22386.1,505.33,2.31,2623.0,92464.0,34.49,4.3,6115250.0,14406400.0
2023-03-01,851543.SI,线下药店,L3,22368.0,21830.2,22511.4,21997.6,-388.53,-1.74,2325.0,83376.0,33.89,4.22,6009120.0,14165400.0
2023-03-02,851543.SI,线下药店,L3,22086.9,21636.4,22167.0,21772.2,-225.35,-1.02,1607.0,52022.0,33.54,4.18,5947560.0,14017400.0
2023-03-03,851543.SI,线下药店,L3,21656.1,21489.8,22059.7,21585.8,-186.39,-0.86,2182.0,78813.0,33.26,4.15,5896640.0,13893000.0
2023-03-06,851543.SI,线下药店,L3,21642.1,21238.0,21909.1,21634.3,48.47,0.22,2452.0,79868.0,33.28,4.15,5925210.0,13932300.0
2023-03-07,851543.SI,线下药店,L3,21595.4,21280.3,21882.2,21296.2,-338.15,-1.56,2177.0,73234.0,32.77,4.08,5832600.0,13705600.0
2023-03-08,851543.SI,线下药店,L3,21289.2,21094.2,21614.3,21395.3,99.13,0.47,2579.0,73932.0,32.93,4.1,5982420.0,14643000.0
2023-03-09,851543.SI,线下药店,L3,21387.3,21183.6,21626.4,21409.2,13.89,0.06,2496.0,69947.0,32.96,4.11,5986300.0,14646100.0
2023-03-10,851543.SI,线下药店,L3,21216.3,20841.1,21420.2,21069.6,-339.54,-1.59,2885.0,87314.0,32.45,4.04,5891360.0,14401900.0
2023-03-13,851543.SI,线下药店,L3,21086.4,20901.5,21864.4,21726.3,656.7,3.12,3548.0,118411.0,33.47,4.17,6074980.0,14845900.0
2023-03-14,851543.SI,线下药店,L3,21644.3,21232.8,21949.6,21338.9,-387.46,-1.78,2905.0,89565.0,32.88,4.1,5966650.0,14565700.0
2023-03-15,851543.SI,线下药店,L3,21476.8,21186.8,21911.8,21636.5,297.59,1.39,2730.0,88862.0,33.35,4.16,6049860.0,14752800.0
2023-03-16,851543.SI,线下药店,L3,21487.1,21172.7,21947.1,21743.5,107.01,0.49,3896.0,127354.0,33.52,4.18,6079780.0,14817100.0
2023-03-17,851543.SI,线下药店,L3,21742.3,21247.9,22103.7,21359.5,-383.99,-1.77,3851.0,123591.0,32.93,4.1,5972410.0,14560400.0
2023-03-20,851543.SI,线下药店,L3,21365.2,20738.9,21454.5,21175.9,-183.6,-0.86,3732.0,111900.0,32.68,4.07,5921070.0,14410500.0
2023-03-21,851543.SI,线下药店,L3,21131.8,21034.3,21650.9,21578.7,402.77,1.9,2424.0,75516.0,33.3,4.15,6033690.0,14672200.0
2023-03-22,851543.SI,线下药店,L3,21609.0,21101.3,21875.6,21239.3,-339.32,-1.57,2649.0,83809.0,32.76,4.08,5938820.0,14453000.0
2023-03-23,851543.SI,线下药店,L3,21190.3,20909.5,21501.1,21259.0,19.63,0.09,2623.0,78548.0,32.72,4.08,5978030.0,14475900.0
2023-03-24,851543.SI,线下药店,L3,21290.7,21037.9,21550.1,21140.2,-118.74,-0.56,2544.0,72649.0,32.51,4.05,5944640.0,14418600.0
2023-03-27,851543.SI,线下药店,L3,21159.6,20819.4,21309.9,21071.0,-69.26,-0.33,2755.0,77394.0,32.38,4.03,5925160.0,14395400.0
2023-03-28,851543.SI,线下药店,L3,21012.6,20967.7,22188.1,21874.5,803.5,3.81,4532.0,144406.0,33.64,4.19,6151110.0,14918300.0
2023-03-29,851543.SI,线下药店,L3,21918.1,21540.1,22262.0,21827.3,-47.19,-0.22,3476.0,102371.0,33.55,4.18,6137840.0,14907800.0
2023-03-30,851543.SI,线下药店,L3,21839.3,21415.4,21956.3,21675.1,-152.19,-0.7,2795.0,76827.0,33.36,4.16,6095040.0,14780200.0
2023-03-31,851543.SI,线下药店,L3,21701.6,21368.4,22012.3,21638.9,-36.15,-0.17,3386.0,98954.0,33.24,4.14,6084880.0,14807200.0
2023-04-03,851543.SI,线下药店,L3,21727.0,20094.2,21773.9,20757.0,-881.95,-4.08,7151.0,235067.0,31.3,3.95,5836880.0,14260300.0
2023-04-04,851543.SI,线下药店,L3,20529.9,20274.7,21045.5,20663.1,-93.89,-0.45,4086.0,132119.0,31.18,3.93,5810470.0,14185200.0
2023-04-06,851543.SI,线下药店,L3,20644.8,20459.5,21185.0,20838.7,175.56,0.85,3823.0,123778.0,31.43,3.97,5861890.0,14318200.0
2023-04-07,851543.SI,线下药店,L3,20814.2,20625.9,21152.8,20871.0,32.3,0.16,2955.0,88851.0,31.48,3.97,5870970.0,14357500.0
2023-04-10,851543.SI,线下药店,L3,20851.8,20257.1,21056.7,20832.3,-38.66,-0.19,3342.0,103272.0,31.43,3.97,5860100.0,14322000.0
2023-04-11,851543.SI,线下药店,L3,20760.2,20702.5,21762.9,21292.5,460.19,2.21,4423.0,153227.0,32.17,4.06,5989550.0,14584900.0
2023-04-12,851543.SI,线下药店,L3,21303.6,21121.2,21805.9,21283.2,-9.35,-0.04,2899.0,98347.0,32.16,4.06,5986920.0,14583500.0
