trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851612.SI,水力发电,L3,4014.65,3987.84,4050.22,4017.01,-3.98,-0.1,15718.0,187057.0,19.14,2.18,20354800.0,80641700.0
2023-01-04,851612.SI,水力发电,L3,4028.91,3986.08,4038.81,4003.25,-13.76,-0.34,13030.0,148553.0,19.08,2.18,20285100.0,80397000.0
2023-01-05,851612.SI,水力发电,L3,4016.58,3981.64,4032.48,3995.37,-7.88,-0.2,12430.0,163417.0,19.04,2.17,20245200.0,80250000.0
2023-01-06,851612.SI,水力发电,L3,3995.71,3964.15,4027.64,4016.21,20.84,0.52,13941.0,188210.0,19.14,2.18,20350800.0,80655500.0
2023-01-09,851612.SI,水力发电,L3,4023.93,3975.48,4031.35,3989.14,-27.07,-0.67,12225.0,153272.0,19.01,2.17,20213600.0,80028000.0
2023-01-10,851612.SI,水力发电,L3,3990.95,3958.46,4022.2,3966.53,-22.61,-0.57,12809.0,169235.0,18.9,2.16,20099000.0,79639000.0
2023-01-11,851612.SI,水力发电,L3,3988.73,3978.75,4041.58,3987.42,20.89,0.53,12851.0,191433.0,19.0,2.17,20204900.0,79993000.0
2023-01-12,851612.SI,水力发电,L3,3993.45,3960.56,4022.0,3980.37,-7.05,-0.18,13722.0,183052.0,19.0,2.17,20163800.0,80024600.0
2023-01-13,851612.SI,水力发电,L3,3987.63,3966.12,4033.47,4010.41,30.04,0.75,14049.0,180300.0,19.14,2.19,20316000.0,80497300.0
2023-01-16,851612.SI,水力发电,L3,3999.81,3982.28,4044.31,4017.58,7.17,0.18,18469.0,238651.0,19.17,2.19,20352300.0,80613000.0
2023-01-17,851612.SI,水力发电,L3,4014.04,3968.28,4038.88,3975.86,-41.72,-1.04,14578.0,209536.0,18.97,2.17,20141000.0,79856600.0
2023-01-18,851612.SI,水力发电,L3,3984.59,3968.17,4006.8,3985.52,9.66,0.24,10556.0,143548.0,19.02,2.18,20190000.0,80106200.0
2023-01-19,851612.SI,水力发电,L3,3986.73,3928.8,3994.1,3947.8,-37.72,-0.95,17377.0,241979.0,18.84,2.16,19998900.0,79650000.0
2023-01-20,851612.SI,水力发电,L3,3962.04,3943.2,4044.17,4041.88,94.08,2.38,22939.0,348474.0,19.29,2.21,20475400.0,81371400.0
2023-01-30,851612.SI,水力发电,L3,4059.86,4007.47,4074.36,4012.93,-28.95,-0.72,20846.0,261053.0,19.15,2.19,20328800.0,80532100.0
2023-01-31,851612.SI,水力发电,L3,3964.98,3953.55,4019.85,3994.3,-18.63,-0.46,16088.0,218432.0,19.06,2.18,20234400.0,80159800.0
2023-02-01,851612.SI,水力发电,L3,4003.03,3964.07,4013.73,3998.81,4.51,0.11,15251.0,194877.0,19.08,2.18,20257200.0,80249200.0
2023-02-02,851612.SI,水力发电,L3,4001.3,3970.06,4034.41,4016.75,17.94,0.45,15378.0,204716.0,19.17,2.19,20348100.0,80546000.0
2023-02-03,851612.SI,水力发电,L3,4002.27,3977.63,4025.96,4009.25,-7.5,-0.19,16616.0,202115.0,19.13,2.19,20310200.0,80309000.0
2023-02-06,851612.SI,水力发电,L3,3993.98,3977.45,4033.79,4019.61,10.36,0.26,15803.0,190829.0,19.18,2.19,20362600.0,80499700.0
2023-02-07,851612.SI,水力发电,L3,4024.81,4016.83,4085.75,4071.71,52.09,1.3,15988.0,219727.0,19.43,2.22,20626500.0,81495900.0
