trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851616.SI,光伏发电,L3,1270.25,1261.71,1326.32,1316.65,45.51,3.58,45890.0,340887.0,35.35,1.62,7750700.0,16629200.0
2023-01-04,851616.SI,光伏发电,L3,1314.35,1295.76,1334.45,1312.19,-4.45,-0.34,36017.0,273807.0,35.23,1.61,7724490.0,16588300.0
2023-01-05,851616.SI,光伏发电,L3,1323.44,1308.71,1369.42,1351.49,39.3,2.99,61447.0,449218.0,36.29,1.66,7955830.0,17004800.0
2023-01-06,851616.SI,光伏发电,L3,1354.3,1345.94,1422.2,1388.84,37.35,2.76,74290.0,569127.0,37.34,1.71,8218930.0,17422800.0
2023-01-09,851616.SI,光伏发电,L3,1406.5,1360.78,1419.19,1374.0,-14.85,-1.07,75699.0,572398.0,36.94,1.7,8131080.0,17271400.0
2023-01-10,851616.SI,光伏发电,L3,1376.78,1356.07,1406.17,1370.48,-3.52,-0.26,53823.0,446627.0,36.85,1.69,8110240.0,17224800.0
2023-01-11,851616.SI,光伏发电,L3,1370.45,1339.95,1382.84,1344.99,-25.49,-1.86,45938.0,365010.0,36.16,1.66,7959400.0,16927200.0
2023-01-12,851616.SI,光伏发电,L3,1341.71,1329.02,1376.22,1341.27,-3.72,-0.28,48071.0,369981.0,36.06,1.66,7937380.0,16879200.0
2023-01-13,851616.SI,光伏发电,L3,1350.01,1319.13,1359.78,1337.67,-3.6,-0.27,40918.0,267622.0,35.96,1.65,7916100.0,16821400.0
2023-01-16,851616.SI,光伏发电,L3,1339.34,1327.32,1366.91,1343.5,5.83,0.44,45282.0,303355.0,36.12,1.66,7950580.0,16923400.0
2023-01-17,851616.SI,光伏发电,L3,1346.63,1328.02,1369.4,1339.34,-4.16,-0.31,36623.0,252272.0,36.01,1.65,7925980.0,16876300.0
2023-01-18,851616.SI,光伏发电,L3,1343.76,1325.06,1355.14,1335.12,-4.22,-0.32,34832.0,235722.0,35.9,1.65,7900980.0,16841800.0
2023-01-19,851616.SI,光伏发电,L3,1330.52,1312.38,1338.29,1325.87,-9.25,-0.69,28945.0,197857.0,35.65,1.64,7846260.0,16744700.0
2023-01-20,851616.SI,光伏发电,L3,1330.54,1324.22,1353.07,1346.7,20.84,1.57,29419.0,216525.0,36.21,1.66,7969560.0,16996600.0
2023-01-30,851616.SI,光伏发电,L3,1351.33,1327.29,1362.38,1335.48,-11.22,-0.83,51631.0,397348.0,35.91,1.65,7903140.0,16848700.0
2023-01-31,851616.SI,光伏发电,L3,1329.05,1318.53,1353.68,1346.68,11.2,0.84,40675.0,294906.0,36.21,1.66,7969400.0,16970100.0
2023-02-01,851616.SI,光伏发电,L3,1347.89,1329.55,1368.33,1359.93,13.25,0.98,46701.0,356304.0,37.8,1.7,8320120.0,17125600.0
2023-02-02,851616.SI,光伏发电,L3,1356.85,1337.78,1376.1,1349.98,-9.95,-0.73,43812.0,342806.0,37.52,1.69,8259260.0,17024300.0
2023-02-03,851616.SI,光伏发电,L3,1348.01,1310.42,1351.79,1330.48,-19.5,-1.44,37913.0,290161.0,36.98,1.66,8139940.0,16792000.0
2023-02-06,851616.SI,光伏发电,L3,1325.91,1316.1,1346.5,1329.53,-0.95,-0.07,31156.0,233034.0,36.95,1.66,8134150.0,16765100.0
2023-02-07,851616.SI,光伏发电,L3,1331.9,1321.99,1363.88,1343.91,14.38,1.08,45778.0,312747.0,37.35,1.68,8222100.0,16933300.0
2023-02-08,851616.SI,光伏发电,L3,1345.34,1334.7,1365.63,1351.42,7.51,0.56,41671.0,315928.0,37.56,1.69,8268050.0,17019900.0
2023-02-09,851616.SI,光伏发电,L3,1351.22,1340.85,1395.68,1379.26,27.84,2.06,59422.0,533742.0,38.34,1.73,8438380.0,17309400.0
2023-02-10,851616.SI,光伏发电,L3,1373.29,1351.03,1394.93,1373.4,-5.85,-0.42,61114.0,445747.0,38.17,1.72,8402560.0,17242700.0
2023-02-13,851616.SI,光伏发电,L3,1371.68,1362.85,1403.21,1380.17,6.77,0.49,56544.0,424368.0,38.36,1.73,8443960.0,17327300.0
2023-02-14,851616.SI,光伏发电,L3,1384.49,1364.49,1397.37,1380.14,-0.03,0.0,42496.0,321775.0,38.36,1.73,8443780.0,17342300.0
2023-02-15,851616.SI,光伏发电,L3,1380.83,1362.33,1395.59,1373.61,-6.53,-0.47,42589.0,325108.0,38.18,1.72,8403850.0,17246700.0
2023-02-16,851616.SI,光伏发电,L3,1371.73,1306.5,1375.88,1320.67,-52.94,-3.85,57227.0,434653.0,36.71,1.65,8079940.0,16614300.0
2023-02-17,851616.SI,光伏发电,L3,1321.0,1304.45,1339.2,1313.41,-7.26,-0.55,33424.0,255399.0,36.51,1.64,8035510.0,16511400.0
2023-02-20,851616.SI,光伏发电,L3,1309.98,1291.07,1322.31,1315.62,2.22,0.17,35500.0,259100.0,36.57,1.65,8049070.0,16540800.0
2023-02-21,851616.SI,光伏发电,L3,1317.69,1308.96,1344.52,1327.02,11.4,0.87,33669.0,252193.0,36.89,1.66,8118820.0,16691300.0
2023-02-22,851616.SI,光伏发电,L3,1319.9,1311.7,1337.43,1320.8,-6.22,-0.47,26037.0,199742.0,35.92,1.63,8434640.0,16617200.0
2023-02-23,851616.SI,光伏发电,L3,1320.34,1311.92,1338.68,1327.94,7.14,0.54,28792.0,233798.0,36.12,1.64,8480240.0,16689000.0
2023-02-24,851616.SI,光伏发电,L3,1329.52,1309.04,1336.41,1316.06,-11.88,-0.89,28417.0,212720.0,35.79,1.63,8404350.0,16543400.0
2023-02-27,851616.SI,光伏发电,L3,1311.13,1301.86,1338.71,1317.52,1.46,0.11,27788.0,203532.0,35.83,1.63,8413690.0,16547700.0
