trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851631.SI,燃气Ⅲ,L3,2550.33,2532.54,2588.18,2576.3,24.2,0.95,14045.0,123055.0,20.26,1.96,7513740.0,22543100.0
2023-01-04,851631.SI,燃气Ⅲ,L3,2573.92,2537.36,2588.81,2556.26,-20.04,-0.78,13383.0,121848.0,20.1,1.94,7455280.0,22364400.0
2023-01-05,851631.SI,燃气Ⅲ,L3,2560.87,2542.39,2606.76,2583.59,27.33,1.07,22117.0,203219.0,20.32,1.96,7535000.0,22687300.0
2023-01-06,851631.SI,燃气Ⅲ,L3,2586.24,2566.38,2644.55,2616.91,33.32,1.29,21935.0,223379.0,20.58,1.99,7632170.0,23042800.0
2023-01-09,851631.SI,燃气Ⅲ,L3,2621.95,2588.54,2643.87,2615.49,-1.42,-0.05,20669.0,204063.0,20.56,1.99,7642930.0,23065900.0
2023-01-10,851631.SI,燃气Ⅲ,L3,2622.03,2587.8,2653.76,2617.1,1.61,0.06,15873.0,160089.0,20.58,1.99,7647470.0,23115200.0
2023-01-11,851631.SI,燃气Ⅲ,L3,2619.36,2606.55,2704.44,2674.85,57.75,2.21,22984.0,244608.0,21.03,2.04,7816230.0,23753600.0
2023-01-12,851631.SI,燃气Ⅲ,L3,2669.65,2634.58,2692.16,2661.6,-13.25,-0.5,18440.0,170112.0,20.93,2.03,7777520.0,23634000.0
2023-01-13,851631.SI,燃气Ⅲ,L3,2667.88,2620.4,2687.27,2647.23,-14.37,-0.54,14133.0,133121.0,20.81,2.01,7735520.0,23489100.0
2023-01-16,851631.SI,燃气Ⅲ,L3,2647.22,2627.45,2687.91,2656.15,8.91,0.34,15550.0,145662.0,20.88,2.02,7761570.0,23503500.0
2023-01-17,851631.SI,燃气Ⅲ,L3,2657.48,2635.25,2690.7,2663.94,7.8,0.29,12614.0,118972.0,20.94,2.03,7784350.0,23568100.0
2023-01-18,851631.SI,燃气Ⅲ,L3,2675.45,2659.29,2706.62,2686.83,22.89,0.86,11831.0,111658.0,21.13,2.05,7868810.0,23736000.0
2023-01-19,851631.SI,燃气Ⅲ,L3,2696.15,2667.53,2723.35,2699.43,12.6,0.47,14543.0,122802.0,21.23,2.06,7905700.0,23769900.0
2023-01-20,851631.SI,燃气Ⅲ,L3,2704.13,2685.68,2733.9,2725.37,25.95,0.96,14580.0,123099.0,21.43,2.07,7981690.0,23984800.0
2023-01-30,851631.SI,燃气Ⅲ,L3,2745.78,2700.02,2765.99,2714.19,-11.18,-0.41,19016.0,177785.0,21.35,2.07,7949240.0,23871400.0
2023-01-31,851631.SI,燃气Ⅲ,L3,2715.42,2695.82,2745.6,2734.96,20.77,0.77,15568.0,133214.0,21.51,2.08,8010060.0,24042700.0
2023-02-01,851631.SI,燃气Ⅲ,L3,2737.71,2713.13,2760.37,2745.96,11.0,0.4,16681.0,152294.0,21.6,2.09,8042270.0,24136100.0
2023-02-02,851631.SI,燃气Ⅲ,L3,2750.99,2719.59,2768.13,2735.22,-10.73,-0.39,16393.0,138062.0,21.51,2.08,8010830.0,24045200.0
2023-02-03,851631.SI,燃气Ⅲ,L3,2735.19,2687.04,2744.78,2717.85,-17.38,-0.64,14895.0,132652.0,21.37,2.07,7959940.0,23891600.0
2023-02-06,851631.SI,燃气Ⅲ,L3,2725.48,2706.04,2758.13,2735.93,18.09,0.67,14848.0,145571.0,21.52,2.08,8012910.0,24116900.0
2023-02-07,851631.SI,燃气Ⅲ,L3,2741.4,2726.67,2781.04,2772.64,36.7,1.34,15701.0,152841.0,21.8,2.11,8120400.0,24472800.0
2023-02-08,851631.SI,燃气Ⅲ,L3,2775.17,2739.37,2792.83,2753.04,-19.6,-0.71,14856.0,144345.0,21.65,2.1,8063000.0,24276400.0
2023-02-09,851631.SI,燃气Ⅲ,L3,2750.0,2729.23,2775.05,2756.45,3.41,0.12,14319.0,130927.0,21.68,2.1,8073000.0,24273100.0
