trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851721.SI,公交,L3,2508.93,2448.09,2546.85,2471.8,-25.73,-1.03,16529.0,136921.0,59.41,1.52,1538130.0,3082250.0
2023-01-04,851721.SI,公交,L3,2467.79,2445.92,2512.88,2481.89,10.09,0.41,12169.0,103171.0,59.65,1.52,1544400.0,3088750.0
2023-01-05,851721.SI,公交,L3,2480.33,2435.0,2551.26,2491.35,9.46,0.38,15600.0,133796.0,59.88,1.53,1550290.0,3100200.0
2023-01-06,851721.SI,公交,L3,2475.2,2403.95,2492.63,2418.97,-72.38,-2.91,13312.0,106043.0,58.14,1.48,1505250.0,3017030.0
2023-01-09,851721.SI,公交,L3,2423.98,2404.87,2461.96,2432.59,13.62,0.56,8363.0,72647.0,58.47,1.49,1513720.0,3032220.0
2023-01-10,851721.SI,公交,L3,2427.29,2390.55,2473.72,2420.2,-12.39,-0.51,8942.0,92508.0,58.17,1.49,1506010.0,3023620.0
2023-01-11,851721.SI,公交,L3,2429.35,2381.88,2493.84,2440.89,20.69,0.85,10753.0,143700.0,58.66,1.5,1518890.0,3062230.0
2023-01-12,851721.SI,公交,L3,2442.96,2370.6,2454.68,2386.02,-54.86,-2.25,9085.0,107240.0,57.35,1.46,1484750.0,2995250.0
2023-01-13,851721.SI,公交,L3,2389.26,2364.33,2423.29,2395.48,9.46,0.4,6109.0,62541.0,57.57,1.47,1490630.0,3009950.0
2023-01-16,851721.SI,公交,L3,2395.74,2371.22,2420.35,2391.76,-3.73,-0.16,5856.0,60498.0,57.48,1.47,1488310.0,3006760.0
2023-01-17,851721.SI,公交,L3,2390.33,2367.5,2419.44,2397.1,5.34,0.22,6671.0,56769.0,57.61,1.47,1491640.0,3009490.0
2023-01-18,851721.SI,公交,L3,2348.74,2315.27,2370.64,2340.33,-56.77,-2.37,6064.0,85930.0,56.25,1.44,1456310.0,2935900.0
2023-01-19,851721.SI,公交,L3,2404.6,2383.95,2440.89,2412.44,72.11,3.08,9502.0,69818.0,58.15,1.48,1505600.0,3012440.0
2023-01-20,851721.SI,公交,L3,2400.61,2367.6,2462.16,2421.34,8.9,0.37,13074.0,77656.0,58.37,1.49,1511160.0,3022510.0
2023-01-30,851721.SI,公交,L3,2429.87,2372.88,2452.36,2388.01,-33.33,-1.38,11494.0,90130.0,57.56,1.47,1490360.0,2986470.0
2023-01-31,851721.SI,公交,L3,2382.87,2346.63,2407.3,2388.63,0.62,0.03,8358.0,66360.0,57.58,1.47,1490740.0,2985730.0
2023-02-01,851721.SI,公交,L3,2388.29,2371.53,2416.45,2410.77,22.14,0.93,7810.0,62672.0,58.11,1.48,1504560.0,3014110.0
2023-02-02,851721.SI,公交,L3,2416.14,2388.13,2437.11,2421.22,10.44,0.43,6632.0,58923.0,58.36,1.49,1511080.0,3028270.0
2023-02-03,851721.SI,公交,L3,2414.84,2393.67,2465.43,2443.08,21.86,0.9,6865.0,85821.0,58.89,1.5,1524720.0,3060650.0
2023-02-06,851721.SI,公交,L3,2436.67,2407.49,2462.19,2431.59,-11.49,-0.47,6061.0,59840.0,58.61,1.5,1517550.0,3041590.0
2023-02-07,851721.SI,公交,L3,2429.83,2407.69,2476.39,2458.33,26.74,1.1,5829.0,73394.0,59.26,1.51,1534240.0,3078800.0
2023-02-08,851721.SI,公交,L3,2464.94,2432.08,2475.63,2445.73,-12.6,-0.51,4951.0,51624.0,58.95,1.5,1526380.0,3064790.0
2023-02-09,851721.SI,公交,L3,2439.24,2426.36,2480.38,2469.15,23.42,0.96,5329.0,56807.0,59.52,1.52,1540990.0,3095970.0
2023-02-10,851721.SI,公交,L3,2469.62,2453.47,2502.72,2490.25,21.11,0.85,4997.0,55777.0,60.03,1.53,1554170.0,3124150.0
2023-02-13,851721.SI,公交,L3,2492.05,2472.16,2541.61,2527.19,36.93,1.48,6307.0,71378.0,60.92,1.55,1577220.0,3169730.0
2023-02-14,851721.SI,公交,L3,2536.81,2504.93,2554.12,2522.0,-5.18,-0.21,4421.0,51636.0,60.79,1.55,1573980.0,3163850.0
2023-02-15,851721.SI,公交,L3,2522.28,2498.45,2550.84,2516.5,-5.5,-0.22,6173.0,62308.0,60.66,1.55,1570550.0,3154550.0
2023-02-16,851721.SI,公交,L3,2533.6,2450.01,2563.27,2466.4,-50.1,-1.99,7799.0,76427.0,59.45,1.52,1539280.0,3093490.0
2023-02-17,851721.SI,公交,L3,2470.77,2449.85,2514.32,2459.19,-7.21,-0.29,5000.0,52497.0,59.28,1.51,1534780.0,3081470.0
2023-02-20,851721.SI,公交,L3,2459.07,2440.93,2488.05,2474.26,15.07,0.61,3863.0,40884.0,59.64,1.52,1544190.0,3101450.0
2023-02-21,851721.SI,公交,L3,2479.67,2468.75,2508.54,2494.72,20.46,0.83,3800.0,39939.0,60.14,1.53,1556960.0,3127300.0
2023-02-22,851721.SI,公交,L3,2491.49,2467.63,2509.56,2492.42,-2.3,-0.09,2733.0,31235.0,60.08,1.53,1555520.0,3124990.0
2023-02-23,851721.SI,公交,L3,2494.81,2465.49,2508.1,2478.38,-14.04,-0.56,3365.0,37821.0,59.74,1.52,1546760.0,3105670.0
2023-02-24,851721.SI,公交,L3,2485.64,2452.26,2496.12,2470.85,-7.53,-0.3,2810.0,28154.0,59.56,1.52,1542060.0,3097570.0
2023-02-27,851721.SI,公交,L3,2469.29,2443.98,2494.35,2461.52,-9.34,-0.38,3264.0,29565.0,59.33,1.51,1536230.0,3085680.0
2023-02-28,851721.SI,公交,L3,2479.3,2403.62,2495.26,2461.97,0.46,0.02,4484.0,65664.0,59.35,1.51,1536520.0,3081620.0
2023-03-01,851721.SI,公交,L3,2462.65,2450.97,2488.75,2482.42,20.44,0.83,4049.0,39037.0,59.84,1.53,1549280.0,3105830.0
2023-03-02,851721.SI,公交,L3,2486.89,2452.02,2502.25,2469.61,-12.81,-0.52,4136.0,41338.0,59.53,1.52,1541280.0,3086950.0
2023-03-03,851721.SI,公交,L3,2480.93,2460.11,2502.8,2482.05,12.44,0.5,3485.0,32195.0,59.83,1.53,1549050.0,3103700.0
2023-03-06,851721.SI,公交,L3,2494.33,2465.31,2509.24,2493.31,11.26,0.45,4422.0,44775.0,60.1,1.53,1556080.0,3117720.0
