trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851731.SI,高速公路,L3,2473.4,2454.79,2506.98,2488.64,18.72,0.76,25487.0,128063.0,10.71,0.82,5332440.0,23347900.0
2023-01-04,851731.SI,高速公路,L3,2485.42,2469.84,2514.09,2494.21,5.58,0.22,19095.0,97357.0,10.73,0.82,5344390.0,23404100.0
2023-01-05,851731.SI,高速公路,L3,2496.6,2469.97,2513.04,2490.71,-3.5,-0.14,20622.0,102342.0,10.72,0.82,5336900.0,23365500.0
2023-01-06,851731.SI,高速公路,L3,2490.47,2453.28,2507.68,2473.49,-17.22,-0.69,22676.0,118237.0,10.65,0.81,5299990.0,23238300.0
2023-01-09,851731.SI,高速公路,L3,2480.73,2460.47,2504.55,2480.18,6.69,0.27,27208.0,156898.0,10.67,0.81,5314320.0,23280100.0
2023-01-10,851731.SI,高速公路,L3,2482.27,2446.14,2491.01,2457.79,-22.38,-0.9,21257.0,113628.0,10.58,0.81,5266360.0,23067700.0
2023-01-11,851731.SI,高速公路,L3,2455.05,2433.96,2469.33,2443.66,-14.13,-0.58,16041.0,83335.0,10.52,0.8,5236070.0,23013000.0
2023-01-12,851731.SI,高速公路,L3,2443.5,2414.45,2454.43,2431.53,-12.13,-0.5,15396.0,77069.0,10.46,0.8,5210070.0,22954800.0
2023-01-13,851731.SI,高速公路,L3,2431.36,2421.91,2458.29,2451.52,19.99,0.82,15091.0,81318.0,10.55,0.8,5252910.0,23139400.0
2023-01-16,851731.SI,高速公路,L3,2453.72,2437.12,2484.92,2460.68,9.16,0.37,18520.0,93727.0,10.59,0.81,5272530.0,23189300.0
2023-01-17,851731.SI,高速公路,L3,2463.93,2446.28,2500.51,2484.73,24.05,0.98,23473.0,131031.0,10.69,0.82,5324070.0,23361700.0
2023-01-18,851731.SI,高速公路,L3,2486.39,2466.58,2513.46,2492.59,7.87,0.32,28646.0,159865.0,10.73,0.82,5340920.0,23452300.0
2023-01-19,851731.SI,高速公路,L3,2490.3,2476.19,2516.18,2505.42,12.83,0.51,18476.0,98371.0,10.78,0.82,5368410.0,23574200.0
2023-01-20,851731.SI,高速公路,L3,2506.02,2487.14,2525.98,2514.1,8.67,0.35,17438.0,91352.0,10.82,0.83,5386990.0,23655000.0
2023-01-30,851731.SI,高速公路,L3,2531.21,2507.78,2562.92,2526.07,11.98,0.48,26418.0,142924.0,10.87,0.83,5412660.0,23758300.0
2023-01-31,851731.SI,高速公路,L3,2520.66,2511.09,2549.78,2538.96,12.88,0.51,18253.0,100351.0,10.93,0.83,5440260.0,23868600.0
2023-02-01,851731.SI,高速公路,L3,2542.37,2519.76,2560.15,2548.97,10.01,0.39,20079.0,107453.0,10.97,0.84,5461710.0,23910500.0
2023-02-02,851731.SI,高速公路,L3,2556.37,2526.03,2569.05,2544.84,-4.12,-0.16,19090.0,99368.0,10.95,0.84,5452880.0,23785700.0
2023-02-03,851731.SI,高速公路,L3,2543.59,2514.64,2566.94,2546.62,1.78,0.07,20588.0,108515.0,10.96,0.84,5456690.0,23711700.0
2023-02-06,851731.SI,高速公路,L3,2542.45,2528.19,2585.0,2554.42,7.8,0.31,22057.0,116207.0,10.99,0.84,5473400.0,23816600.0
2023-02-07,851731.SI,高速公路,L3,2558.1,2535.27,2575.68,2558.1,3.68,0.14,15802.0,88142.0,11.01,0.84,5481290.0,23874500.0
2023-02-08,851731.SI,高速公路,L3,2562.22,2526.98,2568.77,2533.77,-24.33,-0.95,14096.0,75231.0,10.9,0.83,5429150.0,23721400.0
2023-02-09,851731.SI,高速公路,L3,2531.81,2522.42,2552.72,2544.74,10.97,0.43,12011.0,63984.0,10.95,0.84,5452650.0,23798100.0
2023-02-10,851731.SI,高速公路,L3,2543.4,2532.57,2572.82,2558.65,13.91,0.55,14437.0,84861.0,11.01,0.84,5482450.0,23936500.0
2023-02-13,851731.SI,高速公路,L3,2561.4,2538.81,2589.97,2571.39,12.74,0.5,19356.0,109611.0,11.07,0.84,5509760.0,24027800.0
2023-02-14,851731.SI,高速公路,L3,2577.86,2552.05,2585.34,2562.31,-9.08,-0.35,14754.0,80115.0,11.03,0.84,5490310.0,23945600.0
2023-02-15,851731.SI,高速公路,L3,2564.54,2538.84,2584.21,2559.81,-2.51,-0.1,15426.0,83196.0,11.02,0.84,5484940.0,23907500.0
2023-02-16,851731.SI,高速公路,L3,2561.47,2505.58,2584.79,2522.21,-37.6,-1.47,23079.0,115171.0,10.86,0.83,5404370.0,23596800.0
2023-02-17,851731.SI,高速公路,L3,2523.22,2508.33,2545.52,2516.57,-5.64,-0.22,15443.0,76093.0,10.83,0.83,5392300.0,23551600.0
2023-02-20,851731.SI,高速公路,L3,2529.89,2508.7,2564.49,2556.66,40.09,1.59,17074.0,86368.0,11.0,0.84,5478210.0,23976500.0
2023-02-21,851731.SI,高速公路,L3,2558.86,2543.34,2581.37,2567.16,10.5,0.41,16991.0,81219.0,11.05,0.84,5500700.0,24025700.0
2023-02-22,851731.SI,高速公路,L3,2561.49,2546.87,2578.42,2566.36,-0.8,-0.03,12157.0,60823.0,11.05,0.84,5498990.0,24056600.0
2023-02-23,851731.SI,高速公路,L3,2569.99,2550.0,2591.57,2573.46,7.1,0.28,14880.0,74522.0,11.08,0.84,5514190.0,24183400.0
2023-02-24,851731.SI,高速公路,L3,2578.9,2553.23,2589.06,2570.73,-2.73,-0.11,11667.0,60511.0,11.06,0.84,5508350.0,24124400.0
