trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851761.SI,航运,L3,1821.64,1800.61,1870.14,1860.27,38.25,2.1,54976.0,365244.0,3.31,1.2,13235000.0,36850700.0
2023-01-04,851761.SI,航运,L3,1847.17,1821.34,1856.82,1836.45,-23.81,-1.28,45733.0,310874.0,3.27,1.19,13065600.0,36355000.0
2023-01-05,851761.SI,航运,L3,1828.19,1814.87,1846.06,1835.23,-1.22,-0.07,40158.0,290448.0,3.26,1.18,13056900.0,36399400.0
2023-01-06,851761.SI,航运,L3,1833.77,1818.74,1862.92,1840.81,5.58,0.3,49547.0,343083.0,3.27,1.19,13096600.0,36455100.0
2023-01-09,851761.SI,航运,L3,1838.58,1826.27,1856.85,1840.97,0.15,0.01,33735.0,246206.0,3.27,1.19,13097700.0,36458000.0
2023-01-10,851761.SI,航运,L3,1843.92,1813.52,1848.39,1820.06,-20.91,-1.14,31571.0,224168.0,3.24,1.18,12948900.0,36038700.0
2023-01-11,851761.SI,航运,L3,1823.78,1815.1,1866.15,1838.85,18.79,1.03,48566.0,366680.0,3.27,1.19,13082800.0,36415700.0
2023-01-12,851761.SI,航运,L3,1833.2,1807.15,1879.04,1856.32,17.48,0.95,57474.0,454690.0,3.3,1.2,13207100.0,36733800.0
2023-01-13,851761.SI,航运,L3,1855.78,1845.81,1889.39,1869.91,13.59,0.73,48458.0,377955.0,3.33,1.21,13303800.0,36972600.0
2023-01-16,851761.SI,航运,L3,1866.15,1850.96,1903.54,1882.09,12.18,0.65,46846.0,354722.0,3.35,1.22,13390500.0,37263800.0
2023-01-17,851761.SI,航运,L3,1884.92,1863.79,1896.47,1883.4,1.31,0.07,30221.0,227225.0,3.35,1.22,13399800.0,37242900.0
2023-01-18,851761.SI,航运,L3,1886.74,1882.31,1925.66,1910.28,26.88,1.43,43170.0,315153.0,3.4,1.23,13591000.0,37777700.0
2023-01-19,851761.SI,航运,L3,1906.08,1889.94,1921.3,1916.36,6.08,0.32,28699.0,214069.0,3.41,1.24,13634300.0,37911200.0
2023-01-20,851761.SI,航运,L3,1917.36,1908.98,1953.57,1938.56,22.2,1.16,39488.0,291946.0,3.45,1.25,13792200.0,38353800.0
2023-01-30,851761.SI,航运,L3,1957.09,1908.94,1965.87,1918.62,-19.94,-1.03,53128.0,385754.0,3.41,1.24,13650400.0,37971200.0
2023-01-31,851761.SI,航运,L3,1920.28,1912.39,1977.38,1961.27,42.65,2.22,53306.0,412367.0,3.49,1.27,13953800.0,38796200.0
2023-02-01,851761.SI,航运,L3,1966.77,1946.8,2011.31,2003.46,42.19,2.15,53181.0,416948.0,3.56,1.29,14254000.0,39647700.0
2023-02-02,851761.SI,航运,L3,2009.69,1987.33,2049.84,2014.62,11.16,0.56,56197.0,434337.0,3.58,1.3,14333400.0,39829400.0
2023-02-03,851761.SI,航运,L3,2009.8,1978.74,2038.01,2011.79,-2.83,-0.14,48619.0,377091.0,3.58,1.3,14313200.0,39785900.0
2023-02-06,851761.SI,航运,L3,2004.34,1978.23,2033.59,2008.25,-3.54,-0.18,40839.0,298509.0,3.57,1.3,14288000.0,39727200.0
2023-02-07,851761.SI,航运,L3,2020.72,1999.19,2046.07,2024.22,15.97,0.8,47096.0,366483.0,3.6,1.31,14418600.0,40058000.0
2023-02-08,851761.SI,航运,L3,2027.91,2010.71,2064.96,2034.9,10.68,0.53,49911.0,381230.0,3.62,1.31,14494700.0,40275600.0
2023-02-09,851761.SI,航运,L3,2033.72,2014.89,2058.57,2048.24,13.34,0.66,41595.0,313650.0,3.64,1.32,14589700.0,40564900.0
2023-02-10,851761.SI,航运,L3,2057.82,2030.3,2079.44,2055.68,7.44,0.36,45037.0,356460.0,3.66,1.33,14643000.0,40814500.0
2023-02-13,851761.SI,航运,L3,2052.99,2014.07,2059.55,2030.97,-24.71,-1.2,47057.0,363213.0,3.61,1.31,14470200.0,40308700.0
2023-02-14,851761.SI,航运,L3,2043.78,2033.75,2073.03,2053.34,22.37,1.1,45471.0,335017.0,3.65,1.33,14629600.0,40709800.0
2023-02-15,851761.SI,航运,L3,2052.22,2008.11,2061.65,2024.62,-28.72,-1.4,48933.0,335830.0,3.6,1.31,14425000.0,40167400.0
2023-02-16,851761.SI,航运,L3,2025.38,1977.51,2043.84,1992.56,-32.06,-1.58,47686.0,335403.0,3.55,1.29,14196600.0,39512100.0
2023-02-17,851761.SI,航运,L3,1987.25,1981.14,2035.28,2001.72,9.16,0.46,44647.0,318690.0,3.56,1.29,14261800.0,39674500.0
2023-02-20,851761.SI,航运,L3,2006.02,1977.92,2035.74,2013.51,11.79,0.59,48053.0,353342.0,3.58,1.3,14345800.0,39925300.0
2023-02-21,851761.SI,航运,L3,2016.24,1996.72,2044.27,2025.93,12.43,0.62,43004.0,307329.0,3.6,1.31,14434400.0,40148300.0
2023-02-22,851761.SI,航运,L3,2023.48,2004.81,2041.81,2022.9,-3.03,-0.15,31040.0,223867.0,3.6,1.31,14412700.0,40120200.0
2023-02-23,851761.SI,航运,L3,2022.52,1986.43,2035.12,2000.7,-22.2,-1.1,43106.0,321168.0,3.56,1.29,14254500.0,39710700.0
2023-02-24,851761.SI,航运,L3,2021.09,1995.03,2037.34,2008.25,7.56,0.38,38256.0,291322.0,3.57,1.3,14308400.0,39905000.0
2023-02-27,851761.SI,航运,L3,1994.36,1971.42,2019.04,1988.94,-19.31,-0.96,35386.0,260578.0,3.54,1.28,14170800.0,39534700.0
2023-02-28,851761.SI,航运,L3,1990.24,1971.74,2004.73,1995.37,6.43,0.32,28679.0,212808.0,3.55,1.29,14216600.0,39634000.0
