trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851786.SI,仓储物流,L3,4487.42,4420.76,4535.54,4490.3,7.97,0.18,6316.0,55983.0,26.63,2.24,2363490.0,4947410.0
2023-01-04,851786.SI,仓储物流,L3,4494.3,4423.46,4589.09,4522.53,32.23,0.72,5389.0,46174.0,26.82,2.26,2380450.0,4983830.0
2023-01-05,851786.SI,仓储物流,L3,4529.06,4489.6,4612.04,4555.97,33.44,0.74,7001.0,56552.0,27.01,2.28,2398060.0,5015410.0
2023-01-06,851786.SI,仓储物流,L3,4536.08,4461.01,4567.16,4482.62,-73.35,-1.61,6499.0,48717.0,26.58,2.24,2359450.0,4936470.0
2023-01-09,851786.SI,仓储物流,L3,4486.34,4464.51,4575.48,4528.11,45.49,1.01,4366.0,40644.0,26.85,2.26,2383390.0,4983710.0
2023-01-10,851786.SI,仓储物流,L3,4523.86,4446.47,4544.37,4485.47,-42.64,-0.94,4686.0,37455.0,26.61,2.24,2367040.0,4934020.0
2023-01-11,851786.SI,仓储物流,L3,4493.64,4452.61,4536.53,4475.24,-10.23,-0.23,3698.0,31509.0,26.55,2.24,2361640.0,4920410.0
2023-01-12,851786.SI,仓储物流,L3,4469.98,4431.71,4516.58,4458.09,-17.15,-0.38,3238.0,25252.0,26.45,2.23,2352590.0,4902850.0
2023-01-13,851786.SI,仓储物流,L3,4460.6,4428.8,4512.8,4486.62,28.53,0.64,4417.0,34692.0,26.62,2.25,2367640.0,4934610.0
2023-01-16,851786.SI,仓储物流,L3,4490.58,4465.78,4672.43,4558.95,72.32,1.61,10685.0,73371.0,27.04,2.28,2405810.0,5008630.0
2023-01-17,851786.SI,仓储物流,L3,4575.0,4510.18,4603.77,4553.56,-5.39,-0.12,7420.0,44236.0,27.01,2.28,2402960.0,5002760.0
2023-01-18,851786.SI,仓储物流,L3,4571.84,4527.42,4616.71,4570.46,16.91,0.37,5146.0,34623.0,27.11,2.29,2411890.0,5021080.0
2023-01-19,851786.SI,仓储物流,L3,4550.17,4532.51,4641.46,4621.48,51.02,1.12,4153.0,32731.0,27.42,2.31,2438810.0,5074860.0
2023-01-20,851786.SI,仓储物流,L3,4643.13,4605.02,4705.59,4654.9,33.42,0.72,4913.0,36756.0,27.61,2.33,2456450.0,5114400.0
2023-01-30,851786.SI,仓储物流,L3,4699.18,4615.35,4751.76,4639.07,-15.84,-0.34,5051.0,41667.0,27.52,2.32,2448090.0,5098610.0
