trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851831.SI,物业管理,L3,890.42,888.1,920.25,915.46,21.39,2.39,4306.0,48623.0,26.8,2.61,1419540.0,3590880.0
2023-01-04,851831.SI,物业管理,L3,919.78,912.34,977.17,946.68,31.22,3.41,10540.0,127923.0,27.72,2.7,1467960.0,3704950.0
2023-01-05,851831.SI,物业管理,L3,946.59,929.1,958.36,945.14,-1.54,-0.16,7941.0,85905.0,27.67,2.7,1465560.0,3704010.0
2023-01-06,851831.SI,物业管理,L3,961.02,924.27,970.19,939.59,-5.55,-0.59,7580.0,81234.0,27.51,2.68,1456960.0,3687560.0
2023-01-09,851831.SI,物业管理,L3,937.48,916.34,948.58,923.63,-15.96,-1.7,5681.0,58103.0,27.04,2.64,1432220.0,3622980.0
2023-01-10,851831.SI,物业管理,L3,926.63,912.31,946.35,929.75,6.11,0.66,7134.0,68886.0,27.22,2.65,1441700.0,3643980.0
2023-01-11,851831.SI,物业管理,L3,930.13,924.03,996.6,963.94,34.19,3.68,12971.0,123179.0,28.22,2.75,1494710.0,3775920.0
2023-01-12,851831.SI,物业管理,L3,953.99,932.24,968.79,941.98,-21.96,-2.28,14819.0,126852.0,27.58,2.69,1460660.0,3693490.0
2023-01-13,851831.SI,物业管理,L3,938.04,925.13,960.24,945.98,4.01,0.43,7719.0,64848.0,27.7,2.7,1466870.0,3716430.0
2023-01-16,851831.SI,物业管理,L3,946.35,926.78,953.64,946.93,0.95,0.1,7089.0,67161.0,27.72,2.7,1468350.0,3716180.0
2023-01-17,851831.SI,物业管理,L3,947.9,928.0,957.72,942.46,-4.47,-0.47,7917.0,67746.0,27.59,2.69,1461420.0,3694530.0
2023-01-18,851831.SI,物业管理,L3,949.73,935.08,963.06,943.97,1.5,0.16,6116.0,52383.0,27.64,2.69,1463740.0,3706320.0
2023-01-19,851831.SI,物业管理,L3,941.29,923.88,950.5,935.49,-8.48,-0.9,9588.0,67685.0,27.39,2.67,1450600.0,3677890.0
2023-01-20,851831.SI,物业管理,L3,940.55,922.0,951.47,937.57,2.08,0.22,8734.0,66126.0,27.45,2.68,1453830.0,3680370.0
2023-01-30,851831.SI,物业管理,L3,951.66,938.78,970.1,947.13,9.55,1.02,9521.0,73854.0,27.73,2.7,1468640.0,3718630.0
2023-01-31,851831.SI,物业管理,L3,939.82,931.46,956.12,951.33,4.2,0.44,8700.0,66654.0,27.85,2.72,1475160.0,3737570.0
2023-02-01,851831.SI,物业管理,L3,951.08,939.6,959.97,954.87,3.53,0.37,7212.0,61882.0,27.96,2.73,1480640.0,3749040.0
2023-02-02,851831.SI,物业管理,L3,956.19,943.79,976.37,969.34,14.48,1.52,8242.0,82689.0,28.38,2.77,1503090.0,3800930.0
2023-02-03,851831.SI,物业管理,L3,965.24,948.75,975.15,961.53,-7.82,-0.81,9098.0,72050.0,28.15,2.74,1490970.0,3772990.0
2023-02-06,851831.SI,物业管理,L3,957.43,942.08,975.23,951.41,-10.12,-1.05,12208.0,84478.0,27.86,2.72,1475280.0,3736330.0
2023-02-07,851831.SI,物业管理,L3,948.86,943.48,972.78,955.77,4.37,0.46,8180.0,69710.0,27.98,2.73,1482050.0,3748350.0
