trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,851941.SI,保险Ⅲ,L3,1006.75,991.88,1018.79,1013.91,-0.19,-0.02,21783.0,491258.0,10.27,1.13,59398000.0,175813000.0
2023-01-04,851941.SI,保险Ⅲ,L3,1017.95,1015.45,1045.73,1043.41,29.5,2.91,23772.0,645787.0,10.57,1.16,61126200.0,180542000.0
2023-01-05,851941.SI,保险Ⅲ,L3,1055.68,1042.86,1064.95,1052.31,8.9,0.85,21729.0,607113.0,10.66,1.17,61647500.0,181729000.0
2023-01-06,851941.SI,保险Ⅲ,L3,1061.61,1049.92,1068.38,1062.58,10.27,0.98,18386.0,558466.0,10.76,1.18,62249200.0,180536000.0
2023-01-09,851941.SI,保险Ⅲ,L3,1068.6,1059.71,1085.11,1083.38,20.8,1.96,20375.0,618615.0,10.97,1.21,63467600.0,182699000.0
2023-01-10,851941.SI,保险Ⅲ,L3,1083.1,1047.32,1083.56,1049.35,-34.03,-3.14,19942.0,609318.0,10.63,1.17,61473900.0,177896000.0
2023-01-11,851941.SI,保险Ⅲ,L3,1055.11,1053.11,1087.06,1079.49,30.14,2.87,22482.0,693648.0,10.93,1.2,63239800.0,181873000.0
2023-01-12,851941.SI,保险Ⅲ,L3,1084.28,1072.55,1088.49,1084.11,4.62,0.43,15265.0,448120.0,10.98,1.21,63510200.0,182545000.0
2023-01-13,851941.SI,保险Ⅲ,L3,1089.16,1084.62,1114.87,1114.66,30.55,2.82,24789.0,678808.0,11.29,1.24,65300100.0,187312000.0
2023-01-16,851941.SI,保险Ⅲ,L3,1117.33,1097.63,1137.06,1108.89,-5.77,-0.52,36474.0,968416.0,11.23,1.23,64961800.0,185581000.0
2023-01-17,851941.SI,保险Ⅲ,L3,1106.55,1081.42,1108.64,1093.89,-14.99,-1.35,21701.0,581485.0,11.08,1.22,64083400.0,181560000.0
2023-01-18,851941.SI,保险Ⅲ,L3,1092.54,1085.22,1101.37,1094.33,0.44,0.04,14209.0,367283.0,11.08,1.22,64109200.0,181657000.0
