trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,852033.SI,多业态零售,L3,2131.82,2076.28,2151.5,2097.17,-24.43,-1.15,27907.0,231824.0,26.51,1.55,4188690.0,8316000.0
2023-01-04,852033.SI,多业态零售,L3,2094.8,2063.27,2130.48,2092.36,-4.8,-0.23,17430.0,150875.0,26.51,1.54,4194090.0,8327990.0
2023-01-05,852033.SI,多业态零售,L3,2088.8,2031.64,2113.51,2055.54,-36.82,-1.76,24116.0,199019.0,26.04,1.52,4120280.0,8159770.0
2023-01-06,852033.SI,多业态零售,L3,2046.79,1998.58,2065.1,2020.9,-34.64,-1.68,18785.0,158321.0,25.6,1.49,4050850.0,8011860.0
2023-01-09,852033.SI,多业态零售,L3,2017.38,2002.73,2038.45,2019.24,-1.66,-0.08,11258.0,98501.0,25.58,1.49,4047520.0,7998100.0
2023-01-10,852033.SI,多业态零售,L3,2018.01,1999.1,2091.39,2066.67,47.44,2.35,15170.0,159051.0,26.18,1.53,4142600.0,8212830.0
2023-01-11,852033.SI,多业态零售,L3,2065.89,2014.21,2075.99,2022.85,-43.82,-2.12,13354.0,126224.0,25.63,1.49,4054760.0,8036960.0
2023-01-12,852033.SI,多业态零售,L3,2017.98,1985.25,2032.53,1995.6,-27.25,-1.35,9470.0,83412.0,25.28,1.47,4000140.0,7925780.0
2023-01-13,852033.SI,多业态零售,L3,1998.89,1986.11,2059.42,2040.07,44.46,2.23,9832.0,96918.0,25.85,1.51,4089270.0,8114600.0
2023-01-16,852033.SI,多业态零售,L3,2040.06,1997.13,2066.04,2024.66,-15.41,-0.76,10171.0,104234.0,25.65,1.49,4058380.0,8048980.0
2023-01-17,852033.SI,多业态零售,L3,2024.38,1988.47,2045.89,2017.67,-6.99,-0.35,8794.0,83531.0,25.56,1.49,4044370.0,8029340.0
2023-01-18,852033.SI,多业态零售,L3,2015.36,1992.92,2028.66,2002.47,-15.2,-0.75,5538.0,50724.0,25.37,1.48,4013900.0,7966490.0
2023-01-19,852033.SI,多业态零售,L3,2001.08,1981.12,2022.65,2003.91,1.45,0.07,6068.0,52112.0,25.39,1.48,4016800.0,7959330.0
2023-01-20,852033.SI,多业态零售,L3,2008.62,1995.72,2026.86,2013.82,9.9,0.49,5399.0,45644.0,25.51,1.49,4036650.0,7992670.0
2023-01-30,852033.SI,多业态零售,L3,2029.05,2002.85,2054.15,2016.53,2.71,0.13,8288.0,73025.0,25.55,1.49,4042080.0,8001820.0
2023-01-31,852033.SI,多业态零售,L3,2010.21,1990.75,2024.9,2011.36,-5.17,-0.26,7018.0,56027.0,25.48,1.48,4031730.0,7983560.0
2023-02-01,852033.SI,多业态零售,L3,2013.5,1988.53,2029.35,2019.88,8.52,0.42,8607.0,75581.0,25.59,1.49,4048810.0,8026280.0
2023-02-02,852033.SI,多业态零售,L3,2022.73,2003.48,2039.86,2029.58,9.7,0.48,8982.0,75221.0,25.71,1.5,4068250.0,8063900.0
2023-02-03,852033.SI,多业态零售,L3,2023.82,1992.77,2036.14,2015.56,-14.02,-0.69,7596.0,60943.0,25.53,1.49,4040140.0,7997020.0
2023-02-06,852033.SI,多业态零售,L3,2012.66,1985.92,2032.91,2004.71,-10.85,-0.54,5786.0,52225.0,25.4,1.48,4018390.0,7937800.0
2023-02-07,852033.SI,多业态零售,L3,2007.88,1993.47,2027.14,2012.56,7.85,0.39,5688.0,48172.0,25.5,1.49,4034130.0,7967910.0
2023-02-08,852033.SI,多业态零售,L3,2017.4,1990.13,2025.88,2000.37,-12.19,-0.61,5637.0,45619.0,25.34,1.48,4009680.0,7924510.0
2023-02-09,852033.SI,多业态零售,L3,2000.6,1986.66,2013.37,2007.34,6.97,0.35,5214.0,44144.0,25.43,1.48,4023660.0,7954650.0
2023-02-10,852033.SI,多业态零售,L3,2007.18,1999.76,2034.58,2023.2,15.86,0.79,6712.0,55106.0,25.63,1.49,4055450.0,8013580.0
2023-02-13,852033.SI,多业态零售,L3,2024.81,2014.78,2072.59,2053.88,30.68,1.52,8140.0,78755.0,26.02,1.52,4116950.0,8132260.0
2023-02-14,852033.SI,多业态零售,L3,2064.34,2038.75,2092.1,2059.36,5.48,0.27,7755.0,71006.0,26.09,1.52,4127950.0,8158610.0
2023-02-15,852033.SI,多业态零售,L3,2062.96,2036.11,2076.53,2045.61,-13.75,-0.67,6326.0,52090.0,25.92,1.51,4100380.0,8094060.0
2023-02-16,852033.SI,多业态零售,L3,2047.23,1998.11,2080.79,2012.49,-33.12,-1.62,9856.0,82953.0,25.5,1.49,4033990.0,7962090.0
2023-02-17,852033.SI,多业态零售,L3,2010.13,2001.39,2046.98,2020.64,8.15,0.4,7699.0,62889.0,25.6,1.49,4050320.0,7996760.0
2023-02-20,852033.SI,多业态零售,L3,2023.94,2008.74,2060.51,2049.85,29.21,1.45,6247.0,57465.0,25.97,1.51,4108880.0,8117710.0
2023-02-21,852033.SI,多业态零售,L3,2050.76,2040.95,2079.24,2070.09,20.24,0.99,8891.0,74537.0,26.23,1.53,4149450.0,8188820.0
2023-02-22,852033.SI,多业态零售,L3,2066.68,2046.82,2087.62,2073.21,3.12,0.15,6032.0,54081.0,26.26,1.53,4155700.0,8197430.0
