trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,852111.SI,人工景区,L3,52926.8,51927.4,53731.4,52927.7,-314.31,-0.59,14270.0,179333.0,,3.37,3373690.0,6229190.0
2023-01-04,852111.SI,人工景区,L3,52736.3,52617.7,54664.2,53552.0,624.29,1.18,12845.0,168588.0,,3.41,3413480.0,6287800.0
2023-01-05,852111.SI,人工景区,L3,53145.3,52423.5,54631.2,53911.5,359.48,0.67,13803.0,184148.0,,3.43,3436400.0,6320430.0
2023-01-06,852111.SI,人工景区,L3,53774.1,51835.2,53940.1,52525.2,-1386.3,-2.57,12516.0,161952.0,,3.34,3348030.0,6155810.0
2023-01-09,852111.SI,人工景区,L3,52706.8,52297.2,54180.3,53585.8,1060.62,2.02,10125.0,137294.0,,3.41,3415640.0,6264150.0
2023-01-10,852111.SI,人工景区,L3,53579.2,52713.2,54544.4,53797.6,211.81,0.4,8559.0,115424.0,,3.42,3429140.0,6284720.0
2023-01-11,852111.SI,人工景区,L3,53785.9,52372.9,53944.4,52938.2,-859.43,-1.6,7964.0,102966.0,,3.37,3374360.0,6181010.0
2023-01-12,852111.SI,人工景区,L3,52960.7,51964.8,53346.1,52240.9,-697.21,-1.32,6516.0,82310.0,,3.32,3329920.0,6099770.0
2023-01-13,852111.SI,人工景区,L3,52254.1,51663.7,54023.0,53858.5,1617.56,3.1,7844.0,105832.0,,3.43,3433020.0,6285600.0
2023-01-16,852111.SI,人工景区,L3,53961.1,52867.3,54299.8,53302.2,-556.35,-1.03,7705.0,103210.0,,3.39,3397560.0,6231950.0
2023-01-17,852111.SI,人工景区,L3,53443.7,52559.0,53781.9,53315.3,13.17,0.02,7426.0,88786.0,,3.39,3398400.0,6248400.0
2023-01-18,852111.SI,人工景区,L3,53267.7,52572.5,53543.1,52938.9,-376.41,-0.71,5693.0,72599.0,,3.37,3374400.0,6202520.0
2023-01-19,852111.SI,人工景区,L3,52611.5,52226.8,54146.4,53772.7,833.77,1.57,6392.0,82497.0,,3.42,3427550.0,6299370.0
2023-01-20,852111.SI,人工景区,L3,54105.7,53632.9,54916.0,54333.9,561.27,1.04,6272.0,81216.0,,3.46,3515330.0,6360890.0
2023-01-30,852111.SI,人工景区,L3,55645.2,52488.6,56010.1,52989.1,-1344.86,-2.48,13017.0,173933.0,,3.37,3428320.0,6224110.0
2023-01-31,852111.SI,人工景区,L3,52603.7,51420.1,53164.7,51741.2,-1247.85,-2.35,8056.0,98593.0,,3.29,3347580.0,6070200.0
2023-02-01,852111.SI,人工景区,L3,52062.2,51282.6,52643.3,52332.9,591.62,1.14,8671.0,112154.0,,3.33,3385860.0,6146900.0
2023-02-02,852111.SI,人工景区,L3,52333.6,51682.2,53135.1,52994.2,661.3,1.26,7655.0,97361.0,,3.37,3428650.0,6225330.0
2023-02-03,852111.SI,人工景区,L3,52814.4,52050.4,53429.0,53125.2,131.08,0.25,5545.0,73339.0,,3.38,3437130.0,6239170.0
2023-02-06,852111.SI,人工景区,L3,53159.2,51608.1,53602.8,51872.7,-1252.53,-2.36,6475.0,82956.0,,3.3,3356090.0,6090960.0
2023-02-07,852111.SI,人工景区,L3,52011.2,50610.8,52234.0,51046.9,-825.81,-1.59,7665.0,97159.0,,3.25,3302660.0,5999220.0
2023-02-08,852111.SI,人工景区,L3,51246.7,50238.2,51324.7,50519.1,-527.8,-1.03,5576.0,72891.0,,3.22,3268520.0,5942340.0
2023-02-09,852111.SI,人工景区,L3,50359.1,50070.4,52497.5,52331.4,1812.25,3.59,8002.0,108397.0,,3.33,3385760.0,6156960.0
2023-02-10,852111.SI,人工景区,L3,52290.1,51839.4,52990.8,52517.4,186.08,0.36,8437.0,102224.0,,3.34,3397800.0,6176700.0
2023-02-13,852111.SI,人工景区,L3,52428.1,52354.1,55337.3,55061.6,2544.14,4.84,11828.0,157788.0,,3.5,3562410.0,6477190.0
2023-02-14,852111.SI,人工景区,L3,55234.9,54273.1,55388.0,54628.7,-432.9,-0.79,6463.0,83885.0,,3.48,3534400.0,6429590.0
2023-02-15,852111.SI,人工景区,L3,54775.0,53991.0,54914.0,54519.6,-109.05,-0.2,5044.0,65841.0,,3.47,3527340.0,6420560.0
2023-02-16,852111.SI,人工景区,L3,54563.9,53893.1,56539.3,54317.4,-202.19,-0.37,9195.0,125435.0,,3.46,3514260.0,6389210.0
2023-02-17,852111.SI,人工景区,L3,54247.4,53321.3,54975.6,53526.2,-791.28,-1.46,6112.0,81479.0,,3.41,3463070.0,6299490.0
2023-02-20,852111.SI,人工景区,L3,53451.5,53338.4,54602.9,54068.7,542.56,1.01,5243.0,70722.0,,3.44,3498170.0,6354100.0
2023-02-21,852111.SI,人工景区,L3,54156.9,53777.5,55302.0,54467.3,398.62,0.74,5195.0,71440.0,,3.47,3523960.0,6399660.0
2023-02-22,852111.SI,人工景区,L3,54285.0,53459.0,54658.4,53915.3,-552.02,-1.01,3789.0,51582.0,,3.43,3488240.0,6332210.0
2023-02-23,852111.SI,人工景区,L3,53770.1,53364.9,54652.1,53795.5,-119.83,-0.22,3921.0,53380.0,,3.42,3480490.0,6323230.0
2023-02-24,852111.SI,人工景区,L3,53924.8,53351.9,54461.4,54120.0,324.53,0.6,3473.0,47076.0,,3.44,3501490.0,6355470.0
2023-02-27,852111.SI,人工景区,L3,54077.3,53730.0,55029.0,54263.2,143.22,0.26,6123.0,80382.0,,3.45,3510750.0,6373630.0
2023-02-28,852111.SI,人工景区,L3,54170.4,54052.1,55535.4,54993.8,730.56,1.35,7427.0,98737.0,,3.5,3558020.0,6453420.0
2023-03-01,852111.SI,人工景区,L3,55034.4,54504.4,55621.2,55283.1,289.33,0.53,5977.0,80689.0,,3.52,3576740.0,6485330.0
2023-03-02,852111.SI,人工景区,L3,55234.1,54794.4,56169.1,55801.0,517.84,0.94,7222.0,98687.0,,3.55,3610240.0,6545710.0
2023-03-03,852111.SI,人工景区,L3,55831.0,55150.5,56139.2,55629.9,-171.02,-0.31,5315.0,71675.0,,3.54,3599180.0,6522610.0
2023-03-06,852111.SI,人工景区,L3,55751.3,55520.7,57852.6,57609.7,1979.75,3.56,11996.0,165893.0,,3.67,3727260.0,6756800.0
2023-03-07,852111.SI,人工景区,L3,57167.4,56072.6,57596.7,56133.9,-1475.79,-2.56,7683.0,105052.0,,3.57,3631780.0,6588890.0
2023-03-08,852111.SI,人工景区,L3,56543.4,55625.9,57040.4,56412.1,278.22,0.5,6614.0,89791.0,,3.59,3649780.0,6621020.0
2023-03-09,852111.SI,人工景区,L3,56482.8,55086.9,56578.9,55279.7,-1132.42,-2.01,5847.0,78005.0,,3.52,3576520.0,6491760.0
2023-03-10,852111.SI,人工景区,L3,55076.0,54024.3,55398.4,54167.4,-1112.29,-2.01,5328.0,70522.0,,3.45,3504550.0,6363510.0
2023-03-13,852111.SI,人工景区,L3,53984.2,53736.3,54979.4,54748.8,581.37,1.07,6796.0,91682.0,,3.48,3542170.0,6424580.0
2023-03-14,852111.SI,人工景区,L3,54611.1,53276.5,54786.7,53761.8,-987.0,-1.8,5703.0,73607.0,,3.42,3478310.0,6315410.0
2023-03-15,852111.SI,人工景区,L3,53981.0,53497.8,54882.4,53686.9,-74.84,-0.14,4744.0,62796.0,,3.42,3473470.0,6307650.0
2023-03-16,852111.SI,人工景区,L3,53203.5,52702.0,53825.4,53016.2,-670.72,-1.25,5766.0,69526.0,,3.37,3430070.0,6227130.0
2023-03-17,852111.SI,人工景区,L3,53383.3,53089.4,54277.2,53557.6,541.33,1.02,6727.0,87052.0,,3.41,3465100.0,6288870.0
2023-03-20,852111.SI,人工景区,L3,53441.4,52336.2,54090.8,52698.2,-859.34,-1.6,8636.0,114851.0,,3.35,3409500.0,6188360.0
2023-03-21,852111.SI,人工景区,L3,52863.2,52712.7,54985.8,54383.5,1685.29,3.2,11093.0,138773.0,,3.46,3518540.0,6389570.0
2023-03-22,852111.SI,人工景区,L3,54469.9,53819.4,55272.7,54332.9,-50.59,-0.09,7914.0,102668.0,,3.46,3515260.0,6386290.0
2023-03-23,852111.SI,人工景区,L3,54011.6,53529.2,54434.1,54078.6,-254.31,-0.47,5961.0,79351.0,,3.44,3498810.0,6356120.0
2023-03-24,852111.SI,人工景区,L3,54053.4,53717.6,55244.7,54319.4,240.79,0.45,7395.0,100303.0,,3.46,3514390.0,6389860.0
2023-03-27,852111.SI,人工景区,L3,54487.7,54097.2,55270.4,54877.8,558.35,1.03,9498.0,126159.0,,3.49,3550510.0,6461560.0
2023-03-28,852111.SI,人工景区,L3,54922.6,54199.8,56246.6,54632.9,-244.85,-0.45,9659.0,131628.0,,3.48,3534670.0,6427720.0
