trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,852226.SI,IT服务Ⅲ,L3,3301.43,3275.55,3503.92,3486.15,195.7,5.95,201434.0,2443880.0,47.96,2.55,49804900.0,91737000.0
2023-01-04,852226.SI,IT服务Ⅲ,L3,3516.06,3464.53,3588.75,3537.52,51.37,1.47,214797.0,2575710.0,48.67,2.59,50538800.0,93206500.0
2023-01-05,852226.SI,IT服务Ⅲ,L3,3549.85,3494.98,3617.96,3570.08,32.56,0.92,180563.0,2413340.0,49.14,2.61,51004000.0,94093000.0
2023-01-06,852226.SI,IT服务Ⅲ,L3,3557.03,3492.22,3608.49,3526.81,-43.27,-1.21,157842.0,1956960.0,48.53,2.58,50385800.0,92925000.0
2023-01-09,852226.SI,IT服务Ⅲ,L3,3546.95,3494.78,3606.17,3533.46,6.65,0.19,138126.0,1691010.0,48.62,2.59,50499300.0,93087400.0
2023-01-10,852226.SI,IT服务Ⅲ,L3,3543.26,3484.57,3591.71,3543.14,9.68,0.27,193084.0,1830390.0,48.75,2.59,50637600.0,93219000.0
2023-01-11,852226.SI,IT服务Ⅲ,L3,3542.65,3464.14,3582.2,3492.71,-50.43,-1.42,182743.0,1725380.0,48.02,2.56,49927200.0,91818900.0
2023-01-12,852226.SI,IT服务Ⅲ,L3,3496.94,3455.43,3582.44,3516.92,24.21,0.69,246578.0,1931140.0,48.36,2.57,50273200.0,92474000.0
2023-01-13,852226.SI,IT服务Ⅲ,L3,3523.42,3446.34,3546.49,3496.18,-20.74,-0.59,174753.0,1441650.0,48.07,2.56,49977500.0,91961700.0
2023-01-16,852226.SI,IT服务Ⅲ,L3,3505.44,3482.24,3616.08,3556.72,60.54,1.73,199564.0,1902740.0,48.91,2.6,50846900.0,93506200.0
2023-01-17,852226.SI,IT服务Ⅲ,L3,3558.05,3496.78,3598.26,3530.72,-26.0,-0.73,160333.0,1503350.0,48.56,2.58,50475200.0,92973800.0
2023-01-18,852226.SI,IT服务Ⅲ,L3,3532.5,3498.67,3642.77,3602.53,71.8,2.03,165906.0,1897610.0,49.54,2.64,51494800.0,94908300.0
2023-01-19,852226.SI,IT服务Ⅲ,L3,3601.41,3577.69,3724.36,3688.17,85.64,2.38,195742.0,2475550.0,50.71,2.7,52719000.0,97232000.0
2023-01-20,852226.SI,IT服务Ⅲ,L3,3701.91,3666.66,3837.52,3761.12,72.95,1.98,238881.0,2895500.0,51.72,2.75,53761700.0,99089800.0
2023-01-30,852226.SI,IT服务Ⅲ,L3,3826.57,3753.96,3908.86,3836.82,75.7,2.01,254439.0,3333480.0,52.76,2.81,54824000.0,100942000.0
2023-01-31,852226.SI,IT服务Ⅲ,L3,3813.67,3737.03,3868.31,3782.66,-54.16,-1.41,334716.0,3128350.0,52.0,2.77,54050200.0,99486600.0
2023-02-01,852226.SI,IT服务Ⅲ,L3,3790.31,3753.46,3916.98,3892.62,109.96,2.91,326216.0,3427300.0,53.5,2.85,55621600.0,102267000.0
