trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857112.SI,水泥制品,L3,1145.51,1136.34,1170.41,1158.1,16.17,1.42,6884.0,35543.0,29.89,1.41,1094860.0,2809590.0
2023-01-04,857112.SI,水泥制品,L3,1155.44,1150.47,1200.7,1184.4,26.3,2.27,10652.0,51054.0,30.57,1.44,1119730.0,2869950.0
2023-01-05,857112.SI,水泥制品,L3,1185.3,1169.63,1196.46,1181.25,-3.16,-0.27,7334.0,38003.0,30.49,1.44,1116740.0,2859250.0
2023-01-06,857112.SI,水泥制品,L3,1184.86,1159.4,1193.33,1162.08,-19.17,-1.62,6569.0,35974.0,29.99,1.42,1098620.0,2815770.0
2023-01-09,857112.SI,水泥制品,L3,1169.35,1151.02,1174.11,1161.26,-0.82,-0.07,4735.0,25137.0,29.97,1.41,1097850.0,2811630.0
2023-01-10,857112.SI,水泥制品,L3,1160.11,1138.85,1165.49,1143.35,-17.91,-1.54,4637.0,23228.0,29.51,1.39,1080920.0,2769870.0
2023-01-11,857112.SI,水泥制品,L3,1143.07,1126.74,1153.38,1129.61,-13.74,-1.2,4542.0,22106.0,29.16,1.38,1067930.0,2744870.0
2023-01-12,857112.SI,水泥制品,L3,1128.06,1117.06,1138.68,1126.49,-3.12,-0.28,4224.0,21075.0,29.08,1.37,1064980.0,2735160.0
2023-01-13,857112.SI,水泥制品,L3,1130.17,1120.48,1168.39,1148.8,22.31,1.98,6142.0,35650.0,29.65,1.4,1086070.0,2789020.0
2023-01-16,857112.SI,水泥制品,L3,1151.35,1145.04,1171.0,1162.75,13.95,1.21,5845.0,33821.0,30.01,1.42,1099250.0,2828160.0
2023-01-17,857112.SI,水泥制品,L3,1166.92,1150.01,1171.86,1155.03,-7.71,-0.66,4487.0,24825.0,29.81,1.41,1091960.0,2809690.0
2023-01-18,857112.SI,水泥制品,L3,1154.33,1142.42,1168.97,1155.89,0.86,0.07,4535.0,23864.0,29.83,1.41,1092780.0,2805080.0
2023-01-19,857112.SI,水泥制品,L3,1156.1,1146.44,1171.27,1167.35,11.46,0.99,4638.0,22250.0,30.13,1.42,1103600.0,2831130.0
2023-01-20,857112.SI,水泥制品,L3,1169.42,1162.87,1190.88,1185.44,18.09,1.55,5194.0,29592.0,30.6,1.44,1120710.0,2876530.0
2023-01-30,857112.SI,水泥制品,L3,1195.6,1183.16,1211.95,1197.21,11.77,0.99,6925.0,40518.0,30.9,1.46,1131830.0,2904840.0
2023-01-31,857112.SI,水泥制品,L3,1192.29,1178.92,1211.5,1205.54,8.33,0.7,6003.0,34345.0,31.12,1.47,1139710.0,2932690.0
2023-02-01,857112.SI,水泥制品,L3,1207.16,1194.48,1222.47,1218.64,13.1,1.09,6857.0,39070.0,31.45,1.48,1152090.0,2956540.0
2023-02-02,857112.SI,水泥制品,L3,1218.58,1207.4,1242.14,1229.1,10.46,0.86,9501.0,46534.0,31.72,1.5,1161990.0,2975640.0
2023-02-03,857112.SI,水泥制品,L3,1226.99,1207.08,1235.93,1224.14,-4.96,-0.4,7248.0,38323.0,31.6,1.49,1157290.0,2966100.0
2023-02-06,857112.SI,水泥制品,L3,1221.67,1204.61,1229.79,1214.77,-9.36,-0.76,4739.0,26792.0,31.35,1.48,1148440.0,2940890.0
2023-02-07,857112.SI,水泥制品,L3,1217.56,1210.05,1227.86,1220.5,5.73,0.47,4647.0,24281.0,31.5,1.49,1153850.0,2950980.0
2023-02-08,857112.SI,水泥制品,L3,1222.47,1201.89,1228.7,1206.22,-14.28,-1.17,3901.0,22237.0,31.13,1.47,1140350.0,2922210.0
2023-02-09,857112.SI,水泥制品,L3,1205.27,1198.05,1214.27,1208.56,2.34,0.19,4348.0,25190.0,31.19,1.47,1142570.0,2927890.0
2023-02-10,857112.SI,水泥制品,L3,1208.74,1199.8,1221.28,1213.76,5.2,0.43,4327.0,23476.0,31.33,1.48,1147480.0,2940780.0
2023-02-13,857112.SI,水泥制品,L3,1215.83,1208.77,1252.67,1243.27,29.51,2.43,8479.0,50722.0,32.09,1.51,1175380.0,3010740.0
2023-02-14,857112.SI,水泥制品,L3,1247.76,1235.18,1269.42,1252.35,9.08,0.73,9309.0,51590.0,32.32,1.53,1183960.0,3033950.0
2023-02-15,857112.SI,水泥制品,L3,1257.06,1247.66,1282.39,1257.89,5.54,0.44,8142.0,49799.0,32.47,1.53,1189200.0,3044160.0
2023-02-16,857112.SI,水泥制品,L3,1264.14,1226.53,1288.24,1237.7,-20.19,-1.61,12002.0,67641.0,31.95,1.51,1170110.0,2985420.0
2023-02-17,857112.SI,水泥制品,L3,1239.7,1225.77,1257.48,1230.1,-7.6,-0.61,7396.0,40592.0,31.75,1.5,1162930.0,2968060.0
2023-02-20,857112.SI,水泥制品,L3,1230.25,1222.22,1256.36,1249.03,18.93,1.54,6688.0,38788.0,32.24,1.52,1180830.0,3022130.0
2023-02-21,857112.SI,水泥制品,L3,1252.48,1234.13,1262.49,1250.78,1.75,0.14,5379.0,32103.0,32.28,1.52,1182480.0,3027890.0
2023-02-22,857112.SI,水泥制品,L3,1250.48,1235.38,1259.68,1251.56,0.78,0.06,4478.0,26851.0,32.3,1.52,1183220.0,3029800.0
2023-02-23,857112.SI,水泥制品,L3,1255.38,1232.95,1262.27,1242.13,-9.43,-0.75,6841.0,33510.0,32.06,1.51,1174300.0,3011740.0
2023-02-24,857112.SI,水泥制品,L3,1240.89,1218.98,1244.89,1231.67,-10.45,-0.84,4667.0,23500.0,31.79,1.5,1164420.0,2992260.0
2023-02-27,857112.SI,水泥制品,L3,1229.82,1208.16,1241.9,1218.72,-12.95,-1.05,5341.0,31104.0,31.46,1.48,1152170.0,2968220.0
2023-02-28,857112.SI,水泥制品,L3,1217.28,1207.63,1240.45,1230.41,11.69,0.96,7112.0,37676.0,31.76,1.5,1163230.0,2992220.0
2023-03-01,857112.SI,水泥制品,L3,1237.34,1230.12,1274.52,1265.06,34.64,2.82,9245.0,47599.0,32.5,1.54,1195980.0,3053660.0
2023-03-02,857112.SI,水泥制品,L3,1261.97,1252.68,1311.17,1284.7,19.64,1.55,22707.0,116217.0,33.0,1.56,1214540.0,3130670.0
2023-03-03,857112.SI,水泥制品,L3,1279.58,1268.07,1317.68,1293.55,8.86,0.69,19938.0,122656.0,33.23,1.57,1222920.0,3131160.0
2023-03-06,857112.SI,水泥制品,L3,1292.81,1259.1,1300.25,1267.67,-25.89,-2.0,11678.0,73431.0,32.57,1.54,1198440.0,3070600.0
2023-03-07,857112.SI,水泥制品,L3,1269.9,1248.21,1302.83,1265.94,-1.73,-0.14,9993.0,70552.0,32.52,1.54,1196810.0,3108730.0
2023-03-08,857112.SI,水泥制品,L3,1266.94,1245.19,1274.37,1263.89,-2.05,-0.16,8782.0,71277.0,32.47,1.54,1194880.0,3086160.0
2023-03-09,857112.SI,水泥制品,L3,1265.06,1248.31,1277.25,1263.12,-0.77,-0.06,9067.0,60569.0,32.45,1.54,1194150.0,3083390.0
2023-03-10,857112.SI,水泥制品,L3,1255.39,1228.71,1261.56,1232.52,-30.6,-2.42,7770.0,53983.0,31.66,1.5,1165220.0,3009820.0
2023-03-13,857112.SI,水泥制品,L3,1239.06,1220.4,1257.02,1238.43,5.9,0.48,7340.0,49336.0,31.82,1.51,1170800.0,3027310.0
2023-03-14,857112.SI,水泥制品,L3,1233.06,1200.76,1240.65,1212.81,-25.62,-2.07,8203.0,53856.0,31.16,1.48,1146580.0,2949470.0
2023-03-15,857112.SI,水泥制品,L3,1216.67,1208.81,1276.28,1267.96,55.15,4.55,14641.0,89181.0,32.57,1.54,1198720.0,3081490.0
2023-03-16,857112.SI,水泥制品,L3,1257.69,1232.74,1269.46,1241.5,-26.46,-2.09,9984.0,58971.0,31.89,1.51,1173710.0,3013300.0
2023-03-17,857112.SI,水泥制品,L3,1247.79,1239.95,1280.03,1258.53,17.03,1.37,11932.0,70840.0,32.33,1.53,1189800.0,3056350.0
2023-03-20,857112.SI,水泥制品,L3,1263.72,1245.89,1288.25,1255.21,-3.32,-0.26,12730.0,75167.0,32.25,1.53,1186660.0,3042940.0
2023-03-21,857112.SI,水泥制品,L3,1257.94,1245.97,1272.14,1258.05,2.84,0.23,7973.0,49952.0,32.32,1.53,1189350.0,3048390.0
2023-03-22,857112.SI,水泥制品,L3,1260.11,1238.2,1270.25,1251.38,-6.67,-0.53,8832.0,51054.0,32.15,1.52,1183050.0,3029440.0
2023-03-23,857112.SI,水泥制品,L3,1247.95,1220.93,1253.37,1234.13,-17.25,-1.38,10249.0,51582.0,31.71,1.5,1166740.0,2999450.0
2023-03-24,857112.SI,水泥制品,L3,1239.08,1207.82,1239.72,1215.58,-18.54,-1.5,7514.0,44057.0,31.23,1.48,1149210.0,2952010.0
2023-03-27,857112.SI,水泥制品,L3,1217.43,1184.8,1219.05,1195.67,-19.92,-1.64,7397.0,41856.0,30.72,1.46,1130380.0,2903220.0
2023-03-28,857112.SI,水泥制品,L3,1199.72,1171.75,1206.3,1179.57,-16.09,-1.35,6605.0,36803.0,30.3,1.44,1115160.0,2870810.0
2023-03-29,857112.SI,水泥制品,L3,1179.56,1161.21,1208.44,1195.61,16.03,1.36,10512.0,50706.0,30.72,1.46,1130320.0,2884130.0
2023-03-30,857112.SI,水泥制品,L3,1196.41,1174.28,1204.97,1192.12,-3.49,-0.29,14496.0,63261.0,30.63,1.45,1127020.0,2883830.0
2023-03-31,857112.SI,水泥制品,L3,1195.02,1185.5,1216.03,1203.3,11.19,0.94,18665.0,78353.0,30.91,1.53,1137600.0,2897930.0
2023-04-03,857112.SI,水泥制品,L3,1204.58,1194.23,1222.64,1212.02,8.72,0.72,17023.0,74756.0,31.14,1.54,1145840.0,2921070.0
2023-04-04,857112.SI,水泥制品,L3,1214.94,1197.84,1264.57,1226.17,14.14,1.17,17424.0,95337.0,31.5,1.55,1159210.0,2964430.0
2023-04-06,857112.SI,水泥制品,L3,1230.0,1215.37,1273.69,1265.58,39.41,3.21,20849.0,105776.0,32.51,1.6,1196470.0,3043440.0
2023-04-07,857112.SI,水泥制品,L3,1265.51,1243.4,1287.67,1258.7,-6.88,-0.54,22712.0,109422.0,32.34,1.6,1189970.0,3022070.0
2023-04-10,857112.SI,水泥制品,L3,1262.12,1231.03,1289.03,1258.04,-0.66,-0.05,18577.0,91297.0,46.78,1.6,1189340.0,3009820.0
2023-04-11,857112.SI,水泥制品,L3,1252.16,1227.92,1265.56,1248.37,-9.67,-0.77,12418.0,63738.0,46.42,1.59,1180210.0,3006570.0
2023-04-12,857112.SI,水泥制品,L3,1250.69,1238.63,1274.38,1254.73,6.35,0.51,9462.0,50900.0,46.66,1.59,1186210.0,3019830.0
2023-04-13,857112.SI,水泥制品,L3,1257.46,1241.45,1287.82,1266.88,12.16,0.97,13050.0,64938.0,47.11,1.61,1197700.0,3035420.0
2023-04-14,857112.SI,水泥制品,L3,1263.87,1248.75,1297.83,1269.53,2.65,0.21,11673.0,70767.0,47.21,1.61,1200210.0,3059510.0
2023-04-17,857112.SI,水泥制品,L3,1257.1,1244.34,1279.46,1264.59,-4.95,-0.39,10067.0,60722.0,47.02,1.61,1195530.0,3053560.0
2023-04-18,857112.SI,水泥制品,L3,1260.27,1231.44,1263.94,1241.97,-22.62,-1.79,7701.0,46523.0,46.18,1.58,1174150.0,3001020.0
2023-04-19,857112.SI,水泥制品,L3,1241.94,1219.24,1249.93,1225.8,-16.17,-1.3,7033.0,39234.0,45.58,1.56,1158870.0,2968620.0
2023-04-20,857112.SI,水泥制品,L3,1229.83,1200.21,1271.67,1255.37,29.57,2.41,12345.0,89639.0,46.68,1.59,1186820.0,3039910.0
2023-04-21,857112.SI,水泥制品,L3,1258.67,1210.07,1262.6,1213.58,-41.8,-3.33,10875.0,73923.0,45.13,1.54,1147310.0,2945370.0
2023-04-24,857112.SI,水泥制品,L3,1211.09,1194.68,1240.29,1217.4,3.83,0.32,7976.0,52662.0,45.27,1.56,1150930.0,2949400.0
2023-04-25,857112.SI,水泥制品,L3,1212.43,1169.6,1222.45,1185.37,-32.03,-2.63,7423.0,45332.0,44.08,1.52,1120640.0,2875550.0
2023-04-26,857112.SI,水泥制品,L3,1184.22,1160.09,1205.56,1193.38,8.01,0.68,6147.0,37103.0,44.38,1.53,1128220.0,2903670.0
2023-04-27,857112.SI,水泥制品,L3,1194.1,1173.62,1215.57,1183.92,-9.47,-0.79,6709.0,39708.0,49.26,1.53,1119270.0,2889180.0
2023-04-28,857112.SI,水泥制品,L3,1180.53,1170.97,1226.01,1221.64,37.72,3.19,7671.0,47100.0,50.83,1.62,1154930.0,2978090.0
2023-05-04,857112.SI,水泥制品,L3,1210.31,1198.11,1242.71,1222.5,0.86,0.07,6966.0,45563.0,59.0,1.71,1155740.0,2979780.0
2023-05-05,857112.SI,水泥制品,L3,1220.14,1157.1,1237.36,1175.92,-46.58,-3.81,12173.0,73898.0,56.75,1.65,1111710.0,2865340.0
2023-05-08,857112.SI,水泥制品,L3,1181.5,1170.49,1207.94,1187.57,11.65,0.99,9473.0,61555.0,57.32,1.66,1122720.0,2891820.0
2023-05-09,857112.SI,水泥制品,L3,1184.29,1167.84,1226.76,1192.86,5.28,0.45,10294.0,71234.0,57.57,1.67,1127720.0,2918380.0
2023-05-10,857112.SI,水泥制品,L3,1183.03,1164.82,1199.17,1177.11,-15.74,-1.32,5740.0,38297.0,56.81,1.65,1112840.0,2873960.0
2023-05-11,857112.SI,水泥制品,L3,1176.49,1143.18,1188.96,1166.32,-10.79,-0.92,8887.0,54586.0,56.29,1.63,1102630.0,2843250.0
2023-05-12,857112.SI,水泥制品,L3,1156.18,1128.01,1165.33,1130.59,-35.73,-3.06,8584.0,48833.0,54.57,1.58,1068850.0,2761130.0
2023-05-15,857112.SI,水泥制品,L3,1131.96,1104.2,1140.47,1127.19,-3.39,-0.3,7912.0,39442.0,54.4,1.58,1065640.0,2752660.0
2023-05-16,857112.SI,水泥制品,L3,1129.34,1102.56,1131.68,1109.88,-17.32,-1.54,4940.0,24847.0,53.57,1.55,1049270.0,2712560.0
2023-05-17,857112.SI,水泥制品,L3,1102.52,1091.17,1128.09,1120.52,10.64,0.96,5380.0,26911.0,54.08,1.57,1059330.0,2741570.0
2023-05-18,857112.SI,水泥制品,L3,1120.38,1108.05,1133.58,1122.44,1.92,0.17,4627.0,24813.0,54.2,1.57,1061650.0,2745090.0
2023-05-19,857112.SI,水泥制品,L3,1122.73,1094.21,1126.38,1100.51,-21.92,-1.95,4595.0,25581.0,53.14,1.54,1040920.0,2687900.0
2023-05-22,857112.SI,水泥制品,L3,1101.45,1081.94,1106.91,1094.12,-6.39,-0.58,4324.0,22851.0,52.83,1.53,1034870.0,2674070.0
2023-05-23,857112.SI,水泥制品,L3,1091.81,1082.9,1104.37,1088.5,-5.62,-0.51,3458.0,18399.0,52.56,1.52,1029560.0,2664690.0
