trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857241.SI,钢结构,L3,3173.05,3157.56,3295.52,3248.5,66.67,2.1,9639.0,66535.0,20.7,1.68,3818820.0,7333820.0
2023-01-04,857241.SI,钢结构,L3,3240.45,3220.09,3332.54,3302.44,53.93,1.66,13989.0,83192.0,21.04,1.71,3882220.0,7440290.0
2023-01-05,857241.SI,钢结构,L3,3315.26,3283.39,3402.69,3364.93,62.5,1.89,9940.0,78253.0,21.44,1.74,3955690.0,7589250.0
2023-01-06,857241.SI,钢结构,L3,3368.63,3339.39,3479.75,3440.12,75.19,2.23,27773.0,153563.0,21.92,1.78,4044070.0,7761920.0
2023-01-09,857241.SI,钢结构,L3,3465.72,3419.76,3551.21,3511.24,71.12,2.07,37307.0,200897.0,22.37,1.82,4127680.0,7909970.0
2023-01-10,857241.SI,钢结构,L3,3494.29,3449.59,3550.63,3479.33,-31.91,-0.91,24207.0,134177.0,22.17,1.8,4090170.0,7840410.0
2023-01-11,857241.SI,钢结构,L3,3488.45,3445.95,3574.35,3486.64,7.31,0.21,30292.0,166475.0,22.22,1.81,4098760.0,7842500.0
2023-01-12,857241.SI,钢结构,L3,3491.89,3434.63,3529.02,3456.57,-30.06,-0.86,24042.0,135048.0,22.03,1.79,4063420.0,7774290.0
2023-01-13,857241.SI,钢结构,L3,3472.48,3441.11,3563.82,3531.7,75.13,2.17,25476.0,145251.0,22.51,1.83,4151730.0,7967610.0
2023-01-16,857241.SI,钢结构,L3,3515.24,3443.17,3582.44,3491.16,-40.54,-1.15,24667.0,158642.0,22.25,1.81,4104080.0,7863680.0
2023-01-17,857241.SI,钢结构,L3,3493.12,3463.95,3583.36,3542.39,51.22,1.47,23259.0,134648.0,22.57,1.84,4164300.0,7976980.0
2023-01-18,857241.SI,钢结构,L3,3545.79,3514.85,3592.12,3560.21,17.83,0.5,20486.0,113823.0,22.69,1.84,4185250.0,8012100.0
2023-01-19,857241.SI,钢结构,L3,3556.5,3530.0,3634.81,3620.22,60.01,1.69,20431.0,121832.0,23.07,1.88,4255800.0,8136600.0
2023-01-20,857241.SI,钢结构,L3,3613.56,3580.24,3664.49,3631.32,11.09,0.31,21348.0,127872.0,23.14,1.88,4268840.0,8158380.0
2023-01-30,857241.SI,钢结构,L3,3664.21,3582.75,3714.31,3653.92,22.61,0.62,26153.0,156103.0,23.28,1.89,4295410.0,8199760.0
