trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857242.SI,化学工程,L3,1313.04,1307.46,1345.86,1337.79,25.15,1.92,6624.0,53358.0,11.22,1.2,3394850.0,7577900.0
2023-01-04,857242.SI,化学工程,L3,1339.7,1324.94,1346.29,1333.71,-4.08,-0.3,5295.0,43214.0,11.19,1.2,3384500.0,7556600.0
2023-01-05,857242.SI,化学工程,L3,1337.94,1327.73,1350.62,1334.05,0.34,0.03,6041.0,49272.0,11.19,1.2,3385360.0,7562330.0
2023-01-06,857242.SI,化学工程,L3,1332.55,1328.35,1370.32,1357.84,23.79,1.78,8474.0,70472.0,11.39,1.22,3445730.0,7698470.0
2023-01-09,857242.SI,化学工程,L3,1359.62,1355.65,1414.53,1387.3,29.46,2.17,8639.0,72723.0,11.64,1.25,3520500.0,7859340.0
2023-01-10,857242.SI,化学工程,L3,1383.72,1368.34,1393.86,1373.35,-13.95,-1.01,5149.0,43122.0,11.52,1.23,3485100.0,7778180.0
2023-01-11,857242.SI,化学工程,L3,1370.6,1366.45,1391.81,1373.66,0.3,0.02,6010.0,47483.0,11.52,1.23,3485880.0,7766940.0
2023-01-12,857242.SI,化学工程,L3,1372.34,1353.19,1383.98,1368.11,-5.55,-0.4,6409.0,49793.0,11.47,1.23,3471800.0,7733640.0
2023-01-13,857242.SI,化学工程,L3,1370.96,1354.7,1375.66,1367.36,-0.75,-0.05,4793.0,38351.0,11.47,1.23,3469900.0,7736000.0
2023-01-16,857242.SI,化学工程,L3,1368.14,1355.41,1391.14,1377.15,9.78,0.72,7080.0,59906.0,11.55,1.24,3494730.0,7795630.0
2023-01-17,857242.SI,化学工程,L3,1377.12,1370.63,1394.15,1389.29,12.14,0.88,4577.0,38720.0,11.65,1.25,3525530.0,7860920.0
2023-01-18,857242.SI,化学工程,L3,1387.5,1379.27,1410.34,1389.76,0.47,0.03,4422.0,37340.0,11.66,1.25,3526730.0,7862700.0
2023-01-19,857242.SI,化学工程,L3,1386.0,1374.12,1388.93,1386.84,-2.92,-0.21,4046.0,34660.0,11.63,1.25,3519310.0,7847200.0
2023-01-20,857242.SI,化学工程,L3,1384.15,1380.86,1414.64,1408.43,21.6,1.56,5390.0,46250.0,11.81,1.27,3574120.0,7971230.0
2023-01-30,857242.SI,化学工程,L3,1428.21,1411.63,1445.5,1430.53,22.1,1.57,7980.0,69814.0,12.0,1.29,3630200.0,8092320.0
2023-01-31,857242.SI,化学工程,L3,1424.65,1417.38,1440.0,1428.99,-1.55,-0.11,6386.0,54444.0,11.99,1.28,3626280.0,8087580.0
2023-02-01,857242.SI,化学工程,L3,1429.23,1419.24,1453.73,1451.77,22.78,1.59,7459.0,65039.0,12.18,1.3,3684090.0,8215700.0
2023-02-02,857242.SI,化学工程,L3,1453.18,1440.82,1477.71,1464.03,12.26,0.84,8888.0,78942.0,12.28,1.32,3717600.0,8278670.0
2023-02-03,857242.SI,化学工程,L3,1465.01,1433.45,1480.64,1451.76,-12.27,-0.84,8105.0,71112.0,12.18,1.3,3686450.0,8209420.0
2023-02-06,857242.SI,化学工程,L3,1443.97,1426.87,1454.99,1434.66,-17.1,-1.18,6463.0,56994.0,12.04,1.29,3643040.0,8114400.0
2023-02-07,857242.SI,化学工程,L3,1440.02,1430.5,1450.97,1445.39,10.73,0.75,5095.0,45441.0,12.13,1.3,3670280.0,8178520.0
2023-02-08,857242.SI,化学工程,L3,1443.91,1425.52,1449.51,1428.67,-16.72,-1.16,4225.0,37858.0,11.99,1.28,3627810.0,8084120.0
2023-02-09,857242.SI,化学工程,L3,1425.72,1422.61,1450.63,1445.29,16.63,1.16,7587.0,65658.0,12.13,1.3,3670030.0,8182780.0
