trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857261.SI,工程咨询服务Ⅲ,L3,1595.67,1589.38,1628.2,1622.56,25.74,1.61,8959.0,91956.0,21.79,1.52,5416080.0,12473800.0
2023-01-04,857261.SI,工程咨询服务Ⅲ,L3,1622.8,1614.44,1656.14,1641.89,19.33,1.19,12206.0,132761.0,22.03,1.53,5480600.0,12639200.0
2023-01-05,857261.SI,工程咨询服务Ⅲ,L3,1642.84,1630.34,1663.79,1651.11,9.22,0.56,13526.0,135133.0,22.19,1.55,5511380.0,12695400.0
2023-01-06,857261.SI,工程咨询服务Ⅲ,L3,1649.67,1635.59,1666.55,1645.6,-5.51,-0.33,11305.0,117182.0,22.11,1.54,5492990.0,12665100.0
2023-01-09,857261.SI,工程咨询服务Ⅲ,L3,1648.81,1638.81,1669.46,1650.49,4.89,0.3,10979.0,119243.0,22.19,1.55,5513150.0,12693900.0
2023-01-10,857261.SI,工程咨询服务Ⅲ,L3,1652.63,1633.07,1663.28,1644.42,-6.07,-0.37,8989.0,96761.0,22.12,1.54,5492890.0,12645900.0
2023-01-11,857261.SI,工程咨询服务Ⅲ,L3,1649.26,1629.44,1669.55,1636.8,-7.62,-0.46,11805.0,135094.0,22.06,1.54,5467430.0,12587900.0
2023-01-12,857261.SI,工程咨询服务Ⅲ,L3,1636.07,1619.97,1649.02,1628.38,-8.42,-0.51,9421.0,104142.0,21.94,1.53,5439290.0,12515100.0
2023-01-13,857261.SI,工程咨询服务Ⅲ,L3,1632.46,1620.33,1648.73,1638.76,10.38,0.64,8341.0,96121.0,22.11,1.54,5487010.0,12664800.0
2023-01-16,857261.SI,工程咨询服务Ⅲ,L3,1639.03,1630.2,1668.07,1658.26,19.51,1.19,11240.0,129951.0,22.38,1.56,5552320.0,12898900.0
2023-01-17,857261.SI,工程咨询服务Ⅲ,L3,1660.38,1643.5,1671.75,1655.35,-2.91,-0.18,8395.0,107463.0,22.35,1.56,5542570.0,12937000.0
2023-01-18,857261.SI,工程咨询服务Ⅲ,L3,1660.15,1646.54,1671.78,1662.76,7.41,0.45,7465.0,89468.0,22.44,1.56,5567380.0,12966100.0
2023-01-19,857261.SI,工程咨询服务Ⅲ,L3,1661.13,1647.61,1683.0,1670.76,8.0,0.48,10061.0,125289.0,22.52,1.57,5594180.0,12944000.0
2023-01-20,857261.SI,工程咨询服务Ⅲ,L3,1673.77,1663.85,1695.04,1686.22,15.45,0.92,10453.0,110594.0,22.74,1.58,5645910.0,13039000.0
2023-01-30,857261.SI,工程咨询服务Ⅲ,L3,1700.1,1686.88,1723.5,1707.86,21.65,1.28,15136.0,167418.0,23.02,1.6,5720830.0,13260600.0
2023-01-31,857261.SI,工程咨询服务Ⅲ,L3,1701.13,1691.98,1724.96,1715.08,7.22,0.42,10943.0,124256.0,23.13,1.61,5745000.0,13330700.0
2023-02-01,857261.SI,工程咨询服务Ⅲ,L3,1718.67,1710.36,1749.36,1745.4,30.32,1.77,14905.0,160764.0,23.55,1.64,5846550.0,13575400.0
2023-02-02,857261.SI,工程咨询服务Ⅲ,L3,1749.8,1729.45,1773.36,1748.54,3.14,0.18,16101.0,200252.0,23.56,1.64,5857080.0,13684800.0
2023-02-03,857261.SI,工程咨询服务Ⅲ,L3,1748.55,1719.91,1764.56,1747.03,-1.51,-0.09,14438.0,175918.0,23.56,1.64,5852030.0,13622000.0
2023-02-06,857261.SI,工程咨询服务Ⅲ,L3,1742.94,1728.09,1772.24,1760.0,12.97,0.74,15773.0,183469.0,23.72,1.65,5895460.0,13699700.0
2023-02-07,857261.SI,工程咨询服务Ⅲ,L3,1760.81,1747.12,1791.67,1781.06,21.07,1.2,20691.0,203312.0,24.02,1.67,5966030.0,13866500.0
2023-02-08,857261.SI,工程咨询服务Ⅲ,L3,1779.95,1753.15,1790.67,1758.76,-22.3,-1.25,14113.0,153298.0,23.73,1.65,5891330.0,13719600.0
2023-02-09,857261.SI,工程咨询服务Ⅲ,L3,1757.54,1748.3,1791.63,1783.0,24.24,1.38,14138.0,156365.0,24.08,1.68,5972520.0,13919400.0
2023-02-10,857261.SI,工程咨询服务Ⅲ,L3,1782.87,1769.35,1802.08,1785.58,2.58,0.14,14990.0,173821.0,24.11,1.68,5981160.0,13948300.0
2023-02-13,857261.SI,工程咨询服务Ⅲ,L3,1789.0,1776.2,1815.71,1804.98,19.4,1.09,17178.0,207287.0,24.35,1.7,6050550.0,14142600.0
2023-02-14,857261.SI,工程咨询服务Ⅲ,L3,1805.94,1784.57,1826.94,1801.68,-3.3,-0.18,15357.0,193704.0,24.32,1.69,6039480.0,14018000.0
2023-02-15,857261.SI,工程咨询服务Ⅲ,L3,1803.69,1788.96,1837.92,1819.09,17.41,0.97,25201.0,232295.0,24.58,1.71,6099140.0,14159000.0
2023-02-16,857261.SI,工程咨询服务Ⅲ,L3,1822.27,1751.31,1835.47,1765.44,-53.65,-2.95,30632.0,278364.0,23.88,1.66,5919260.0,13722600.0
2023-02-17,857261.SI,工程咨询服务Ⅲ,L3,1766.54,1749.73,1794.34,1758.54,-6.9,-0.39,18368.0,163592.0,23.74,1.66,5922160.0,13665000.0
2023-02-20,857261.SI,工程咨询服务Ⅲ,L3,1762.77,1744.85,1794.22,1784.74,26.2,1.49,17004.0,161839.0,24.1,1.68,6010390.0,13835900.0
2023-02-21,857261.SI,工程咨询服务Ⅲ,L3,1789.7,1772.99,1815.22,1796.37,11.62,0.65,16960.0,178326.0,24.26,1.69,6049530.0,13909200.0
2023-02-22,857261.SI,工程咨询服务Ⅲ,L3,1794.49,1779.9,1820.06,1806.05,9.68,0.54,14597.0,168393.0,24.38,1.7,6082130.0,13986100.0
2023-02-23,857261.SI,工程咨询服务Ⅲ,L3,1806.59,1780.99,1817.97,1794.24,-11.8,-0.65,13298.0,144034.0,24.21,1.69,6042380.0,13895800.0
2023-02-24,857261.SI,工程咨询服务Ⅲ,L3,1794.76,1772.62,1805.9,1789.43,-4.81,-0.27,10182.0,109470.0,24.16,1.69,6026180.0,13865700.0
2023-02-27,857261.SI,工程咨询服务Ⅲ,L3,1786.51,1756.4,1797.42,1767.86,-21.57,-1.21,12251.0,130534.0,23.89,1.67,5953540.0,13702300.0
2023-02-28,857261.SI,工程咨询服务Ⅲ,L3,1776.23,1764.05,1826.79,1806.99,39.12,2.21,28075.0,228495.0,24.41,1.7,6085300.0,13988300.0
2023-03-01,857261.SI,工程咨询服务Ⅲ,L3,1803.35,1789.44,1841.74,1833.23,26.25,1.45,26660.0,269266.0,24.74,1.73,6173690.0,14896500.0
2023-03-02,857261.SI,工程咨询服务Ⅲ,L3,1828.34,1812.95,1863.68,1837.44,4.21,0.23,28158.0,312303.0,24.75,1.73,6192370.0,14925800.0
2023-03-03,857261.SI,工程咨询服务Ⅲ,L3,1840.6,1818.33,1878.06,1857.32,19.88,1.08,27158.0,323861.0,25.0,1.75,6259370.0,15114000.0
2023-03-06,857261.SI,工程咨询服务Ⅲ,L3,1862.85,1828.09,1878.18,1841.36,-15.96,-0.86,22814.0,265549.0,24.79,1.73,6205570.0,14974600.0
2023-03-07,857261.SI,工程咨询服务Ⅲ,L3,1846.73,1822.86,1895.96,1846.69,5.33,0.29,29850.0,407204.0,24.58,1.7,6085200.0,15031100.0
2023-03-08,857261.SI,工程咨询服务Ⅲ,L3,1838.49,1822.76,1888.35,1875.92,29.23,1.58,27497.0,415444.0,24.98,1.73,6181520.0,15272600.0
2023-03-09,857261.SI,工程咨询服务Ⅲ,L3,1873.93,1848.83,1950.39,1928.46,52.55,2.8,43656.0,654486.0,25.65,1.78,6354670.0,15736700.0
2023-03-10,857261.SI,工程咨询服务Ⅲ,L3,1914.9,1865.68,1936.22,1881.62,-46.84,-2.43,38262.0,569554.0,25.08,1.74,6200320.0,15328600.0
2023-03-13,857261.SI,工程咨询服务Ⅲ,L3,1875.17,1842.85,1914.62,1875.66,-5.96,-0.32,28900.0,400844.0,25.01,1.73,6180670.0,15271900.0
2023-03-14,857261.SI,工程咨询服务Ⅲ,L3,1870.11,1815.27,1884.94,1841.63,-34.03,-1.81,26639.0,366512.0,24.56,1.7,6068510.0,14987300.0
2023-03-15,857261.SI,工程咨询服务Ⅲ,L3,1846.82,1831.54,1893.82,1874.21,32.58,1.77,29047.0,365737.0,25.0,1.73,6175870.0,15199700.0
2023-03-16,857261.SI,工程咨询服务Ⅲ,L3,1867.84,1828.56,1887.42,1838.36,-35.85,-1.91,24615.0,337336.0,24.53,1.7,6057740.0,14898800.0
2023-03-17,857261.SI,工程咨询服务Ⅲ,L3,1846.78,1830.12,1879.77,1856.17,17.81,0.97,23751.0,320936.0,24.77,1.71,6116440.0,15042800.0
2023-03-20,857261.SI,工程咨询服务Ⅲ,L3,1859.33,1824.06,1886.42,1839.21,-16.96,-0.91,27869.0,422361.0,25.18,1.72,6186340.0,15851900.0
2023-03-21,857261.SI,工程咨询服务Ⅲ,L3,1836.99,1813.6,1872.88,1854.23,15.02,0.82,24257.0,356435.0,25.6,1.73,6236840.0,15895800.0
2023-03-22,857261.SI,工程咨询服务Ⅲ,L3,1880.3,1862.66,1958.76,1917.89,63.66,3.43,53695.0,668956.0,26.47,1.79,6450980.0,16259200.0
2023-03-23,857261.SI,工程咨询服务Ⅲ,L3,1914.04,1883.66,1953.45,1919.24,1.35,0.07,50798.0,651282.0,26.52,1.79,6463130.0,16223600.0
2023-03-24,857261.SI,工程咨询服务Ⅲ,L3,1905.99,1865.65,1933.56,1896.89,-22.35,-1.16,39748.0,487166.0,26.27,1.77,6387860.0,16027100.0
2023-03-27,857261.SI,工程咨询服务Ⅲ,L3,1890.72,1870.79,1947.39,1920.21,23.32,1.23,43327.0,529805.0,26.31,1.79,6466380.0,16204800.0
2023-03-28,857261.SI,工程咨询服务Ⅲ,L3,1916.92,1874.4,1948.65,1897.67,-22.53,-1.17,36472.0,475424.0,26.0,1.77,6390500.0,16102000.0
2023-03-29,857261.SI,工程咨询服务Ⅲ,L3,1896.57,1837.64,1907.99,1856.99,-40.68,-2.14,29697.0,370138.0,25.4,1.73,6253500.0,15730100.0
2023-03-30,857261.SI,工程咨询服务Ⅲ,L3,1860.43,1821.23,1876.03,1841.96,-15.04,-0.81,25095.0,297676.0,25.04,1.72,6202870.0,15614000.0
2023-03-31,857261.SI,工程咨询服务Ⅲ,L3,1845.64,1818.73,1862.91,1843.45,1.5,0.08,19207.0,234061.0,24.71,1.72,6206750.0,15650400.0
2023-04-03,857261.SI,工程咨询服务Ⅲ,L3,1856.02,1837.67,1892.05,1880.2,36.74,1.99,25874.0,304189.0,25.27,1.75,6330460.0,15905700.0
2023-04-04,857261.SI,工程咨询服务Ⅲ,L3,1900.37,1865.76,1935.92,1914.52,34.32,1.83,44907.0,511144.0,25.76,1.79,6446020.0,16169800.0
2023-04-06,857261.SI,工程咨询服务Ⅲ,L3,1910.91,1873.8,1950.67,1913.97,-0.55,-0.03,50677.0,549884.0,25.83,1.79,6444160.0,16102300.0
2023-04-07,857261.SI,工程咨询服务Ⅲ,L3,1927.02,1889.57,1946.28,1917.23,3.27,0.17,52962.0,539150.0,25.86,1.8,6455160.0,16127100.0
