trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857354.SI,光伏辅材,L3,1623.43,1595.75,1676.82,1658.23,30.12,1.85,14731.0,305787.0,48.53,4.75,10433600.0,28219000.0
2023-01-04,857354.SI,光伏辅材,L3,1651.61,1604.44,1661.73,1623.65,-34.59,-2.09,11706.0,249411.0,47.53,4.66,10215900.0,27572900.0
2023-01-05,857354.SI,光伏辅材,L3,1625.68,1618.2,1685.86,1664.17,40.53,2.5,14412.0,345525.0,48.74,4.78,10470900.0,28351200.0
2023-01-06,857354.SI,光伏辅材,L3,1701.98,1698.54,1817.37,1801.23,137.05,8.24,32304.0,769003.0,52.63,5.16,11333300.0,30906100.0
2023-01-09,857354.SI,光伏辅材,L3,1803.93,1769.4,1856.46,1802.78,1.56,0.09,29991.0,816224.0,52.76,5.17,11358300.0,30957100.0
2023-01-10,857354.SI,光伏辅材,L3,1813.84,1768.71,1836.14,1788.05,-14.74,-0.82,18013.0,429072.0,52.33,5.13,11265400.0,30656200.0
2023-01-11,857354.SI,光伏辅材,L3,1788.98,1743.86,1809.4,1762.45,-25.59,-1.43,17630.0,407046.0,51.64,5.06,11104200.0,30307800.0
2023-01-12,857354.SI,光伏辅材,L3,1761.02,1743.57,1794.56,1753.55,-8.91,-0.51,13432.0,305812.0,51.37,5.03,11048100.0,30102400.0
2023-01-13,857354.SI,光伏辅材,L3,1768.3,1709.82,1777.33,1735.77,-17.78,-1.01,14393.0,340825.0,50.86,4.98,10939500.0,29825700.0
2023-01-16,857354.SI,光伏辅材,L3,1730.53,1709.21,1806.43,1768.82,33.05,1.9,17062.0,390877.0,51.89,5.08,11147800.0,30428400.0
2023-01-17,857354.SI,光伏辅材,L3,1773.07,1757.17,1822.31,1779.94,11.12,0.63,13434.0,337736.0,52.28,5.12,11217900.0,30579300.0
2023-01-18,857354.SI,光伏辅材,L3,1785.7,1750.62,1798.54,1767.96,-11.98,-0.67,10940.0,284526.0,51.95,5.09,11142400.0,30400900.0
2023-01-19,857354.SI,光伏辅材,L3,1758.4,1741.09,1777.61,1760.2,-7.76,-0.44,10164.0,212548.0,51.75,5.07,11093500.0,30264200.0
2023-01-20,857354.SI,光伏辅材,L3,1764.98,1746.12,1809.73,1796.8,36.6,2.08,14019.0,292662.0,52.88,5.18,11324200.0,30877800.0
2023-01-30,857354.SI,光伏辅材,L3,1819.67,1784.8,1849.93,1806.44,9.64,0.54,23862.0,404675.0,53.16,5.21,11384900.0,31125200.0
2023-01-31,857354.SI,光伏辅材,L3,1795.43,1785.71,1860.28,1829.75,23.32,1.29,30185.0,516199.0,53.86,5.28,11531800.0,31633200.0
2023-02-01,857354.SI,光伏辅材,L3,1840.22,1790.59,1881.09,1846.51,16.76,0.92,32943.0,524249.0,54.39,5.33,11637500.0,31917900.0
2023-02-02,857354.SI,光伏辅材,L3,1838.79,1812.04,1869.02,1826.74,-19.77,-1.07,20789.0,389394.0,53.85,5.27,11512900.0,31519800.0
2023-02-03,857354.SI,光伏辅材,L3,1824.37,1744.21,1829.6,1766.95,-59.79,-3.27,21940.0,402150.0,52.16,5.14,11094700.0,30500300.0
2023-02-06,857354.SI,光伏辅材,L3,1761.16,1727.98,1779.67,1752.13,-14.82,-0.84,14362.0,291446.0,51.63,5.09,11001600.0,30282600.0
2023-02-07,857354.SI,光伏辅材,L3,1758.57,1725.93,1787.76,1752.19,0.06,0.0,19361.0,334815.0,51.68,5.09,11002000.0,30116600.0
2023-02-08,857354.SI,光伏辅材,L3,1757.37,1739.59,1796.88,1766.37,14.18,0.81,39881.0,527156.0,52.11,5.13,11091100.0,30368500.0
2023-02-09,857354.SI,光伏辅材,L3,1762.35,1737.49,1810.65,1780.91,14.54,0.82,36172.0,511233.0,52.51,5.17,11182400.0,30627300.0
2023-02-10,857354.SI,光伏辅材,L3,1772.09,1728.86,1793.34,1743.26,-37.65,-2.11,25592.0,407869.0,51.45,5.07,10946000.0,29913800.0
2023-02-13,857354.SI,光伏辅材,L3,1737.81,1716.68,1760.87,1729.08,-14.19,-0.81,20491.0,345766.0,51.01,5.03,10856900.0,29660900.0
2023-02-14,857354.SI,光伏辅材,L3,1731.19,1704.04,1756.57,1739.93,10.86,0.63,21058.0,377465.0,51.39,5.06,10925100.0,29912200.0
2023-02-15,857354.SI,光伏辅材,L3,1734.57,1708.09,1760.19,1723.44,-16.49,-0.95,19710.0,355521.0,50.88,5.01,10821500.0,29552900.0
2023-02-16,857354.SI,光伏辅材,L3,1719.6,1659.79,1736.2,1669.35,-54.09,-3.14,26676.0,396025.0,49.3,4.86,10481900.0,28637400.0
2023-02-17,857354.SI,光伏辅材,L3,1669.41,1641.3,1689.08,1652.76,-16.59,-0.99,18063.0,278347.0,48.82,4.81,10377700.0,28392900.0
2023-02-20,857354.SI,光伏辅材,L3,1650.32,1630.12,1681.12,1670.84,18.08,1.09,13612.0,266695.0,49.27,4.85,10491200.0,28722900.0
