trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857362.SI,风电零部件,L3,8554.76,8491.91,9100.33,9005.0,497.55,5.85,21718.0,451846.0,44.23,2.79,10300300.0,20314800.0
2023-01-04,857362.SI,风电零部件,L3,9049.53,8860.11,9149.03,8999.05,-5.95,-0.07,16371.0,346237.0,44.9,2.81,10296100.0,20675000.0
2023-01-05,857362.SI,风电零部件,L3,9017.69,8937.63,9238.63,9088.86,89.81,1.0,13506.0,274140.0,45.33,2.84,10398900.0,20872800.0
2023-01-06,857362.SI,风电零部件,L3,9114.05,9028.35,9401.65,9160.8,71.94,0.79,17968.0,354230.0,45.7,2.86,10481200.0,21044600.0
2023-01-09,857362.SI,风电零部件,L3,9197.22,9070.55,9422.71,9236.2,75.39,0.82,20034.0,364850.0,46.15,2.89,10567400.0,21197300.0
2023-01-10,857362.SI,风电零部件,L3,9277.03,9139.89,9414.98,9249.0,12.8,0.14,21540.0,379844.0,46.3,2.9,10582100.0,21209200.0
2023-01-11,857362.SI,风电零部件,L3,9220.99,9056.88,9336.01,9108.1,-140.9,-1.52,16968.0,341849.0,45.63,2.86,10420900.0,20882700.0
2023-01-12,857362.SI,风电零部件,L3,9119.34,9066.28,9452.22,9181.3,73.2,0.8,17849.0,395992.0,45.87,2.87,10504600.0,21090300.0
2023-01-13,857362.SI,风电零部件,L3,9213.34,8989.09,9281.43,9111.92,-69.38,-0.76,13425.0,264241.0,45.49,2.85,10425200.0,20934800.0
2023-01-16,857362.SI,风电零部件,L3,9121.05,8984.38,9271.6,9137.89,25.97,0.28,16191.0,303939.0,45.64,2.86,10455000.0,20974300.0
2023-01-17,857362.SI,风电零部件,L3,9148.94,9066.81,9277.02,9144.84,6.95,0.08,11306.0,210911.0,45.65,2.86,10462900.0,20983700.0
2023-01-18,857362.SI,风电零部件,L3,9127.6,9043.29,9261.66,9158.48,13.64,0.15,11659.0,206043.0,45.77,2.87,10478500.0,21015200.0
2023-01-19,857362.SI,风电零部件,L3,9133.26,8958.71,9177.91,9040.19,-118.28,-1.29,11590.0,231586.0,45.18,2.83,10343200.0,20732700.0
2023-01-20,857362.SI,风电零部件,L3,9067.77,9040.02,9246.99,9164.07,123.88,1.37,11919.0,210368.0,45.84,2.87,10484900.0,21009400.0
2023-01-30,857362.SI,风电零部件,L3,9300.62,9225.67,9581.12,9413.76,249.69,2.72,21799.0,445997.0,47.18,2.96,10770600.0,21599000.0
2023-01-31,857362.SI,风电零部件,L3,9405.07,9338.78,9820.02,9695.23,281.47,2.99,29449.0,537234.0,48.61,3.05,11092600.0,22262600.0
2023-02-01,857362.SI,风电零部件,L3,9734.49,9555.21,9939.93,9745.5,50.27,0.52,26993.0,499439.0,48.88,3.06,11150100.0,22380800.0
2023-02-02,857362.SI,风电零部件,L3,9747.24,9623.75,9939.32,9748.31,2.81,0.03,21217.0,395893.0,48.82,3.06,11153400.0,22388300.0
2023-02-03,857362.SI,风电零部件,L3,9716.79,9439.31,9777.41,9617.14,-131.17,-1.35,19450.0,353996.0,48.27,3.02,10978700.0,22053800.0
2023-02-06,857362.SI,风电零部件,L3,9570.47,9436.29,9764.56,9625.78,8.64,0.09,21942.0,374206.0,48.36,3.03,10988600.0,22030900.0
2023-02-07,857362.SI,风电零部件,L3,9630.84,9495.48,9783.29,9634.44,8.66,0.09,19202.0,308556.0,48.4,3.03,10998500.0,22047100.0
2023-02-08,857362.SI,风电零部件,L3,9639.65,9514.42,9784.38,9618.86,-15.58,-0.16,18374.0,302933.0,48.38,3.03,10980700.0,21993400.0
2023-02-09,857362.SI,风电零部件,L3,9584.69,9481.48,9854.68,9766.98,148.12,1.54,27725.0,411802.0,49.16,3.08,11149800.0,22309000.0
2023-02-10,857362.SI,风电零部件,L3,9753.61,9486.89,9806.84,9558.41,-208.57,-2.14,17934.0,319275.0,48.16,3.02,10911700.0,21831000.0
2023-02-13,857362.SI,风电零部件,L3,9565.09,9440.99,9750.04,9589.11,30.7,0.32,27155.0,373805.0,48.26,3.02,10946700.0,21895400.0
2023-02-14,857362.SI,风电零部件,L3,9589.78,9405.24,9663.62,9519.4,-69.72,-0.73,18290.0,286919.0,47.91,3.0,10867200.0,21735100.0
2023-02-15,857362.SI,风电零部件,L3,9521.87,9386.79,9634.92,9445.88,-73.51,-0.77,15128.0,265032.0,47.49,2.97,10783200.0,21586700.0
2023-02-16,857362.SI,风电零部件,L3,9449.33,9121.04,9511.07,9202.29,-243.59,-2.58,22766.0,355613.0,46.18,2.89,10505200.0,21039000.0
2023-02-17,857362.SI,风电零部件,L3,9214.7,9001.29,9280.73,9036.19,-166.1,-1.8,15510.0,252383.0,45.4,2.84,10315500.0,20652200.0
2023-02-20,857362.SI,风电零部件,L3,9034.99,8970.0,9286.88,9212.75,176.56,1.95,17621.0,283577.0,46.31,2.9,10517100.0,21063300.0
2023-02-21,857362.SI,风电零部件,L3,9232.45,9103.54,9455.38,9366.58,153.82,1.67,18668.0,342376.0,47.11,2.95,10692700.0,21410200.0
2023-02-22,857362.SI,风电零部件,L3,9310.07,9252.4,9673.94,9441.79,75.22,0.8,25893.0,436166.0,47.52,2.98,10778600.0,21600200.0
2023-02-23,857362.SI,风电零部件,L3,9422.85,9333.94,9563.96,9441.88,0.08,0.0,16993.0,269382.0,47.55,2.98,10778700.0,21592100.0
2023-02-24,857362.SI,风电零部件,L3,9438.85,9300.88,9576.72,9435.85,-6.03,-0.06,14246.0,258856.0,47.6,2.98,10771800.0,21588500.0
