trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857371.SI,锂电池,L3,19318.6,18779.4,19477.0,19327.2,-36.84,-0.19,25061.0,1077910.0,41.37,5.59,70229000.0,140772000.0
2023-01-04,857371.SI,锂电池,L3,19173.8,18808.2,19224.7,18937.4,-389.87,-2.02,24927.0,1386590.0,40.53,5.47,68812400.0,138083000.0
2023-01-05,857371.SI,锂电池,L3,19117.0,18923.9,20109.8,19939.0,1001.62,5.29,27376.0,1828880.0,42.69,5.77,72452000.0,145528000.0
2023-01-06,857371.SI,锂电池,L3,19865.2,19772.2,20778.1,20345.0,405.97,2.04,28270.0,1530260.0,43.29,5.93,78495700.0,148523000.0
2023-01-09,857371.SI,锂电池,L3,20594.8,20192.3,20730.5,20323.9,-21.1,-0.1,23858.0,1250590.0,43.24,5.92,78414300.0,148399000.0
2023-01-10,857371.SI,锂电池,L3,20358.4,20085.3,21075.0,20882.6,558.74,2.75,25009.0,1511130.0,44.44,6.09,80570100.0,152550000.0
2023-01-11,857371.SI,锂电池,L3,20779.9,20371.7,21009.6,20515.2,-367.39,-1.76,22936.0,1272070.0,43.66,5.98,79152600.0,149974000.0
2023-01-12,857371.SI,锂电池,L3,20732.5,20571.0,21083.8,20755.6,240.36,1.17,19666.0,1099210.0,44.18,6.05,80080000.0,151739000.0
2023-01-13,857371.SI,锂电池,L3,21137.1,20442.6,21479.5,20911.3,155.75,0.75,23240.0,1712660.0,44.52,6.1,80669700.0,152964000.0
2023-01-16,857371.SI,锂电池,L3,20816.5,20606.0,21277.4,21095.7,184.38,0.88,26255.0,1425690.0,44.91,6.15,81381000.0,154445000.0
2023-01-17,857371.SI,锂电池,L3,21117.0,20942.0,21370.5,21091.0,-4.69,-0.02,17866.0,945599.0,44.9,6.15,81362900.0,154410000.0
2023-01-18,857371.SI,锂电池,L3,21226.0,20973.9,21390.8,21212.8,121.84,0.58,17153.0,789464.0,45.16,6.19,81832900.0,155488000.0
2023-01-19,857371.SI,锂电池,L3,21111.8,20913.4,21362.9,21125.3,-87.54,-0.41,16559.0,789482.0,44.98,6.16,81525700.0,154837000.0
2023-01-20,857371.SI,锂电池,L3,21135.0,21001.4,21437.9,21378.2,252.92,1.2,24251.0,1089960.0,45.52,6.23,82501800.0,156661000.0
2023-01-30,857371.SI,锂电池,L3,22550.6,22019.7,23049.6,22165.9,787.71,3.68,36351.0,2038540.0,47.16,6.45,85719600.0,162492000.0
2023-01-31,857371.SI,锂电池,L3,22121.4,21833.3,22513.6,22024.7,-141.23,-0.64,26974.0,1340650.0,46.86,6.41,85173400.0,161343000.0
2023-02-01,857371.SI,锂电池,L3,22237.9,22176.2,22707.8,22525.3,500.62,2.27,34716.0,1383370.0,47.93,6.55,87109400.0,165038000.0
2023-02-02,857371.SI,锂电池,L3,22587.5,22035.3,22680.6,22139.4,-385.93,-1.71,27365.0,1366960.0,47.09,6.44,85617000.0,162165000.0
2023-02-03,857371.SI,锂电池,L3,22047.2,21443.6,22157.7,21683.1,-456.34,-2.06,26926.0,1227870.0,46.12,6.3,83852200.0,158847000.0
2023-02-06,857371.SI,锂电池,L3,21530.7,21061.9,21620.7,21442.8,-240.22,-1.11,24971.0,975071.0,45.61,6.23,82923300.0,157042000.0
2023-02-07,857371.SI,锂电池,L3,21443.7,21136.8,21640.0,21312.0,-130.88,-0.61,22870.0,934877.0,45.33,6.2,82417200.0,156113000.0
2023-02-08,857371.SI,锂电池,L3,21379.1,21163.2,21583.0,21278.5,-33.45,-0.16,35928.0,986008.0,45.25,6.19,82287800.0,155920000.0
2023-02-09,857371.SI,锂电池,L3,21262.4,21007.4,21645.1,21511.1,232.62,1.09,31736.0,1009240.0,45.76,6.25,83187400.0,157603000.0
2023-02-10,857371.SI,锂电池,L3,21487.1,21110.8,21599.9,21177.3,-333.78,-1.55,23429.0,953271.0,45.04,6.16,81896600.0,155161000.0
2023-02-13,857371.SI,锂电池,L3,21325.7,21159.3,21833.2,21682.5,505.18,2.39,26301.0,1254230.0,46.12,6.3,83850200.0,158941000.0
2023-02-14,857371.SI,锂电池,L3,21986.1,21136.7,22028.7,21365.0,-317.51,-1.46,20373.0,1040170.0,45.44,6.21,82622300.0,156561000.0
2023-02-15,857371.SI,锂电池,L3,21438.4,21167.7,21632.7,21220.1,-144.97,-0.68,23884.0,948896.0,45.13,6.17,82061700.0,155501000.0
2023-02-16,857371.SI,锂电池,L3,21325.7,20682.8,21462.1,20918.1,-301.97,-1.42,32407.0,1097320.0,44.5,6.08,80900400.0,153350000.0
2023-02-17,857371.SI,锂电池,L3,20945.5,20006.7,20986.1,20036.7,-881.39,-4.21,25403.0,1518770.0,42.62,5.83,77491600.0,146768000.0
2023-02-20,857371.SI,锂电池,L3,19829.2,19233.7,20039.8,19886.3,-150.43,-0.75,29241.0,1648480.0,42.29,5.78,76909900.0,145829000.0
2023-02-21,857371.SI,锂电池,L3,19765.1,19538.9,20036.5,19732.0,-154.28,-0.78,21875.0,1120380.0,41.96,5.74,76313200.0,144617000.0
2023-02-22,857371.SI,锂电池,L3,19495.0,19322.4,19705.7,19450.3,-281.63,-1.43,17080.0,999382.0,41.36,5.65,75224000.0,142595000.0
2023-02-23,857371.SI,锂电池,L3,19486.7,19355.8,19731.6,19604.9,154.59,0.79,18326.0,860365.0,41.69,5.7,75821800.0,143710000.0
2023-02-24,857371.SI,锂电池,L3,19536.4,19178.2,19574.4,19257.4,-347.57,-1.77,18005.0,839535.0,40.95,5.6,74477600.0,141178000.0
2023-02-27,857371.SI,锂电池,L3,19153.7,19002.9,19300.2,19063.4,-193.99,-1.01,16498.0,746439.0,40.53,5.54,73727400.0,139751000.0
2023-02-28,857371.SI,锂电池,L3,19174.5,19018.1,19365.1,19195.3,131.97,0.69,13757.0,759782.0,40.82,5.58,74237800.0,140693000.0
2023-03-01,857371.SI,锂电池,L3,19165.0,19093.9,19560.3,19444.4,249.01,1.3,15883.0,926283.0,41.35,5.65,75200800.0,142602000.0
2023-03-02,857371.SI,锂电池,L3,19370.0,18817.4,19440.1,18987.9,-456.5,-2.35,20690.0,1130260.0,40.38,5.52,73435300.0,139224000.0
2023-03-03,857371.SI,锂电池,L3,19038.2,18918.7,19227.7,19074.6,86.73,0.46,15365.0,717588.0,40.57,5.55,73770800.0,139840000.0
2023-03-06,857371.SI,锂电池,L3,19065.1,18621.5,19342.8,19292.6,218.03,1.14,17423.0,1128870.0,41.03,5.61,74614000.0,141486000.0
2023-03-07,857371.SI,锂电池,L3,19135.8,18966.2,19340.5,19000.5,-292.09,-1.51,18880.0,824328.0,40.42,5.52,73484300.0,139331000.0
2023-03-08,857371.SI,锂电池,L3,18916.3,18674.2,19094.5,18850.5,-150.04,-0.79,14258.0,708374.0,40.09,5.48,72904000.0,138203000.0
2023-03-09,857371.SI,锂电池,L3,18806.9,18437.2,19006.8,18761.0,-89.52,-0.47,16755.0,774041.0,39.9,5.45,72557800.0,137614000.0
2023-03-10,857371.SI,锂电池,L3,18877.3,18603.2,19227.4,18978.1,217.09,1.16,17924.0,1216850.0,35.42,5.22,73397400.0,139318000.0
2023-03-13,857371.SI,锂电池,L3,18863.9,18321.2,19023.6,18443.1,-534.99,-2.82,19568.0,1236640.0,34.42,5.07,71328400.0,135328000.0
2023-03-14,857371.SI,锂电池,L3,18412.9,17762.9,18427.2,18171.9,-271.18,-1.47,24351.0,1312290.0,33.91,5.0,70279600.0,133361000.0
2023-03-15,857371.SI,锂电池,L3,18387.0,18018.5,18576.4,18174.4,2.52,0.01,15737.0,901572.0,33.92,5.0,70289300.0,133385000.0
2023-03-16,857371.SI,锂电池,L3,17983.7,17829.9,18234.5,17905.8,-268.56,-1.48,22420.0,918660.0,33.42,4.93,69250700.0,131523000.0
2023-03-17,857371.SI,锂电池,L3,18076.8,17495.0,18135.4,17536.6,-369.25,-2.06,24312.0,1347090.0,32.73,4.83,67822600.0,128792000.0
2023-03-20,857371.SI,锂电池,L3,17491.0,17205.4,18031.7,17787.2,250.62,1.43,26881.0,1227700.0,33.2,4.89,68791800.0,130566000.0
2023-03-21,857371.SI,锂电池,L3,17869.3,17696.5,18492.6,18446.9,659.74,3.71,29103.0,1391240.0,34.43,5.08,71343400.0,135356000.0
2023-03-22,857371.SI,锂电池,L3,18634.7,18526.6,19086.1,18673.6,226.61,1.23,32630.0,1488960.0,34.86,5.14,72219800.0,137021000.0
2023-03-23,857371.SI,锂电池,L3,18583.8,18424.2,18823.5,18624.6,-49.0,-0.26,25002.0,947091.0,34.77,5.13,72030800.0,136650000.0
2023-03-24,857371.SI,锂电池,L3,18622.1,18290.8,18881.8,18525.2,-99.31,-0.53,27578.0,1129510.0,34.57,5.1,71646700.0,135897000.0
2023-03-27,857371.SI,锂电池,L3,18429.6,18179.3,18803.8,18670.1,144.8,0.78,30480.0,1384520.0,34.85,5.14,72206700.0,136904000.0
2023-03-28,857371.SI,锂电池,L3,18576.2,18361.1,18706.9,18472.7,-197.34,-1.06,21624.0,819605.0,34.48,5.08,71443500.0,135487000.0
2023-03-29,857371.SI,锂电池,L3,18564.1,18449.9,18957.2,18719.5,246.83,1.34,19341.0,1024480.0,34.97,5.15,72398100.0,137344000.0
2023-03-30,857371.SI,锂电池,L3,18735.7,18550.7,18838.4,18733.4,13.91,0.07,20233.0,786888.0,34.99,5.16,72451900.0,137442000.0
2023-03-31,857371.SI,锂电池,L3,18881.4,18842.6,19349.5,18969.2,235.8,1.26,29092.0,1413010.0,35.44,5.22,73363800.0,139185000.0
2023-04-03,857371.SI,锂电池,L3,18953.2,18523.5,19042.6,18708.5,-260.78,-1.37,29684.0,1308390.0,35.01,5.14,72355300.0,137244000.0
2023-04-04,857371.SI,锂电池,L3,18718.8,17937.2,18740.5,18221.6,-486.89,-2.6,30748.0,1480380.0,34.09,5.0,70472200.0,133680000.0
2023-04-06,857371.SI,锂电池,L3,18075.1,17810.1,18323.5,18219.3,-2.25,-0.01,22490.0,921633.0,34.08,5.0,70463500.0,133668000.0
2023-04-07,857371.SI,锂电池,L3,18150.6,18059.9,18521.3,18315.6,96.24,0.53,25749.0,827301.0,34.26,5.03,70835700.0,134414000.0
2023-04-10,857371.SI,锂电池,L3,18501.0,18231.8,18915.0,18856.7,541.14,2.95,33662.0,1516880.0,35.24,5.18,72928600.0,138341000.0
2023-04-11,857371.SI,锂电池,L3,18756.9,18595.6,19118.0,18714.1,-142.62,-0.76,25272.0,1172450.0,34.98,5.14,72401900.0,137325000.0
2023-04-12,857371.SI,锂电池,L3,18690.1,18305.2,18722.2,18334.8,-379.33,-2.03,35430.0,894447.0,34.26,5.03,70934300.0,134619000.0
2023-04-13,857371.SI,锂电池,L3,18240.3,18022.4,18378.1,18171.5,-163.23,-0.89,23887.0,790189.0,33.96,4.99,70302800.0,133413000.0
2023-04-14,857371.SI,锂电池,L3,18154.1,18129.5,18876.8,18594.7,423.18,2.33,29825.0,1304020.0,34.75,5.1,71940000.0,136520000.0
2023-04-17,857371.SI,锂电池,L3,18541.6,18500.2,19098.5,18958.0,363.26,1.95,20912.0,1155520.0,35.31,5.2,73345400.0,139267000.0
2023-04-18,857371.SI,锂电池,L3,18956.6,18849.3,19384.8,18932.3,-25.66,-0.14,23152.0,1143110.0,35.1,4.97,73246100.0,139182000.0
2023-04-19,857371.SI,锂电池,L3,19115.1,18717.4,19159.5,18918.0,-14.26,-0.08,22956.0,927530.0,35.08,4.97,73190900.0,139138000.0
2023-04-20,857371.SI,锂电池,L3,18905.1,18219.9,18913.8,18270.0,-648.03,-3.43,24850.0,1203090.0,33.78,4.83,73249000.0,134364000.0
