trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857375.SI,蓄电池及其他电池,L3,1971.6,1933.5,2073.41,2055.41,82.85,4.2,9017.0,160360.0,81.62,2.34,2967050.0,4850400.0
2023-01-04,857375.SI,蓄电池及其他电池,L3,2061.41,2009.11,2066.3,2030.01,-25.39,-1.24,6425.0,112739.0,80.57,2.31,2930390.0,4797680.0
2023-01-05,857375.SI,蓄电池及其他电池,L3,2031.11,2021.0,2115.32,2079.89,49.87,2.46,9709.0,177056.0,82.59,2.37,3002390.0,4908750.0
2023-01-06,857375.SI,蓄电池及其他电池,L3,2077.21,2064.97,2134.62,2098.21,18.32,0.88,9298.0,161043.0,83.32,2.39,3028840.0,4949420.0
2023-01-09,857375.SI,蓄电池及其他电池,L3,2131.1,2096.61,2169.71,2105.44,7.23,0.34,8475.0,156136.0,83.6,2.4,3039270.0,4968050.0
2023-01-10,857375.SI,蓄电池及其他电池,L3,2123.0,2065.28,2140.06,2090.74,-14.7,-0.7,6874.0,125687.0,83.02,2.38,3018050.0,4938240.0
2023-01-11,857375.SI,蓄电池及其他电池,L3,2085.04,2056.51,2164.61,2114.71,23.97,1.15,8281.0,164070.0,84.02,2.41,3052650.0,4980620.0
2023-01-12,857375.SI,蓄电池及其他电池,L3,2115.32,2090.41,2141.83,2099.69,-15.02,-0.71,5962.0,107868.0,83.4,2.39,3030970.0,4952460.0
2023-01-13,857375.SI,蓄电池及其他电池,L3,2122.5,2081.41,2158.89,2103.8,4.11,0.2,6411.0,122346.0,83.56,2.4,3036910.0,4958270.0
2023-01-16,857375.SI,蓄电池及其他电池,L3,2094.43,2069.17,2128.24,2102.72,-1.09,-0.05,6378.0,116358.0,83.48,2.4,3035340.0,4962390.0
2023-01-17,857375.SI,蓄电池及其他电池,L3,2105.79,2099.26,2168.47,2146.19,43.47,2.07,6977.0,142464.0,85.25,2.45,3098090.0,5052970.0
2023-01-18,857375.SI,蓄电池及其他电池,L3,2149.7,2119.61,2166.95,2138.96,-7.23,-0.34,4928.0,89054.0,84.95,2.44,3087660.0,5041410.0
2023-01-19,857375.SI,蓄电池及其他电池,L3,2149.12,2107.76,2165.26,2132.81,-6.15,-0.29,6774.0,107500.0,84.73,2.43,3080400.0,5035200.0
2023-01-20,857375.SI,蓄电池及其他电池,L3,2134.37,2109.23,2163.01,2149.38,16.57,0.78,6377.0,110111.0,85.39,2.45,3104330.0,5075630.0
2023-01-30,857375.SI,蓄电池及其他电池,L3,2179.76,2128.84,2211.83,2142.51,-6.87,-0.32,8845.0,154711.0,85.09,2.44,3094410.0,5069070.0
2023-01-31,857375.SI,蓄电池及其他电池,L3,2127.85,2116.43,2192.18,2173.2,30.69,1.43,9114.0,144863.0,86.33,2.48,3138730.0,5142070.0
