trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857421.SI,航空装备Ⅲ,L3,9366.92,9310.03,9673.78,9602.8,235.38,2.51,29234.0,769933.0,57.3,4.26,38008200.0,82890900.0
2023-01-04,857421.SI,航空装备Ⅲ,L3,9585.65,9439.02,9669.67,9542.53,-60.27,-0.63,22597.0,565407.0,56.94,4.23,37769700.0,82414900.0
2023-01-05,857421.SI,航空装备Ⅲ,L3,9538.11,9458.07,9636.16,9568.71,26.18,0.27,19554.0,503306.0,57.1,4.24,37873300.0,82712300.0
2023-01-06,857421.SI,航空装备Ⅲ,L3,9535.51,9454.66,9628.92,9519.55,-49.16,-0.51,21563.0,519967.0,56.8,4.22,37678700.0,82332700.0
2023-01-09,857421.SI,航空装备Ⅲ,L3,9496.32,9235.68,9550.19,9298.33,-221.22,-2.32,29735.0,816928.0,55.48,4.12,36803100.0,80379700.0
2023-01-10,857421.SI,航空装备Ⅲ,L3,9330.57,9081.07,9384.67,9182.45,-115.89,-1.25,30878.0,931022.0,54.79,4.07,36325300.0,79374800.0
2023-01-11,857421.SI,航空装备Ⅲ,L3,9186.16,9049.21,9320.51,9099.97,-82.48,-0.9,29335.0,782806.0,54.3,4.03,35975800.0,78728000.0
2023-01-12,857421.SI,航空装备Ⅲ,L3,9305.75,9102.07,9427.91,9163.72,63.75,0.7,38189.0,942770.0,54.68,4.06,36227800.0,79198600.0
2023-01-13,857421.SI,航空装备Ⅲ,L3,9157.4,9002.39,9244.2,9134.63,-29.09,-0.32,32757.0,729543.0,54.51,4.05,36112800.0,79068700.0
2023-01-16,857421.SI,航空装备Ⅲ,L3,9137.68,9083.78,9391.09,9270.22,135.59,1.48,45724.0,1059390.0,55.32,4.11,36648900.0,80167100.0
2023-01-17,857421.SI,航空装备Ⅲ,L3,9285.84,9192.88,9463.17,9329.77,59.55,0.64,39709.0,880443.0,55.89,4.14,36921200.0,80892300.0
2023-01-18,857421.SI,航空装备Ⅲ,L3,9329.72,9264.39,9422.36,9351.52,21.75,0.23,28300.0,604079.0,56.02,4.15,37004700.0,81042200.0
2023-01-19,857421.SI,航空装备Ⅲ,L3,9323.96,9281.92,9552.46,9512.43,160.9,1.72,33278.0,741136.0,56.98,4.23,37641400.0,82358100.0
2023-01-20,857421.SI,航空装备Ⅲ,L3,9539.05,9488.65,9669.25,9577.38,64.95,0.68,39787.0,824357.0,57.37,4.25,37898400.0,82848100.0
2023-01-30,857421.SI,航空装备Ⅲ,L3,9699.78,9628.94,10056.0,9911.94,334.56,3.49,69510.0,1627700.0,59.37,4.4,39222300.0,85721300.0
2023-01-31,857421.SI,航空装备Ⅲ,L3,9868.55,9796.27,10079.1,9978.68,66.74,0.67,62026.0,1277580.0,59.77,4.43,39486400.0,86325200.0
2023-02-01,857421.SI,航空装备Ⅲ,L3,9978.97,9880.05,10140.4,10075.8,97.09,0.97,56820.0,1209880.0,60.35,4.48,39870600.0,87131800.0
2023-02-02,857421.SI,航空装备Ⅲ,L3,10127.1,9815.25,10169.4,9856.99,-218.78,-2.17,59879.0,1313390.0,59.04,4.38,39004900.0,85231200.0
2023-02-03,857421.SI,航空装备Ⅲ,L3,9833.74,9761.88,10029.9,9987.66,130.67,1.33,45606.0,1078070.0,59.83,4.44,39521900.0,86457600.0
2023-02-06,857421.SI,航空装备Ⅲ,L3,9975.68,9827.42,10100.0,9917.26,-70.4,-0.7,43451.0,957026.0,59.41,4.4,39243400.0,85756700.0
2023-02-07,857421.SI,航空装备Ⅲ,L3,9925.51,9735.76,9995.87,9833.71,-83.55,-0.84,47285.0,938057.0,58.9,4.37,38912700.0,85112400.0
