trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857651.SI,营销代理,L3,1596.7,1583.62,1664.96,1651.74,56.72,3.56,73792.0,528622.0,43.57,2.09,9210630.0,15468400.0
2023-01-04,857651.SI,营销代理,L3,1658.2,1633.34,1691.95,1665.52,13.78,0.83,77729.0,616322.0,44.05,2.11,9326360.0,15615700.0
2023-01-05,857651.SI,营销代理,L3,1665.82,1646.92,1704.47,1670.02,4.49,0.27,62667.0,523939.0,44.07,2.11,9331780.0,15687100.0
2023-01-06,857651.SI,营销代理,L3,1667.4,1630.06,1691.01,1646.27,-23.75,-1.42,57563.0,455468.0,43.46,2.08,9199100.0,15441700.0
2023-01-09,857651.SI,营销代理,L3,1647.21,1632.76,1685.3,1661.85,15.58,0.95,42465.0,334724.0,43.87,2.1,9286170.0,15580400.0
2023-01-10,857651.SI,营销代理,L3,1672.38,1643.87,1707.43,1695.22,33.37,2.01,48955.0,425831.0,44.77,2.14,9472610.0,15861000.0
2023-01-11,857651.SI,营销代理,L3,1693.18,1645.28,1709.54,1656.0,-39.22,-2.31,50930.0,461598.0,43.74,2.09,9253450.0,15466200.0
2023-01-12,857651.SI,营销代理,L3,1660.29,1646.15,1716.94,1695.28,39.28,2.37,58555.0,522324.0,44.79,2.14,9472960.0,15827600.0
2023-01-13,857651.SI,营销代理,L3,1711.21,1669.75,1751.02,1709.16,13.88,0.82,74639.0,692701.0,45.17,2.16,9550500.0,15894400.0
2023-01-16,857651.SI,营销代理,L3,1719.97,1677.53,1738.72,1692.83,-16.33,-0.96,70901.0,594838.0,44.73,2.14,9459260.0,15770400.0
2023-01-17,857651.SI,营销代理,L3,1691.37,1648.44,1713.01,1662.92,-29.92,-1.77,65472.0,497464.0,43.93,2.1,9292100.0,15501000.0
2023-01-18,857651.SI,营销代理,L3,1659.69,1641.56,1683.25,1658.81,-4.11,-0.25,52807.0,359454.0,43.82,2.1,9269150.0,15483200.0
2023-01-19,857651.SI,营销代理,L3,1652.39,1637.74,1678.37,1663.54,4.73,0.28,44138.0,303817.0,43.92,2.1,9295560.0,15547700.0
2023-01-20,857651.SI,营销代理,L3,1671.09,1660.85,1698.01,1691.84,28.31,1.7,44963.0,324391.0,44.68,2.14,9453730.0,15825800.0
2023-01-30,857651.SI,营销代理,L3,1715.09,1692.42,1753.97,1721.64,29.8,1.76,81838.0,564810.0,45.48,2.18,9620250.0,16072500.0
2023-01-31,857651.SI,营销代理,L3,1701.97,1682.59,1745.19,1728.0,6.36,0.37,67441.0,477563.0,45.64,2.19,9655800.0,16129900.0
2023-02-01,857651.SI,营销代理,L3,1729.38,1710.73,1786.82,1773.71,45.71,2.65,91801.0,637295.0,46.85,2.24,9911220.0,16565800.0
2023-02-02,857651.SI,营销代理,L3,1769.67,1757.88,1828.43,1784.66,10.95,0.62,94119.0,694381.0,47.15,2.26,9972420.0,16707500.0
2023-02-03,857651.SI,营销代理,L3,1789.07,1770.33,1842.11,1818.97,34.31,1.92,104451.0,777202.0,48.09,2.3,10172000.0,17059900.0
2023-02-06,857651.SI,营销代理,L3,1810.27,1778.24,1850.38,1816.62,-2.35,-0.13,110081.0,853226.0,47.99,2.3,10158800.0,17079100.0
2023-02-07,857651.SI,营销代理,L3,1806.59,1787.63,1871.08,1850.77,34.15,1.88,117048.0,879273.0,48.92,2.34,10349800.0,17362300.0
2023-02-08,857651.SI,营销代理,L3,1849.31,1796.43,1871.13,1803.09,-47.68,-2.58,90339.0,723048.0,47.63,2.28,10083700.0,16925400.0
2023-02-09,857651.SI,营销代理,L3,1791.01,1770.39,1850.99,1837.91,34.82,1.93,91255.0,656984.0,48.55,2.32,10278400.0,17213000.0
2023-02-10,857651.SI,营销代理,L3,1828.46,1809.24,1902.83,1852.05,14.14,0.77,147752.0,912618.0,48.9,2.34,10357500.0,17346900.0
2023-02-13,857651.SI,营销代理,L3,1839.65,1811.46,1876.97,1849.05,-3.0,-0.16,134603.0,752073.0,48.81,2.34,10340700.0,17346400.0
2023-02-14,857651.SI,营销代理,L3,1851.37,1800.64,1864.72,1811.69,-37.35,-2.02,92074.0,634194.0,47.84,2.29,10131800.0,16966600.0
2023-02-15,857651.SI,营销代理,L3,1813.28,1798.57,1873.86,1853.0,41.31,2.28,101702.0,746030.0,48.88,2.34,10362800.0,17428900.0
2023-02-16,857651.SI,营销代理,L3,1856.82,1796.86,1922.17,1830.79,-22.21,-1.2,195104.0,1114290.0,48.32,2.31,10238600.0,17181500.0
2023-02-17,857651.SI,营销代理,L3,1833.63,1780.22,1859.7,1801.71,-29.08,-1.59,110538.0,700622.0,47.54,2.27,10076000.0,16943700.0
2023-02-20,857651.SI,营销代理,L3,1806.54,1792.07,1884.76,1860.77,59.06,3.28,106346.0,688207.0,49.08,2.35,10406200.0,17585200.0
2023-02-21,857651.SI,营销代理,L3,1861.18,1828.13,1908.79,1858.75,-2.02,-0.11,117498.0,845557.0,49.0,2.34,10405900.0,17560000.0
2023-02-22,857651.SI,营销代理,L3,1833.82,1802.84,1861.73,1839.89,-18.86,-1.01,90232.0,618073.0,48.55,2.32,10304600.0,17330300.0
2023-02-23,857651.SI,营销代理,L3,1836.03,1781.85,1848.94,1796.94,-42.95,-2.33,85553.0,553540.0,47.45,2.27,10064000.0,16888700.0
2023-02-24,857651.SI,营销代理,L3,1796.21,1770.93,1809.62,1786.35,-10.59,-0.59,52093.0,385417.0,47.16,2.26,10004700.0,16794600.0
2023-02-27,857651.SI,营销代理,L3,1775.49,1741.66,1791.29,1751.36,-34.99,-1.96,55504.0,360021.0,46.26,2.21,9808750.0,16445400.0
2023-02-28,857651.SI,营销代理,L3,1762.89,1742.78,1786.63,1772.76,21.39,1.22,44713.0,310826.0,46.82,2.24,9934390.0,16649200.0
