trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857661.SI,影视动漫制作,L3,1080.18,1060.26,1111.75,1095.13,18.16,1.69,74797.0,494823.0,105.98,2.23,6724920.0,15136400.0
2023-01-04,857661.SI,影视动漫制作,L3,1097.19,1086.53,1121.08,1106.7,11.58,1.06,60663.0,381847.0,107.1,2.25,6796010.0,15267100.0
2023-01-05,857661.SI,影视动漫制作,L3,1105.93,1079.32,1119.71,1094.53,-12.18,-1.1,61584.0,407672.0,105.92,2.23,6721230.0,15127500.0
2023-01-06,857661.SI,影视动漫制作,L3,1091.39,1050.63,1094.81,1057.0,-37.53,-3.43,54661.0,351835.0,102.29,2.15,6490800.0,14573100.0
2023-01-09,857661.SI,影视动漫制作,L3,1061.08,1051.9,1089.98,1076.93,19.93,1.89,49345.0,334165.0,104.52,2.2,6633090.0,14960400.0
2023-01-10,857661.SI,影视动漫制作,L3,1077.67,1055.93,1089.34,1073.73,-3.2,-0.3,44415.0,296237.0,104.21,2.19,6613400.0,14915900.0
2023-01-11,857661.SI,影视动漫制作,L3,1073.25,1045.09,1078.61,1050.2,-23.53,-2.19,41438.0,252117.0,100.76,2.16,6394340.0,14598200.0
2023-01-12,857661.SI,影视动漫制作,L3,1048.94,1033.56,1061.93,1046.4,-3.81,-0.36,34749.0,217514.0,100.4,2.16,6371170.0,14513600.0
2023-01-13,857661.SI,影视动漫制作,L3,1046.83,1037.23,1070.11,1063.03,16.63,1.59,38038.0,254777.0,101.99,2.19,6472420.0,14773100.0
2023-01-16,857661.SI,影视动漫制作,L3,1065.8,1042.64,1080.31,1059.86,-3.17,-0.3,43348.0,299655.0,101.69,2.18,6453120.0,14708800.0
2023-01-17,857661.SI,影视动漫制作,L3,1061.82,1036.09,1071.52,1046.25,-13.6,-1.28,36127.0,238986.0,100.38,2.16,6370300.0,14542300.0
2023-01-18,857661.SI,影视动漫制作,L3,1052.75,1048.32,1086.1,1071.13,24.87,2.38,50844.0,356290.0,102.77,2.21,6521750.0,14896000.0
2023-01-19,857661.SI,影视动漫制作,L3,1065.98,1053.65,1092.91,1087.23,16.1,1.5,44938.0,320704.0,104.31,2.24,6619780.0,15133900.0
2023-01-20,857661.SI,影视动漫制作,L3,1084.56,1070.39,1104.29,1098.02,10.79,0.99,46924.0,313509.0,105.35,2.26,6685500.0,15268200.0
2023-01-30,857661.SI,影视动漫制作,L3,1104.54,1051.14,1113.37,1061.98,-36.05,-3.28,76171.0,507853.0,101.89,2.19,6466020.0,14622700.0
2023-01-31,857661.SI,影视动漫制作,L3,1054.95,1037.58,1067.42,1056.43,-5.54,-0.52,47071.0,284725.0,101.47,2.17,6439270.0,14482100.0
2023-02-01,857661.SI,影视动漫制作,L3,1055.22,1046.13,1073.76,1069.91,13.48,1.28,43947.0,259948.0,102.76,2.2,6521440.0,14640700.0
2023-02-02,857661.SI,影视动漫制作,L3,1072.6,1059.53,1086.68,1065.2,-4.71,-0.44,56485.0,332871.0,102.31,2.19,6492730.0,14525200.0
2023-02-03,857661.SI,影视动漫制作,L3,1064.69,1055.5,1078.69,1065.59,0.38,0.04,43984.0,258571.0,102.35,2.19,6495050.0,14495500.0
2023-02-06,857661.SI,影视动漫制作,L3,1068.62,1051.04,1083.66,1064.74,-0.84,-0.08,54467.0,310330.0,102.27,2.19,6489910.0,14473600.0
2023-02-07,857661.SI,影视动漫制作,L3,1070.4,1047.89,1092.56,1074.01,9.27,0.87,68275.0,396150.0,103.16,2.21,6546400.0,14466000.0
2023-02-08,857661.SI,影视动漫制作,L3,1071.0,1044.39,1076.0,1048.44,-25.57,-2.38,58920.0,334605.0,100.7,2.16,6390560.0,14167600.0
2023-02-09,857661.SI,影视动漫制作,L3,1041.71,1035.18,1061.14,1057.83,9.38,0.9,41777.0,229621.0,101.6,2.18,6447760.0,14290700.0
2023-02-10,857661.SI,影视动漫制作,L3,1053.85,1050.93,1086.56,1069.84,12.02,1.14,55843.0,325101.0,102.76,2.2,6520990.0,14445000.0
2023-02-13,857661.SI,影视动漫制作,L3,1071.92,1060.07,1090.93,1083.73,13.89,1.3,50523.0,307885.0,104.09,2.23,6605660.0,14625000.0
2023-02-14,857661.SI,影视动漫制作,L3,1083.18,1063.89,1090.66,1072.04,-11.69,-1.08,40589.0,233045.0,102.97,2.21,6534400.0,14466700.0
2023-02-15,857661.SI,影视动漫制作,L3,1078.0,1069.89,1097.51,1086.79,14.75,1.38,52734.0,314294.0,104.38,2.24,6624280.0,14582000.0
2023-02-16,857661.SI,影视动漫制作,L3,1083.51,1060.08,1115.3,1069.58,-17.21,-1.58,77282.0,445332.0,102.73,2.2,6519380.0,14371000.0
2023-02-17,857661.SI,影视动漫制作,L3,1069.17,1047.48,1082.07,1051.95,-17.63,-1.65,45598.0,256840.0,101.04,2.17,6411950.0,14158200.0
2023-02-20,857661.SI,影视动漫制作,L3,1053.14,1045.2,1072.63,1068.81,16.86,1.6,44273.0,251834.0,102.92,2.2,6531640.0,14359600.0
2023-02-21,857661.SI,影视动漫制作,L3,1065.73,1053.35,1083.36,1066.3,-2.51,-0.23,40119.0,229630.0,102.68,2.2,6516320.0,14327900.0
2023-02-22,857661.SI,影视动漫制作,L3,1057.43,1044.13,1066.31,1060.6,-5.71,-0.54,32542.0,180783.0,102.12,2.18,6480630.0,14280100.0
2023-02-23,857661.SI,影视动漫制作,L3,1060.88,1039.1,1065.47,1045.51,-15.08,-1.42,30496.0,171806.0,100.67,2.15,6388460.0,14106100.0
2023-02-24,857661.SI,影视动漫制作,L3,1045.06,1034.41,1053.97,1043.8,-1.71,-0.16,23177.0,130056.0,100.5,2.15,6378000.0,14095400.0
2023-02-27,857661.SI,影视动漫制作,L3,1039.8,1024.09,1048.14,1029.0,-14.8,-1.42,25251.0,140529.0,99.1,2.12,6288790.0,13927700.0
2023-02-28,857661.SI,影视动漫制作,L3,1033.79,1026.6,1046.48,1043.54,14.54,1.41,23336.0,141010.0,100.8,2.15,6396650.0,14102200.0
2023-03-01,857661.SI,影视动漫制作,L3,1041.31,1037.51,1078.71,1073.62,30.08,2.88,48570.0,285838.0,103.7,2.21,6581040.0,14406200.0
2023-03-02,857661.SI,影视动漫制作,L3,1073.42,1063.16,1094.38,1088.13,14.51,1.35,58105.0,343878.0,105.1,2.24,6669990.0,14596300.0
2023-03-03,857661.SI,影视动漫制作,L3,1087.64,1071.41,1104.92,1087.07,-1.07,-0.1,46244.0,287573.0,105.0,2.24,6663450.0,14631100.0
2023-03-06,857661.SI,影视动漫制作,L3,1084.84,1071.59,1097.26,1081.9,-5.17,-0.48,36181.0,222427.0,104.5,2.23,6631780.0,14575000.0
2023-03-07,857661.SI,影视动漫制作,L3,1080.74,1051.23,1092.09,1053.6,-28.3,-2.62,38905.0,260405.0,101.77,2.17,6458310.0,14204500.0
2023-03-08,857661.SI,影视动漫制作,L3,1054.95,1049.13,1087.23,1082.48,28.88,2.74,44868.0,280514.0,104.56,2.23,6635330.0,14596200.0
2023-03-09,857661.SI,影视动漫制作,L3,1087.96,1072.94,1117.46,1100.17,17.69,1.63,76365.0,455420.0,106.27,2.27,6743750.0,14790200.0
2023-03-10,857661.SI,影视动漫制作,L3,1089.66,1080.0,1132.94,1103.51,3.34,0.3,91815.0,486592.0,106.59,2.27,6764240.0,14807100.0
2023-03-13,857661.SI,影视动漫制作,L3,1093.29,1066.19,1114.63,1105.2,1.69,0.15,74774.0,403996.0,106.75,2.28,6774580.0,14806900.0
2023-03-14,857661.SI,影视动漫制作,L3,1106.64,1080.19,1126.11,1090.02,-15.18,-1.37,71164.0,402031.0,105.65,2.24,6704340.0,14579100.0
2023-03-15,857661.SI,影视动漫制作,L3,1093.57,1075.69,1115.85,1091.24,1.22,0.11,61510.0,324287.0,105.76,2.24,6711860.0,14643900.0
2023-03-16,857661.SI,影视动漫制作,L3,1082.2,1066.73,1101.63,1081.68,-9.56,-0.88,51016.0,290001.0,104.84,2.22,6653060.0,14487500.0
2023-03-17,857661.SI,影视动漫制作,L3,1089.95,1085.04,1138.26,1124.94,43.25,4.0,82939.0,490183.0,109.03,2.31,6919100.0,14996500.0
2023-03-20,857661.SI,影视动漫制作,L3,1156.07,1148.31,1215.29,1183.83,58.89,5.24,143571.0,1000870.0,114.74,2.43,7281330.0,15928400.0
2023-03-21,857661.SI,影视动漫制作,L3,1175.14,1163.61,1246.21,1228.08,44.25,3.74,123437.0,846709.0,119.03,2.52,7553490.0,16499900.0
2023-03-22,857661.SI,影视动漫制作,L3,1236.91,1212.47,1274.29,1252.52,24.44,1.99,124723.0,850680.0,121.22,2.58,7692820.0,16840000.0
2023-03-23,857661.SI,影视动漫制作,L3,1241.87,1214.96,1264.34,1243.05,-9.47,-0.76,96386.0,680037.0,120.31,2.56,7634680.0,16765000.0
2023-03-24,857661.SI,影视动漫制作,L3,1240.89,1223.05,1282.23,1256.51,13.45,1.08,92431.0,631732.0,121.61,2.58,7717300.0,16867000.0
2023-03-27,857661.SI,影视动漫制作,L3,1251.02,1207.07,1273.34,1237.36,-19.14,-1.52,92154.0,652681.0,119.75,2.54,7599710.0,16677600.0
2023-03-28,857661.SI,影视动漫制作,L3,1231.9,1191.79,1242.47,1202.4,-34.96,-2.83,70016.0,485268.0,116.37,2.47,7384990.0,16203800.0
2023-03-29,857661.SI,影视动漫制作,L3,1205.95,1175.22,1232.1,1205.58,3.17,0.26,71382.0,464073.0,116.68,2.48,7404490.0,16203800.0
2023-03-30,857661.SI,影视动漫制作,L3,1201.95,1166.95,1211.17,1181.42,-24.16,-2.0,49641.0,313272.0,114.34,2.43,7256100.0,15900800.0
2023-03-31,857661.SI,影视动漫制作,L3,1179.72,1172.6,1279.29,1265.76,84.34,7.14,97099.0,655025.0,122.5,2.6,7774130.0,16907100.0
2023-04-03,857661.SI,影视动漫制作,L3,1261.24,1248.03,1326.45,1313.59,47.83,3.78,117751.0,846972.0,127.13,2.7,8067880.0,17504600.0
2023-04-04,857661.SI,影视动漫制作,L3,1312.99,1267.7,1345.8,1289.17,-24.42,-1.86,102338.0,760066.0,124.77,2.65,7917920.0,17287200.0
2023-04-06,857661.SI,影视动漫制作,L3,1273.28,1227.51,1289.88,1247.27,-41.9,-3.25,76409.0,554591.0,120.71,2.56,7660560.0,16808200.0
2023-04-07,857661.SI,影视动漫制作,L3,1252.12,1233.75,1343.44,1307.48,60.21,4.83,99345.0,693978.0,126.54,2.69,8030370.0,17530600.0
2023-04-10,857661.SI,影视动漫制作,L3,1325.44,1261.02,1358.86,1284.21,-23.28,-1.78,96409.0,718806.0,124.29,2.64,7887420.0,17346600.0
2023-04-11,857661.SI,影视动漫制作,L3,1278.89,1272.55,1434.35,1400.85,116.64,9.08,153968.0,1164570.0,135.58,2.88,8603830.0,18783600.0
2023-04-12,857661.SI,影视动漫制作,L3,1412.06,1391.59,1516.26,1495.81,94.96,6.78,164916.0,1364640.0,144.77,3.08,9187060.0,20240900.0
2023-04-13,857661.SI,影视动漫制作,L3,1498.37,1474.31,1586.29,1500.32,4.51,0.3,168686.0,1414510.0,145.21,3.09,9214790.0,20158500.0
2023-04-14,857661.SI,影视动漫制作,L3,1497.14,1429.47,1549.64,1476.4,-23.92,-1.59,154270.0,1319850.0,142.89,3.04,9067840.0,19901300.0
2023-04-17,857661.SI,影视动漫制作,L3,1464.2,1400.86,1490.99,1418.52,-57.88,-3.92,112104.0,948816.0,137.29,2.92,8712350.0,19045200.0
2023-04-18,857661.SI,影视动漫制作,L3,1413.14,1353.91,1440.69,1407.4,-11.11,-0.78,107370.0,888285.0,136.21,2.89,8644080.0,18959500.0
2023-04-19,857661.SI,影视动漫制作,L3,1405.43,1400.65,1526.62,1477.7,70.3,4.99,134030.0,1204600.0,143.02,3.04,9075840.0,19890800.0
2023-04-20,857661.SI,影视动漫制作,L3,1464.52,1439.59,1533.93,1516.99,39.29,2.66,148804.0,1285400.0,146.82,3.12,9317140.0,20463300.0
2023-04-21,857661.SI,影视动漫制作,L3,1494.46,1405.24,1526.17,1432.07,-84.91,-5.6,126130.0,1048800.0,135.98,2.89,8795610.0,19317300.0
2023-04-24,857661.SI,影视动漫制作,L3,1419.11,1394.4,1499.71,1454.01,21.93,1.53,111575.0,945411.0,138.06,2.93,8930320.0,19625100.0
2023-04-25,857661.SI,影视动漫制作,L3,1442.73,1400.17,1520.34,1485.51,31.5,2.17,124606.0,1107780.0,133.92,2.99,9123800.0,19970800.0
2023-04-26,857661.SI,影视动漫制作,L3,1471.79,1382.66,1536.96,1459.75,-25.76,-1.73,129736.0,1192990.0,128.7,2.93,8965580.0,19720600.0
2023-04-27,857661.SI,影视动漫制作,L3,1451.5,1359.56,1489.95,1380.9,-78.85,-5.4,106294.0,962154.0,113.73,2.76,8481300.0,18734600.0
2023-04-28,857661.SI,影视动漫制作,L3,1353.39,1351.51,1494.87,1464.0,83.1,6.02,130968.0,1068300.0,120.57,3.01,8991690.0,19813800.0
2023-05-04,857661.SI,影视动漫制作,L3,1443.66,1395.86,1569.59,1546.59,82.59,5.64,149941.0,1357610.0,141.75,3.27,9498970.0,21001400.0
2023-05-05,857661.SI,影视动漫制作,L3,1526.67,1470.76,1594.17,1523.59,-23.0,-1.49,134386.0,1253560.0,139.64,3.22,9357710.0,20681900.0
2023-05-08,857661.SI,影视动漫制作,L3,1510.01,1453.0,1585.03,1515.28,-8.32,-0.55,124526.0,1200630.0,138.88,3.21,9306620.0,20419200.0
2023-05-09,857661.SI,影视动漫制作,L3,1508.82,1467.04,1581.58,1499.95,-15.33,-1.01,122290.0,1086940.0,137.48,3.17,9212470.0,20332200.0
2023-05-10,857661.SI,影视动漫制作,L3,1485.38,1443.53,1565.07,1498.59,-1.35,-0.09,129940.0,1208030.0,137.35,3.17,9204170.0,20145800.0
2023-05-11,857661.SI,影视动漫制作,L3,1535.32,1470.7,1678.24,1604.76,106.17,7.08,204931.0,1848480.0,147.08,3.4,9856250.0,21667800.0
2023-05-12,857661.SI,影视动漫制作,L3,1588.54,1472.72,1617.26,1497.82,-106.94,-6.66,197004.0,1660600.0,137.06,3.18,9184810.0,20218800.0
2023-05-15,857661.SI,影视动漫制作,L3,1501.68,1383.01,1533.19,1432.15,-65.67,-4.38,158535.0,1364580.0,131.05,3.04,8782130.0,19361600.0
2023-05-16,857661.SI,影视动漫制作,L3,1421.56,1338.28,1453.66,1355.7,-76.46,-5.34,129690.0,1101740.0,124.06,2.88,8313290.0,18417300.0
2023-05-17,857661.SI,影视动漫制作,L3,1335.23,1306.34,1375.46,1323.86,-31.84,-2.35,95581.0,771683.0,121.14,2.81,8118040.0,17932300.0
2023-05-18,857661.SI,影视动漫制作,L3,1313.98,1290.11,1359.59,1341.62,17.77,1.34,100644.0,789473.0,122.77,2.85,8226970.0,18133900.0
2023-05-19,857661.SI,影视动漫制作,L3,1329.8,1295.89,1353.64,1309.59,-32.03,-2.39,79974.0,613314.0,119.84,2.78,8030570.0,17744100.0
2023-05-22,857661.SI,影视动漫制作,L3,1304.99,1267.63,1323.55,1295.99,-13.61,-1.04,64875.0,502821.0,118.59,2.75,7947130.0,17609600.0
2023-05-23,857661.SI,影视动漫制作,L3,1292.81,1250.44,1304.68,1257.7,-38.29,-2.95,62208.0,485055.0,115.09,2.67,7712340.0,17052700.0
2023-05-24,857661.SI,影视动漫制作,L3,1265.4,1234.01,1291.8,1258.02,0.32,0.03,73669.0,555472.0,115.12,2.67,7714290.0,17046600.0
2023-05-25,857661.SI,影视动漫制作,L3,1246.97,1199.21,1266.33,1232.21,-25.8,-2.05,72281.0,531224.0,112.76,2.61,7556060.0,16705800.0
2023-05-26,857661.SI,影视动漫制作,L3,1228.48,1209.75,1264.59,1249.5,17.29,1.4,62641.0,490034.0,114.34,2.65,7662060.0,16919900.0
2023-05-29,857661.SI,影视动漫制作,L3,1247.1,1231.43,1284.95,1261.36,11.87,0.95,71817.0,547487.0,115.43,2.68,7734820.0,17024900.0
2023-05-30,857661.SI,影视动漫制作,L3,1248.97,1222.67,1310.1,1300.63,39.26,3.11,90258.0,689347.0,119.02,2.76,7975580.0,17564300.0
2023-05-31,857661.SI,影视动漫制作,L3,1289.77,1279.72,1337.73,1310.13,9.5,0.73,80031.0,615897.0,119.89,2.78,8033850.0,17666400.0
2023-06-01,857661.SI,影视动漫制作,L3,1301.41,1293.03,1391.15,1365.13,55.0,4.2,107050.0,920722.0,124.92,2.9,8371110.0,18367500.0
2023-06-02,857661.SI,影视动漫制作,L3,1378.02,1356.4,1422.25,1382.97,17.85,1.31,108595.0,871910.0,126.8,2.94,8497170.0,18562000.0
2023-06-05,857661.SI,影视动漫制作,L3,1383.61,1358.4,1463.49,1444.01,61.04,4.41,120961.0,1052040.0,132.39,3.07,8872200.0,19382600.0
2023-06-06,857661.SI,影视动漫制作,L3,1439.32,1405.38,1515.78,1453.21,9.19,0.64,131513.0,1207500.0,133.23,3.09,8928670.0,19489400.0
2023-06-07,857661.SI,影视动漫制作,L3,1442.1,1406.43,1535.0,1506.03,52.82,3.63,135466.0,1347310.0,138.08,3.2,9253220.0,20296400.0
2023-06-08,857661.SI,影视动漫制作,L3,1496.18,1406.66,1506.64,1438.6,-67.43,-4.48,124007.0,1201670.0,131.9,3.05,8838920.0,19327400.0
2023-06-09,857661.SI,影视动漫制作,L3,1423.89,1390.39,1477.96,1446.66,8.06,0.56,113926.0,1090110.0,132.95,3.08,8909360.0,19519900.0
2023-06-12,857661.SI,影视动漫制作,L3,1444.72,1417.29,1484.99,1440.49,-6.16,-0.43,97181.0,896700.0,132.38,3.06,8871400.0,19479300.0
2023-06-13,857661.SI,影视动漫制作,L3,1437.4,1419.25,1495.19,1470.45,29.96,2.08,107168.0,960402.0,135.13,3.13,9055920.0,19799800.0
2023-06-14,857661.SI,影视动漫制作,L3,1459.51,1430.53,1514.17,1456.16,-14.3,-0.97,111340.0,1017310.0,133.82,3.1,8967870.0,19520700.0
2023-06-15,857661.SI,影视动漫制作,L3,1459.41,1439.5,1499.15,1459.16,3.0,0.21,104467.0,954153.0,134.46,3.1,9010610.0,19576200.0
2023-06-16,857661.SI,影视动漫制作,L3,1448.75,1418.06,1484.7,1460.63,1.48,0.1,89930.0,801326.0,134.59,3.11,9019730.0,19569500.0
2023-06-19,857661.SI,影视动漫制作,L3,1463.71,1441.59,1499.08,1463.58,2.94,0.2,91851.0,855502.0,134.86,3.11,9037900.0,19521500.0
2023-06-20,857661.SI,影视动漫制作,L3,1463.92,1437.57,1520.84,1476.22,12.64,0.86,112198.0,1043760.0,136.03,3.14,9115960.0,19673700.0
2023-06-21,857661.SI,影视动漫制作,L3,1464.77,1359.56,1474.94,1365.91,-110.31,-7.47,105570.0,924180.0,125.86,2.9,8434780.0,18263200.0
2023-06-26,857661.SI,影视动漫制作,L3,1352.57,1280.96,1377.28,1290.26,-75.65,-5.54,76936.0,628355.0,118.89,2.74,7967620.0,17270600.0
2023-06-27,857661.SI,影视动漫制作,L3,1289.09,1273.69,1337.77,1316.5,26.24,2.03,67749.0,522628.0,121.63,2.8,8164530.0,17657200.0
2023-06-28,857661.SI,影视动漫制作,L3,1307.77,1236.99,1326.95,1290.53,-25.98,-1.97,79886.0,632665.0,119.23,2.74,8003440.0,17369700.0
2023-06-29,857661.SI,影视动漫制作,L3,1284.91,1277.46,1341.03,1323.31,32.78,2.54,69614.0,555263.0,122.26,2.81,8206730.0,17673100.0
2023-06-30,857661.SI,影视动漫制作,L3,1319.74,1293.12,1341.95,1318.86,-4.44,-0.34,59854.0,480183.0,121.85,2.8,8179180.0,17614100.0
2023-07-03,857661.SI,影视动漫制作,L3,1328.11,1275.95,1342.08,1311.61,-7.26,-0.55,61242.0,508812.0,121.41,2.79,8176790.0,17607900.0
2023-07-04,857661.SI,影视动漫制作,L3,1308.42,1291.39,1335.83,1313.97,2.36,0.18,51261.0,413378.0,121.63,2.8,8191500.0,17613300.0
2023-07-05,857661.SI,影视动漫制作,L3,1306.42,1283.26,1323.96,1291.76,-22.21,-1.69,48644.0,380290.0,119.58,2.75,8053070.0,17323300.0
2023-07-06,857661.SI,影视动漫制作,L3,1292.65,1279.16,1318.33,1287.41,-4.35,-0.34,42091.0,327092.0,114.22,2.79,7479240.0,16014400.0
2023-07-07,857661.SI,影视动漫制作,L3,1283.28,1245.35,1299.65,1277.1,-10.31,-0.8,45880.0,347244.0,113.3,2.77,7419340.0,15909700.0
2023-07-10,857661.SI,影视动漫制作,L3,1288.32,1279.35,1348.76,1328.38,51.28,4.02,79836.0,623217.0,117.85,2.88,7717260.0,16564000.0
2023-07-11,857661.SI,影视动漫制作,L3,1332.89,1296.73,1350.93,1322.29,-6.09,-0.46,60423.0,496087.0,117.31,2.87,7681850.0,16497000.0
2023-07-12,857661.SI,影视动漫制作,L3,1319.6,1278.06,1348.06,1285.5,-36.79,-2.78,60102.0,494792.0,114.05,2.79,7468130.0,16073000.0
2023-07-13,857661.SI,影视动漫制作,L3,1294.0,1273.33,1354.06,1341.24,55.74,4.34,81314.0,705792.0,118.99,2.91,7791930.0,16793900.0
2023-07-14,857661.SI,影视动漫制作,L3,1341.39,1323.61,1374.02,1341.55,0.32,0.02,77020.0,715546.0,119.02,2.91,7793770.0,16747700.0
2023-07-17,857661.SI,影视动漫制作,L3,1337.2,1311.89,1379.66,1332.76,-8.79,-0.66,64450.0,597551.0,118.24,2.89,7742680.0,16680100.0
2023-07-18,857661.SI,影视动漫制作,L3,1333.86,1290.76,1337.58,1299.52,-33.23,-2.49,49233.0,419311.0,115.29,2.82,7549610.0,16287200.0
2023-07-19,857661.SI,影视动漫制作,L3,1299.13,1289.84,1335.76,1321.23,21.71,1.67,42623.0,380957.0,117.22,2.87,7675730.0,16521200.0
2023-07-20,857661.SI,影视动漫制作,L3,1319.31,1295.18,1351.26,1307.79,-13.44,-1.02,69263.0,666677.0,116.02,2.84,7597650.0,16403900.0
2023-07-21,857661.SI,影视动漫制作,L3,1300.75,1277.46,1330.63,1301.8,-5.99,-0.46,61880.0,549272.0,115.49,2.82,7562850.0,16347800.0
2023-07-24,857661.SI,影视动漫制作,L3,1294.91,1279.3,1329.96,1300.33,-1.47,-0.11,48358.0,414826.0,115.36,2.82,7554320.0,16277600.0
2023-07-25,857661.SI,影视动漫制作,L3,1319.68,1295.37,1346.44,1321.18,20.85,1.6,64584.0,581658.0,117.21,2.87,7675450.0,16522800.0
2023-07-26,857661.SI,影视动漫制作,L3,1318.39,1273.96,1341.61,1288.09,-33.09,-2.5,63072.0,586801.0,114.28,2.79,7483190.0,16110600.0
2023-07-27,857661.SI,影视动漫制作,L3,1279.09,1249.65,1298.53,1261.55,-26.54,-2.06,54462.0,468039.0,111.92,2.74,7329000.0,15816200.0
2023-07-28,857661.SI,影视动漫制作,L3,1257.91,1229.85,1272.44,1251.22,-10.33,-0.82,48278.0,397902.0,111.01,2.71,7269000.0,15708400.0
2023-07-31,857661.SI,影视动漫制作,L3,1252.29,1238.41,1317.34,1294.43,43.2,3.45,76564.0,530926.0,114.84,2.81,7519990.0,16249200.0
