trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857691.SI,教育出版,L3,159.56,158.49,162.64,161.17,1.08,0.67,10162.0,86573.0,9.86,1.2,2597370.0,10627700.0
2023-01-04,857691.SI,教育出版,L3,161.23,159.79,163.57,162.33,1.17,0.72,12143.0,104859.0,9.93,1.21,2616170.0,10707300.0
2023-01-05,857691.SI,教育出版,L3,162.36,159.67,163.2,160.73,-1.6,-0.99,10059.0,84035.0,9.83,1.2,2590390.0,10617700.0
2023-01-06,857691.SI,教育出版,L3,160.65,157.8,160.98,158.88,-1.86,-1.16,7531.0,61115.0,9.72,1.19,2560460.0,10490500.0
2023-01-09,857691.SI,教育出版,L3,159.01,157.98,161.14,159.66,0.79,0.5,7125.0,57265.0,9.76,1.19,2573150.0,10528400.0
2023-01-10,857691.SI,教育出版,L3,159.44,157.66,161.21,159.5,-0.17,-0.1,6582.0,53826.0,9.75,1.19,2570460.0,10535700.0
2023-01-11,857691.SI,教育出版,L3,159.3,156.41,160.32,156.81,-2.68,-1.68,6314.0,51446.0,9.59,1.17,2527220.0,10365200.0
2023-01-12,857691.SI,教育出版,L3,156.76,155.24,158.04,156.47,-0.34,-0.22,5095.0,40939.0,9.57,1.17,2521660.0,10338600.0
2023-01-13,857691.SI,教育出版,L3,156.62,155.82,159.77,158.76,2.29,1.47,8795.0,74286.0,9.71,1.18,2558640.0,10470700.0
2023-01-16,857691.SI,教育出版,L3,159.09,157.0,160.82,158.62,-0.14,-0.09,9473.0,78822.0,9.7,1.18,2556390.0,10474300.0
2023-01-17,857691.SI,教育出版,L3,158.68,156.23,159.29,156.74,-1.88,-1.19,6216.0,50635.0,9.59,1.17,2526030.0,10364100.0
2023-01-18,857691.SI,教育出版,L3,156.72,155.41,158.24,156.5,-0.23,-0.15,6216.0,50483.0,9.57,1.17,2522250.0,10378600.0
2023-01-19,857691.SI,教育出版,L3,156.48,155.09,157.4,156.7,0.2,0.13,4995.0,40232.0,9.58,1.17,2525430.0,10394700.0
2023-01-20,857691.SI,教育出版,L3,156.59,156.23,158.7,158.16,1.46,0.93,5264.0,40601.0,9.67,1.18,2548930.0,10486400.0
2023-01-30,857691.SI,教育出版,L3,159.56,157.94,161.62,159.64,1.48,0.93,8852.0,71180.0,9.76,1.19,2572760.0,10571300.0
2023-01-31,857691.SI,教育出版,L3,159.23,158.2,160.99,160.14,0.5,0.32,5658.0,46146.0,9.79,1.19,2580870.0,10602700.0
2023-02-01,857691.SI,教育出版,L3,160.44,159.54,162.28,161.85,1.71,1.07,7596.0,62832.0,9.9,1.21,2608480.0,10713500.0
2023-02-02,857691.SI,教育出版,L3,162.02,160.84,163.61,161.73,-0.13,-0.08,8481.0,71058.0,9.89,1.21,2606410.0,10708300.0
2023-02-03,857691.SI,教育出版,L3,161.65,160.6,163.13,162.45,0.72,0.45,7207.0,59775.0,9.93,1.21,2618020.0,10751600.0
2023-02-06,857691.SI,教育出版,L3,163.17,161.25,165.26,163.26,0.81,0.5,9955.0,95058.0,9.98,1.22,2631130.0,10799000.0
2023-02-07,857691.SI,教育出版,L3,163.4,162.16,166.13,165.25,1.99,1.22,10065.0,95370.0,10.11,1.23,2663190.0,10910400.0
2023-02-08,857691.SI,教育出版,L3,165.99,161.27,166.53,162.31,-2.94,-1.78,11393.0,101369.0,9.93,1.21,2615790.0,10742100.0
