trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857821.SI,国有大型银行Ⅲ,L3,1098.17,1089.22,1100.8,1096.21,-1.62,-0.15,93319.0,360482.0,4.16,0.41,39980300.0,333527000.0
2023-01-04,857821.SI,国有大型银行Ⅲ,L3,1097.89,1094.43,1112.03,1109.66,13.44,1.23,116225.0,445662.0,4.22,0.42,40470600.0,337688000.0
2023-01-05,857821.SI,国有大型银行Ⅲ,L3,1112.62,1105.42,1116.68,1108.07,-1.58,-0.14,85316.0,329840.0,4.21,0.42,40412800.0,336773000.0
2023-01-06,857821.SI,国有大型银行Ⅲ,L3,1108.41,1101.25,1112.72,1108.17,0.1,0.01,84022.0,311125.0,4.21,0.42,40416400.0,336852000.0
2023-01-09,857821.SI,国有大型银行Ⅲ,L3,1109.67,1104.2,1112.94,1106.02,-2.16,-0.19,64923.0,252015.0,4.2,0.42,40337800.0,336338000.0
2023-01-10,857821.SI,国有大型银行Ⅲ,L3,1107.42,1099.09,1108.71,1101.07,-4.95,-0.45,66257.0,251033.0,4.18,0.41,40157400.0,334817000.0
2023-01-11,857821.SI,国有大型银行Ⅲ,L3,1101.45,1099.08,1109.81,1106.86,5.79,0.53,63140.0,249737.0,4.2,0.42,40368400.0,336075000.0
2023-01-12,857821.SI,国有大型银行Ⅲ,L3,1108.16,1100.71,1110.13,1106.74,-0.11,-0.01,67969.0,256993.0,4.2,0.42,40364200.0,336312000.0
2023-01-13,857821.SI,国有大型银行Ⅲ,L3,1107.27,1104.71,1116.28,1116.09,9.35,0.84,74837.0,280230.0,4.24,0.42,40705300.0,339277000.0
2023-01-16,857821.SI,国有大型银行Ⅲ,L3,1116.53,1107.69,1120.69,1109.62,-6.47,-0.58,124768.0,465851.0,4.22,0.42,40469200.0,337252000.0
2023-01-17,857821.SI,国有大型银行Ⅲ,L3,1109.67,1103.89,1113.26,1109.45,-0.17,-0.02,67889.0,265848.0,4.21,0.42,40463000.0,336961000.0
2023-01-18,857821.SI,国有大型银行Ⅲ,L3,1110.91,1107.77,1115.95,1112.37,2.92,0.26,62528.0,243504.0,4.23,0.42,40569400.0,337969000.0
2023-01-19,857821.SI,国有大型银行Ⅲ,L3,1112.24,1106.91,1114.6,1112.58,0.22,0.02,51730.0,198964.0,4.23,0.42,40577200.0,337742000.0
2023-01-20,857821.SI,国有大型银行Ⅲ,L3,1113.39,1109.47,1116.09,1113.61,1.03,0.09,67676.0,251846.0,4.23,0.42,40614800.0,338221000.0
2023-01-30,857821.SI,国有大型银行Ⅲ,L3,1119.08,1110.05,1122.56,1113.2,-0.41,-0.04,100112.0,380305.0,4.23,0.42,40600000.0,337838000.0
2023-01-31,857821.SI,国有大型银行Ⅲ,L3,1113.98,1108.56,1117.79,1109.14,-4.06,-0.36,68862.0,269623.0,4.21,0.42,40451900.0,336880000.0
2023-02-01,857821.SI,国有大型银行Ⅲ,L3,1110.06,1104.19,1113.06,1109.03,-0.11,-0.01,76374.0,295568.0,4.21,0.42,40447800.0,336617000.0
2023-02-02,857821.SI,国有大型银行Ⅲ,L3,1110.34,1104.29,1111.94,1106.71,-2.32,-0.21,77240.0,297795.0,4.2,0.42,40363300.0,335942000.0
2023-02-03,857821.SI,国有大型银行Ⅲ,L3,1105.94,1101.26,1108.7,1104.17,-2.54,-0.23,77011.0,298705.0,4.19,0.42,40270500.0,335138000.0
2023-02-06,857821.SI,国有大型银行Ⅲ,L3,1102.49,1097.75,1104.99,1102.83,-1.34,-0.12,72628.0,285801.0,4.19,0.41,40221700.0,334749000.0
2023-02-07,857821.SI,国有大型银行Ⅲ,L3,1103.45,1100.26,1106.92,1103.16,0.33,0.03,48792.0,195799.0,4.19,0.41,40233700.0,334723000.0
2023-02-08,857821.SI,国有大型银行Ⅲ,L3,1104.95,1100.62,1108.43,1104.64,1.48,0.13,56354.0,214593.0,4.2,0.42,40287600.0,334991000.0
2023-02-09,857821.SI,国有大型银行Ⅲ,L3,1105.27,1101.21,1108.37,1105.56,0.92,0.08,62831.0,258415.0,4.2,0.42,40321100.0,335073000.0
2023-02-10,857821.SI,国有大型银行Ⅲ,L3,1106.14,1101.4,1109.13,1108.94,3.38,0.31,57802.0,234555.0,4.21,0.42,40444400.0,336061000.0
2023-02-13,857821.SI,国有大型银行Ⅲ,L3,1106.57,1100.0,1108.94,1103.67,-5.27,-0.48,81178.0,313876.0,4.19,0.42,40252200.0,334392000.0
