trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857831.SI,股份制银行Ⅲ,L3,3954.38,3904.52,4026.32,4004.27,39.02,0.98,68580.0,781872.0,5.11,0.52,92695300.0,218334000.0
2023-01-04,857831.SI,股份制银行Ⅲ,L3,4014.94,3995.24,4122.72,4097.05,92.78,2.32,82008.0,963477.0,5.23,0.54,94843100.0,223429000.0
2023-01-05,857831.SI,股份制银行Ⅲ,L3,4122.78,4080.19,4152.2,4098.49,1.44,0.04,57422.0,707883.0,5.23,0.54,94876400.0,223392000.0
2023-01-06,857831.SI,股份制银行Ⅲ,L3,4105.2,4055.56,4131.93,4094.45,-4.04,-0.1,48680.0,592068.0,5.23,0.54,94782800.0,223187000.0
2023-01-09,857831.SI,股份制银行Ⅲ,L3,4104.33,4081.83,4145.5,4117.15,22.71,0.55,40996.0,509407.0,5.26,0.54,95308400.0,224538000.0
2023-01-10,857831.SI,股份制银行Ⅲ,L3,4114.06,4048.71,4127.84,4057.17,-59.99,-1.46,47912.0,597658.0,5.18,0.53,93919800.0,221362000.0
2023-01-11,857831.SI,股份制银行Ⅲ,L3,4067.35,4049.13,4132.04,4103.7,46.54,1.15,40825.0,525229.0,5.24,0.54,94997000.0,223735000.0
2023-01-12,857831.SI,股份制银行Ⅲ,L3,4120.61,4077.52,4124.92,4108.69,4.99,0.12,30688.0,346770.0,5.24,0.54,95112600.0,224005000.0
2023-01-13,857831.SI,股份制银行Ⅲ,L3,4111.27,4097.02,4164.1,4163.25,54.55,1.33,40243.0,506156.0,5.31,0.54,96375400.0,226901000.0
2023-01-16,857831.SI,股份制银行Ⅲ,L3,4178.04,4152.54,4256.79,4199.88,36.63,0.88,69639.0,880426.0,5.36,0.55,97223400.0,228670000.0
2023-01-17,857831.SI,股份制银行Ⅲ,L3,4199.92,4165.53,4227.88,4200.5,0.62,0.01,42391.0,505530.0,5.36,0.55,97237700.0,228724000.0
2023-01-18,857831.SI,股份制银行Ⅲ,L3,4199.07,4166.21,4229.3,4189.7,-10.8,-0.26,45782.0,432994.0,5.35,0.55,96987700.0,228270000.0
2023-01-19,857831.SI,股份制银行Ⅲ,L3,4179.26,4145.63,4218.58,4203.35,13.66,0.33,36823.0,469332.0,5.37,0.55,97303800.0,228951000.0
2023-01-20,857831.SI,股份制银行Ⅲ,L3,4220.6,4188.48,4232.75,4219.62,16.26,0.39,39457.0,465355.0,5.39,0.55,97680300.0,229936000.0
2023-01-30,857831.SI,股份制银行Ⅲ,L3,4315.45,4235.42,4325.93,4255.15,35.54,0.84,60807.0,893506.0,5.43,0.56,98503000.0,231899000.0
2023-01-31,857831.SI,股份制银行Ⅲ,L3,4269.84,4190.26,4289.09,4197.38,-57.77,-1.36,51959.0,717732.0,5.36,0.55,97165600.0,228979000.0
2023-02-01,857831.SI,股份制银行Ⅲ,L3,4220.47,4110.74,4229.14,4154.74,-42.64,-1.02,62785.0,902732.0,5.3,0.54,96178400.0,226746000.0
2023-02-02,857831.SI,股份制银行Ⅲ,L3,4165.87,4085.9,4170.48,4122.57,-32.17,-0.77,52330.0,728649.0,5.26,0.54,95433800.0,225054000.0
2023-02-03,857831.SI,股份制银行Ⅲ,L3,4103.02,4042.79,4110.34,4066.09,-56.48,-1.37,50929.0,637926.0,5.19,0.53,94126300.0,221969000.0
2023-02-06,857831.SI,股份制银行Ⅲ,L3,4028.51,3973.49,4032.47,4005.71,-60.37,-1.48,48205.0,656278.0,5.11,0.52,92728700.0,218754000.0
2023-02-07,857831.SI,股份制银行Ⅲ,L3,4015.3,3995.78,4050.03,4018.39,12.68,0.32,36037.0,438649.0,5.13,0.53,93022200.0,219442000.0
2023-02-08,857831.SI,股份制银行Ⅲ,L3,4025.01,4001.67,4048.16,4008.92,-9.47,-0.24,29820.0,340536.0,5.12,0.52,92802900.0,218875000.0
2023-02-09,857831.SI,股份制银行Ⅲ,L3,4003.34,3995.2,4048.91,4020.38,11.46,0.29,36076.0,461698.0,5.13,0.53,93068100.0,219514000.0
2023-02-10,857831.SI,股份制银行Ⅲ,L3,4011.04,3978.24,4019.33,4000.18,-20.2,-0.5,31207.0,395767.0,5.11,0.52,92600500.0,218423000.0
2023-02-13,857831.SI,股份制银行Ⅲ,L3,3985.03,3922.04,3991.17,3961.78,-38.4,-0.96,66039.0,838678.0,5.06,0.52,91711700.0,216464000.0
2023-02-14,857831.SI,股份制银行Ⅲ,L3,3969.24,3952.06,3991.6,3985.92,24.14,0.61,38664.0,469536.0,5.09,0.52,92270400.0,217745000.0
2023-02-15,857831.SI,股份制银行Ⅲ,L3,3984.19,3922.49,3991.67,3932.81,-53.11,-1.33,42215.0,597792.0,5.02,0.51,91041000.0,214898000.0
2023-02-16,857831.SI,股份制银行Ⅲ,L3,3935.31,3910.02,3988.31,3933.01,0.2,0.01,53001.0,645530.0,5.02,0.51,91045700.0,214894000.0
2023-02-17,857831.SI,股份制银行Ⅲ,L3,3928.88,3881.35,3947.66,3883.75,-49.26,-1.25,43807.0,552497.0,4.96,0.51,89905300.0,212301000.0
2023-02-20,857831.SI,股份制银行Ⅲ,L3,3896.2,3890.05,4021.76,4018.81,135.06,3.48,71098.0,975833.0,5.13,0.53,93031700.0,219524000.0
2023-02-21,857831.SI,股份制银行Ⅲ,L3,4011.16,3989.57,4044.04,4033.2,14.39,0.36,49061.0,546205.0,5.15,0.53,93364900.0,220305000.0
2023-02-22,857831.SI,股份制银行Ⅲ,L3,4014.24,3987.79,4028.46,3991.95,-41.25,-1.02,30755.0,365950.0,5.1,0.52,92409900.0,218118000.0
2023-02-23,857831.SI,股份制银行Ⅲ,L3,3994.83,3989.34,4040.08,3998.03,6.08,0.15,30671.0,378167.0,5.1,0.52,92550800.0,218397000.0
2023-02-24,857831.SI,股份制银行Ⅲ,L3,3993.41,3939.27,4000.29,3945.44,-52.59,-1.32,38328.0,467023.0,5.04,0.52,91333400.0,215620000.0
2023-02-27,857831.SI,股份制银行Ⅲ,L3,3930.49,3915.71,3957.52,3919.63,-25.81,-0.65,31719.0,372767.0,5.0,0.51,90735900.0,214296000.0
2023-02-28,857831.SI,股份制银行Ⅲ,L3,3925.32,3898.64,3950.41,3938.04,18.41,0.47,35010.0,382434.0,5.03,0.52,91162000.0,215296000.0
2023-03-01,857831.SI,股份制银行Ⅲ,L3,3936.42,3929.62,4019.89,4011.27,73.23,1.86,52431.0,634616.0,5.12,0.52,92857200.0,219227000.0
2023-03-02,857831.SI,股份制银行Ⅲ,L3,4000.28,3979.33,4041.46,4018.38,7.11,0.18,43625.0,455163.0,5.13,0.53,93021800.0,219905000.0
2023-03-03,857831.SI,股份制银行Ⅲ,L3,4036.38,3998.36,4064.77,4037.81,19.43,0.48,55940.0,522170.0,5.15,0.53,93471600.0,221086000.0
2023-03-06,857831.SI,股份制银行Ⅲ,L3,4030.91,3937.59,4045.37,3949.94,-87.87,-2.18,67747.0,808503.0,5.04,0.52,91437500.0,216632000.0
2023-03-07,857831.SI,股份制银行Ⅲ,L3,3947.73,3912.93,4024.15,3932.54,-17.4,-0.44,111786.0,992416.0,5.02,0.51,91034700.0,215919000.0
2023-03-08,857831.SI,股份制银行Ⅲ,L3,3910.73,3871.25,3918.62,3897.77,-34.77,-0.88,57050.0,612902.0,4.98,0.51,90229800.0,214056000.0
2023-03-09,857831.SI,股份制银行Ⅲ,L3,3898.47,3854.59,3916.7,3863.51,-34.26,-0.88,56790.0,624989.0,4.91,0.5,89436700.0,212303000.0
2023-03-10,857831.SI,股份制银行Ⅲ,L3,3825.48,3802.13,3868.02,3811.21,-52.3,-1.35,53795.0,555458.0,4.85,0.5,88226000.0,209318000.0
2023-03-13,857831.SI,股份制银行Ⅲ,L3,3798.92,3778.64,3838.82,3805.31,-5.9,-0.15,57247.0,578327.0,4.84,0.5,88089400.0,209198000.0
2023-03-14,857831.SI,股份制银行Ⅲ,L3,3782.58,3745.82,3804.73,3769.65,-35.66,-0.94,53920.0,571349.0,4.79,0.49,87264000.0,207183000.0
2023-03-15,857831.SI,股份制银行Ⅲ,L3,3811.62,3790.54,3848.11,3800.42,30.78,0.82,46759.0,540514.0,4.83,0.5,87976400.0,208940000.0
