trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857841.SI,城商行Ⅲ,L3,851.04,839.89,856.88,852.23,0.37,0.04,41674.0,361427.0,5.41,0.57,44486800.0,92642200.0
2023-01-04,857841.SI,城商行Ⅲ,L3,853.71,850.51,876.04,871.44,19.2,2.25,54959.0,479367.0,5.53,0.58,45489300.0,94820800.0
2023-01-05,857841.SI,城商行Ⅲ,L3,872.96,864.15,880.1,867.97,-3.46,-0.4,40435.0,344334.0,5.51,0.58,45308400.0,94454300.0
2023-01-06,857841.SI,城商行Ⅲ,L3,869.14,855.32,871.81,863.61,-4.37,-0.5,34472.0,343413.0,5.48,0.57,45080500.0,93996400.0
2023-01-09,857841.SI,城商行Ⅲ,L3,865.85,857.96,870.04,863.28,-0.33,-0.04,33097.0,299000.0,5.48,0.57,45063500.0,93974900.0
2023-01-10,857841.SI,城商行Ⅲ,L3,862.89,850.61,865.02,853.79,-9.49,-1.1,30988.0,264554.0,5.42,0.57,44568400.0,92919200.0
2023-01-11,857841.SI,城商行Ⅲ,L3,854.09,850.8,868.91,863.62,9.83,1.15,31213.0,306706.0,5.48,0.57,45081200.0,93932900.0
2023-01-12,857841.SI,城商行Ⅲ,L3,866.01,854.84,869.05,863.57,-0.05,-0.01,27030.0,244291.0,5.48,0.57,45078600.0,93946900.0
2023-01-13,857841.SI,城商行Ⅲ,L3,864.23,858.91,873.99,870.74,7.17,0.83,31153.0,266668.0,5.52,0.58,45452800.0,94733200.0
2023-01-16,857841.SI,城商行Ⅲ,L3,872.0,863.16,882.56,868.72,-2.02,-0.23,54556.0,466649.0,5.51,0.58,45347300.0,94507900.0
2023-01-17,857841.SI,城商行Ⅲ,L3,869.75,859.6,873.48,866.44,-2.28,-0.26,46666.0,374322.0,5.5,0.57,45228500.0,94203200.0
2023-01-18,857841.SI,城商行Ⅲ,L3,866.09,861.03,873.74,867.42,0.98,0.11,37233.0,279704.0,5.5,0.58,45279700.0,94272300.0
2023-01-19,857841.SI,城商行Ⅲ,L3,866.25,856.42,871.6,864.41,-3.01,-0.35,37088.0,321812.0,5.48,0.57,45122500.0,93908700.0
2023-01-20,857841.SI,城商行Ⅲ,L3,865.09,859.2,868.48,864.52,0.11,0.01,33432.0,285160.0,5.54,0.57,45926400.0,93946300.0
2023-01-30,857841.SI,城商行Ⅲ,L3,873.48,859.07,875.73,864.12,-0.4,-0.05,48942.0,424827.0,5.54,0.57,45905300.0,93885100.0
2023-01-31,857841.SI,城商行Ⅲ,L3,865.75,853.64,872.73,855.34,-8.78,-1.02,36249.0,325952.0,5.48,0.57,45438800.0,92895600.0
2023-02-01,857841.SI,城商行Ⅲ,L3,856.45,846.5,861.39,853.99,-1.35,-0.16,45962.0,373736.0,5.48,0.57,45684400.0,92786500.0
2023-02-02,857841.SI,城商行Ⅲ,L3,855.35,845.54,857.68,849.89,-4.1,-0.48,41158.0,348651.0,5.45,0.57,45464900.0,92283900.0
2023-02-03,857841.SI,城商行Ⅲ,L3,847.76,837.21,848.72,842.19,-7.7,-0.91,33971.0,272742.0,5.41,0.56,45053000.0,91406800.0
2023-02-06,857841.SI,城商行Ⅲ,L3,838.71,828.08,841.55,835.37,-6.82,-0.81,35073.0,331876.0,5.36,0.56,44688100.0,90673300.0
2023-02-07,857841.SI,城商行Ⅲ,L3,837.49,834.39,845.33,840.14,4.77,0.57,34452.0,288483.0,5.39,0.56,44943400.0,91196600.0
2023-02-08,857841.SI,城商行Ⅲ,L3,841.47,836.32,847.07,838.27,-1.87,-0.22,28728.0,237704.0,5.38,0.56,44843500.0,90967300.0
2023-02-09,857841.SI,城商行Ⅲ,L3,837.11,835.08,846.81,841.09,2.81,0.34,33696.0,284129.0,5.4,0.56,44994000.0,91270500.0
2023-02-10,857841.SI,城商行Ⅲ,L3,840.83,834.47,844.39,841.3,0.21,0.02,37314.0,283779.0,5.4,0.56,45005200.0,91326700.0
2023-02-13,857841.SI,城商行Ⅲ,L3,841.94,827.26,843.7,833.98,-7.31,-0.87,57992.0,545181.0,5.35,0.56,44613900.0,90538700.0
2023-02-14,857841.SI,城商行Ⅲ,L3,834.86,830.03,842.48,837.08,3.1,0.37,49223.0,437841.0,5.37,0.56,44779900.0,90863200.0
2023-02-15,857841.SI,城商行Ⅲ,L3,837.07,826.2,838.77,828.56,-8.52,-1.02,37712.0,324259.0,5.32,0.55,44324000.0,89960400.0
2023-02-16,857841.SI,城商行Ⅲ,L3,828.26,821.99,835.95,826.07,-2.49,-0.3,56500.0,415402.0,5.3,0.55,44190800.0,89680400.0
2023-02-17,857841.SI,城商行Ⅲ,L3,824.34,816.99,829.47,818.5,-7.57,-0.92,41766.0,354537.0,5.25,0.55,43785900.0,88795800.0
2023-02-20,857841.SI,城商行Ⅲ,L3,821.56,819.98,844.47,842.74,24.23,2.96,64610.0,613498.0,5.41,0.56,45082300.0,91461600.0
2023-02-21,857841.SI,城商行Ⅲ,L3,841.87,834.7,845.2,840.51,-2.23,-0.26,44861.0,388642.0,5.39,0.56,44963000.0,91249800.0
2023-02-22,857841.SI,城商行Ⅲ,L3,837.7,832.1,840.4,835.05,-5.45,-0.65,29006.0,254631.0,5.36,0.56,44671200.0,90676400.0
