trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,859512.SI,焦煤,L3,5056.6,4997.31,5139.09,5102.51,22.68,0.45,44166.0,268639.0,5.72,1.12,12372200.0,29238900.0
2023-01-04,859512.SI,焦煤,L3,5081.93,4912.38,5110.2,4959.63,-142.88,-2.8,49750.0,363082.0,5.56,1.08,12025800.0,28377800.0
2023-01-05,859512.SI,焦煤,L3,4962.73,4920.52,5017.12,4983.94,24.31,0.49,38806.0,262879.0,5.59,1.09,12084700.0,28533700.0
2023-01-06,859512.SI,焦煤,L3,4982.1,4957.43,5074.63,5047.35,63.41,1.27,39444.0,259027.0,5.66,1.1,12238400.0,28887800.0
2023-01-09,859512.SI,焦煤,L3,5078.37,5010.03,5145.01,5105.85,58.5,1.16,35218.0,295873.0,5.73,1.12,12380300.0,29223700.0
2023-01-10,859512.SI,焦煤,L3,5095.46,5010.78,5126.47,5049.83,-56.02,-1.1,31592.0,211693.0,5.66,1.1,12244500.0,28899900.0
2023-01-11,859512.SI,焦煤,L3,5070.45,5044.31,5270.05,5234.48,184.65,3.66,63916.0,494178.0,5.87,1.14,12692200.0,30014000.0
2023-01-12,859512.SI,焦煤,L3,5214.36,5143.79,5269.47,5240.02,5.54,0.11,38092.0,329523.0,5.88,1.15,12705600.0,30051300.0
2023-01-13,859512.SI,焦煤,L3,5238.25,5188.38,5312.77,5229.05,-10.97,-0.21,29235.0,255813.0,5.87,1.14,12679000.0,29990300.0
2023-01-16,859512.SI,焦煤,L3,5234.15,5176.77,5280.99,5236.9,7.85,0.15,43462.0,282449.0,5.87,1.14,12698100.0,30003900.0
2023-01-17,859512.SI,焦煤,L3,5202.77,5153.61,5249.77,5185.57,-51.34,-0.98,27080.0,239573.0,5.82,1.13,12573600.0,29721300.0
2023-01-18,859512.SI,焦煤,L3,5206.02,5196.97,5299.87,5235.79,50.22,0.97,44396.0,319732.0,5.87,1.14,12695400.0,30042100.0
2023-01-19,859512.SI,焦煤,L3,5348.84,5304.75,5403.4,5368.32,132.53,2.53,34970.0,281402.0,6.02,1.17,13016700.0,30868200.0
