trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,859621.SI,油田服务,L3,700.86,694.33,713.47,709.51,9.9,1.41,10563.0,49736.0,38.41,2.43,2739280.0,11919900.0
2023-01-04,859621.SI,油田服务,L3,706.14,700.42,715.49,707.63,-1.88,-0.27,10522.0,52255.0,38.31,2.42,2732020.0,11930900.0
2023-01-05,859621.SI,油田服务,L3,704.55,698.96,715.59,710.73,3.11,0.44,8653.0,47842.0,38.48,2.43,2744010.0,11998800.0
2023-01-06,859621.SI,油田服务,L3,708.47,700.42,714.57,704.1,-6.63,-0.93,7735.0,43330.0,38.12,2.41,2718400.0,11856500.0
2023-01-09,859621.SI,油田服务,L3,707.31,696.95,710.98,700.47,-3.63,-0.52,9157.0,48819.0,37.93,2.4,2704380.0,11766300.0
2023-01-10,859621.SI,油田服务,L3,702.34,691.86,708.01,695.39,-5.08,-0.72,8873.0,43262.0,37.65,2.38,2684780.0,11669200.0
2023-01-11,859621.SI,油田服务,L3,696.88,690.1,704.95,697.71,2.32,0.33,9848.0,50708.0,37.78,2.39,2693720.0,11736800.0
2023-01-12,859621.SI,油田服务,L3,704.4,697.14,727.79,704.88,7.17,1.03,12900.0,77786.0,38.16,2.41,2721410.0,11835500.0
2023-01-13,859621.SI,油田服务,L3,706.68,702.6,720.63,713.35,8.47,1.2,8659.0,54360.0,38.62,2.44,2754110.0,12033000.0
2023-01-16,859621.SI,油田服务,L3,714.78,708.13,733.36,724.66,11.31,1.59,13322.0,68526.0,39.23,2.48,2797770.0,12214500.0
2023-01-17,859621.SI,油田服务,L3,727.54,705.86,728.07,711.42,-13.23,-1.83,9649.0,53245.0,38.52,2.43,2746670.0,11976400.0
2023-01-18,859621.SI,油田服务,L3,715.35,711.92,732.03,725.02,13.6,1.91,13953.0,76593.0,39.25,2.48,2799180.0,12154000.0
2023-01-19,859621.SI,油田服务,L3,723.51,708.64,729.04,715.64,-9.38,-1.29,12306.0,63980.0,40.04,2.43,2677740.0,11995500.0
2023-01-20,859621.SI,油田服务,L3,718.69,714.69,734.95,728.71,13.07,1.83,15134.0,80030.0,40.77,2.47,2726630.0,12203700.0
2023-01-30,859621.SI,油田服务,L3,734.09,726.16,745.48,734.17,5.46,0.75,18388.0,86457.0,41.08,2.49,2747070.0,12288000.0
2023-01-31,859621.SI,油田服务,L3,731.12,727.36,742.02,736.86,2.68,0.37,14840.0,69256.0,41.23,2.5,2757120.0,12331100.0
2023-02-01,859621.SI,油田服务,L3,738.52,730.27,743.04,741.26,4.4,0.6,14707.0,72520.0,41.48,2.51,2773580.0,12398300.0
2023-02-02,859621.SI,油田服务,L3,740.13,729.26,744.19,736.84,-4.42,-0.6,12531.0,64438.0,41.23,2.5,2757040.0,12328700.0
2023-02-03,859621.SI,油田服务,L3,733.52,719.25,736.76,727.58,-9.25,-1.26,11283.0,63715.0,40.71,2.47,2722410.0,12170800.0
2023-02-06,859621.SI,油田服务,L3,723.99,718.11,734.49,728.01,0.42,0.06,9981.0,55251.0,40.74,2.47,2724000.0,12180300.0
