trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,859622.SI,油气及炼化工程,L3,2653.96,2630.28,2702.19,2688.25,37.46,1.41,12296.0,52331.0,51.17,1.27,2706950.0,6266570.0
2023-01-04,859622.SI,油气及炼化工程,L3,2680.7,2657.78,2751.61,2731.83,43.58,1.62,11762.0,53967.0,52.0,1.29,2750840.0,6364840.0
2023-01-05,859622.SI,油气及炼化工程,L3,2714.09,2692.1,2747.42,2729.84,-1.98,-0.07,10305.0,47425.0,51.97,1.29,2748840.0,6353500.0
2023-01-06,859622.SI,油气及炼化工程,L3,2734.8,2699.31,2752.93,2707.87,-21.98,-0.81,9745.0,43196.0,51.55,1.28,2726710.0,6302830.0
2023-01-09,859622.SI,油气及炼化工程,L3,2705.53,2676.67,2733.27,2691.92,-15.95,-0.59,8724.0,39777.0,51.24,1.27,2710650.0,6267800.0
2023-01-10,859622.SI,油气及炼化工程,L3,2700.39,2634.27,2705.37,2648.45,-43.47,-1.61,9633.0,42349.0,50.42,1.25,2666880.0,6159980.0
2023-01-11,859622.SI,油气及炼化工程,L3,2652.33,2636.46,2729.85,2689.31,40.86,1.54,13422.0,71238.0,51.19,1.27,2708020.0,6246000.0
2023-01-12,859622.SI,油气及炼化工程,L3,2701.18,2678.94,2750.69,2698.96,9.65,0.36,10153.0,48784.0,51.38,1.27,2717750.0,6269490.0
2023-01-13,859622.SI,油气及炼化工程,L3,2698.72,2677.0,2717.95,2699.42,0.46,0.02,6949.0,32745.0,51.39,1.27,2718210.0,6277780.0
2023-01-16,859622.SI,油气及炼化工程,L3,2702.67,2686.02,2770.38,2740.87,41.44,1.54,11640.0,53250.0,52.18,1.29,2759940.0,6367980.0
2023-01-17,859622.SI,油气及炼化工程,L3,2745.67,2723.11,2772.73,2755.81,14.94,0.55,7951.0,37053.0,52.46,1.3,2774990.0,6401710.0
2023-01-18,859622.SI,油气及炼化工程,L3,2749.87,2744.65,2825.21,2800.8,44.99,1.63,15895.0,68957.0,53.32,1.32,2820300.0,6515720.0
2023-01-19,859622.SI,油气及炼化工程,L3,2784.09,2755.26,2820.99,2798.35,-2.46,-0.09,14653.0,65441.0,53.27,1.32,2817820.0,6500580.0
2023-01-20,859622.SI,油气及炼化工程,L3,2830.44,2802.09,2892.69,2878.53,80.18,2.87,14446.0,73989.0,54.8,1.36,2898560.0,6689220.0
2023-01-30,859622.SI,油气及炼化工程,L3,2907.75,2838.91,2972.32,2878.11,-0.42,-0.01,19400.0,104925.0,54.79,1.36,2898140.0,6675010.0
2023-01-31,859622.SI,油气及炼化工程,L3,2883.98,2850.56,2924.53,2895.0,16.89,0.59,12719.0,66554.0,55.11,1.37,2915150.0,6716040.0
2023-02-01,859622.SI,油气及炼化工程,L3,2908.72,2878.14,2951.63,2942.86,47.86,1.65,14684.0,67739.0,56.02,1.39,2963340.0,6830220.0
2023-02-02,859622.SI,油气及炼化工程,L3,2929.2,2899.34,2970.95,2934.2,-8.66,-0.29,18317.0,87681.0,55.86,1.39,2954620.0,6812420.0
2023-02-03,859622.SI,油气及炼化工程,L3,2932.09,2889.22,2951.02,2919.51,-14.69,-0.5,11920.0,57134.0,55.58,1.38,2939820.0,6771500.0
2023-02-06,859622.SI,油气及炼化工程,L3,2909.21,2885.89,2976.22,2950.53,31.02,1.06,13115.0,63660.0,56.17,1.39,2971060.0,6841280.0
2023-02-07,859622.SI,油气及炼化工程,L3,2958.76,2916.82,2973.75,2949.89,-0.65,-0.02,10550.0,52105.0,56.15,1.39,2970410.0,6841560.0
2023-02-08,859622.SI,油气及炼化工程,L3,2958.5,2924.69,3005.09,2948.76,-1.12,-0.04,19051.0,88013.0,56.13,1.39,2969280.0,6835500.0
2023-02-09,859622.SI,油气及炼化工程,L3,2932.14,2921.67,2977.33,2965.45,16.69,0.57,12998.0,61111.0,56.45,1.4,2986090.0,6871830.0
2023-02-10,859622.SI,油气及炼化工程,L3,2957.02,2934.48,2992.79,2974.69,9.24,0.31,9502.0,46787.0,56.63,1.4,2995390.0,6896690.0
2023-02-13,859622.SI,油气及炼化工程,L3,2981.32,2948.92,3009.17,2993.29,18.6,0.63,10170.0,50855.0,56.98,1.41,3014120.0,6943450.0
2023-02-14,859622.SI,油气及炼化工程,L3,2995.54,2983.08,3060.25,3021.46,28.17,0.94,12858.0,63132.0,57.52,1.43,3042490.0,7001160.0
2023-02-15,859622.SI,油气及炼化工程,L3,3021.61,2931.14,3041.26,2943.77,-77.69,-2.57,13868.0,67849.0,56.04,1.39,2964260.0,6812850.0
2023-02-16,859622.SI,油气及炼化工程,L3,2947.3,2863.39,2976.56,2888.21,-55.56,-1.89,16568.0,81467.0,54.98,1.36,2908310.0,6699740.0
2023-02-17,859622.SI,油气及炼化工程,L3,2894.99,2887.1,2944.35,2905.26,17.04,0.59,9518.0,45123.0,55.31,1.37,2925470.0,6737640.0
2023-02-20,859622.SI,油气及炼化工程,L3,2910.93,2880.34,2933.93,2913.78,8.52,0.29,9257.0,44763.0,55.47,1.38,2934050.0,6769970.0
2023-02-21,859622.SI,油气及炼化工程,L3,2918.48,2906.93,2991.14,2966.06,52.28,1.79,11269.0,53107.0,56.46,1.4,2986700.0,6898690.0
2023-02-22,859622.SI,油气及炼化工程,L3,2963.44,2918.59,2971.91,2941.65,-24.4,-0.82,7429.0,38648.0,56.0,1.39,2962120.0,6839300.0
2023-02-23,859622.SI,油气及炼化工程,L3,2948.83,2896.81,2965.65,2913.51,-28.14,-0.96,8325.0,40684.0,55.46,1.38,2933780.0,6775320.0
2023-02-24,859622.SI,油气及炼化工程,L3,2916.1,2881.95,2942.66,2916.38,2.87,0.1,7654.0,37659.0,55.52,1.38,2936670.0,6778680.0
2023-02-27,859622.SI,油气及炼化工程,L3,2909.9,2885.87,2956.61,2913.64,-2.74,-0.09,8060.0,38888.0,55.46,1.38,2933920.0,6780430.0
2023-02-28,859622.SI,油气及炼化工程,L3,2917.82,2884.78,2970.08,2934.72,21.08,0.72,9433.0,49565.0,55.87,1.39,2955140.0,6822520.0
2023-03-01,859622.SI,油气及炼化工程,L3,2934.0,2900.5,2956.02,2933.87,-0.84,-0.03,9381.0,44144.0,55.85,1.39,2954290.0,6827330.0
2023-03-02,859622.SI,油气及炼化工程,L3,2934.89,2929.23,3017.19,2982.36,48.49,1.65,12195.0,56521.0,56.77,1.41,3003120.0,6949330.0
2023-03-03,859622.SI,油气及炼化工程,L3,2989.09,2955.24,3020.94,3002.46,20.09,0.67,15608.0,67061.0,57.16,1.42,3023350.0,7021070.0
2023-03-06,859622.SI,油气及炼化工程,L3,3010.89,2983.37,3044.71,3006.11,3.66,0.12,14989.0,68353.0,57.34,1.42,3027340.0,7059050.0
2023-03-07,859622.SI,油气及炼化工程,L3,2992.27,2978.59,3109.06,3028.59,22.47,0.75,26144.0,124095.0,57.77,1.43,3049970.0,7113720.0
2023-03-08,859622.SI,油气及炼化工程,L3,3029.14,2893.19,3044.94,2942.79,-85.8,-2.83,17999.0,92234.0,56.13,1.39,2963560.0,6907970.0
2023-03-09,859622.SI,油气及炼化工程,L3,2941.17,2915.67,2991.0,2959.45,16.67,0.57,10940.0,53435.0,56.45,1.4,2980340.0,6933990.0
2023-03-10,859622.SI,油气及炼化工程,L3,2954.72,2866.74,2962.22,2877.12,-82.33,-2.78,12404.0,56811.0,54.88,1.36,2897430.0,6734690.0
2023-03-13,859622.SI,油气及炼化工程,L3,2901.77,2895.47,3027.75,2974.73,97.62,3.39,22759.0,101325.0,56.74,1.41,2995740.0,6969320.0
