trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,859631.SI,炼油化工,L3,2578.28,2532.69,2603.11,2581.19,8.3,0.32,36589.0,251400.0,10.45,1.02,19892700.0,161559000.0
2023-01-04,859631.SI,炼油化工,L3,2580.39,2558.72,2605.44,2577.83,-3.35,-0.13,40428.0,263137.0,10.44,1.02,19866900.0,161219000.0
2023-01-05,859631.SI,炼油化工,L3,2577.54,2562.08,2615.49,2595.8,17.97,0.7,39156.0,270889.0,10.51,1.02,20005400.0,161492000.0
2023-01-06,859631.SI,炼油化工,L3,2601.49,2581.15,2661.19,2634.25,38.44,1.48,44815.0,333033.0,10.66,1.04,20104600.0,162577000.0
2023-01-09,859631.SI,炼油化工,L3,2647.33,2619.78,2671.45,2637.61,3.36,0.13,50799.0,449894.0,10.68,1.04,20130300.0,162837000.0
2023-01-10,859631.SI,炼油化工,L3,2635.77,2587.77,2644.36,2598.77,-38.84,-1.47,38149.0,295360.0,10.52,1.03,19833800.0,161434000.0
2023-01-11,859631.SI,炼油化工,L3,2600.4,2583.23,2627.01,2599.26,0.49,0.02,36326.0,255446.0,10.52,1.03,19837600.0,161836000.0
2023-01-12,859631.SI,炼油化工,L3,2603.1,2554.36,2621.2,2574.41,-24.84,-0.96,41805.0,306753.0,10.42,1.02,19648000.0,162310000.0
2023-01-13,859631.SI,炼油化工,L3,2576.26,2557.05,2615.56,2595.51,21.09,0.82,40425.0,282275.0,10.51,1.03,19808900.0,163623000.0
2023-01-16,859631.SI,炼油化工,L3,2600.03,2583.44,2684.99,2658.75,63.24,2.44,46673.0,356523.0,10.76,1.05,20291600.0,165796000.0
2023-01-17,859631.SI,炼油化工,L3,2662.57,2636.43,2685.28,2664.87,6.11,0.23,34839.0,253096.0,10.79,1.05,20338300.0,165450000.0
2023-01-18,859631.SI,炼油化工,L3,2664.34,2647.17,2691.23,2666.35,1.49,0.06,28871.0,205975.0,10.79,1.05,20349600.0,165704000.0
