trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,859711.SI,大气治理,L3,2138.44,2112.91,2178.07,2157.05,17.52,0.82,6558.0,52224.0,39.55,1.59,1827630.0,3954360.0
2023-01-04,859711.SI,大气治理,L3,2158.91,2134.29,2196.27,2167.59,10.54,0.49,4662.0,54321.0,39.74,1.59,1836560.0,3977960.0
2023-01-05,859711.SI,大气治理,L3,2171.65,2149.98,2209.63,2188.72,21.14,0.98,5351.0,60803.0,40.13,1.61,1854470.0,4019540.0
2023-01-06,859711.SI,大气治理,L3,2202.34,2175.66,2262.94,2231.23,42.51,1.94,7737.0,84497.0,40.91,1.64,1890480.0,4092580.0
2023-01-09,859711.SI,大气治理,L3,2252.15,2202.29,2273.15,2225.58,-5.65,-0.25,6959.0,103831.0,40.81,1.64,1885690.0,4079840.0
2023-01-10,859711.SI,大气治理,L3,2222.27,2179.7,2229.35,2204.98,-20.6,-0.93,6151.0,74454.0,40.43,1.62,1868240.0,4042700.0
2023-01-11,859711.SI,大气治理,L3,2208.5,2184.31,2279.01,2223.62,18.65,0.85,7424.0,90149.0,40.77,1.63,1884040.0,4077070.0
2023-01-12,859711.SI,大气治理,L3,2223.28,2199.5,2275.56,2239.59,15.97,0.72,7049.0,81224.0,41.06,1.65,1897570.0,4104710.0
2023-01-13,859711.SI,大气治理,L3,2250.7,2206.12,2291.05,2252.93,13.34,0.6,7375.0,127169.0,41.31,1.66,1908870.0,4125760.0
2023-01-16,859711.SI,大气治理,L3,2247.46,2217.42,2285.05,2242.28,-10.65,-0.47,6066.0,89294.0,41.11,1.65,1899840.0,4105710.0
2023-01-17,859711.SI,大气治理,L3,2248.31,2183.02,2262.19,2207.98,-34.3,-1.53,6623.0,75317.0,40.48,1.62,1870780.0,4045030.0
2023-01-18,859711.SI,大气治理,L3,2215.94,2169.64,2232.01,2204.53,-3.44,-0.16,6078.0,59223.0,40.42,1.62,1867860.0,4040910.0
2023-01-19,859711.SI,大气治理,L3,2200.0,2169.15,2224.21,2195.95,-8.59,-0.39,5422.0,52028.0,40.26,1.61,1860590.0,4032680.0
2023-01-20,859711.SI,大气治理,L3,2199.04,2187.31,2236.25,2225.1,29.15,1.33,4763.0,49605.0,40.8,1.64,1885290.0,4086680.0
2023-01-30,859711.SI,大气治理,L3,2252.28,2217.09,2301.25,2258.08,32.98,1.48,8813.0,110343.0,41.4,1.66,1913230.0,4157220.0
2023-01-31,859711.SI,大气治理,L3,2232.72,2201.42,2280.71,2260.07,1.99,0.09,6553.0,76749.0,41.44,1.66,1914920.0,4161420.0
2023-02-01,859711.SI,大气治理,L3,2269.39,2244.75,2312.58,2296.37,36.3,1.61,6669.0,91630.0,42.11,1.69,1945680.0,4223030.0
2023-02-02,859711.SI,大气治理,L3,2302.15,2262.89,2339.89,2302.93,6.55,0.29,6560.0,85069.0,42.23,1.69,1951230.0,4238730.0
2023-02-03,859711.SI,大气治理,L3,2315.7,2266.53,2346.72,2311.1,8.18,0.36,7182.0,111355.0,42.38,1.7,1958160.0,4257160.0
2023-02-06,859711.SI,大气治理,L3,2303.19,2278.06,2340.28,2310.35,-0.75,-0.03,5655.0,80771.0,42.36,1.7,1957520.0,4261390.0
2023-02-07,859711.SI,大气治理,L3,2313.29,2285.75,2354.84,2324.2,13.85,0.6,7268.0,78763.0,42.62,1.71,1969260.0,4279310.0
2023-02-08,859711.SI,大气治理,L3,2331.74,2294.39,2348.27,2305.11,-19.09,-0.82,4885.0,64983.0,42.27,1.69,1953080.0,4243520.0
2023-02-09,859711.SI,大气治理,L3,2299.55,2283.22,2326.39,2317.01,11.9,0.52,5242.0,57073.0,42.48,1.7,1963160.0,4262100.0
2023-02-10,859711.SI,大气治理,L3,2314.76,2298.71,2379.02,2343.51,26.51,1.14,7499.0,69777.0,42.97,1.72,1985620.0,4303320.0
2023-02-13,859711.SI,大气治理,L3,2339.68,2319.93,2387.39,2362.64,19.13,0.82,7238.0,83463.0,43.32,1.74,2001830.0,4348680.0
2023-02-14,859711.SI,大气治理,L3,2376.33,2336.83,2390.79,2360.95,-1.69,-0.07,5436.0,64446.0,43.29,1.74,2000390.0,4341520.0
2023-02-15,859711.SI,大气治理,L3,2363.25,2319.71,2372.07,2334.67,-26.28,-1.11,4827.0,52754.0,42.81,1.72,1978130.0,4289630.0
2023-02-16,859711.SI,大气治理,L3,2334.8,2239.81,2351.49,2260.93,-73.74,-3.16,6620.0,67425.0,41.46,1.66,1915650.0,4155580.0
2023-02-17,859711.SI,大气治理,L3,2262.92,2241.03,2297.62,2257.59,-3.34,-0.15,4653.0,45559.0,41.39,1.66,1912820.0,4148500.0
2023-02-20,859711.SI,大气治理,L3,2264.19,2214.36,2276.98,2250.72,-6.87,-0.3,5662.0,54395.0,41.27,1.65,1907000.0,4135880.0
2023-02-21,859711.SI,大气治理,L3,2253.39,2238.16,2291.77,2266.49,15.77,0.7,4980.0,54282.0,41.56,1.67,1920360.0,4167580.0
2023-02-22,859711.SI,大气治理,L3,2262.05,2238.47,2275.8,2258.48,-8.01,-0.35,3448.0,36548.0,41.41,1.66,1913580.0,4154570.0
2023-02-23,859711.SI,大气治理,L3,2263.44,2241.25,2306.36,2265.54,7.06,0.31,5151.0,59439.0,41.54,1.67,1919560.0,4169480.0
2023-02-24,859711.SI,大气治理,L3,2271.17,2222.83,2285.21,2247.79,-17.75,-0.78,4843.0,54535.0,41.21,1.65,1904520.0,4140080.0
2023-02-27,859711.SI,大气治理,L3,2242.04,2200.35,2249.97,2212.3,-35.49,-1.58,3857.0,38923.0,40.56,1.63,1874440.0,4074050.0
2023-02-28,859711.SI,大气治理,L3,2214.64,2180.7,2235.2,2220.39,8.09,0.37,4124.0,38725.0,40.71,1.63,1881300.0,4087400.0
2023-03-01,859711.SI,大气治理,L3,2219.89,2197.57,2236.62,2226.17,5.78,0.26,4044.0,41153.0,40.82,1.64,1886190.0,4098830.0
2023-03-02,859711.SI,大气治理,L3,2231.0,2187.66,2263.3,2207.77,-18.4,-0.83,8681.0,72933.0,40.48,1.62,1870610.0,4066700.0
2023-03-03,859711.SI,大气治理,L3,2210.0,2186.25,2229.06,2203.23,-4.54,-0.21,5134.0,42330.0,40.4,1.62,1866760.0,4060340.0
2023-03-06,859711.SI,大气治理,L3,2209.05,2182.04,2230.05,2200.66,-2.57,-0.12,4584.0,38930.0,40.35,1.62,1864580.0,4058770.0
2023-03-07,859711.SI,大气治理,L3,2199.8,2159.78,2210.68,2162.75,-37.91,-1.72,4757.0,36670.0,39.66,1.59,1832460.0,3988260.0
2023-03-08,859711.SI,大气治理,L3,2158.96,2144.46,2180.04,2166.32,3.57,0.17,3117.0,24752.0,39.7,1.59,1838340.0,3991670.0
2023-03-09,859711.SI,大气治理,L3,2172.95,2146.69,2198.64,2184.41,18.09,0.84,4572.0,42176.0,40.03,1.61,1853690.0,4025650.0
2023-03-10,859711.SI,大气治理,L3,2178.82,2138.67,2191.27,2145.82,-38.59,-1.77,4169.0,34394.0,39.32,1.58,1820940.0,3950270.0
2023-03-13,859711.SI,大气治理,L3,2140.08,2092.39,2151.83,2115.46,-30.36,-1.41,4833.0,37196.0,38.77,1.56,1795180.0,3893090.0
2023-03-14,859711.SI,大气治理,L3,2117.55,2059.74,2125.34,2086.0,-29.46,-1.39,4514.0,33646.0,38.23,1.53,1770180.0,3836480.0
2023-03-15,859711.SI,大气治理,L3,2094.88,2081.42,2129.74,2118.02,32.02,1.53,3730.0,28337.0,38.81,1.56,1797350.0,3898320.0
2023-03-16,859711.SI,大气治理,L3,2111.08,2069.32,2124.46,2074.25,-43.77,-2.07,4010.0,29391.0,38.01,1.53,1760210.0,3817400.0
2023-03-17,859711.SI,大气治理,L3,2095.03,2072.56,2123.59,2098.37,24.12,1.16,4137.0,33020.0,38.45,1.54,1780680.0,3858460.0
2023-03-20,859711.SI,大气治理,L3,2095.56,2059.9,2107.75,2077.32,-21.05,-1.0,3947.0,32691.0,38.07,1.53,1762810.0,3818090.0
2023-03-21,859711.SI,大气治理,L3,2083.58,2071.01,2117.78,2112.62,35.3,1.7,3659.0,29388.0,38.71,1.55,1792770.0,3880750.0
2023-03-22,859711.SI,大气治理,L3,2121.47,2104.72,2153.05,2125.6,12.98,0.61,4020.0,31864.0,38.95,1.56,1803780.0,3902350.0
2023-03-23,859711.SI,大气治理,L3,2117.89,2093.37,2130.23,2110.41,-15.18,-0.71,3564.0,28950.0,38.67,1.55,1790900.0,3874960.0
2023-03-24,859711.SI,大气治理,L3,2114.95,2097.25,2146.41,2127.14,16.72,0.79,4855.0,37316.0,38.97,1.56,1806420.0,3900620.0
2023-03-27,859711.SI,大气治理,L3,2126.04,2095.18,2144.39,2115.91,-11.23,-0.53,5041.0,38495.0,38.76,1.56,1796880.0,3882890.0
2023-03-28,859711.SI,大气治理,L3,2123.42,2092.91,2149.4,2113.22,-2.68,-0.13,5409.0,36915.0,38.71,1.55,1794610.0,3867730.0
2023-03-29,859711.SI,大气治理,L3,2108.48,2070.85,2129.07,2075.71,-37.52,-1.78,4583.0,33725.0,38.02,1.53,1762740.0,3800750.0
2023-03-30,859711.SI,大气治理,L3,2082.45,2034.18,2101.03,2050.14,-25.57,-1.23,4837.0,34670.0,37.56,1.51,1741030.0,3753690.0
2023-03-31,859711.SI,大气治理,L3,2052.82,2036.81,2092.69,2066.6,16.46,0.8,4664.0,47198.0,38.4,1.52,1755010.0,3786350.0
2023-04-03,859711.SI,大气治理,L3,2070.09,2050.7,2093.67,2078.93,12.34,0.6,4489.0,40027.0,38.62,1.53,1765480.0,3807200.0
2023-04-04,859711.SI,大气治理,L3,2077.41,2030.98,2082.4,2038.55,-40.38,-1.94,4359.0,35264.0,37.87,1.5,1731190.0,3730490.0
2023-04-06,859711.SI,大气治理,L3,2037.61,2007.08,2064.87,2045.4,6.85,0.34,4238.0,32048.0,38.0,1.51,1737010.0,3749630.0
2023-04-07,859711.SI,大气治理,L3,2057.5,2036.71,2086.89,2058.95,13.55,0.66,4069.0,35294.0,52.34,1.56,1748520.0,3776560.0
2023-04-10,859711.SI,大气治理,L3,2059.36,2023.09,2073.23,2038.41,-20.55,-1.0,4316.0,34278.0,51.82,1.55,1731070.0,3742800.0
2023-04-11,859711.SI,大气治理,L3,2029.33,2002.67,2040.62,2020.78,-17.62,-0.86,4107.0,30819.0,51.37,1.53,1716100.0,3710230.0
2023-04-12,859711.SI,大气治理,L3,2026.35,2011.02,2055.69,2043.59,22.81,1.13,4225.0,28101.0,51.95,1.55,1735470.0,3747870.0
2023-04-13,859711.SI,大气治理,L3,2043.45,2019.05,2056.01,2031.34,-12.25,-0.6,3330.0,23790.0,51.64,1.54,1725070.0,3726850.0
2023-04-14,859711.SI,大气治理,L3,2033.02,2007.38,2046.6,2026.01,-5.33,-0.26,3669.0,25263.0,51.5,1.54,1720540.0,3719970.0
2023-04-17,859711.SI,大气治理,L3,2027.93,2005.6,2046.74,2024.77,-1.23,-0.06,3986.0,27410.0,51.47,1.55,1719490.0,3718560.0
2023-04-18,859711.SI,大气治理,L3,2028.49,1987.12,2032.66,1999.4,-25.37,-1.25,3914.0,25134.0,50.83,1.53,1697940.0,3673880.0
2023-04-19,859711.SI,大气治理,L3,1997.08,1971.31,2008.4,1986.84,-12.56,-0.63,2970.0,24934.0,50.51,1.52,1687270.0,3648270.0
2023-04-20,859711.SI,大气治理,L3,1986.0,1936.01,1990.4,1959.62,-27.21,-1.37,3873.0,29277.0,49.75,1.5,1664160.0,3596860.0
2023-04-21,859711.SI,大气治理,L3,1959.74,1900.84,1972.35,1907.0,-52.62,-2.69,4266.0,28567.0,48.42,1.46,1619480.0,3503290.0
2023-04-24,859711.SI,大气治理,L3,1903.12,1878.51,1934.34,1916.76,9.75,0.51,3465.0,27194.0,48.66,1.46,1627760.0,3520880.0
2023-04-25,859711.SI,大气治理,L3,1917.09,1833.64,1924.63,1862.61,-54.15,-2.82,4471.0,29860.0,51.22,1.43,1581780.0,3420490.0
2023-04-26,859711.SI,大气治理,L3,1859.44,1848.51,1920.19,1901.97,39.36,2.11,4052.0,31381.0,52.3,1.46,1615200.0,3494700.0
2023-04-27,859711.SI,大气治理,L3,1893.59,1877.23,1923.73,1900.8,-1.17,-0.06,3581.0,23272.0,52.27,1.47,1614210.0,3488410.0
2023-04-28,859711.SI,大气治理,L3,1903.64,1893.27,1939.45,1930.88,30.09,1.58,3599.0,24666.0,52.5,1.49,1641020.0,3550480.0
2023-05-04,859711.SI,大气治理,L3,1930.96,1916.19,1971.01,1951.88,21.0,1.09,4806.0,30028.0,66.88,1.5,1658860.0,3587570.0
2023-05-05,859711.SI,大气治理,L3,1953.03,1915.26,1963.25,1941.25,-10.63,-0.54,3597.0,23474.0,66.52,1.49,1649830.0,3566340.0
2023-05-08,859711.SI,大气治理,L3,1944.04,1925.98,1976.22,1955.76,14.51,0.75,3749.0,25763.0,67.02,1.5,1662160.0,3591320.0
2023-05-09,859711.SI,大气治理,L3,1953.82,1927.81,1989.76,1939.34,-16.42,-0.84,5351.0,35391.0,66.45,1.49,1648200.0,3558070.0
2023-05-10,859711.SI,大气治理,L3,1937.23,1925.5,1981.67,1966.69,27.35,1.41,4318.0,26493.0,67.39,1.51,1671450.0,3604200.0
2023-05-11,859711.SI,大气治理,L3,1970.47,1954.64,2001.62,1987.58,20.89,1.06,4306.0,31803.0,68.11,1.52,1689200.0,3643070.0
2023-05-12,859711.SI,大气治理,L3,1989.24,1960.2,2012.2,1981.97,-5.61,-0.28,5104.0,34978.0,67.92,1.52,1684440.0,3631060.0
2023-05-15,859711.SI,大气治理,L3,1974.59,1956.83,2012.59,2000.2,18.23,0.92,4790.0,38368.0,68.54,1.53,1699930.0,3664040.0
2023-05-16,859711.SI,大气治理,L3,2004.39,1970.98,2025.54,1986.04,-14.16,-0.71,4524.0,42371.0,68.05,1.52,1687890.0,3642200.0
2023-05-17,859711.SI,大气治理,L3,1979.83,1953.75,2005.49,1994.61,8.57,0.43,4003.0,34937.0,68.35,1.53,1695180.0,3662680.0
2023-05-18,859711.SI,大气治理,L3,1998.53,1969.76,2009.99,1988.49,-6.13,-0.31,3434.0,27376.0,68.14,1.53,1689970.0,3652580.0
2023-05-19,859711.SI,大气治理,L3,1988.58,1962.58,1996.88,1980.67,-7.82,-0.39,2672.0,19043.0,67.87,1.52,1683330.0,3635780.0
2023-05-22,859711.SI,大气治理,L3,1979.99,1968.83,2027.1,2006.55,25.88,1.31,3433.0,23263.0,68.76,1.54,1705320.0,3679760.0
2023-05-23,859711.SI,大气治理,L3,2007.53,1977.38,2018.73,1984.56,-21.99,-1.1,2578.0,18763.0,67.94,1.52,1687630.0,3637950.0
2023-05-24,859711.SI,大气治理,L3,1976.96,1959.46,1997.25,1972.96,-11.61,-0.58,2701.0,18563.0,67.54,1.51,1677760.0,3619720.0
2023-05-25,859711.SI,大气治理,L3,1972.22,1943.96,1993.37,1976.36,3.41,0.17,3528.0,23120.0,67.66,1.52,1680650.0,3629560.0
2023-05-26,859711.SI,大气治理,L3,1979.78,1934.71,1988.44,1962.66,-13.71,-0.69,2685.0,19042.0,67.19,1.51,1669000.0,3603730.0
2023-05-29,859711.SI,大气治理,L3,1966.04,1927.03,1979.11,1939.89,-22.76,-1.16,3246.0,22145.0,66.41,1.49,1649640.0,3564920.0
2023-05-30,859711.SI,大气治理,L3,1944.04,1923.86,1965.0,1954.68,14.79,0.76,2827.0,19046.0,66.92,1.5,1662220.0,3592100.0
2023-05-31,859711.SI,大气治理,L3,1958.69,1919.85,1963.22,1926.3,-28.39,-1.45,2496.0,17021.0,65.95,1.48,1638080.0,3538480.0
2023-06-01,859711.SI,大气治理,L3,1928.29,1902.57,1941.12,1914.46,-11.84,-0.61,2774.0,19969.0,65.54,1.47,1628010.0,3515690.0
2023-06-02,859711.SI,大气治理,L3,1921.11,1910.59,1947.35,1935.91,21.46,1.12,3151.0,21416.0,66.28,1.49,1646260.0,3555960.0
2023-06-05,859711.SI,大气治理,L3,1939.83,1919.77,1970.9,1959.21,23.3,1.2,3846.0,23369.0,67.07,1.5,1666070.0,3594430.0
2023-06-06,859711.SI,大气治理,L3,1960.47,1889.24,1963.79,1892.31,-66.91,-3.41,4076.0,26550.0,64.78,1.45,1609170.0,3472920.0
2023-06-07,859711.SI,大气治理,L3,1891.82,1872.99,1916.36,1889.85,-2.45,-0.13,2888.0,18862.0,64.7,1.45,1607090.0,3463520.0
2023-06-08,859711.SI,大气治理,L3,1887.13,1866.95,1903.26,1878.73,-11.12,-0.59,2534.0,16625.0,64.32,1.44,1597630.0,3441950.0
2023-06-09,859711.SI,大气治理,L3,1879.08,1863.84,1902.89,1885.66,6.93,0.37,5066.0,28079.0,64.56,1.45,1603520.0,3453600.0
2023-06-12,859711.SI,大气治理,L3,1885.34,1843.65,1903.47,1883.13,-2.54,-0.13,4839.0,28365.0,64.47,1.44,1601370.0,3444050.0
2023-06-13,859711.SI,大气治理,L3,1879.42,1862.9,1897.57,1875.73,-7.4,-0.39,3257.0,21190.0,64.22,1.44,1595080.0,3427710.0
2023-06-14,859711.SI,大气治理,L3,1878.93,1854.18,1902.11,1876.66,0.93,0.05,3560.0,24293.0,64.25,1.44,1595860.0,3430270.0
2023-06-15,859711.SI,大气治理,L3,1878.49,1849.27,1891.46,1865.9,-10.75,-0.57,4013.0,29931.0,63.88,1.43,1586720.0,3410700.0
2023-06-16,859711.SI,大气治理,L3,1874.4,1853.44,1892.62,1868.16,2.25,0.12,4412.0,28820.0,63.96,1.43,1588640.0,3416440.0
2023-06-19,859711.SI,大气治理,L3,1862.92,1835.6,1875.31,1842.06,-26.1,-1.4,3985.0,25932.0,63.16,1.41,1568980.0,3370110.0
2023-06-20,859711.SI,大气治理,L3,1843.53,1815.7,1849.43,1822.19,-19.87,-1.08,3745.0,24883.0,62.48,1.4,1552050.0,3332590.0
2023-06-21,859711.SI,大气治理,L3,1826.14,1792.28,1840.95,1796.74,-25.45,-1.4,3707.0,22275.0,61.61,1.38,1530380.0,3290080.0
2023-06-26,859711.SI,大气治理,L3,1787.26,1766.51,1811.47,1773.81,-22.93,-1.28,3624.0,23159.0,60.82,1.36,1510850.0,3249580.0
