trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,859713.SI,固废治理,L3,1911.53,1895.7,1942.38,1928.57,18.11,0.95,15344.0,113187.0,20.92,1.76,8301700.0,20498900.0
2023-01-04,859713.SI,固废治理,L3,1931.15,1913.87,1956.29,1934.84,6.27,0.32,16474.0,134245.0,20.99,1.77,8328680.0,20574700.0
2023-01-05,859713.SI,固废治理,L3,1938.48,1923.77,1964.32,1952.85,18.01,0.93,13739.0,119731.0,21.18,1.78,8406190.0,20769400.0
2023-01-06,859713.SI,固废治理,L3,1953.89,1934.1,1978.23,1955.97,3.12,0.16,17303.0,136230.0,21.22,1.79,8419620.0,20813600.0
2023-01-09,859713.SI,固废治理,L3,1963.77,1945.2,1984.48,1959.88,3.92,0.2,14988.0,121138.0,21.26,1.79,8436470.0,20836100.0
2023-01-10,859713.SI,固废治理,L3,1959.13,1927.12,1970.06,1950.17,-9.72,-0.5,15453.0,120968.0,21.15,1.78,8394650.0,20754800.0
2023-01-11,859713.SI,固废治理,L3,1949.4,1928.0,1966.18,1939.2,-10.97,-0.56,13061.0,100508.0,21.03,1.77,8360590.0,20630000.0
2023-01-12,859713.SI,固废治理,L3,1939.68,1919.65,1957.84,1935.72,-3.48,-0.18,11912.0,98253.0,20.98,1.77,8346070.0,20607600.0
2023-01-13,859713.SI,固废治理,L3,1937.07,1923.72,1951.23,1941.37,5.66,0.29,8884.0,75869.0,21.04,1.77,8370460.0,20671700.0
2023-01-16,859713.SI,固废治理,L3,1943.63,1935.61,1976.2,1956.92,15.54,0.8,16580.0,115879.0,21.24,1.78,8459750.0,20821800.0
2023-01-17,859713.SI,固废治理,L3,1961.67,1938.02,1968.67,1950.02,-6.89,-0.35,10289.0,81183.0,21.16,1.78,8429950.0,20761900.0
2023-01-18,859713.SI,固废治理,L3,1956.6,1938.82,1968.15,1953.16,3.13,0.16,9094.0,76552.0,21.19,1.78,8445370.0,20804900.0
2023-01-19,859713.SI,固废治理,L3,1955.67,1940.77,1983.05,1971.8,18.65,0.95,12568.0,99639.0,21.4,1.8,8526000.0,20957400.0
2023-01-20,859713.SI,固废治理,L3,1973.16,1968.54,2001.91,1994.82,23.02,1.17,13104.0,108426.0,21.66,1.82,8625510.0,21197800.0
2023-01-30,859713.SI,固废治理,L3,2011.56,1990.32,2042.74,2015.58,20.76,1.04,21862.0,178547.0,21.88,1.84,8715280.0,21380000.0
2023-01-31,859713.SI,固废治理,L3,2015.95,1991.62,2040.57,2010.66,-4.92,-0.24,18034.0,143899.0,21.76,1.83,8725610.0,21347000.0
2023-02-01,859713.SI,固废治理,L3,2017.27,2003.43,2049.69,2038.45,27.78,1.38,17781.0,144207.0,22.06,1.86,8846190.0,21625600.0
2023-02-02,859713.SI,固废治理,L3,2039.33,2015.43,2054.7,2029.77,-8.67,-0.43,17309.0,147643.0,21.97,1.85,8808550.0,21542900.0
2023-02-03,859713.SI,固废治理,L3,2032.91,1993.9,2043.2,2020.02,-9.75,-0.48,19352.0,156074.0,21.87,1.84,8766230.0,21448100.0
2023-02-06,859713.SI,固废治理,L3,2017.49,2000.88,2057.0,2041.42,21.39,1.06,20326.0,177109.0,22.1,1.86,8859080.0,21722200.0
2023-02-07,859713.SI,固废治理,L3,2042.79,2029.69,2081.86,2070.69,29.27,1.43,24846.0,215555.0,22.42,1.89,8986110.0,22013300.0
2023-02-08,859713.SI,固废治理,L3,2073.24,2044.21,2093.36,2060.35,-10.34,-0.5,19216.0,185222.0,22.31,1.88,8941230.0,21880300.0
2023-02-09,859713.SI,固废治理,L3,2057.58,2046.05,2088.91,2078.2,17.85,0.87,16916.0,152785.0,22.5,1.89,9018700.0,22064200.0
2023-02-10,859713.SI,固废治理,L3,2079.38,2062.41,2100.59,2082.7,4.5,0.22,18742.0,145913.0,22.55,1.9,9038250.0,22103600.0
2023-02-13,859713.SI,固废治理,L3,2085.0,2067.87,2110.66,2090.22,7.52,0.36,19773.0,187807.0,22.6,1.9,9070870.0,22184100.0
2023-02-14,859713.SI,固废治理,L3,2094.45,2075.25,2111.62,2095.51,5.29,0.25,16248.0,157481.0,22.67,1.91,9093810.0,22237400.0
2023-02-15,859713.SI,固废治理,L3,2098.52,2072.59,2108.4,2085.31,-10.2,-0.49,15216.0,149305.0,22.55,1.9,9049550.0,22139100.0
2023-02-16,859713.SI,固废治理,L3,2087.38,2029.9,2107.86,2047.98,-37.33,-1.79,28985.0,240939.0,22.16,1.86,8887560.0,21727600.0
2023-02-17,859713.SI,固废治理,L3,2051.97,2035.17,2074.41,2044.28,-3.7,-0.18,17986.0,155752.0,22.1,1.86,9124250.0,21684100.0
2023-02-20,859713.SI,固废治理,L3,2048.07,2022.0,2068.83,2054.41,10.13,0.5,17703.0,148289.0,22.22,1.87,9169480.0,21811300.0
2023-02-21,859713.SI,固废治理,L3,2056.7,2044.7,2090.01,2070.57,16.15,0.79,16749.0,135766.0,22.39,1.88,9241580.0,21970700.0
2023-02-22,859713.SI,固废治理,L3,2066.93,2049.02,2085.84,2069.6,-0.97,-0.05,12634.0,121221.0,22.37,1.88,9237270.0,21970600.0
2023-02-23,859713.SI,固废治理,L3,2072.44,2054.4,2099.68,2076.18,6.58,0.32,14362.0,143172.0,22.44,1.89,9266620.0,22035300.0
2023-02-24,859713.SI,固废治理,L3,2074.47,2045.12,2084.02,2058.29,-17.88,-0.86,10477.0,103285.0,22.24,1.87,9186800.0,21869000.0
2023-02-27,859713.SI,固废治理,L3,2054.97,2025.13,2066.22,2035.19,-23.1,-1.12,13258.0,115190.0,21.97,1.85,9083690.0,21630200.0
2023-02-28,859713.SI,固废治理,L3,2040.46,2030.41,2066.08,2060.48,25.29,1.24,11303.0,109898.0,22.26,1.87,9196570.0,21867100.0
2023-03-01,859713.SI,固废治理,L3,2061.94,2048.37,2075.55,2066.31,5.83,0.28,10905.0,104242.0,22.3,1.88,9222580.0,21928000.0
2023-03-02,859713.SI,固废治理,L3,2066.14,2047.39,2082.57,2060.6,-5.71,-0.28,14300.0,120501.0,22.23,1.87,9197080.0,21876400.0
2023-03-03,859713.SI,固废治理,L3,2063.01,2044.45,2081.47,2068.0,7.4,0.36,15578.0,130940.0,22.3,1.88,9230130.0,21951600.0
2023-03-06,859713.SI,固废治理,L3,2077.94,2058.72,2102.86,2080.58,12.57,0.61,19808.0,198970.0,22.42,1.89,9286260.0,22093400.0
2023-03-07,859713.SI,固废治理,L3,2082.46,2040.55,2096.52,2047.12,-33.45,-1.61,27405.0,246000.0,22.07,1.86,9136940.0,21732100.0
2023-03-08,859713.SI,固废治理,L3,2040.06,2023.86,2060.59,2045.9,-1.23,-0.06,17423.0,155573.0,22.06,1.86,9131460.0,21719500.0
2023-03-09,859713.SI,固废治理,L3,2049.52,2033.37,2076.55,2061.36,15.46,0.76,19759.0,185803.0,22.2,1.87,9200480.0,21894100.0
