trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,859714.SI,综合环境治理,L3,1548.03,1539.17,1584.36,1578.13,30.96,2.0,11453.0,42821.0,93.99,1.48,1746190.0,3780850.0
2023-01-04,859714.SI,综合环境治理,L3,1577.87,1567.16,1601.74,1585.52,7.39,0.47,12181.0,48700.0,94.41,1.49,1754360.0,3807630.0
2023-01-05,859714.SI,综合环境治理,L3,1584.34,1566.34,1597.53,1579.81,-5.71,-0.36,9763.0,37388.0,94.07,1.49,1748050.0,3791820.0
2023-01-06,859714.SI,综合环境治理,L3,1575.99,1559.94,1594.78,1570.97,-8.84,-0.56,8377.0,33603.0,93.56,1.48,1738700.0,3771470.0
2023-01-09,859714.SI,综合环境治理,L3,1572.67,1562.22,1586.54,1571.7,0.73,0.05,5791.0,23513.0,93.59,1.48,1739500.0,3774890.0
2023-01-10,859714.SI,综合环境治理,L3,1570.03,1553.26,1583.42,1569.18,-2.52,-0.16,6448.0,26738.0,93.51,1.48,1737570.0,3767890.0
2023-01-11,859714.SI,综合环境治理,L3,1568.94,1549.29,1591.31,1569.1,-0.07,0.0,8749.0,35541.0,93.54,1.48,1737490.0,3771650.0
2023-01-12,859714.SI,综合环境治理,L3,1577.44,1550.67,1590.92,1569.84,0.74,0.05,21357.0,72777.0,93.6,1.48,1738300.0,3764930.0
2023-01-13,859714.SI,综合环境治理,L3,1570.66,1548.35,1577.95,1560.41,-9.43,-0.6,12006.0,40563.0,93.02,1.47,1727860.0,3745910.0
2023-01-16,859714.SI,综合环境治理,L3,1562.43,1552.49,1591.67,1574.38,13.98,0.9,10279.0,40489.0,93.91,1.48,1745130.0,3782860.0
2023-01-17,859714.SI,综合环境治理,L3,1574.93,1550.76,1584.83,1564.48,-9.9,-0.63,9359.0,34541.0,93.32,1.47,1734160.0,3759100.0
2023-01-18,859714.SI,综合环境治理,L3,1566.85,1553.6,1582.05,1570.36,5.87,0.38,7374.0,28708.0,93.67,1.48,1740670.0,3773350.0
2023-01-19,859714.SI,综合环境治理,L3,1566.07,1554.24,1584.54,1576.75,6.39,0.41,6520.0,27541.0,94.04,1.48,1747750.0,3791860.0
2023-01-20,859714.SI,综合环境治理,L3,1576.22,1571.26,1608.69,1597.4,20.65,1.31,9797.0,39733.0,95.33,1.5,1771770.0,3842290.0
2023-01-30,859714.SI,综合环境治理,L3,1600.98,1586.27,1628.84,1613.51,16.11,1.01,19050.0,73773.0,96.27,1.52,1789640.0,3887780.0
2023-01-31,859714.SI,综合环境治理,L3,1590.48,1579.84,1622.6,1616.72,3.21,0.2,10693.0,48942.0,96.48,1.52,1793200.0,3889540.0
2023-02-01,859714.SI,综合环境治理,L3,1609.94,1598.46,1635.95,1630.62,13.9,0.86,15297.0,60804.0,97.28,1.54,1808620.0,3926320.0
2023-02-02,859714.SI,综合环境治理,L3,1629.88,1605.2,1644.14,1623.54,-7.08,-0.43,13144.0,55413.0,96.83,1.53,1800770.0,3912400.0
2023-02-03,859714.SI,综合环境治理,L3,1620.1,1599.44,1650.78,1641.09,17.54,1.08,19213.0,82549.0,97.78,1.54,1820230.0,3962110.0
2023-02-06,859714.SI,综合环境治理,L3,1637.56,1620.93,1670.35,1648.05,6.97,0.42,25563.0,98384.0,98.27,1.55,1827960.0,3978360.0
2023-02-07,859714.SI,综合环境治理,L3,1672.34,1639.92,1705.34,1668.26,20.21,1.23,32285.0,130659.0,99.51,1.57,1850370.0,4023570.0
2023-02-08,859714.SI,综合环境治理,L3,1664.57,1637.59,1682.42,1644.62,-23.65,-1.42,20594.0,85050.0,98.12,1.55,1824140.0,3968480.0
2023-02-09,859714.SI,综合环境治理,L3,1644.97,1632.66,1667.55,1652.85,8.23,0.5,15387.0,62821.0,98.58,1.56,1833280.0,3990320.0
2023-02-10,859714.SI,综合环境治理,L3,1650.53,1639.2,1678.91,1663.19,10.34,0.63,14670.0,72247.0,98.96,1.56,1844750.0,4024070.0
2023-02-13,859714.SI,综合环境治理,L3,1664.31,1645.24,1680.25,1667.83,4.64,0.28,15015.0,75444.0,99.12,1.56,1849890.0,4042900.0
2023-02-14,859714.SI,综合环境治理,L3,1671.71,1653.25,1688.12,1667.7,-0.13,-0.01,15235.0,68494.0,99.21,1.57,1849740.0,4035820.0
2023-02-15,859714.SI,综合环境治理,L3,1666.23,1646.81,1674.76,1660.0,-7.7,-0.46,12236.0,52322.0,98.73,1.56,1841200.0,4018320.0
2023-02-16,859714.SI,综合环境治理,L3,1665.44,1609.34,1683.74,1627.73,-32.27,-1.94,23916.0,94993.0,96.89,1.53,1805410.0,3938780.0
2023-02-17,859714.SI,综合环境治理,L3,1622.72,1609.18,1662.21,1637.61,9.88,0.61,17088.0,69885.0,97.53,1.54,1816380.0,3956720.0
2023-02-20,859714.SI,综合环境治理,L3,1640.6,1612.54,1654.47,1638.77,1.16,0.07,12124.0,51259.0,97.56,1.54,1817660.0,3964940.0
2023-02-21,859714.SI,综合环境治理,L3,1639.01,1626.1,1655.86,1645.92,7.14,0.44,10704.0,49393.0,97.99,1.55,1825590.0,3988990.0
2023-02-22,859714.SI,综合环境治理,L3,1641.82,1627.6,1653.47,1644.01,-1.91,-0.12,9080.0,44790.0,97.85,1.54,1823470.0,3990470.0
2023-02-23,859714.SI,综合环境治理,L3,1645.86,1626.98,1658.98,1644.25,0.24,0.01,9186.0,41590.0,97.92,1.55,1823740.0,3983920.0
2023-02-24,859714.SI,综合环境治理,L3,1648.43,1620.05,1655.16,1635.99,-8.25,-0.5,10000.0,41782.0,97.44,1.54,1814580.0,3960300.0
2023-02-27,859714.SI,综合环境治理,L3,1630.64,1605.0,1655.83,1614.86,-21.13,-1.29,10480.0,45289.0,96.23,1.52,1791140.0,3906790.0
2023-02-28,859714.SI,综合环境治理,L3,1616.14,1606.4,1636.15,1627.42,12.56,0.78,7359.0,34836.0,96.97,1.53,1805070.0,3941930.0
2023-03-01,859714.SI,综合环境治理,L3,1627.94,1617.41,1643.51,1637.63,10.21,0.63,8043.0,36639.0,97.59,1.54,1816400.0,3964090.0
2023-03-02,859714.SI,综合环境治理,L3,1639.54,1624.63,1657.27,1637.3,-0.34,-0.02,11230.0,47573.0,97.59,1.54,1816020.0,3963940.0
2023-03-03,859714.SI,综合环境治理,L3,1636.73,1623.37,1652.12,1641.05,3.76,0.23,7144.0,37316.0,97.86,1.54,1820190.0,3968040.0
2023-03-06,859714.SI,综合环境治理,L3,1639.64,1622.42,1656.04,1633.33,-7.72,-0.47,8714.0,43453.0,97.41,1.54,1811630.0,3952510.0
2023-03-07,859714.SI,综合环境治理,L3,1635.95,1597.83,1659.26,1613.72,-19.61,-1.2,10875.0,69882.0,96.23,1.52,1789880.0,3898330.0
2023-03-08,859714.SI,综合环境治理,L3,1605.2,1591.05,1631.38,1626.86,13.13,0.81,7585.0,49617.0,96.98,1.53,1804440.0,3933610.0
2023-03-09,859714.SI,综合环境治理,L3,1625.84,1611.09,1671.15,1656.55,29.69,1.83,11727.0,96016.0,98.59,1.56,1837380.0,4035160.0
2023-03-10,859714.SI,综合环境治理,L3,1645.91,1615.18,1669.63,1623.62,-32.92,-1.99,10878.0,74008.0,96.66,1.53,1800860.0,3940860.0
2023-03-13,859714.SI,综合环境治理,L3,1605.47,1574.89,1620.48,1599.63,-23.99,-1.48,9969.0,56440.0,97.57,1.45,1815400.0,3877590.0
2023-03-14,859714.SI,综合环境治理,L3,1597.69,1555.13,1604.61,1576.21,-23.43,-1.46,9090.0,52454.0,96.2,1.43,1788810.0,3822790.0
2023-03-15,859714.SI,综合环境治理,L3,1578.91,1571.18,1607.69,1597.96,21.76,1.38,7509.0,40194.0,97.53,1.45,1813500.0,3872110.0
2023-03-16,859714.SI,综合环境治理,L3,1591.92,1559.54,1600.58,1566.46,-31.5,-1.97,6772.0,35883.0,95.54,1.42,1777760.0,3794660.0
2023-03-17,859714.SI,综合环境治理,L3,1575.1,1564.21,1589.34,1575.22,8.75,0.56,6842.0,33370.0,96.09,1.43,1787690.0,3815240.0
2023-03-20,859714.SI,综合环境治理,L3,1580.74,1550.77,1591.8,1557.36,-17.85,-1.13,8593.0,41900.0,95.15,1.42,1767430.0,3770360.0
2023-03-21,859714.SI,综合环境治理,L3,1560.38,1550.92,1577.76,1575.84,18.48,1.19,6464.0,32006.0,96.24,1.43,1788400.0,3815220.0
2023-03-22,859714.SI,综合环境治理,L3,1579.12,1571.87,1602.95,1590.26,14.42,0.91,6453.0,41189.0,97.14,1.45,1804760.0,3862550.0
