trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,859821.SI,化妆品制造及其他,L3,2456.42,2432.47,2525.53,2499.98,36.49,1.48,6864.0,54673.0,45.05,2.03,1405730.0,3103030.0
2023-01-04,859821.SI,化妆品制造及其他,L3,2495.94,2479.95,2578.62,2542.39,42.42,1.7,6930.0,55937.0,45.81,2.06,1429580.0,3152300.0
2023-01-05,859821.SI,化妆品制造及其他,L3,2539.94,2507.26,2583.47,2543.42,1.03,0.04,7309.0,52461.0,45.83,2.07,1430160.0,3159470.0
2023-01-06,859821.SI,化妆品制造及其他,L3,2537.75,2509.33,2569.31,2538.16,-5.26,-0.21,6255.0,41567.0,45.73,2.06,1427200.0,3163400.0
2023-01-09,859821.SI,化妆品制造及其他,L3,2553.85,2525.81,2607.51,2570.0,31.84,1.25,6630.0,51563.0,46.31,2.09,1445110.0,3210500.0
2023-01-10,859821.SI,化妆品制造及其他,L3,2567.65,2532.28,2591.3,2555.58,-14.42,-0.56,4580.0,38373.0,46.05,2.08,1437000.0,3205470.0
2023-01-11,859821.SI,化妆品制造及其他,L3,2554.0,2485.81,2569.58,2494.13,-61.45,-2.4,4706.0,40855.0,44.94,2.03,1402450.0,3135360.0
2023-01-12,859821.SI,化妆品制造及其他,L3,2527.84,2430.1,2592.66,2490.35,-3.78,-0.15,5465.0,74497.0,44.87,2.02,1400320.0,3100410.0
2023-01-13,859821.SI,化妆品制造及其他,L3,2497.06,2442.85,2517.48,2494.15,3.8,0.15,11779.0,83378.0,44.94,2.03,1402460.0,3112010.0
2023-01-16,859821.SI,化妆品制造及其他,L3,2489.96,2458.38,2561.53,2534.95,40.8,1.64,8055.0,63167.0,45.66,2.06,1425810.0,3161520.0
2023-01-17,859821.SI,化妆品制造及其他,L3,2530.75,2487.15,2559.96,2520.26,-14.69,-0.58,5228.0,39811.0,45.4,2.05,1417550.0,3160240.0
2023-01-18,859821.SI,化妆品制造及其他,L3,2523.95,2493.52,2553.13,2502.06,-18.2,-0.72,4508.0,35441.0,45.07,2.03,1407310.0,3145320.0
2023-01-19,859821.SI,化妆品制造及其他,L3,2495.76,2470.88,2550.55,2516.56,14.5,0.58,5339.0,44465.0,45.33,2.04,1415460.0,3162720.0
2023-01-20,859821.SI,化妆品制造及其他,L3,2532.35,2502.63,2577.46,2533.83,17.27,0.69,4134.0,36565.0,45.64,2.06,1425180.0,3183790.0
2023-01-30,859821.SI,化妆品制造及其他,L3,2558.42,2539.17,2621.79,2592.67,58.84,2.32,7744.0,55461.0,46.7,2.1,1458270.0,3237050.0
2023-01-31,859821.SI,化妆品制造及其他,L3,2575.07,2525.04,2663.64,2609.64,16.97,0.65,11925.0,77078.0,47.01,2.12,1467820.0,3271520.0
2023-02-01,859821.SI,化妆品制造及其他,L3,2606.25,2579.52,2679.42,2661.67,52.04,1.99,11647.0,75122.0,47.94,2.16,1497090.0,3320850.0
2023-02-02,859821.SI,化妆品制造及其他,L3,2672.96,2624.7,2731.31,2671.17,9.5,0.36,15077.0,96845.0,48.12,2.17,1502430.0,3326700.0
2023-02-03,859821.SI,化妆品制造及其他,L3,2666.72,2631.06,2694.16,2677.88,6.71,0.25,8140.0,57068.0,48.24,2.17,1506200.0,3330400.0
2023-02-06,859821.SI,化妆品制造及其他,L3,2667.68,2622.95,2694.28,2646.53,-31.35,-1.17,6215.0,43644.0,47.67,2.15,1488570.0,3295000.0
2023-02-07,859821.SI,化妆品制造及其他,L3,2655.33,2610.26,2698.36,2653.39,6.87,0.26,6275.0,49212.0,47.8,2.15,1492430.0,3302930.0
