trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,859852.SI,培训教育,L3,694.02,683.13,710.97,702.3,5.21,0.75,45535.0,271608.0,188.24,4.19,2934330.0,7236380.0
2023-01-04,859852.SI,培训教育,L3,703.11,693.88,725.14,710.64,8.34,1.19,47924.0,309384.0,190.48,4.24,2969160.0,7312200.0
2023-01-05,859852.SI,培训教育,L3,706.4,698.04,743.97,718.61,7.97,1.12,78466.0,470269.0,192.61,4.29,3002460.0,7458380.0
2023-01-06,859852.SI,培训教育,L3,713.79,692.93,723.93,698.17,-20.44,-2.84,55563.0,330219.0,187.13,4.17,2917070.0,7249920.0
2023-01-09,859852.SI,培训教育,L3,701.37,696.88,740.3,728.9,30.72,4.4,59657.0,386630.0,195.37,4.35,3045440.0,7543910.0
2023-01-10,859852.SI,培训教育,L3,725.07,704.15,733.26,715.64,-13.25,-1.82,46735.0,293795.0,191.82,4.28,2990070.0,7436520.0
2023-01-11,859852.SI,培训教育,L3,716.03,698.37,734.58,715.01,-0.63,-0.09,49282.0,323070.0,191.65,4.28,2987420.0,7396220.0
2023-01-12,859852.SI,培训教育,L3,710.33,699.91,736.04,710.16,-4.85,-0.68,46822.0,293717.0,190.46,4.25,2973040.0,7357230.0
2023-01-13,859852.SI,培训教育,L3,710.06,698.27,726.14,717.18,7.02,0.99,37973.0,248261.0,192.34,4.29,3002420.0,7432940.0
2023-01-16,859852.SI,培训教育,L3,715.45,710.65,752.08,739.88,22.7,3.17,77342.0,463110.0,186.51,4.44,3145900.0,7753170.0
2023-01-17,859852.SI,培训教育,L3,738.1,726.53,769.94,755.86,15.98,2.16,79015.0,482993.0,190.54,4.54,3213830.0,8034410.0
2023-01-18,859852.SI,培训教育,L3,748.43,730.36,759.31,743.87,-11.99,-1.59,57796.0,336105.0,187.52,4.46,3162850.0,7911950.0
2023-01-19,859852.SI,培训教育,L3,740.21,726.09,758.61,741.65,-2.22,-0.3,56096.0,310640.0,185.63,4.45,3156510.0,7925060.0
2023-01-20,859852.SI,培训教育,L3,746.81,738.56,774.74,767.3,25.65,3.46,55665.0,318105.0,192.05,4.6,3265660.0,8216420.0
2023-01-30,859852.SI,培训教育,L3,776.66,759.03,799.4,790.7,23.4,3.05,72590.0,454660.0,197.17,4.73,3365680.0,8411990.0
2023-01-31,859852.SI,培训教育,L3,793.57,782.04,842.05,811.69,21.0,2.66,81524.0,586931.0,202.4,4.86,3455060.0,8618390.0
2023-02-01,859852.SI,培训教育,L3,808.2,798.99,853.92,840.11,28.42,3.5,75048.0,567510.0,209.49,5.03,3576020.0,8902080.0
2023-02-02,859852.SI,培训教育,L3,833.21,805.36,837.97,813.67,-26.44,-3.15,56847.0,436002.0,202.9,4.87,3463490.0,8615930.0
2023-02-03,859852.SI,培训教育,L3,809.78,803.53,832.9,821.43,7.75,0.95,45282.0,328261.0,204.83,4.91,3496480.0,8697320.0
2023-02-06,859852.SI,培训教育,L3,813.69,791.98,825.0,805.14,-16.28,-1.98,46622.0,325216.0,200.77,4.8,3427180.0,8511530.0
