trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,859951.SI,电视广播Ⅲ,L3,1036.69,1031.01,1075.63,1067.89,31.55,3.04,44594.0,366388.0,34.29,1.0,6080160.0,13038800.0
2023-01-04,859951.SI,电视广播Ⅲ,L3,1065.54,1055.26,1083.45,1066.09,-1.8,-0.17,42881.0,346665.0,34.23,1.0,6069910.0,13025600.0
2023-01-05,859951.SI,电视广播Ⅲ,L3,1067.98,1056.54,1083.44,1066.38,0.29,0.03,41133.0,333152.0,34.24,1.0,6071560.0,13040800.0
2023-01-06,859951.SI,电视广播Ⅲ,L3,1066.2,1030.34,1072.74,1034.33,-32.05,-3.01,38521.0,316200.0,33.21,0.97,5889110.0,12587600.0
2023-01-09,859951.SI,电视广播Ⅲ,L3,1042.05,1031.39,1056.73,1043.22,8.89,0.86,28888.0,236918.0,33.5,0.98,5939740.0,12755600.0
2023-01-10,859951.SI,电视广播Ⅲ,L3,1046.65,1034.33,1072.43,1058.64,15.42,1.48,41591.0,319243.0,33.99,0.99,6027510.0,12986400.0
2023-01-11,859951.SI,电视广播Ⅲ,L3,1061.69,1031.76,1065.77,1040.48,-18.16,-1.72,34893.0,243264.0,33.41,0.97,5924130.0,12795300.0
2023-01-12,859951.SI,电视广播Ⅲ,L3,1042.18,1024.53,1057.27,1039.87,-0.61,-0.06,31385.0,226266.0,33.39,0.97,5920660.0,12804900.0
2023-01-13,859951.SI,电视广播Ⅲ,L3,1044.03,1033.18,1083.29,1071.2,31.33,3.01,52814.0,312317.0,34.4,1.0,6099020.0,13211200.0
2023-01-16,859951.SI,电视广播Ⅲ,L3,1071.0,1047.03,1076.73,1054.52,-16.68,-1.56,54256.0,344256.0,33.86,0.99,6004060.0,12968500.0
2023-01-17,859951.SI,电视广播Ⅲ,L3,1053.02,1037.7,1062.47,1047.32,-7.2,-0.68,39333.0,262831.0,33.63,0.98,5963090.0,12912900.0
2023-01-18,859951.SI,电视广播Ⅲ,L3,1047.75,1043.52,1072.21,1058.4,11.07,1.06,35139.0,248003.0,33.99,0.99,6026130.0,13025500.0
2023-01-19,859951.SI,电视广播Ⅲ,L3,1054.0,1036.91,1064.56,1052.73,-5.67,-0.54,33748.0,213285.0,33.8,0.98,5993870.0,12872600.0
2023-01-20,859951.SI,电视广播Ⅲ,L3,1055.25,1048.19,1068.67,1061.43,8.7,0.83,28962.0,197620.0,34.08,0.99,6043420.0,12997800.0
2023-01-30,859951.SI,电视广播Ⅲ,L3,1067.55,1054.91,1077.12,1062.54,1.11,0.1,33124.0,218000.0,34.12,0.99,6049720.0,13025400.0
2023-01-31,859951.SI,电视广播Ⅲ,L3,1059.87,1049.67,1074.2,1064.99,2.45,0.23,28467.0,185088.0,34.2,1.0,6063660.0,13028900.0
2023-02-01,859951.SI,电视广播Ⅲ,L3,1063.26,1054.75,1080.67,1075.47,10.49,0.98,39553.0,258120.0,34.53,1.01,6123360.0,13165000.0
2023-02-02,859951.SI,电视广播Ⅲ,L3,1075.29,1058.44,1085.98,1066.02,-9.46,-0.88,40027.0,281141.0,34.23,1.0,6069530.0,13006400.0
2023-02-03,859951.SI,电视广播Ⅲ,L3,1063.16,1059.0,1090.67,1081.48,15.46,1.45,47032.0,309021.0,34.73,1.01,6157530.0,13240300.0
2023-02-06,859951.SI,电视广播Ⅲ,L3,1075.36,1066.84,1092.38,1080.28,-1.2,-0.11,35817.0,226032.0,34.69,1.01,6150700.0,13213700.0
2023-02-07,859951.SI,电视广播Ⅲ,L3,1080.45,1071.93,1095.8,1089.45,9.18,0.85,29175.0,194999.0,34.98,1.02,6202960.0,13306400.0
2023-02-08,859951.SI,电视广播Ⅲ,L3,1094.84,1082.77,1118.64,1093.6,4.15,0.38,36317.0,256338.0,35.12,1.02,6226560.0,13331300.0
2023-02-09,859951.SI,电视广播Ⅲ,L3,1093.59,1080.83,1111.35,1106.76,13.16,1.2,30222.0,218096.0,35.54,1.03,6301500.0,13503200.0
2023-02-10,859951.SI,电视广播Ⅲ,L3,1104.4,1099.85,1130.86,1117.74,10.98,0.99,36042.0,256611.0,35.89,1.04,6364030.0,13652300.0
2023-02-13,859951.SI,电视广播Ⅲ,L3,1117.8,1101.72,1123.05,1111.44,-6.3,-0.56,25765.0,179452.0,35.69,1.04,6328140.0,13572100.0
2023-02-14,859951.SI,电视广播Ⅲ,L3,1113.09,1099.83,1120.33,1105.73,-5.71,-0.51,21714.0,149329.0,35.51,1.03,6295640.0,13494600.0
2023-02-15,859951.SI,电视广播Ⅲ,L3,1107.16,1102.6,1129.07,1119.23,13.5,1.22,32752.0,230983.0,35.94,1.05,6372490.0,13653900.0
2023-02-16,859951.SI,电视广播Ⅲ,L3,1113.33,1089.5,1138.75,1101.03,-18.2,-1.63,46609.0,315891.0,35.35,1.03,6268860.0,13421700.0
2023-02-17,859951.SI,电视广播Ⅲ,L3,1102.79,1084.17,1113.51,1087.21,-13.82,-1.26,29323.0,196267.0,34.91,1.02,6190170.0,13253500.0
2023-02-20,859951.SI,电视广播Ⅲ,L3,1092.83,1083.55,1117.33,1110.79,23.58,2.17,27163.0,179854.0,35.67,1.04,6324430.0,13532700.0
2023-02-21,859951.SI,电视广播Ⅲ,L3,1111.26,1096.8,1121.89,1107.98,-2.81,-0.25,24386.0,156410.0,35.58,1.04,6308430.0,13487500.0
2023-02-22,859951.SI,电视广播Ⅲ,L3,1101.66,1090.53,1112.38,1104.93,-3.05,-0.27,21183.0,140658.0,35.48,1.03,6291080.0,13465100.0
